2023-04-20 05:47:20,836 INFO Tickers: ['ADP']
2023-04-20 05:47:41,696 INFO Negative OS: -0.5548109736093245 --- ticker ADP --- day 2017-03-06 --- time 50400
2023-04-20 05:47:46,354 INFO Negative OS: -0.03796322786374273 --- ticker ADP --- day 2017-03-17 --- time 48600
2023-04-20 05:48:30,167 INFO Negative OS: -2.7254787768157787 --- ticker ADP --- day 2017-07-27 --- time 45000
2023-04-20 05:49:13,784 INFO Negative OS: -0.6328541792889439 --- ticker ADP --- day 2018-03-21 --- time 36000
2023-04-20 05:51:59,119 INFO in_r2: 0.8729057095569509 , std 0.062256938890635216 
2023-04-20 05:51:59,119 INFO os_r2: 0.8371478409259353 , std 0.10217851405833386 
2023-04-20 05:51:59,119 INFO intercept: 3.142179786764885e-07 , std 8.164915523419874e-06 
2023-04-20 05:51:59,119 INFO ofi_order_1: 5.9803312888848684e-05 , std 5.082376391510844e-05 
2023-04-20 05:51:59,119 INFO ofi_order_2: 7.973696413261359e-05 , std 5.5002761600244404e-05 
2023-04-20 05:51:59,119 INFO ofi_order_3: 6.288429094131384e-05 , std 5.0159346561036743e-05 
2023-04-20 05:51:59,119 INFO ofi_order_4: 4.694828572907723e-05 , std 4.58660290857337e-05 
2023-04-20 05:51:59,119 INFO ofi_order_5: 3.9484725709235974e-05 , std 4.497702291265624e-05 
2023-04-20 05:51:59,119 INFO ofi_order_6: 3.156539122369726e-05 , std 4.244679656641452e-05 
2023-04-20 05:51:59,119 INFO ofi_order_7: 3.0052898588714688e-05 , std 4.266739692141475e-05 
2023-04-20 05:51:59,119 INFO ofi_order_8: 2.514571869125032e-05 , std 4.124952945383889e-05 
2023-04-20 05:51:59,119 INFO ofi_order_9: 2.0121322223640635e-05 , std 3.974814887590996e-05 
2023-04-20 05:51:59,119 INFO ofi_order_10: 1.796221653178611e-05 , std 3.947575274699122e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_1: 6.57425705401923e-05 , std 9.829388507999805e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_2: 5.9783527910972505e-05 , std 9.117715461433217e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_3: 5.397013503228335e-05 , std 7.773265028264707e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_4: 4.2424679986440215e-05 , std 7.223838506697006e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_5: 4.301486336138642e-05 , std 7.208242931904546e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_6: 4.2722098766056736e-05 , std 7.372533187120981e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_7: 4.661551262867348e-05 , std 7.955640128606257e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_8: 5.208033485454649e-05 , std 8.999458099215878e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_9: 5.236028464440179e-05 , std 9.326508975921118e-05 
2023-04-20 05:51:59,119 INFO ofi_trade_10: 5.9605359486339564e-05 , std 9.606595407154618e-05 
2023-04-20 05:51:59,120 INFO t_intercept: 0.022040660918628975 , std 1.039402228937831 
2023-04-20 05:51:59,120 INFO t_ofi_order_1: 1.9599247776693343 , std 1.4923484232364777 
2023-04-20 05:51:59,120 INFO t_ofi_order_2: 2.1154810957615333 , std 1.2919333840535174 
2023-04-20 05:51:59,120 INFO t_ofi_order_3: 1.5143131660584772 , std 1.1111832812505615 
2023-04-20 05:51:59,120 INFO t_ofi_order_4: 1.077182099955254 , std 0.9822474437396342 
2023-04-20 05:51:59,120 INFO t_ofi_order_5: 0.8799804555984924 , std 0.9532549025269839 
2023-04-20 05:51:59,120 INFO t_ofi_order_6: 0.6990352339438964 , std 0.8886766705798929 
2023-04-20 05:51:59,120 INFO t_ofi_order_7: 0.6207967986156362 , std 0.8523165600467874 
2023-04-20 05:51:59,120 INFO t_ofi_order_8: 0.5097420588990579 , std 0.7981414577232909 
2023-04-20 05:51:59,120 INFO t_ofi_order_9: 0.40572335563852424 , std 0.7524337946764591 
2023-04-20 05:51:59,120 INFO t_ofi_order_10: 0.43460224757804317 , std 0.8522637420602207 
2023-04-20 05:51:59,120 INFO t_ofi_trade_1: 0.803806972110755 , std 1.055647495577067 
2023-04-20 05:51:59,120 INFO t_ofi_trade_2: 0.7169191143863678 , std 0.9350922376953202 
2023-04-20 05:51:59,120 INFO t_ofi_trade_3: 0.6811700887014904 , std 0.8830027866644135 
2023-04-20 05:51:59,120 INFO t_ofi_trade_4: 0.5541820923894649 , std 0.8276304044757733 
2023-04-20 05:51:59,120 INFO t_ofi_trade_5: 0.5478133619972189 , std 0.8090741350223841 
2023-04-20 05:51:59,120 INFO t_ofi_trade_6: 0.49855793379669167 , std 0.76535433584675 
2023-04-20 05:51:59,120 INFO t_ofi_trade_7: 0.4962119648776825 , std 0.7407676870783317 
2023-04-20 05:51:59,120 INFO t_ofi_trade_8: 0.5129953681529988 , std 0.7668496114505569 
2023-04-20 05:51:59,120 INFO t_ofi_trade_9: 0.5099673176188803 , std 0.776347633502213 
2023-04-20 05:51:59,120 INFO t_ofi_trade_10: 0.6233040647198218 , std 0.8776813558825495 
2023-04-20 05:51:59,120 INFO p_intercept: 0.49379694832682974 , std 0.29107989193889605 
2023-04-20 05:51:59,120 INFO p_ofi_order_1: 0.24959754380727617 , std 0.33832918415155444 
2023-04-20 05:51:59,120 INFO p_ofi_order_2: 0.18589568862502606 , std 0.2843455968732867 
2023-04-20 05:51:59,120 INFO p_ofi_order_3: 0.30694294089607627 , std 0.34472500750392643 
2023-04-20 05:51:59,120 INFO p_ofi_order_4: 0.4392027375235525 , std 0.372630368623043 
2023-04-20 05:51:59,120 INFO p_ofi_order_5: 0.5124298983707047 , std 0.3764027307160173 
2023-04-20 05:51:59,120 INFO p_ofi_order_6: 0.5831875342474351 , std 0.37464955215129386 
