2023-04-20 05:12:23,079 INFO Tickers: ['BA']
2023-04-20 05:12:49,320 INFO Negative OS: -1.365764413983304 --- ticker BA --- day 2017-05-10 --- time 50400
2023-04-20 05:13:29,864 INFO Negative OS: -0.6460021049381237 --- ticker BA --- day 2018-02-14 --- time 45000
2023-04-20 05:13:31,667 INFO Negative OS: -0.5113289139148394 --- ticker BA --- day 2018-02-26 --- time 37800
2023-04-20 05:14:09,428 INFO Negative OS: -0.1092902041075019 --- ticker BA --- day 2018-07-17 --- time 39600
2023-04-20 05:14:37,274 INFO Negative OS: -0.10410888147329223 --- ticker BA --- day 2018-10-11 --- time 41400
2023-04-20 05:14:45,680 INFO Negative OS: -0.9729503988059145 --- ticker BA --- day 2018-11-06 --- time 37800
2023-04-20 05:16:46,203 INFO in_r2: 0.8454251248784106 , std 0.06851147118394876 
2023-04-20 05:16:46,203 INFO os_r2: 0.7958744199595172 , std 0.11343058066507228 
2023-04-20 05:16:46,203 INFO intercept: -6.343206137623509e-08 , std 1.2057721548396508e-05 
2023-04-20 05:16:46,203 INFO ofi_order_1: 8.023042426067231e-05 , std 6.736883089996803e-05 
2023-04-20 05:16:46,203 INFO ofi_order_2: 7.668424816667747e-05 , std 6.071462421724003e-05 
2023-04-20 05:16:46,203 INFO ofi_order_3: 5.540180899828911e-05 , std 5.086810156761986e-05 
2023-04-20 05:16:46,203 INFO ofi_order_4: 4.145762730829754e-05 , std 4.510472055361926e-05 
2023-04-20 05:16:46,203 INFO ofi_order_5: 3.2651840018955426e-05 , std 4.261553427986328e-05 
2023-04-20 05:16:46,203 INFO ofi_order_6: 2.8700337287793242e-05 , std 4.115591645475312e-05 
2023-04-20 05:16:46,203 INFO ofi_order_7: 2.5732560167295057e-05 , std 3.9225527209206174e-05 
2023-04-20 05:16:46,203 INFO ofi_order_8: 2.311292264439506e-05 , std 3.805234639070405e-05 
2023-04-20 05:16:46,203 INFO ofi_order_9: 2.1285169953355954e-05 , std 3.815112581396433e-05 
2023-04-20 05:16:46,203 INFO ofi_order_10: 2.506128206535114e-05 , std 3.7833078795227594e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_1: 5.1993569057542185e-05 , std 8.236647556575376e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_2: 6.269657505975072e-05 , std 8.750611911321246e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_3: 4.681401027807414e-05 , std 7.440693092243693e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_4: 3.895237379307124e-05 , std 7.114508711056263e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_5: 3.1986471267935376e-05 , std 7.390479871952515e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_6: 3.4333755905482154e-05 , std 7.485809322960448e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_7: 3.350198395591753e-05 , std 6.542908247776997e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_8: 3.703145173981116e-05 , std 7.862453536396426e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_9: 3.826816573163619e-05 , std 7.29159097263864e-05 
2023-04-20 05:16:46,203 INFO ofi_trade_10: 4.55524087684875e-05 , std 7.524434747621395e-05 
2023-04-20 05:16:46,203 INFO t_intercept: -0.002473688809895834 , std 1.0322392489268852 
2023-04-20 05:16:46,203 INFO t_ofi_order_1: 2.247596441647759 , std 1.3726884589123125 
2023-04-20 05:16:46,203 INFO t_ofi_order_2: 1.8696392820273695 , std 1.1366131215574984 
2023-04-20 05:16:46,203 INFO t_ofi_order_3: 1.2699566169451861 , std 1.0003430200376369 
2023-04-20 05:16:46,203 INFO t_ofi_order_4: 0.9137013442266767 , std 0.8652467789744988 
2023-04-20 05:16:46,203 INFO t_ofi_order_5: 0.7042384877240687 , std 0.7910996619351759 
2023-04-20 05:16:46,203 INFO t_ofi_order_6: 0.5985025441025185 , std 0.7352333653872478 
2023-04-20 05:16:46,203 INFO t_ofi_order_7: 0.5260475753701331 , std 0.7093077154964305 
2023-04-20 05:16:46,203 INFO t_ofi_order_8: 0.4656387620242301 , std 0.6840651583198876 
