2023-04-20 04:58:34,755 INFO Tickers: ['BAC']
2023-04-20 05:00:05,677 INFO Negative OS: -2.9029159585080317 --- ticker BAC --- day 2017-08-31 --- time 52200
2023-04-20 05:04:40,067 INFO Negative OS: -0.06627253305446401 --- ticker BAC --- day 2019-07-26 --- time 46800
2023-04-20 05:05:41,441 INFO in_r2: 0.9946828986760312 , std 0.007516493934477053 
2023-04-20 05:05:41,441 INFO os_r2: 0.9777343765635441 , std 0.06340796745401929 
2023-04-20 05:05:41,441 INFO intercept: -7.634466192509602e-08 , std 1.6355001775754763e-06 
2023-04-20 05:05:41,441 INFO ofi_order_1: 5.657303522984236e-05 , std 5.310318458124204e-05 
2023-04-20 05:05:41,441 INFO ofi_order_2: 0.00014796396362953427 , std 9.246976233163804e-05 
2023-04-20 05:05:41,441 INFO ofi_order_3: 8.511451734803e-05 , std 7.247053348239964e-05 
2023-04-20 05:05:41,441 INFO ofi_order_4: 0.0002421501758418826 , std 0.0001442936632473327 
2023-04-20 05:05:41,441 INFO ofi_order_5: 0.0002572749337302116 , std 0.00016736962156107933 
2023-04-20 05:05:41,441 INFO ofi_order_6: 0.00026030328812970426 , std 0.00016989442579141514 
2023-04-20 05:05:41,441 INFO ofi_order_7: 0.000204733381240417 , std 0.00016085788039151087 
2023-04-20 05:05:41,441 INFO ofi_order_8: 0.00018475703423156495 , std 0.0001444301622407695 
2023-04-20 05:05:41,441 INFO ofi_order_9: 0.00013484234227343847 , std 0.00012763998738870295 
2023-04-20 05:05:41,441 INFO ofi_order_10: 0.00012723425067651166 , std 0.00012580959196437569 
2023-04-20 05:05:41,441 INFO ofi_trade_1: 2.6084468604421928e-05 , std 5.999532766205576e-05 
2023-04-20 05:05:41,441 INFO ofi_trade_2: 0.00018345887396208188 , std 0.0001288982640349343 
2023-04-20 05:05:41,441 INFO ofi_trade_3: 0.00016498982586355085 , std 0.00012412687101180116 
2023-04-20 05:05:41,441 INFO ofi_trade_4: 0.00024141107049383125 , std 0.0001595310924179317 
2023-04-20 05:05:41,441 INFO ofi_trade_5: 0.00023278382789596424 , std 0.00016651757630943296 
2023-04-20 05:05:41,441 INFO ofi_trade_6: 0.00021869120661258796 , std 0.00016716606688827251 
2023-04-20 05:05:41,441 INFO ofi_trade_7: 0.00016997847710281146 , std 0.00014918464971576457 
2023-04-20 05:05:41,441 INFO ofi_trade_8: 0.00015027789911136662 , std 0.00013890301349177975 
2023-04-20 05:05:41,441 INFO ofi_trade_9: 0.00012523491542842485 , std 0.00012669129846337553 
2023-04-20 05:05:41,441 INFO ofi_trade_10: 0.00011515160608154549 , std 0.00012519043714640432 
2023-04-20 05:05:41,441 INFO t_intercept: -0.026565235427800662 , std 1.0367170585371461 
2023-04-20 05:05:41,441 INFO t_ofi_order_1: 4.501801515473882 , std 2.4601887749585845 
2023-04-20 05:05:41,441 INFO t_ofi_order_2: 4.616484155064833 , std 2.5822885129816617 
2023-04-20 05:05:41,441 INFO t_ofi_order_3: 3.199441401123105 , std 2.3604717670364885 
2023-04-20 05:05:41,441 INFO t_ofi_order_4: 4.886274977985939 , std 2.855071572781058 
2023-04-20 05:05:41,441 INFO t_ofi_order_5: 4.3585878228466495 , std 3.0281244924251705 
2023-04-20 05:05:41,441 INFO t_ofi_order_6: 4.584254173276413 , std 3.66201339114336 
2023-04-20 05:05:41,441 INFO t_ofi_order_7: 3.61968551838585 , std 3.2977009136754227 
2023-04-20 05:05:41,441 INFO t_ofi_order_8: 3.5270223475962137 , std 3.4291875373253102 
2023-04-20 05:05:41,441 INFO t_ofi_order_9: 2.8302578212505067 , std 3.286403471761624 
2023-04-20 05:05:41,442 INFO t_ofi_order_10: 2.8137326063933443 , std 3.3712061033993574 
2023-04-20 05:05:41,442 INFO t_ofi_trade_1: 0.5703357120368416 , std 1.335163402216695 
2023-04-20 05:05:41,442 INFO t_ofi_trade_2: 3.94742213438541 , std 2.860081877632022 
