2023-04-20 05:53:35,645 INFO Tickers: ['BSX']
2023-04-20 05:54:24,485 INFO Negative OS: -0.509612848335621 --- ticker BSX --- day 2017-07-27 --- time 39600
2023-04-20 05:58:56,574 INFO in_r2: 0.9899532829369605 , std 0.011061610850756017 
2023-04-20 05:58:56,574 INFO os_r2: 0.9796000260215731 , std 0.036815016445873636 
2023-04-20 05:58:56,575 INFO intercept: 3.164100781936029e-08 , std 2.9135490617813673e-06 
2023-04-20 05:58:56,575 INFO ofi_order_1: 5.809201837559357e-05 , std 5.036636606737031e-05 
2023-04-20 05:58:56,575 INFO ofi_order_2: 0.00010172504886781707 , std 6.729432814837669e-05 
2023-04-20 05:58:56,575 INFO ofi_order_3: 0.00014262779771245557 , std 8.144915081247202e-05 
2023-04-20 05:58:56,575 INFO ofi_order_4: 0.00017450797497785137 , std 0.0001009678742948333 
2023-04-20 05:58:56,575 INFO ofi_order_5: 0.00019014247289308038 , std 0.00012520795978430952 
2023-04-20 05:58:56,575 INFO ofi_order_6: 0.00019455738750890904 , std 0.00012140849089495617 
2023-04-20 05:58:56,575 INFO ofi_order_7: 0.00017944823885023315 , std 0.00012662175127562482 
2023-04-20 05:58:56,575 INFO ofi_order_8: 0.0001425009133138395 , std 0.00011759212218199303 
2023-04-20 05:58:56,575 INFO ofi_order_9: 0.00012031381831124147 , std 0.00011644568456008596 
2023-04-20 05:58:56,575 INFO ofi_order_10: 0.00011978447842623158 , std 0.00012523746227979823 
2023-04-20 05:58:56,575 INFO ofi_trade_1: 3.8699791532012355e-05 , std 7.760227892722495e-05 
2023-04-20 05:58:56,575 INFO ofi_trade_2: 0.0001263328581716171 , std 0.00012310286833240602 
2023-04-20 05:58:56,575 INFO ofi_trade_3: 0.0001620037666812266 , std 0.00013259119155658463 
2023-04-20 05:58:56,575 INFO ofi_trade_4: 0.00018964490034444872 , std 0.0001430867561807028 
2023-04-20 05:58:56,575 INFO ofi_trade_5: 0.00019252020745525218 , std 0.0001474687085897635 
2023-04-20 05:58:56,575 INFO ofi_trade_6: 0.0001823003493491293 , std 0.00014819392286847142 
2023-04-20 05:58:56,575 INFO ofi_trade_7: 0.00015025034936194204 , std 0.00014097685960469557 
2023-04-20 05:58:56,575 INFO ofi_trade_8: 0.00012402113819978127 , std 0.00013810394583207793 
2023-04-20 05:58:56,575 INFO ofi_trade_9: 0.00010881448697585433 , std 0.0001278540622757338 
2023-04-20 05:58:56,575 INFO ofi_trade_10: 0.00010332897424311074 , std 0.00013064402134877699 
2023-04-20 05:58:56,575 INFO t_intercept: 0.020124140031112427 , std 0.949384370424844 
2023-04-20 05:58:56,575 INFO t_ofi_order_1: 2.9842995912505574 , std 2.178899716163227 
2023-04-20 05:58:56,575 INFO t_ofi_order_2: 2.8923770716352886 , std 1.8562964830688948 
2023-04-20 05:58:56,575 INFO t_ofi_order_3: 3.4445979335453574 , std 2.007210346368199 
2023-04-20 05:58:56,575 INFO t_ofi_order_4: 3.6538706416460327 , std 2.199610246787911 
2023-04-20 05:58:56,575 INFO t_ofi_order_5: 3.530049479145005 , std 2.274412727624624 
2023-04-20 05:58:56,575 INFO t_ofi_order_6: 3.344488343646984 , std 2.145720054195664 
2023-04-20 05:58:56,575 INFO t_ofi_order_7: 2.8467179679385604 , std 2.1359371159400693 
2023-04-20 05:58:56,575 INFO t_ofi_order_8: 2.2136543549249796 , std 2.0295992436137498 
2023-04-20 05:58:56,575 INFO t_ofi_order_9: 1.957844153741527 , std 2.00869027813312 
2023-04-20 05:58:56,575 INFO t_ofi_order_10: 2.0157920835090115 , std 2.1742340836263003 
2023-04-20 05:58:56,575 INFO t_ofi_trade_1: 0.6653704555574229 , std 1.2697559640075982 
2023-04-20 05:58:56,575 INFO t_ofi_trade_2: 2.053358461295312 , std 1.9364972415438426 
