2023-04-20 05:12:43,471 INFO Tickers: ['C']
2023-04-20 05:20:03,904 INFO in_r2: 0.9769410568565214 , std 0.012783516398507572 
2023-04-20 05:20:03,905 INFO os_r2: 0.9644982070624638 , std 0.02753769518310546 
2023-04-20 05:20:03,905 INFO intercept: 3.234476391533118e-07 , std 3.134492024072573e-06 
2023-04-20 05:20:03,905 INFO ofi_order_1: 3.4890326544517954e-05 , std 3.281924507570087e-05 
2023-04-20 05:20:03,905 INFO ofi_order_2: 6.626059017621566e-05 , std 4.7004644617009415e-05 
2023-04-20 05:20:03,905 INFO ofi_order_3: 7.106229667772135e-05 , std 4.802965967108714e-05 
2023-04-20 05:20:03,905 INFO ofi_order_4: 6.758815820326801e-05 , std 4.900411033626073e-05 
2023-04-20 05:20:03,905 INFO ofi_order_5: 5.64494710346819e-05 , std 4.813596409848849e-05 
2023-04-20 05:20:03,905 INFO ofi_order_6: 8.937313930730862e-05 , std 5.9523718624118775e-05 
2023-04-20 05:20:03,905 INFO ofi_order_7: 9.690094337884441e-05 , std 6.722609703110541e-05 
2023-04-20 05:20:03,905 INFO ofi_order_8: 8.751297364993197e-05 , std 6.971828588621802e-05 
2023-04-20 05:20:03,905 INFO ofi_order_9: 6.782831459503262e-05 , std 6.343781248782199e-05 
2023-04-20 05:20:03,905 INFO ofi_order_10: 7.620281621739294e-05 , std 7.116850752702698e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_1: 1.6074773332986727e-05 , std 4.6293758071888485e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_2: 6.10948756155546e-05 , std 6.061538390780853e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_3: 7.746785938627798e-05 , std 6.339918452452475e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_4: 7.108208845822537e-05 , std 5.951285025855845e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_5: 6.364633647631282e-05 , std 5.762460927670834e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_6: 8.976978055425251e-05 , std 6.874249105245868e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_7: 9.017870085926693e-05 , std 7.447877542326451e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_8: 7.590426886711662e-05 , std 7.429555221614452e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_9: 6.290846161215868e-05 , std 7.027012133169324e-05 
2023-04-20 05:20:03,905 INFO ofi_trade_10: 5.978475989436325e-05 , std 7.063692677925376e-05 
2023-04-20 05:20:03,905 INFO t_intercept: 0.09638517182728207 , std 1.038848418735891 
2023-04-20 05:20:03,905 INFO t_ofi_order_1: 1.5937761214654897 , std 1.4140356077644405 
2023-04-20 05:20:03,905 INFO t_ofi_order_2: 1.9059510633199739 , std 1.3477220705672106 
2023-04-20 05:20:03,905 INFO t_ofi_order_3: 2.0981312187511 , std 1.416605568072902 
2023-04-20 05:20:03,905 INFO t_ofi_order_4: 2.1543133397895042 , std 1.4746273608612726 
2023-04-20 05:20:03,905 INFO t_ofi_order_5: 1.8755666118014038 , std 1.427005969251918 
2023-04-20 05:20:03,905 INFO t_ofi_order_6: 2.2935426682198776 , std 1.5692645035621178 
2023-04-20 05:20:03,905 INFO t_ofi_order_7: 2.0748349062540337 , std 1.464487874474381 
2023-04-20 05:20:03,905 INFO t_ofi_order_8: 1.7467633536188174 , std 1.418841580875301 
2023-04-20 05:20:03,905 INFO t_ofi_order_9: 1.4209193213113909 , std 1.412275627417399 
2023-04-20 05:20:03,905 INFO t_ofi_order_10: 1.7336248969369839 , std 1.721782546131498 
2023-04-20 05:20:03,905 INFO t_ofi_trade_1: 0.3219717062337109 , std 0.8125995182608962 
2023-04-20 05:20:03,905 INFO t_ofi_trade_2: 1.2331037277421077 , std 1.2457839785158793 
2023-04-20 05:20:03,905 INFO t_ofi_trade_3: 1.6167824396216266 , std 1.363962043099537 
2023-04-20 05:20:03,905 INFO t_ofi_trade_4: 1.6079383890860206 , std 1.354292152856116 
2023-04-20 05:20:03,905 INFO t_ofi_trade_5: 1.541758504069195 , std 1.3731220549661836 
2023-04-20 05:20:03,905 INFO t_ofi_trade_6: 1.8186939207140416 , std 1.4459084361587753 
2023-04-20 05:20:03,905 INFO t_ofi_trade_7: 1.5984673230105904 , std 1.3605217326074255 
2023-04-20 05:20:03,905 INFO t_ofi_trade_8: 1.3089412231999211 , std 1.3242608968643728 
2023-04-20 05:20:03,905 INFO t_ofi_trade_9: 1.118970862262345 , std 1.3042146495433398 
2023-04-20 05:20:03,905 INFO t_ofi_trade_10: 1.2913217074041266 , std 1.6456540641233626 
2023-04-20 05:20:03,905 INFO p_intercept: 0.492911101810984 , std 0.2931328466893965 
2023-04-20 05:20:03,905 INFO p_ofi_order_1: 0.31697411760136746 , std 0.3560499482232539 
2023-04-20 05:20:03,905 INFO p_ofi_order_2: 0.237992040541329 , std 0.31697040081052186 
2023-04-20 05:20:03,905 INFO p_ofi_order_3: 0.20327646610648165 , std 0.2970414042495725 
2023-04-20 05:20:03,906 INFO p_ofi_order_4: 0.20125286575157228 , std 0.29904202636360333 
2023-04-20 05:20:03,906 INFO p_ofi_order_5: 0.25771423717652986 , std 0.3298202479757187 
2023-04-20 05:20:03,906 INFO p_ofi_order_6: 0.19323672646497556 , std 0.30024097371153424 
2023-04-20 05:20:03,906 INFO p_ofi_order_7: 0.2233812122261456 , std 0.3208792684608826 
2023-04-20 05:20:03,906 INFO p_ofi_order_8: 0.30010464846442175 , std 0.36006571864205755 
2023-04-20 05:20:03,906 INFO p_ofi_order_9: 0.4030764831902927 , std 0.39479658845686977 
2023-04-20 05:20:03,906 INFO p_ofi_order_10: 0.3701939780814865 , std 0.40306356017723255 
2023-04-20 05:20:03,906 INFO p_ofi_trade_1: 0.7904951792883397 , std 0.34197517127077853 
2023-04-20 05:20:03,906 INFO p_ofi_trade_2: 0.4386866776844065 , std 0.3955827791473466 
2023-04-20 05:20:03,906 INFO p_ofi_trade_3: 0.3211913143054617 , std 0.361937930484317 
2023-04-20 05:20:03,906 INFO p_ofi_trade_4: 0.3186971614793658 , std 0.35903123531919107 
2023-04-20 05:20:03,906 INFO p_ofi_trade_5: 0.34368180062443776 , std 0.3682096271425049 
2023-04-20 05:20:03,906 INFO p_ofi_trade_6: 0.2858206170484022 , std 0.35383989478841776 
2023-04-20 05:20:03,906 INFO p_ofi_trade_7: 0.334831500085929 , std 0.3726066918294102 
2023-04-20 05:20:03,906 INFO p_ofi_trade_8: 0.43126085307672407 , std 0.3996195105292732 
2023-04-20 05:20:03,906 INFO p_ofi_trade_9: 0.5013112133337276 , std 0.4098120741265861 
2023-04-20 05:20:03,906 INFO p_ofi_trade_10: 0.507781901021374 , std 0.43062741053868364 
