2023-04-20 05:42:56,211 INFO Tickers: ['CAT']
2023-04-20 05:48:34,073 INFO in_r2: 0.9075917829111512 , std 0.04614037105570475 
2023-04-20 05:48:34,073 INFO os_r2: 0.883544433174041 , std 0.06524655304010388 
2023-04-20 05:48:34,074 INFO intercept: -4.150574343698819e-08 , std 7.915996824111618e-06 
2023-04-20 05:48:34,074 INFO ofi_order_1: 7.274607043505922e-05 , std 5.834082708775715e-05 
2023-04-20 05:48:34,074 INFO ofi_order_2: 8.922212175613035e-05 , std 5.7164652234665186e-05 
2023-04-20 05:48:34,074 INFO ofi_order_3: 6.200509164445525e-05 , std 5.035784840613539e-05 
2023-04-20 05:48:34,074 INFO ofi_order_4: 4.773199642955171e-05 , std 4.364728430126414e-05 
2023-04-20 05:48:34,074 INFO ofi_order_5: 3.7424539804141124e-05 , std 4.046985032228557e-05 
2023-04-20 05:48:34,074 INFO ofi_order_6: 3.4951902225909507e-05 , std 4.0789396429366004e-05 
2023-04-20 05:48:34,074 INFO ofi_order_7: 3.210195068810833e-05 , std 3.9401705355589e-05 
2023-04-20 05:48:34,074 INFO ofi_order_8: 3.335130399453113e-05 , std 4.073431319479486e-05 
2023-04-20 05:48:34,074 INFO ofi_order_9: 3.066772665635427e-05 , std 3.982119170924361e-05 
2023-04-20 05:48:34,074 INFO ofi_order_10: 3.622595204651033e-05 , std 4.305579544335585e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_1: 3.5748815031482494e-05 , std 7.565886231691386e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_2: 6.523124849549634e-05 , std 8.462560915408092e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_3: 5.527322753060702e-05 , std 7.155978650150745e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_4: 4.984239605784112e-05 , std 6.649766385879287e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_5: 4.4640997665888555e-05 , std 6.293070116383992e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_6: 4.3631647887101325e-05 , std 6.0446767037270305e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_7: 4.232358620480025e-05 , std 6.294600948388039e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_8: 4.466703442736389e-05 , std 6.448065185978107e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_9: 4.353775809378631e-05 , std 6.627789504931386e-05 
2023-04-20 05:48:34,074 INFO ofi_trade_10: 5.048441316560109e-05 , std 7.328144633424679e-05 
2023-04-20 05:48:34,074 INFO t_intercept: -0.016301088742504494 , std 0.9668627954869045 
2023-04-20 05:48:34,074 INFO t_ofi_order_1: 1.8597209766098868 , std 1.2769141692650026 
2023-04-20 05:48:34,074 INFO t_ofi_order_2: 2.0622476887594456 , std 1.1483705622815104 
2023-04-20 05:48:34,074 INFO t_ofi_order_3: 1.4150823832017816 , std 1.015720204601902 
2023-04-20 05:48:34,074 INFO t_ofi_order_4: 1.1428435113199356 , std 0.955696635981767 
2023-04-20 05:48:34,074 INFO t_ofi_order_5: 0.9201543381591492 , std 0.9242932807106649 
2023-04-20 05:48:34,074 INFO t_ofi_order_6: 0.8484280185511036 , std 0.8815242611663089 
2023-04-20 05:48:34,074 INFO t_ofi_order_7: 0.7543845733273343 , std 0.8529518031313029 
2023-04-20 05:48:34,074 INFO t_ofi_order_8: 0.7405366172704959 , std 0.8374941453102254 
2023-04-20 05:48:34,074 INFO t_ofi_order_9: 0.6415744004955337 , std 0.8009450669927615 
2023-04-20 05:48:34,074 INFO t_ofi_order_10: 0.879931651902836 , std 0.9927128581397432 
2023-04-20 05:48:34,074 INFO t_ofi_trade_1: 0.39480598744188905 , std 0.780132605578163 
2023-04-20 05:48:34,074 INFO t_ofi_trade_2: 0.7369872072913186 , std 0.8938346145140291 
2023-04-20 05:48:34,074 INFO t_ofi_trade_3: 0.6833508103180983 , std 0.8311854225939984 
2023-04-20 05:48:34,074 INFO t_ofi_trade_4: 0.6648053523767472 , std 0.8127559052504472 
2023-04-20 05:48:34,074 INFO t_ofi_trade_5: 0.6174383659478118 , std 0.8019330174866285 
2023-04-20 05:48:34,074 INFO t_ofi_trade_6: 0.6045438462340157 , std 0.7733778169182713 
2023-04-20 05:48:34,074 INFO t_ofi_trade_7: 0.5528889659582789 , std 0.7360432092186578 
2023-04-20 05:48:34,074 INFO t_ofi_trade_8: 0.5602812451045155 , std 0.7334722107783705 
2023-04-20 05:48:34,074 INFO t_ofi_trade_9: 0.5257233350546981 , std 0.7215769094155448 
2023-04-20 05:48:34,074 INFO t_ofi_trade_10: 0.6507528193123868 , std 0.8701125154462025 
2023-04-20 05:48:34,074 INFO p_intercept: 0.5177908126627757 , std 0.28508341664065184 
2023-04-20 05:48:34,074 INFO p_ofi_order_1: 0.2409500897201323 , std 0.32301421227564175 
2023-04-20 05:48:34,074 INFO p_ofi_order_2: 0.17162167731765218 , std 0.26711096530059353 
2023-04-20 05:48:34,074 INFO p_ofi_order_3: 0.31761281844946987 , std 0.33652550105182555 
2023-04-20 05:48:34,074 INFO p_ofi_order_4: 0.40206509598616114 , std 0.3566761873923489 
2023-04-20 05:48:34,074 INFO p_ofi_order_5: 0.48282445832194915 , std 0.36547024868356803 
2023-04-20 05:48:34,074 INFO p_ofi_order_6: 0.5083472963992994 , std 0.36169349696471664 
2023-04-20 05:48:34,075 INFO p_ofi_order_7: 0.5492267538128036 , std 0.3625232414987771 
2023-04-20 05:48:34,075 INFO p_ofi_order_8: 0.5583116838252942 , std 0.3629204388142938 
2023-04-20 05:48:34,075 INFO p_ofi_order_9: 0.6007356102445681 , std 0.35948622785867823 
2023-04-20 05:48:34,075 INFO p_ofi_order_10: 0.5206421290191575 , std 0.3806369415737769 
2023-04-20 05:48:34,075 INFO p_ofi_trade_1: 0.7658357881951856 , std 0.34924335011339513 
2023-04-20 05:48:34,075 INFO p_ofi_trade_2: 0.5953809372742136 , std 0.3874480869972976 
2023-04-20 05:48:34,075 INFO p_ofi_trade_3: 0.6062365530998776 , std 0.3742476064930914 
2023-04-20 05:48:34,075 INFO p_ofi_trade_4: 0.6019910647672062 , std 0.36986018083960925 
2023-04-20 05:48:34,075 INFO p_ofi_trade_5: 0.6242175248540792 , std 0.3658442605844442 
2023-04-20 05:48:34,075 INFO p_ofi_trade_6: 0.6289501521729877 , std 0.3610931529692069 
2023-04-20 05:48:34,075 INFO p_ofi_trade_7: 0.6516803500863805 , std 0.3545645209753881 
2023-04-20 05:48:34,075 INFO p_ofi_trade_8: 0.6507481122010949 , std 0.3567800938680371 
2023-04-20 05:48:34,075 INFO p_ofi_trade_9: 0.6755472499465329 , std 0.35364200688316866 
2023-04-20 05:48:34,075 INFO p_ofi_trade_10: 0.6332254784873707 , std 0.3779858194484102 
