2023-04-20 05:48:05,298 INFO Tickers: ['CME']
2023-04-20 05:48:26,595 INFO Negative OS: -0.056255155096287535 --- ticker CME --- day 2017-05-03 --- time 52200
2023-04-20 05:48:56,022 INFO Negative OS: -0.34494753510276044 --- ticker CME --- day 2018-03-15 --- time 45000
2023-04-20 05:49:07,002 INFO Negative OS: -0.011468385281603544 --- ticker CME --- day 2018-05-10 --- time 50400
2023-04-20 05:49:33,002 INFO Negative OS: -1.2381427211880132 --- ticker CME --- day 2018-10-24 --- time 41400
2023-04-20 05:49:42,243 INFO Negative OS: -0.06574231122719576 --- ticker CME --- day 2018-11-27 --- time 52200
2023-04-20 05:49:48,224 INFO Negative OS: -0.5563108033034407 --- ticker CME --- day 2018-12-20 --- time 45000
2023-04-20 05:49:51,774 INFO Negative OS: -0.2894584405220555 --- ticker CME --- day 2019-01-04 --- time 41400
2023-04-20 05:49:56,724 INFO Negative OS: -1.5195399953303257 --- ticker CME --- day 2019-02-04 --- time 36000
2023-04-20 05:50:02,364 INFO Negative OS: -11.079523866009282 --- ticker CME --- day 2019-03-01 --- time 39600
2023-04-20 05:50:19,545 INFO Negative OS: -0.7766288673445205 --- ticker CME --- day 2019-05-14 --- time 48600
2023-04-20 05:50:46,850 INFO in_r2: 0.827889503619624 , std 0.08241269957546782 
2023-04-20 05:50:46,850 INFO os_r2: 0.7589666801935413 , std 0.2731965143950851 
2023-04-20 05:50:46,850 INFO intercept: 3.102754558833729e-07 , std 1.1081483321499379e-05 
2023-04-20 05:50:46,850 INFO ofi_order_1: 7.09225763441068e-05 , std 5.4717069912534744e-05 
2023-04-20 05:50:46,850 INFO ofi_order_2: 9.300982721726446e-05 , std 6.44731559778126e-05 
2023-04-20 05:50:46,850 INFO ofi_order_3: 7.465139880865887e-05 , std 5.983117879732272e-05 
2023-04-20 05:50:46,850 INFO ofi_order_4: 4.5176064569480224e-05 , std 5.020724713057716e-05 
2023-04-20 05:50:46,850 INFO ofi_order_5: 3.263326324102393e-05 , std 4.738535677947782e-05 
2023-04-20 05:50:46,850 INFO ofi_order_6: 2.717634957907987e-05 , std 4.612459684538724e-05 
2023-04-20 05:50:46,850 INFO ofi_order_7: 2.6193661620173512e-05 , std 5.06260670076754e-05 
2023-04-20 05:50:46,850 INFO ofi_order_8: 2.222974801112884e-05 , std 4.90395633707553e-05 
2023-04-20 05:50:46,850 INFO ofi_order_9: 1.6679519687226474e-05 , std 4.6022329250642756e-05 
2023-04-20 05:50:46,850 INFO ofi_order_10: 1.6143929486381073e-05 , std 4.448628073916986e-05 
2023-04-20 05:50:46,850 INFO ofi_trade_1: 0.00010885217807018541 , std 0.00013490229670882475 
2023-04-20 05:50:46,850 INFO ofi_trade_2: 7.241312577474104e-05 , std 0.00010422213419943078 
2023-04-20 05:50:46,850 INFO ofi_trade_3: 5.905347689175364e-05 , std 9.251087282656285e-05 
2023-04-20 05:50:46,850 INFO ofi_trade_4: 4.362997067037657e-05 , std 8.008272872855058e-05 
2023-04-20 05:50:46,850 INFO ofi_trade_5: 3.716625096975e-05 , std 8.443522242980798e-05 
2023-04-20 05:50:46,850 INFO ofi_trade_6: 4.28115639505035e-05 , std 9.735479034877592e-05 
2023-04-20 05:50:46,850 INFO ofi_trade_7: 5.0268413276354206e-05 , std 0.00011003237930886483 
2023-04-20 05:50:46,850 INFO ofi_trade_8: 5.963468209639653e-05 , std 0.00011433964579229433 
2023-04-20 05:50:46,850 INFO ofi_trade_9: 6.313030122538303e-05 , std 0.00011935642713577249 
2023-04-20 05:50:46,850 INFO ofi_trade_10: 7.554820884089394e-05 , std 0.00012676883193783628 
2023-04-20 05:50:46,850 INFO t_intercept: 0.050989472034763166 , std 1.1595316009314058 
2023-04-20 05:50:46,850 INFO t_ofi_order_1: 2.4656407023750395 , std 1.606212204537517 
2023-04-20 05:50:46,850 INFO t_ofi_order_2: 2.341478667507578 , std 1.3208155612876191 
2023-04-20 05:50:46,850 INFO t_ofi_order_3: 1.6639397783249574 , std 1.1606629592385982 
2023-04-20 05:50:46,850 INFO t_ofi_order_4: 0.9794378343801295 , std 0.9731826256981669 
2023-04-20 05:50:46,850 INFO t_ofi_order_5: 0.674281639421011 , std 0.8470964855175785 
2023-04-20 05:50:46,850 INFO t_ofi_order_6: 0.518579707057385 , std 0.7765575836246146 
2023-04-20 05:50:46,850 INFO t_ofi_order_7: 0.4682103264918652 , std 0.7800379800554039 
2023-04-20 05:50:46,850 INFO t_ofi_order_8: 0.3928291440946793 , std 0.7123036636448671 
2023-04-20 05:50:46,850 INFO t_ofi_order_9: 0.2910755337199228 , std 0.66386247096838 
2023-04-20 05:50:46,850 INFO t_ofi_order_10: 0.34338126234414573 , std 0.8013981358053641 
2023-04-20 05:50:46,850 INFO t_ofi_trade_1: 1.3261080788450685 , std 1.3191195875020747 
2023-04-20 05:50:46,850 INFO t_ofi_trade_2: 0.8378917829973948 , std 1.006090681706652 
2023-04-20 05:50:46,851 INFO t_ofi_trade_3: 0.6759960778214472 , std 0.9107026748071448 
2023-04-20 05:50:46,851 INFO t_ofi_trade_4: 0.4865280800035115 , std 0.7807705280424667 
2023-04-20 05:50:46,851 INFO t_ofi_trade_5: 0.4069861171958107 , std 0.746886621981306 
2023-04-20 05:50:46,851 INFO t_ofi_trade_6: 0.4031701305911932 , std 0.7425015852723027 
2023-04-20 05:50:46,851 INFO t_ofi_trade_7: 0.4301964184231401 , std 0.7796835383012256 
2023-04-20 05:50:46,851 INFO t_ofi_trade_8: 0.4893938591447351 , std 0.765713578726318 
2023-04-20 05:50:46,851 INFO t_ofi_trade_9: 0.4904078597510917 , std 0.7809382482998323 
2023-04-20 05:50:46,851 INFO t_ofi_trade_10: 0.6625845051249784 , std 0.9427310103621419 
2023-04-20 05:50:46,851 INFO p_intercept: 0.4564410617508648 , std 0.29611731124591045 
2023-04-20 05:50:46,851 INFO p_ofi_order_1: 0.1658305533812068 , std 0.2837552478128884 
2023-04-20 05:50:46,851 INFO p_ofi_order_2: 0.15082838949649052 , std 0.26125360705194234 
2023-04-20 05:50:46,851 INFO p_ofi_order_3: 0.2724642823482043 , std 0.3313693524436764 
2023-04-20 05:50:46,851 INFO p_ofi_order_4: 0.4825611775786378 , std 0.3797368858521766 
2023-04-20 05:50:46,851 INFO p_ofi_order_5: 0.5913320760784995 , std 0.3692511797404425 
2023-04-20 05:50:46,851 INFO p_ofi_order_6: 0.6537902776377413 , std 0.3559844105701885 
2023-04-20 05:50:46,851 INFO p_ofi_order_7: 0.6834013955770355 , std 0.350885805671268 
2023-04-20 05:50:46,851 INFO p_ofi_order_8: 0.7158512216937827 , std 0.3416105246317402 
2023-04-20 05:50:46,851 INFO p_ofi_order_9: 0.7581442989259332 , std 0.3234890266549706 
2023-04-20 05:50:46,851 INFO p_ofi_order_10: 0.7303795592901193 , std 0.34628871071748546 
