2023-04-20 05:48:59,462 INFO Tickers: ['COP']
2023-04-20 05:53:32,718 INFO in_r2: 0.9634297327704131 , std 0.028770037970750933 
2023-04-20 05:53:32,718 INFO os_r2: 0.95216916189589 , std 0.04266306750844592 
2023-04-20 05:53:32,718 INFO intercept: -1.1961803618516093e-07 , std 6.050319082645881e-06 
2023-04-20 05:53:32,718 INFO ofi_order_1: 4.748428168362209e-05 , std 4.637730605907077e-05 
2023-04-20 05:53:32,718 INFO ofi_order_2: 8.265027522954566e-05 , std 5.7906659044851364e-05 
2023-04-20 05:53:32,718 INFO ofi_order_3: 9.145420187393496e-05 , std 5.5224487960500834e-05 
2023-04-20 05:53:32,718 INFO ofi_order_4: 9.807399108623064e-05 , std 5.8924539352168254e-05 
2023-04-20 05:53:32,718 INFO ofi_order_5: 8.85166429845302e-05 , std 5.751801104872504e-05 
2023-04-20 05:53:32,718 INFO ofi_order_6: 8.157505392472276e-05 , std 5.505223192474378e-05 
2023-04-20 05:53:32,718 INFO ofi_order_7: 7.613443084299951e-05 , std 5.710166087943087e-05 
2023-04-20 05:53:32,718 INFO ofi_order_8: 6.875500774246196e-05 , std 5.8886385545593896e-05 
2023-04-20 05:53:32,718 INFO ofi_order_9: 6.120270202498384e-05 , std 5.9912321840581744e-05 
2023-04-20 05:53:32,718 INFO ofi_order_10: 5.988879778153133e-05 , std 6.21225003205932e-05 
2023-04-20 05:53:32,718 INFO ofi_trade_1: 4.0269008858220164e-05 , std 7.751850699760574e-05 
2023-04-20 05:53:32,718 INFO ofi_trade_2: 7.546388907394467e-05 , std 7.84164139151376e-05 
2023-04-20 05:53:32,718 INFO ofi_trade_3: 8.848307348660706e-05 , std 7.494273831203273e-05 
2023-04-20 05:53:32,718 INFO ofi_trade_4: 9.678027601053603e-05 , std 7.71557627206363e-05 
2023-04-20 05:53:32,718 INFO ofi_trade_5: 8.99730267966539e-05 , std 7.528169523592197e-05 
2023-04-20 05:53:32,719 INFO ofi_trade_6: 8.379224354038885e-05 , std 7.700841641604365e-05 
2023-04-20 05:53:32,719 INFO ofi_trade_7: 7.522536024292457e-05 , std 7.636904529859758e-05 
2023-04-20 05:53:32,719 INFO ofi_trade_8: 6.957599972090351e-05 , std 7.548850043604874e-05 
2023-04-20 05:53:32,719 INFO ofi_trade_9: 6.960529002810914e-05 , std 8.14170157880973e-05 
2023-04-20 05:53:32,719 INFO ofi_trade_10: 7.250824804419427e-05 , std 8.629595727478338e-05 
2023-04-20 05:53:32,719 INFO t_intercept: -0.001991044967932729 , std 0.9938253945698485 
2023-04-20 05:53:32,719 INFO t_ofi_order_1: 1.6517664586228833 , std 1.4092676248983222 
2023-04-20 05:53:32,719 INFO t_ofi_order_2: 2.1829181255810255 , std 1.406467575365777 
2023-04-20 05:53:32,719 INFO t_ofi_order_3: 2.2724306714584577 , std 1.3702909574670221 
2023-04-20 05:53:32,719 INFO t_ofi_order_4: 2.327875649952029 , std 1.4494345586743098 
2023-04-20 05:53:32,719 INFO t_ofi_order_5: 2.0341099299146954 , std 1.4236889937488086 
2023-04-20 05:53:32,719 INFO t_ofi_order_6: 1.8765698905499932 , std 1.4296554117879332 
2023-04-20 05:53:32,719 INFO t_ofi_order_7: 1.6770778132129527 , std 1.4216765467241577 
