2023-04-20 05:24:31,781 INFO Tickers: ['COST']
2023-04-20 05:25:47,007 INFO Negative OS: -0.11108086496009983 --- ticker COST --- day 2017-12-01 --- time 52200
2023-04-20 05:26:19,512 INFO Negative OS: -0.2951133626654898 --- ticker COST --- day 2018-04-11 --- time 41400
2023-04-20 05:26:23,645 INFO Negative OS: -0.3164268021970069 --- ticker COST --- day 2018-04-27 --- time 43200
2023-04-20 05:26:30,128 INFO Negative OS: -0.13468931295415443 --- ticker COST --- day 2018-05-22 --- time 48600
2023-04-20 05:27:04,604 INFO Negative OS: -1.9801975827096405 --- ticker COST --- day 2018-09-26 --- time 41400
2023-04-20 05:27:07,127 INFO Negative OS: -0.12496801185709527 --- ticker COST --- day 2018-10-03 --- time 41400
2023-04-20 05:27:57,734 INFO Negative OS: -2.3515523243239826 --- ticker COST --- day 2019-02-28 --- time 45000
2023-04-20 05:27:58,171 INFO Negative OS: -0.040529092068411376 --- ticker COST --- day 2019-03-01 --- time 45000
2023-04-20 05:29:12,647 INFO Negative OS: -0.18089025067766817 --- ticker COST --- day 2019-11-19 --- time 41400
2023-04-20 05:29:13,208 INFO Negative OS: -0.059714335063566715 --- ticker COST --- day 2019-11-20 --- time 43200
2023-04-20 05:29:19,730 INFO in_r2: 0.8438630656610536 , std 0.06301289176160914 
2023-04-20 05:29:19,731 INFO os_r2: 0.7921828526240527 , std 0.11540312250396882 
2023-04-20 05:29:19,731 INFO intercept: 2.787566462887746e-07 , std 8.00895525746713e-06 
2023-04-20 05:29:19,731 INFO ofi_order_1: 5.4912214322224585e-05 , std 4.081236414689017e-05 
2023-04-20 05:29:19,731 INFO ofi_order_2: 6.879055920456141e-05 , std 4.48517198162235e-05 
2023-04-20 05:29:19,731 INFO ofi_order_3: 5.113315653360353e-05 , std 4.072295467870876e-05 
2023-04-20 05:29:19,731 INFO ofi_order_4: 3.594264995776639e-05 , std 3.501784215607948e-05 
2023-04-20 05:29:19,731 INFO ofi_order_5: 2.617158770526272e-05 , std 3.068123458909854e-05 
2023-04-20 05:29:19,731 INFO ofi_order_6: 2.1927610018633614e-05 , std 2.9397049011435698e-05 
2023-04-20 05:29:19,731 INFO ofi_order_7: 2.007949874449889e-05 , std 2.9108452698575888e-05 
2023-04-20 05:29:19,731 INFO ofi_order_8: 1.7150583546394617e-05 , std 2.8558176372179756e-05 
2023-04-20 05:29:19,731 INFO ofi_order_9: 1.4798381321866865e-05 , std 2.7112845285451413e-05 
2023-04-20 05:29:19,731 INFO ofi_order_10: 1.5785749442069396e-05 , std 2.8052220807803375e-05 
2023-04-20 05:29:19,731 INFO ofi_trade_1: 4.923933124014264e-05 , std 7.185146563409493e-05 
2023-04-20 05:29:19,731 INFO ofi_trade_2: 5.315384291532815e-05 , std 6.930177218822208e-05 
2023-04-20 05:29:19,731 INFO ofi_trade_3: 4.7020544662369263e-05 , std 6.40502285695289e-05 
2023-04-20 05:29:19,731 INFO ofi_trade_4: 3.674067930202961e-05 , std 5.486254728798361e-05 
2023-04-20 05:29:19,731 INFO ofi_trade_5: 3.349327268715839e-05 , std 5.423479514081004e-05 
2023-04-20 05:29:19,731 INFO ofi_trade_6: 3.110520110816828e-05 , std 5.20925682921349e-05 
2023-04-20 05:29:19,731 INFO ofi_trade_7: 3.222798129474787e-05 , std 5.2119015638817505e-05 
2023-04-20 05:29:19,731 INFO ofi_trade_8: 3.4366858989237856e-05 , std 5.457242173735227e-05 
