2023-04-20 05:19:46,482 INFO Tickers: ['CRM']
2023-04-20 05:21:47,336 INFO Negative OS: -0.05681902470693312 --- ticker CRM --- day 2018-02-28 --- time 41400
2023-04-20 05:22:08,073 INFO Negative OS: -0.27587943414005256 --- ticker CRM --- day 2018-05-07 --- time 39600
2023-04-20 05:25:31,992 INFO in_r2: 0.8853749524784907 , std 0.057919526090890475 
2023-04-20 05:25:31,992 INFO os_r2: 0.8533749559478477 , std 0.08497981546942855 
2023-04-20 05:25:31,992 INFO intercept: 1.1618271028639237e-07 , std 9.207634476387168e-06 
2023-04-20 05:25:31,992 INFO ofi_order_1: 8.048176492245885e-05 , std 5.882684174992303e-05 
2023-04-20 05:25:31,992 INFO ofi_order_2: 9.786693886360142e-05 , std 6.011772556849858e-05 
2023-04-20 05:25:31,992 INFO ofi_order_3: 7.076030918787571e-05 , std 5.4360219447481374e-05 
2023-04-20 05:25:31,992 INFO ofi_order_4: 5.550784745666524e-05 , std 5.0493724024738024e-05 
2023-04-20 05:25:31,992 INFO ofi_order_5: 4.421297484846559e-05 , std 4.6890397808356074e-05 
2023-04-20 05:25:31,992 INFO ofi_order_6: 3.83693691414016e-05 , std 4.494766875100569e-05 
2023-04-20 05:25:31,992 INFO ofi_order_7: 3.260760355328129e-05 , std 4.336094788820786e-05 
2023-04-20 05:25:31,992 INFO ofi_order_8: 3.0371298467538947e-05 , std 4.276545003952612e-05 
2023-04-20 05:25:31,992 INFO ofi_order_9: 2.4586265649434374e-05 , std 3.983014498995849e-05 
2023-04-20 05:25:31,992 INFO ofi_order_10: 2.70372475889154e-05 , std 4.1257905583226146e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_1: 4.7961872538582304e-05 , std 8.276540508570772e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_2: 6.884717157738864e-05 , std 8.481237635595374e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_3: 5.8609859641817556e-05 , std 7.553534550717523e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_4: 5.134505541503016e-05 , std 7.043457644513819e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_5: 4.834860085179129e-05 , std 7.080490287552797e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_6: 4.842039475762358e-05 , std 7.086164704869626e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_7: 4.790138546778491e-05 , std 7.177828098496804e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_8: 4.87128395552245e-05 , std 7.45810458943245e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_9: 4.883933383741761e-05 , std 7.272728792526896e-05 
2023-04-20 05:25:31,992 INFO ofi_trade_10: 5.480364885603491e-05 , std 7.866923668057624e-05 
2023-04-20 05:25:31,992 INFO t_intercept: 0.022869091862565357 , std 1.0043634587277632 
2023-04-20 05:25:31,992 INFO t_ofi_order_1: 2.2158974788032384 , std 1.3492667215335719 
2023-04-20 05:25:31,992 INFO t_ofi_order_2: 2.272845282274147 , std 1.2443218235550062 
2023-04-20 05:25:31,992 INFO t_ofi_order_3: 1.5347786131112007 , std 1.0740955606065465 
2023-04-20 05:25:31,992 INFO t_ofi_order_4: 1.1780865597383339 , std 1.013994517623941 
2023-04-20 05:25:31,992 INFO t_ofi_order_5: 0.913310929342073 , std 0.9160971234700579 
2023-04-20 05:25:31,992 INFO t_ofi_order_6: 0.7878869670149672 , std 0.8730314809867734 
2023-04-20 05:25:31,992 INFO t_ofi_order_7: 0.6583115628397402 , std 0.8179302890890946 
2023-04-20 05:25:31,992 INFO t_ofi_order_8: 0.5899730821027306 , std 0.7773838717051283 
2023-04-20 05:25:31,992 INFO t_ofi_order_9: 0.48440354478938086 , std 0.7348400711332919 
2023-04-20 05:25:31,992 INFO t_ofi_order_10: 0.6489254071279058 , std 0.9351823265525768 
2023-04-20 05:25:31,992 INFO t_ofi_trade_1: 0.5838310514938438 , std 0.9118872215437092 
2023-04-20 05:25:31,992 INFO t_ofi_trade_2: 0.806840478004189 , std 0.9139932664532057 
2023-04-20 05:25:31,992 INFO t_ofi_trade_3: 0.7229330006067692 , std 0.8666446066731572 
2023-04-20 05:25:31,992 INFO t_ofi_trade_4: 0.6382650233537732 , std 0.8166145530305401 
2023-04-20 05:25:31,993 INFO t_ofi_trade_5: 0.5914597266715415 , std 0.7828445615289544 
2023-04-20 05:25:31,993 INFO t_ofi_trade_6: 0.5785894109283439 , std 0.7634806359891765 
2023-04-20 05:25:31,993 INFO t_ofi_trade_7: 0.5496933877184911 , std 0.7327149627543331 
2023-04-20 05:25:31,993 INFO t_ofi_trade_8: 0.5475996191299531 , std 0.7408590094255451 
2023-04-20 05:25:31,993 INFO t_ofi_trade_9: 0.5499719053358496 , std 0.7521844628970329 
2023-04-20 05:25:31,993 INFO t_ofi_trade_10: 0.6960049634193346 , std 0.9167757215741659 
2023-04-20 05:25:31,993 INFO p_intercept: 0.506867082270557 , std 0.2907297262200898 
2023-04-20 05:25:31,993 INFO p_ofi_order_1: 0.17780859607869137 , std 0.285374500364441 
2023-04-20 05:25:31,993 INFO p_ofi_order_2: 0.1454047923460199 , std 0.2448520043224488 
2023-04-20 05:25:31,993 INFO p_ofi_order_3: 0.28956643965644596 , std 0.3278983887804755 
2023-04-20 05:25:31,993 INFO p_ofi_order_4: 0.403459554430096 , std 0.36093946214351985 
2023-04-20 05:25:31,993 INFO p_ofi_order_5: 0.4968798496463442 , std 0.3681148442463525 
2023-04-20 05:25:31,993 INFO p_ofi_order_6: 0.5440399011676 , std 0.36714273558773236 
2023-04-20 05:25:31,993 INFO p_ofi_order_7: 0.5976517517483841 , std 0.36154876266345654 
2023-04-20 05:25:31,993 INFO p_ofi_order_8: 0.62880042271329 , std 0.353976855706959 
2023-04-20 05:25:31,993 INFO p_ofi_order_9: 0.6745349150761559 , std 0.34464203219546424 
2023-04-20 05:25:31,993 INFO p_ofi_order_10: 0.6072225114238118 , std 0.3752418440429764 
2023-04-20 05:25:31,993 INFO p_ofi_trade_1: 0.6773849084267181 , std 0.3829014331156229 
2023-04-20 05:25:31,993 INFO p_ofi_trade_2: 0.5650682607171149 , std 0.38737242361240265 
2023-04-20 05:25:31,993 INFO p_ofi_trade_3: 0.5950687386892766 , std 0.37911979020975073 
2023-04-20 05:25:31,993 INFO p_ofi_trade_4: 0.6245235578153759 , std 0.36971106270654414 
2023-04-20 05:25:31,993 INFO p_ofi_trade_5: 0.6411156628710248 , std 0.364359679923528 
2023-04-20 05:25:31,993 INFO p_ofi_trade_6: 0.651740652570837 , std 0.35935614578275393 
2023-04-20 05:25:31,993 INFO p_ofi_trade_7: 0.6586583284732309 , std 0.3549481444244671 
2023-04-20 05:25:31,993 INFO p_ofi_trade_8: 0.6675048102429791 , std 0.3558958749559812 
2023-04-20 05:25:31,993 INFO p_ofi_trade_9: 0.6682481812437348 , std 0.357927051076619 
2023-04-20 05:25:31,993 INFO p_ofi_trade_10: 0.6162648442635942 , std 0.37841918909888034 
