2023-04-20 05:36:22,972 INFO Tickers: ['DHR']
2023-04-20 05:37:58,969 INFO Negative OS: -2.602842182107694 --- ticker DHR --- day 2018-05-29 --- time 43200
2023-04-20 05:38:00,179 INFO Negative OS: -0.2008831234426618 --- ticker DHR --- day 2018-06-08 --- time 39600
2023-04-20 05:40:20,060 INFO in_r2: 0.8845626924094284 , std 0.06758592848105843 
2023-04-20 05:40:20,060 INFO os_r2: 0.8552286314298116 , std 0.10565823314279743 
2023-04-20 05:40:20,060 INFO intercept: -7.767435989482444e-07 , std 7.126712313965754e-06 
2023-04-20 05:40:20,060 INFO ofi_order_1: 7.733452491611031e-05 , std 7.049194725305337e-05 
2023-04-20 05:40:20,060 INFO ofi_order_2: 9.698825290096237e-05 , std 6.892327446287138e-05 
2023-04-20 05:40:20,060 INFO ofi_order_3: 6.93443456681507e-05 , std 5.5601808853997607e-05 
2023-04-20 05:40:20,060 INFO ofi_order_4: 5.730138594332307e-05 , std 5.4486427515197546e-05 
2023-04-20 05:40:20,060 INFO ofi_order_5: 4.6079242571416875e-05 , std 5.1232641363892e-05 
2023-04-20 05:40:20,060 INFO ofi_order_6: 4.3682558328761845e-05 , std 5.1425379170374795e-05 
2023-04-20 05:40:20,060 INFO ofi_order_7: 3.82629174749347e-05 , std 4.998522595071141e-05 
2023-04-20 05:40:20,060 INFO ofi_order_8: 3.441780679512236e-05 , std 5.0422823313071154e-05 
2023-04-20 05:40:20,060 INFO ofi_order_9: 2.7375511060220335e-05 , std 4.7820367301749365e-05 
2023-04-20 05:40:20,060 INFO ofi_order_10: 2.8777035094881434e-05 , std 4.959846038360352e-05 
2023-04-20 05:40:20,060 INFO ofi_trade_1: 5.161550991550061e-05 , std 0.00010397153575964833 
2023-04-20 05:40:20,060 INFO ofi_trade_2: 6.726676877012859e-05 , std 9.764365717630494e-05 
2023-04-20 05:40:20,060 INFO ofi_trade_3: 5.8984461815347184e-05 , std 8.944813992714352e-05 
2023-04-20 05:40:20,060 INFO ofi_trade_4: 5.902363413063175e-05 , std 8.749824630467396e-05 
2023-04-20 05:40:20,060 INFO ofi_trade_5: 5.4437372057925797e-05 , std 8.559229695564169e-05 
2023-04-20 05:40:20,060 INFO ofi_trade_6: 5.7692252877782254e-05 , std 9.309860298942611e-05 
2023-04-20 05:40:20,060 INFO ofi_trade_7: 5.2670031420090686e-05 , std 8.793241221992947e-05 
2023-04-20 05:40:20,061 INFO ofi_trade_8: 5.112509482779433e-05 , std 9.295626699403618e-05 
2023-04-20 05:40:20,061 INFO ofi_trade_9: 5.067470805785906e-05 , std 9.632550933716692e-05 
2023-04-20 05:40:20,061 INFO ofi_trade_10: 5.632171728623649e-05 , std 0.00010381059428437422 
2023-04-20 05:40:20,061 INFO t_intercept: -0.05871318170008848 , std 0.962888811706856 
2023-04-20 05:40:20,061 INFO t_ofi_order_1: 1.9939480500666427 , std 1.5202679046788323 
2023-04-20 05:40:20,061 INFO t_ofi_order_2: 2.1818818556955493 , std 1.3053856909940127 
2023-04-20 05:40:20,061 INFO t_ofi_order_3: 1.5213452175550253 , std 1.0798522442684864 
2023-04-20 05:40:20,061 INFO t_ofi_order_4: 1.2043436947078328 , std 1.0543377260534605 
2023-04-20 05:40:20,061 INFO t_ofi_order_5: 0.9333840575205319 , std 0.9687752001630684 
2023-04-20 05:40:20,061 INFO t_ofi_order_6: 0.8614391983430003 , std 0.9683261801155957 
2023-04-20 05:40:20,061 INFO t_ofi_order_7: 0.7241549528086795 , std 0.901086482183379 
2023-04-20 05:40:20,061 INFO t_ofi_order_8: 0.6328856775526762 , std 0.8587103670065394 
2023-04-20 05:40:20,061 INFO t_ofi_order_9: 0.504581654780617 , std 0.8220966857969494 
2023-04-20 05:40:20,061 INFO t_ofi_order_10: 0.5815653517100603 , std 0.944654279403356 
2023-04-20 05:40:20,061 INFO t_ofi_trade_1: 0.5150659695989976 , std 0.8877056420746552 
2023-04-20 05:40:20,061 INFO t_ofi_trade_2: 0.6930685703714969 , std 0.8841554358278981 
2023-04-20 05:40:20,061 INFO t_ofi_trade_3: 0.6432695655836943 , std 0.8370055748070666 
2023-04-20 05:40:20,061 INFO t_ofi_trade_4: 0.6428925188254057 , std 0.8369241355705366 
2023-04-20 05:40:20,061 INFO t_ofi_trade_5: 0.5756938791213535 , std 0.7922203028643562 
2023-04-20 05:40:20,061 INFO t_ofi_trade_6: 0.5736612050699846 , std 0.7936705703995721 
2023-04-20 05:40:20,061 INFO t_ofi_trade_7: 0.48599167730360776 , std 0.7244273916739482 
2023-04-20 05:40:20,061 INFO t_ofi_trade_8: 0.45130700665626877 , std 0.6935590285481246 
2023-04-20 05:40:20,061 INFO t_ofi_trade_9: 0.43188077022550303 , std 0.6919504304098337 
2023-04-20 05:40:20,061 INFO t_ofi_trade_10: 0.5013826429478697 , std 0.7771198984704007 
2023-04-20 05:40:20,061 INFO p_intercept: 0.5182887734112612 , std 0.28532401372608757 
2023-04-20 05:40:20,061 INFO p_ofi_order_1: 0.24325467369173223 , std 0.341595081294912 
2023-04-20 05:40:20,061 INFO p_ofi_order_2: 0.17741515701143284 , std 0.2814388148368104 
2023-04-20 05:40:20,061 INFO p_ofi_order_3: 0.29786366976204387 , std 0.3356725027144852 
2023-04-20 05:40:20,061 INFO p_ofi_order_4: 0.3958020687321359 , std 0.36321797532644806 
2023-04-20 05:40:20,061 INFO p_ofi_order_5: 0.49176495056950875 , std 0.37269851034309 
2023-04-20 05:40:20,061 INFO p_ofi_order_6: 0.5175602885888597 , std 0.3790790524987361 
2023-04-20 05:40:20,061 INFO p_ofi_order_7: 0.5706606196767144 , std 0.3733310266896118 
2023-04-20 05:40:20,061 INFO p_ofi_order_8: 0.6148681149254467 , std 0.3668494960440729 
2023-04-20 05:40:20,061 INFO p_ofi_order_9: 0.6637305476682143 , std 0.35737122339028443 
2023-04-20 05:40:20,061 INFO p_ofi_order_10: 0.6274394797487497 , std 0.3762015779581424 
2023-04-20 05:40:20,061 INFO p_ofi_trade_1: 0.7128402259487773 , std 0.37515073682743094 
2023-04-20 05:40:20,061 INFO p_ofi_trade_2: 0.611275003498817 , std 0.3854510308566248 
2023-04-20 05:40:20,061 INFO p_ofi_trade_3: 0.6235817718679647 , std 0.37480048982207914 
2023-04-20 05:40:20,061 INFO p_ofi_trade_4: 0.6253142600747019 , std 0.3768664262028049 
2023-04-20 05:40:20,061 INFO p_ofi_trade_5: 0.6535644283090887 , std 0.3646190304410141 
2023-04-20 05:40:20,061 INFO p_ofi_trade_6: 0.648360943391695 , std 0.3666699584372641 
2023-04-20 05:40:20,061 INFO p_ofi_trade_7: 0.6951256523590181 , std 0.3520338126332752 
2023-04-20 05:40:20,061 INFO p_ofi_trade_8: 0.7189407869898837 , std 0.34538847680207047 
2023-04-20 05:40:20,061 INFO p_ofi_trade_9: 0.7260770217748913 , std 0.3418172718713584 
2023-04-20 05:40:20,061 INFO p_ofi_trade_10: 0.7041351692224488 , std 0.3588998971935277 
