2023-04-20 05:04:52,191 INFO Tickers: ['HD']
2023-04-20 05:10:33,039 INFO Negative OS: -0.34294312734521215 --- ticker HD --- day 2019-09-25 --- time 36000
2023-04-20 05:10:43,113 INFO Negative OS: -0.03710692432362217 --- ticker HD --- day 2019-10-30 --- time 36000
2023-04-20 05:10:43,982 INFO Negative OS: -0.23481125900869082 --- ticker HD --- day 2019-11-01 --- time 36000
2023-04-20 05:10:54,237 INFO Negative OS: -4.7205825977515 --- ticker HD --- day 2019-12-05 --- time 45000
2023-04-20 05:10:57,276 INFO in_r2: 0.8781938378475711 , std 0.05146839909789005 
2023-04-20 05:10:57,276 INFO os_r2: 0.8504905002877312 , std 0.09833509050927161 
2023-04-20 05:10:57,276 INFO intercept: -1.2892529540829064e-07 , std 6.383780317009716e-06 
2023-04-20 05:10:57,276 INFO ofi_order_1: 6.062629713667153e-05 , std 4.421174022982854e-05 
2023-04-20 05:10:57,276 INFO ofi_order_2: 7.303699596578461e-05 , std 4.477756731913336e-05 
2023-04-20 05:10:57,276 INFO ofi_order_3: 4.887416528951637e-05 , std 3.963805580665351e-05 
2023-04-20 05:10:57,276 INFO ofi_order_4: 3.5926611191297295e-05 , std 3.4912301873416984e-05 
2023-04-20 05:10:57,276 INFO ofi_order_5: 2.7919120900512835e-05 , std 3.100817157309521e-05 
2023-04-20 05:10:57,276 INFO ofi_order_6: 2.4812133389145685e-05 , std 3.0621795065683446e-05 
2023-04-20 05:10:57,276 INFO ofi_order_7: 2.1279392206491928e-05 , std 2.8979012592057623e-05 
2023-04-20 05:10:57,276 INFO ofi_order_8: 1.884252333505107e-05 , std 2.7236564621436355e-05 
2023-04-20 05:10:57,276 INFO ofi_order_9: 1.5887300518992584e-05 , std 2.667193172356845e-05 
2023-04-20 05:10:57,276 INFO ofi_order_10: 1.869055623547149e-05 , std 2.8207592121765417e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_1: 2.7512355939467553e-05 , std 5.8374292070697414e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_2: 5.128447789914398e-05 , std 6.87103951114263e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_3: 4.5645997335880386e-05 , std 6.061264068121183e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_4: 4.063932636116014e-05 , std 5.6362183911979084e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_5: 3.5281973176877296e-05 , std 4.951181543489237e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_6: 3.227088481740063e-05 , std 4.8057855070224354e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_7: 2.994231039110152e-05 , std 4.789825014827959e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_8: 3.0231725295622107e-05 , std 4.853853736274953e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_9: 2.7469683026208754e-05 , std 4.593679007478626e-05 
2023-04-20 05:10:57,276 INFO ofi_trade_10: 2.9451132112153994e-05 , std 5.0130634077600636e-05 
2023-04-20 05:10:57,276 INFO t_intercept: -0.024202520881478597 , std 0.9590571613923302 
2023-04-20 05:10:57,276 INFO t_ofi_order_1: 1.9070248138261883 , std 1.263310575502787 
2023-04-20 05:10:57,277 INFO t_ofi_order_2: 2.0326303960812133 , std 1.1304259664775087 
2023-04-20 05:10:57,277 INFO t_ofi_order_3: 1.3053201475988567 , std 0.9739084058153267 
2023-04-20 05:10:57,277 INFO t_ofi_order_4: 0.9641161711860193 , std 0.8859631262261518 
2023-04-20 05:10:57,277 INFO t_ofi_order_5: 0.7625863608980673 , std 0.814250812439986 
2023-04-20 05:10:57,277 INFO t_ofi_order_6: 0.6806721360185729 , std 0.7884642697383409 
2023-04-20 05:10:57,277 INFO t_ofi_order_7: 0.5824669390414099 , std 0.7375810159961773 
2023-04-20 05:10:57,277 INFO t_ofi_order_8: 0.5236044324188749 , std 0.7190510279114173 
2023-04-20 05:10:57,277 INFO t_ofi_order_9: 0.4200258414344804 , std 0.6648266869254766 
2023-04-20 05:10:57,277 INFO t_ofi_order_10: 0.5625693255033487 , std 0.8106067631782148 
