2023-04-20 05:29:19,738 INFO Tickers: ['IBM']
2023-04-20 05:34:59,618 INFO in_r2: 0.8885469420611132 , std 0.05105880794874601 
2023-04-20 05:34:59,618 INFO os_r2: 0.8622879776457647 , std 0.06642896299326506 
2023-04-20 05:34:59,618 INFO intercept: -1.820760145487788e-07 , std 5.537018612859446e-06 
2023-04-20 05:34:59,618 INFO ofi_order_1: 6.605758484588005e-05 , std 5.1840734698365966e-05 
2023-04-20 05:34:59,618 INFO ofi_order_2: 7.662346664335007e-05 , std 5.20124999792991e-05 
2023-04-20 05:34:59,618 INFO ofi_order_3: 5.21572960643154e-05 , std 4.112579394277915e-05 
2023-04-20 05:34:59,618 INFO ofi_order_4: 3.946508835087718e-05 , std 3.629908946238611e-05 
2023-04-20 05:34:59,618 INFO ofi_order_5: 3.0919613532471565e-05 , std 3.2463872462962435e-05 
2023-04-20 05:34:59,618 INFO ofi_order_6: 2.779311060370065e-05 , std 3.224799602812482e-05 
2023-04-20 05:34:59,618 INFO ofi_order_7: 2.4196297614227184e-05 , std 3.122445482853855e-05 
2023-04-20 05:34:59,618 INFO ofi_order_8: 2.2713370325851447e-05 , std 2.899073414754126e-05 
2023-04-20 05:34:59,618 INFO ofi_order_9: 2.1747756336061763e-05 , std 3.157955771368488e-05 
2023-04-20 05:34:59,618 INFO ofi_order_10: 2.6571589836963692e-05 , std 3.303637173859629e-05 
2023-04-20 05:34:59,618 INFO ofi_trade_1: 2.8811107276091953e-05 , std 6.623509465048037e-05 
2023-04-20 05:34:59,618 INFO ofi_trade_2: 5.2595365219973845e-05 , std 7.399307060673578e-05 
2023-04-20 05:34:59,618 INFO ofi_trade_3: 4.417003977755713e-05 , std 6.070258617912453e-05 
2023-04-20 05:34:59,618 INFO ofi_trade_4: 4.104917730497277e-05 , std 5.469912105391072e-05 
2023-04-20 05:34:59,619 INFO ofi_trade_5: 3.866466963908235e-05 , std 5.246525060308e-05 
2023-04-20 05:34:59,619 INFO ofi_trade_6: 3.721476969728011e-05 , std 5.0503198618727375e-05 
2023-04-20 05:34:59,619 INFO ofi_trade_7: 3.38747983283726e-05 , std 5.020399626488743e-05 
2023-04-20 05:34:59,619 INFO ofi_trade_8: 3.431456173225953e-05 , std 5.320755370144683e-05 
2023-04-20 05:34:59,619 INFO ofi_trade_9: 3.5081445127533715e-05 , std 5.412865213264079e-05 
2023-04-20 05:34:59,619 INFO ofi_trade_10: 4.110855998911841e-05 , std 6.433337583048232e-05 
2023-04-20 05:34:59,619 INFO t_intercept: -0.022587382545914258 , std 0.9164263050231574 
2023-04-20 05:34:59,619 INFO t_ofi_order_1: 1.8954671250908082 , std 1.3212606173278185 
2023-04-20 05:34:59,619 INFO t_ofi_order_2: 2.007975899292613 , std 1.2396669065683266 
2023-04-20 05:34:59,619 INFO t_ofi_order_3: 1.3756557517700185 , std 1.0207462675993924 
2023-04-20 05:34:59,619 INFO t_ofi_order_4: 1.0716543402448846 , std 0.9432073750074004 
2023-04-20 05:34:59,619 INFO t_ofi_order_5: 0.8617538602102162 , std 0.8674582537171422 
2023-04-20 05:34:59,619 INFO t_ofi_order_6: 0.7807328401175344 , std 0.8556643828579317 
