2023-04-20 05:04:25,586 INFO Tickers: ['INTC']
2023-04-20 05:06:11,678 INFO Error --- ticker INTC --- day 2017-08-28 --- time 48600 --- shapes (180,21) and (20,) not aligned: 21 (dim 1) != 20 (dim 0)
2023-04-20 05:10:36,629 INFO Negative OS: -0.8797780809073779 --- ticker INTC --- day 2019-04-26 --- time 48600
2023-04-20 05:11:04,419 INFO Negative OS: -0.31747674903974255 --- ticker INTC --- day 2019-06-19 --- time 46800
2023-04-20 05:12:23,071 INFO in_r2: 0.9941173290625666 , std 0.014714632201777163 
2023-04-20 05:12:23,071 INFO os_r2: 0.9843321641482369 , std 0.04034668329223274 
2023-04-20 05:12:23,072 INFO intercept: 4.4379805297659135e-08 , std 2.1871339662314623e-06 
2023-04-20 05:12:23,072 INFO ofi_order_1: 3.955874646024662e-05 , std 3.512886113764594e-05 
2023-04-20 05:12:23,072 INFO ofi_order_2: 8.629830203836832e-05 , std 5.101397960441441e-05 
2023-04-20 05:12:23,072 INFO ofi_order_3: 8.058085711434498e-05 , std 5.1609080540322844e-05 
2023-04-20 05:12:23,072 INFO ofi_order_4: 9.190023329528912e-05 , std 8.662018102843825e-05 
2023-04-20 05:12:23,072 INFO ofi_order_5: 0.00013161994717265712 , std 8.332521312614583e-05 
2023-04-20 05:12:23,072 INFO ofi_order_6: 0.0001587131319038462 , std 9.025496527894626e-05 
2023-04-20 05:12:23,072 INFO ofi_order_7: 0.0001419239837750278 , std 9.62118156760248e-05 
2023-04-20 05:12:23,072 INFO ofi_order_8: 0.00013238561958170989 , std 8.471997916716909e-05 
2023-04-20 05:12:23,072 INFO ofi_order_9: 0.00012341188898302974 , std 7.838508617913589e-05 
2023-04-20 05:12:23,072 INFO ofi_order_10: 0.00011905868647514016 , std 7.847240448166161e-05 
2023-04-20 05:12:23,072 INFO ofi_trade_1: 1.4487678068953173e-05 , std 3.933611452682327e-05 
2023-04-20 05:12:23,072 INFO ofi_trade_2: 0.00010453407016250181 , std 7.820835157723788e-05 
2023-04-20 05:12:23,072 INFO ofi_trade_3: 0.00010803505364932781 , std 7.921564506954039e-05 
2023-04-20 05:12:23,072 INFO ofi_trade_4: 0.00010698000610999441 , std 0.00010530981157643494 
2023-04-20 05:12:23,072 INFO ofi_trade_5: 0.000125878983740586 , std 8.422878486582433e-05 
2023-04-20 05:12:23,072 INFO ofi_trade_6: 0.0001437653440320009 , std 9.215997053048678e-05 
2023-04-20 05:12:23,072 INFO ofi_trade_7: 0.00012025411074968803 , std 8.838377957951274e-05 
2023-04-20 05:12:23,072 INFO ofi_trade_8: 0.00011340098902881637 , std 8.344865161076135e-05 
2023-04-20 05:12:23,072 INFO ofi_trade_9: 0.0001107627338522443 , std 8.349382357568308e-05 
2023-04-20 05:12:23,072 INFO ofi_trade_10: 0.00010644334981004699 , std 8.128629717641253e-05 
2023-04-20 05:12:23,072 INFO t_intercept: 0.028752682816234616 , std 1.0907129388971653 
2023-04-20 05:12:23,072 INFO t_ofi_order_1: 3.375635231644458 , std 2.2333777917661473 
2023-04-20 05:12:23,072 INFO t_ofi_order_2: 4.094136014548114 , std 2.418362483881249 
2023-04-20 05:12:23,072 INFO t_ofi_order_3: 4.107182199427654 , std 2.446238866226626 
2023-04-20 05:12:23,072 INFO t_ofi_order_4: 3.849149167020394 , std 2.554048729970999 
2023-04-20 05:12:23,072 INFO t_ofi_order_5: 4.731688181440742 , std 2.790188461532438 
2023-04-20 05:12:23,072 INFO t_ofi_order_6: 5.013478867802343 , std 3.189483785270489 
2023-04-20 05:12:23,072 INFO t_ofi_order_7: 4.2323245283406274 , std 3.0768423952314463 
2023-04-20 05:12:23,072 INFO t_ofi_order_8: 4.1642977397985765 , std 3.1241853642897204 
2023-04-20 05:12:23,072 INFO t_ofi_order_9: 4.058072461734321 , std 3.120475178597068 
2023-04-20 05:12:23,072 INFO t_ofi_order_10: 4.277008419137206 , std 3.370579909479383 
2023-04-20 05:12:23,072 INFO t_ofi_trade_1: 0.5378698947787391 , std 1.2882664466108942 
2023-04-20 05:12:23,072 INFO t_ofi_trade_2: 3.532312409561397 , std 2.4866818067103 
2023-04-20 05:12:23,072 INFO t_ofi_trade_3: 3.75415507611171 , std 2.5587605931003603 
2023-04-20 05:12:23,072 INFO t_ofi_trade_4: 3.5099481874614646 , std 2.688117431057801 
2023-04-20 05:12:23,072 INFO t_ofi_trade_5: 4.073058824997728 , std 2.871146185866171 
2023-04-20 05:12:23,072 INFO t_ofi_trade_6: 4.328944207381218 , std 3.245847997144141 
2023-04-20 05:12:23,072 INFO t_ofi_trade_7: 3.5953158510051386 , std 3.0439004448774516 
2023-04-20 05:12:23,072 INFO t_ofi_trade_8: 3.511075541721835 , std 3.099510830736823 
2023-04-20 05:12:23,072 INFO t_ofi_trade_9: 3.5164238443150313 , std 3.075006940954472 
2023-04-20 05:12:23,072 INFO t_ofi_trade_10: 3.859230662851838 , std 3.5414818118352263 
2023-04-20 05:12:23,072 INFO p_intercept: 0.47477619959714173 , std 0.2950758276460872 
2023-04-20 05:12:23,072 INFO p_ofi_order_1: 0.12944358832061287 , std 0.2693691638413689 
2023-04-20 05:12:23,072 INFO p_ofi_order_2: 0.08212424531584198 , std 0.22283006572444863 
2023-04-20 05:12:23,072 INFO p_ofi_order_3: 0.07047660181337073 , std 0.19913569885570423 
