2023-04-20 05:50:45,151 INFO Tickers: ['INTU']
2023-04-20 05:51:50,379 INFO Negative OS: -1.0373298563505586 --- ticker INTU --- day 2018-06-15 --- time 52200
2023-04-20 05:52:28,641 INFO Negative OS: -0.07126301838239213 --- ticker INTU --- day 2018-12-20 --- time 36000
2023-04-20 05:52:32,770 INFO Negative OS: -1.3812148987463502 --- ticker INTU --- day 2019-01-07 --- time 36000
2023-04-20 05:52:39,064 INFO Negative OS: -1.3378270789365074 --- ticker INTU --- day 2019-02-04 --- time 39600
2023-04-20 05:52:58,647 INFO Negative OS: -0.09633103502440643 --- ticker INTU --- day 2019-05-08 --- time 37800
2023-04-20 05:53:08,672 INFO Negative OS: -1.4743480580873496 --- ticker INTU --- day 2019-06-26 --- time 36000
2023-04-20 05:53:20,632 INFO Negative OS: -0.21206506732213648 --- ticker INTU --- day 2019-08-27 --- time 50400
2023-04-20 05:53:26,890 INFO Negative OS: -0.16187644309632332 --- ticker INTU --- day 2019-10-08 --- time 52200
2023-04-20 05:53:35,031 INFO Negative OS: -0.29677246213180797 --- ticker INTU --- day 2019-12-11 --- time 48600
2023-04-20 05:53:35,640 INFO in_r2: 0.8272492544916114 , std 0.0847849979866049 
2023-04-20 05:53:35,640 INFO os_r2: 0.7626670021499564 , std 0.1524140968932673 
2023-04-20 05:53:35,640 INFO intercept: 4.1333554200145255e-07 , std 1.5196764510771321e-05 
2023-04-20 05:53:35,640 INFO ofi_order_1: 4.864982234038951e-05 , std 4.797204845759318e-05 
2023-04-20 05:53:35,640 INFO ofi_order_2: 9.12649874653475e-05 , std 7.099750886602725e-05 
2023-04-20 05:53:35,640 INFO ofi_order_3: 7.869566036100173e-05 , std 6.752758968724724e-05 
2023-04-20 05:53:35,641 INFO ofi_order_4: 5.0722066400621485e-05 , std 5.628174208520278e-05 
2023-04-20 05:53:35,641 INFO ofi_order_5: 3.9976723474490316e-05 , std 5.590719502284524e-05 
2023-04-20 05:53:35,641 INFO ofi_order_6: 3.3158366162001256e-05 , std 5.365325409896988e-05 
2023-04-20 05:53:35,641 INFO ofi_order_7: 3.110399230129217e-05 , std 5.3647176167277736e-05 
2023-04-20 05:53:35,641 INFO ofi_order_8: 2.8627798860522836e-05 , std 5.3780072508161506e-05 
2023-04-20 05:53:35,641 INFO ofi_order_9: 2.2622495133052297e-05 , std 5.2347306705165367e-05 
