2023-04-20 05:05:37,642 INFO Tickers: ['MRK']
2023-04-20 05:12:43,460 INFO in_r2: 0.9759352861631093 , std 0.012900789634590182 
2023-04-20 05:12:43,460 INFO os_r2: 0.9625327374028754 , std 0.027970143235020662 
2023-04-20 05:12:43,460 INFO intercept: 1.1352941194324999e-07 , std 2.538194182497347e-06 
2023-04-20 05:12:43,460 INFO ofi_order_1: 3.3171346480964936e-05 , std 3.465590868745565e-05 
2023-04-20 05:12:43,460 INFO ofi_order_2: 5.953012982136559e-05 , std 4.3615036559847965e-05 
2023-04-20 05:12:43,460 INFO ofi_order_3: 7.209606024693523e-05 , std 4.728248800511161e-05 
2023-04-20 05:12:43,460 INFO ofi_order_4: 7.211155284944541e-05 , std 5.3431727918790786e-05 
2023-04-20 05:12:43,460 INFO ofi_order_5: 6.386126302356573e-05 , std 5.2479903666824804e-05 
2023-04-20 05:12:43,460 INFO ofi_order_6: 9.94097374284462e-05 , std 7.154097936730977e-05 
2023-04-20 05:12:43,461 INFO ofi_order_7: 9.305827082756535e-05 , std 7.531905183292268e-05 
2023-04-20 05:12:43,461 INFO ofi_order_8: 8.789271978608127e-05 , std 8.287051336490557e-05 
2023-04-20 05:12:43,461 INFO ofi_order_9: 7.766423648983544e-05 , std 8.383869847543705e-05 
2023-04-20 05:12:43,461 INFO ofi_order_10: 7.374488978454424e-05 , std 8.919285376439212e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_1: 1.4374192306841395e-05 , std 5.22810850552008e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_2: 6.005357786329511e-05 , std 6.366840049793434e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_3: 8.444028086739389e-05 , std 7.122461077921373e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_4: 7.722464376210561e-05 , std 6.822663781190685e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_5: 7.671969375200156e-05 , std 6.961156656072751e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_6: 9.315297150874234e-05 , std 8.374222420885253e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_7: 8.952482282211339e-05 , std 9.340904621159123e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_8: 7.123608985794698e-05 , std 8.719988631042916e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_9: 5.725243480914549e-05 , std 8.08891098025431e-05 
2023-04-20 05:12:43,461 INFO ofi_trade_10: 5.4102613574048196e-05 , std 8.652348582999044e-05 
2023-04-20 05:12:43,461 INFO t_intercept: 0.04182265418565176 , std 1.0007734452823807 
2023-04-20 05:12:43,461 INFO t_ofi_order_1: 1.7196659279747402 , std 1.761771874945657 
2023-04-20 05:12:43,461 INFO t_ofi_order_2: 2.143031703155499 , std 1.7201903449695892 
2023-04-20 05:12:43,461 INFO t_ofi_order_3: 2.4180664078077183 , std 1.6219567309265503 
2023-04-20 05:12:43,461 INFO t_ofi_order_4: 2.4181027719358372 , std 1.6423094098386488 
2023-04-20 05:12:43,461 INFO t_ofi_order_5: 2.1375665294362074 , std 1.7216583439949324 
2023-04-20 05:12:43,461 INFO t_ofi_order_6: 2.5629904869018403 , std 1.8556607500808209 
2023-04-20 05:12:43,461 INFO t_ofi_order_7: 1.9586613627242944 , std 1.5756073057742244 
2023-04-20 05:12:43,461 INFO t_ofi_order_8: 1.6034785536498857 , std 1.5243442482361622 
2023-04-20 05:12:43,461 INFO t_ofi_order_9: 1.3597378285208455 , std 1.4704041529221585 
2023-04-20 05:12:43,461 INFO t_ofi_order_10: 1.3380498706336252 , std 1.5850824572640825 
2023-04-20 05:12:43,461 INFO t_ofi_trade_1: 0.3205812013235363 , std 0.951627076194066 
2023-04-20 05:12:43,461 INFO t_ofi_trade_2: 1.3343840488261476 , std 1.497235071257077 
2023-04-20 05:12:43,461 INFO t_ofi_trade_3: 1.8065622521439577 , std 1.5575869907684483 
2023-04-20 05:12:43,461 INFO t_ofi_trade_4: 1.7162436309027995 , std 1.5171010643596292 
2023-04-20 05:12:43,461 INFO t_ofi_trade_5: 1.7225308572340448 , std 1.5853566760248101 
2023-04-20 05:12:43,461 INFO t_ofi_trade_6: 1.7283329711393194 , std 1.5808852554175548 
2023-04-20 05:12:43,461 INFO t_ofi_trade_7: 1.3919639223651055 , std 1.4054532549346634 
2023-04-20 05:12:43,461 INFO t_ofi_trade_8: 1.0407628808286213 , std 1.2789499370812536 
2023-04-20 05:12:43,461 INFO t_ofi_trade_9: 0.8597744050633367 , std 1.2493658233941354 
2023-04-20 05:12:43,461 INFO t_ofi_trade_10: 0.8707112854675328 , std 1.3860473720698738 
2023-04-20 05:12:43,461 INFO p_intercept: 0.5017261647106135 , std 0.2873153337843187 
2023-04-20 05:12:43,461 INFO p_ofi_order_1: 0.327333060383705 , std 0.3749948544533535 
2023-04-20 05:12:43,461 INFO p_ofi_order_2: 0.24688735732836295 , std 0.33888026235986196 
2023-04-20 05:12:43,461 INFO p_ofi_order_3: 0.17719696928713058 , std 0.290969630888743 
2023-04-20 05:12:43,461 INFO p_ofi_order_4: 0.17615997462691155 , std 0.2862938892201032 
2023-04-20 05:12:43,461 INFO p_ofi_order_5: 0.23256763991838833 , std 0.32056046090973844 
