2023-04-20 05:53:32,725 INFO Tickers: ['MS']
2023-04-20 06:00:54,013 INFO in_r2: 0.9913732173425194 , std 0.007214739108088152 
2023-04-20 06:00:54,014 INFO os_r2: 0.9840684613852442 , std 0.021568299991731016 
2023-04-20 06:00:54,014 INFO intercept: -1.8978221687847408e-07 , std 2.415118927462878e-06 
2023-04-20 06:00:54,014 INFO ofi_order_1: 4.066290840265574e-05 , std 3.137297095205268e-05 
2023-04-20 06:00:54,014 INFO ofi_order_2: 8.985693273863503e-05 , std 5.293463216858231e-05 
2023-04-20 06:00:54,014 INFO ofi_order_3: 8.137295601677439e-05 , std 5.36007524116599e-05 
2023-04-20 06:00:54,014 INFO ofi_order_4: 6.568590697366713e-05 , std 5.5638981702102834e-05 
2023-04-20 06:00:54,014 INFO ofi_order_5: 0.00011736543003180308 , std 6.253334066284264e-05 
2023-04-20 06:00:54,014 INFO ofi_order_6: 0.00014527529891600685 , std 7.972931193339416e-05 
2023-04-20 06:00:54,014 INFO ofi_order_7: 0.00014624205978783317 , std 8.8593052679871e-05 
2023-04-20 06:00:54,014 INFO ofi_order_8: 0.00012443428511922715 , std 8.891202572649329e-05 
2023-04-20 06:00:54,014 INFO ofi_order_9: 0.00011195412075774861 , std 8.744749573353913e-05 
2023-04-20 06:00:54,014 INFO ofi_order_10: 0.00011192073532925506 , std 9.415867513683156e-05 
2023-04-20 06:00:54,014 INFO ofi_trade_1: 2.6064667116062122e-05 , std 5.262807742623658e-05 
2023-04-20 06:00:54,014 INFO ofi_trade_2: 9.173723179658195e-05 , std 7.164627676209914e-05 
2023-04-20 06:00:54,014 INFO ofi_trade_3: 9.822912430153763e-05 , std 7.458373767557548e-05 
2023-04-20 06:00:54,014 INFO ofi_trade_4: 8.737696672340166e-05 , std 7.065051037161641e-05 
2023-04-20 06:00:54,014 INFO ofi_trade_5: 0.0001318236857836137 , std 7.964155561409827e-05 
2023-04-20 06:00:54,014 INFO ofi_trade_6: 0.00013767906302432727 , std 9.216488297661106e-05 
2023-04-20 06:00:54,014 INFO ofi_trade_7: 0.00012417118141624679 , std 0.00010117909822162232 
2023-04-20 06:00:54,014 INFO ofi_trade_8: 0.00010666794523367631 , std 0.0001009574365315448 
2023-04-20 06:00:54,014 INFO ofi_trade_9: 8.587171791740808e-05 , std 9.218365541712168e-05 
2023-04-20 06:00:54,014 INFO ofi_trade_10: 8.206362058181742e-05 , std 9.570033573618192e-05 
2023-04-20 06:00:54,014 INFO t_intercept: -0.10491087656249531 , std 1.0223176427936473 
2023-04-20 06:00:54,014 INFO t_ofi_order_1: 2.872571718434844 , std 1.9469300130456382 
2023-04-20 06:00:54,014 INFO t_ofi_order_2: 3.595603523684677 , std 1.9880286273534997 
2023-04-20 06:00:54,014 INFO t_ofi_order_3: 3.5142413758682114 , std 2.058291032997872 
2023-04-20 06:00:54,014 INFO t_ofi_order_4: 3.03166020754139 , std 2.0348932702267017 
2023-04-20 06:00:54,014 INFO t_ofi_order_5: 4.119612557413928 , std 2.4141246054286136 
2023-04-20 06:00:54,014 INFO t_ofi_order_6: 4.017254630521912 , std 2.4218135466031945 
2023-04-20 06:00:54,014 INFO t_ofi_order_7: 3.415653197447122 , std 2.199947580013614 
2023-04-20 06:00:54,014 INFO t_ofi_order_8: 2.726186920112099 , std 2.0779842090484344 
2023-04-20 06:00:54,014 INFO t_ofi_order_9: 2.414084630192309 , std 2.070262020988167 
2023-04-20 06:00:54,014 INFO t_ofi_order_10: 2.4821832603592853 , std 2.2535795249481296 
2023-04-20 06:00:54,014 INFO t_ofi_trade_1: 0.6466538329684908 , std 1.1498633623368768 
