2023-04-20 05:20:03,914 INFO Tickers: ['NVDA']
2023-04-20 05:27:02,421 INFO in_r2: 0.9225362472865224 , std 0.04415673890205018 
2023-04-20 05:27:02,421 INFO os_r2: 0.8937340515806589 , std 0.06863400092466652 
2023-04-20 05:27:02,421 INFO intercept: 2.809108166941467e-07 , std 1.0768051110363682e-05 
2023-04-20 05:27:02,421 INFO ofi_order_1: 3.209843576081923e-05 , std 3.0272768568395105e-05 
2023-04-20 05:27:02,421 INFO ofi_order_2: 3.9669987848610545e-05 , std 3.386843678579373e-05 
2023-04-20 05:27:02,422 INFO ofi_order_3: 3.992574933255284e-05 , std 3.4611467321122586e-05 
2023-04-20 05:27:02,422 INFO ofi_order_4: 3.773992960660101e-05 , std 3.314391661797039e-05 
2023-04-20 05:27:02,422 INFO ofi_order_5: 3.597201195995595e-05 , std 3.32221562293854e-05 
2023-04-20 05:27:02,422 INFO ofi_order_6: 3.3514972958890685e-05 , std 3.2218549302561975e-05 
2023-04-20 05:27:02,422 INFO ofi_order_7: 3.2490084292451676e-05 , std 3.159886512590096e-05 
2023-04-20 05:27:02,422 INFO ofi_order_8: 3.094682599055754e-05 , std 3.068198286842986e-05 
2023-04-20 05:27:02,422 INFO ofi_order_9: 3.0421932181862597e-05 , std 3.2427721148267695e-05 
2023-04-20 05:27:02,422 INFO ofi_order_10: 4.5571771843051307e-05 , std 3.506403265888666e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_1: 1.760889529956659e-05 , std 3.3375180632209424e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_2: 3.18257074326351e-05 , std 3.7321767830227104e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_3: 3.6989381974929715e-05 , std 4.046543339747283e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_4: 3.620239058351413e-05 , std 3.8777879773174327e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_5: 3.560012893469003e-05 , std 3.88577354447956e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_6: 3.371240759122655e-05 , std 3.698420594180671e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_7: 3.494340376208975e-05 , std 3.7768823467329916e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_8: 3.3257377051301724e-05 , std 3.6048750914983275e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_9: 3.550217059647004e-05 , std 3.810396328606682e-05 
2023-04-20 05:27:02,422 INFO ofi_trade_10: 5.240217699591098e-05 , std 4.1202227623736106e-05 
2023-04-20 05:27:02,422 INFO t_intercept: -0.013523590311350621 , std 1.0371149810506561 
2023-04-20 05:27:02,422 INFO t_ofi_order_1: 1.3552551001221964 , std 1.197218974782883 
2023-04-20 05:27:02,422 INFO t_ofi_order_2: 1.3188342383205127 , std 1.0284371789884266 
2023-04-20 05:27:02,422 INFO t_ofi_order_3: 1.2565564176820099 , std 1.0174658478822138 
2023-04-20 05:27:02,422 INFO t_ofi_order_4: 1.1547911494733287 , std 0.9908143079358909 
2023-04-20 05:27:02,422 INFO t_ofi_order_5: 1.0621440661915205 , std 0.9494478887907761 
2023-04-20 05:27:02,422 INFO t_ofi_order_6: 0.9964441625403282 , std 0.9469214528694639 
2023-04-20 05:27:02,422 INFO t_ofi_order_7: 0.9791148122571541 , std 0.9421325636930815 
2023-04-20 05:27:02,422 INFO t_ofi_order_8: 0.9524721567544906 , std 0.9443640172510354 
2023-04-20 05:27:02,422 INFO t_ofi_order_9: 0.9350027543930017 , std 0.9520529512938466 
2023-04-20 05:27:02,422 INFO t_ofi_order_10: 1.829231260213309 , std 1.2961127862278183 
2023-04-20 05:27:02,422 INFO t_ofi_trade_1: 0.4819305587060704 , std 0.8741917546455199 
2023-04-20 05:27:02,422 INFO t_ofi_trade_2: 0.793327559626881 , std 0.8849609667553817 
2023-04-20 05:27:02,422 INFO t_ofi_trade_3: 0.8836646492726037 , std 0.9120112472264491 
2023-04-20 05:27:02,422 INFO t_ofi_trade_4: 0.8650861500636938 , std 0.9023111443003369 
2023-04-20 05:27:02,422 INFO t_ofi_trade_5: 0.8408458902795551 , std 0.8823199074467756 
2023-04-20 05:27:02,422 INFO t_ofi_trade_6: 0.8018811093599042 , std 0.8647534425394964 
2023-04-20 05:27:02,422 INFO t_ofi_trade_7: 0.8493855723515001 , std 0.8967681563184876 
2023-04-20 05:27:02,422 INFO t_ofi_trade_8: 0.8314860282403401 , std 0.8958590619044048 
2023-04-20 05:27:02,422 INFO t_ofi_trade_9: 0.8986311766573679 , std 0.9331371269758177 
2023-04-20 05:27:02,422 INFO t_ofi_trade_10: 1.6550561701046984 , std 1.2703543004387952 
2023-04-20 05:27:02,422 INFO p_intercept: 0.4964063169925629 , std 0.29068841996851347 
2023-04-20 05:27:02,422 INFO p_ofi_order_1: 0.3746916203533784 , std 0.3729872233463017 
2023-04-20 05:27:02,422 INFO p_ofi_order_2: 0.35645906481444367 , std 0.35027456645296495 
2023-04-20 05:27:02,422 INFO p_ofi_order_3: 0.37686271198943777 , std 0.3533681618848295 
2023-04-20 05:27:02,422 INFO p_ofi_order_4: 0.4068207789050853 , std 0.3558879265815747 
2023-04-20 05:27:02,422 INFO p_ofi_order_5: 0.438626252823512 , std 0.3575639289490261 
2023-04-20 05:27:02,422 INFO p_ofi_order_6: 0.4670467713534871 , std 0.36337747403028603 
2023-04-20 05:27:02,422 INFO p_ofi_order_7: 0.4734629721242517 , std 0.36356635671369636 
2023-04-20 05:27:02,423 INFO p_ofi_order_8: 0.48501787018130577 , std 0.36491217422180633 
2023-04-20 05:27:02,423 INFO p_ofi_order_9: 0.492097808283507 , std 0.36915335630727325 
2023-04-20 05:27:02,423 INFO p_ofi_order_10: 0.24508301351885892 , std 0.3126139419442575 
2023-04-20 05:27:02,423 INFO p_ofi_trade_1: 0.6856647614024116 , std 0.37146729635766496 
2023-04-20 05:27:02,423 INFO p_ofi_trade_2: 0.5572647257683688 , std 0.3787000658919097 
2023-04-20 05:27:02,423 INFO p_ofi_trade_3: 0.5174680458385875 , std 0.3761614841967728 
2023-04-20 05:27:02,423 INFO p_ofi_trade_4: 0.5249009616141265 , std 0.3746266296118171 
2023-04-20 05:27:02,423 INFO p_ofi_trade_5: 0.5300599029355815 , std 0.3704123410227375 
2023-04-20 05:27:02,423 INFO p_ofi_trade_6: 0.5484847868739351 , std 0.3703953632146741 
2023-04-20 05:27:02,423 INFO p_ofi_trade_7: 0.5279136637330112 , std 0.3697956268678379 
2023-04-20 05:27:02,423 INFO p_ofi_trade_8: 0.5366481505712207 , std 0.37001642197609474 
2023-04-20 05:27:02,423 INFO p_ofi_trade_9: 0.5108099566727348 , std 0.3728486665291042 
2023-04-20 05:27:02,423 INFO p_ofi_trade_10: 0.29238343004291284 , std 0.33917549116558965 
