2023-04-20 05:12:21,257 INFO Tickers: ['PEP']
2023-04-20 05:13:47,153 INFO Negative OS: -0.0786622090588387 --- ticker PEP --- day 2017-11-07 --- time 36000
2023-04-20 05:15:00,042 INFO Negative OS: -0.031168935736012537 --- ticker PEP --- day 2018-07-03 --- time 43200
2023-04-20 05:18:18,019 INFO in_r2: 0.9217051716487512 , std 0.044810774231011936 
2023-04-20 05:18:18,019 INFO os_r2: 0.8984238257800002 , std 0.06455801086059995 
2023-04-20 05:18:18,019 INFO intercept: -9.630595696135328e-08 , std 3.57066674350293e-06 
2023-04-20 05:18:18,019 INFO ofi_order_1: 4.755695555475673e-05 , std 4.0965329365503057e-05 
2023-04-20 05:18:18,019 INFO ofi_order_2: 5.702595115765443e-05 , std 4.365302483392554e-05 
2023-04-20 05:18:18,019 INFO ofi_order_3: 4.85981714227964e-05 , std 3.8406150541721976e-05 
2023-04-20 05:18:18,019 INFO ofi_order_4: 4.4096221770711556e-05 , std 3.581881719700952e-05 
2023-04-20 05:18:18,019 INFO ofi_order_5: 3.5740607947164256e-05 , std 3.295326386863312e-05 
2023-04-20 05:18:18,019 INFO ofi_order_6: 3.3225073154858244e-05 , std 3.226808665933184e-05 
2023-04-20 05:18:18,019 INFO ofi_order_7: 2.892045462233217e-05 , std 3.088774676621528e-05 
2023-04-20 05:18:18,019 INFO ofi_order_8: 3.5999598317910264e-05 , std 3.7599244059541854e-05 
2023-04-20 05:18:18,019 INFO ofi_order_9: 3.6689225807400624e-05 , std 3.999350533581789e-05 
2023-04-20 05:18:18,019 INFO ofi_order_10: 3.8592468804529884e-05 , std 4.2384590785901766e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_1: 2.6730444603281515e-05 , std 5.636491473815904e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_2: 4.2940493235190855e-05 , std 5.823345889927547e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_3: 4.847003986776541e-05 , std 5.3354236563368054e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_4: 4.7517231585531153e-05 , std 5.0903187230519104e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_5: 4.321350461309057e-05 , std 4.742518104194217e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_6: 3.763108630377376e-05 , std 4.522033166463482e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_7: 3.474548198272895e-05 , std 4.43479911158291e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_8: 4.080164470192849e-05 , std 5.002689437137123e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_9: 4.068499954807958e-05 , std 5.278702039337143e-05 
2023-04-20 05:18:18,019 INFO ofi_trade_10: 4.424394301901214e-05 , std 5.771915202473989e-05 
2023-04-20 05:18:18,019 INFO t_intercept: -0.021965081104865364 , std 0.9552360186445862 
2023-04-20 05:18:18,019 INFO t_ofi_order_1: 1.6943156551096425 , std 1.3396427826054078 
2023-04-20 05:18:18,019 INFO t_ofi_order_2: 1.6960685565660214 , std 1.249230986937593 
2023-04-20 05:18:18,019 INFO t_ofi_order_3: 1.4369121746924538 , std 1.1289175565442409 
2023-04-20 05:18:18,019 INFO t_ofi_order_4: 1.3445700639733427 , std 1.1004740993415982 
2023-04-20 05:18:18,019 INFO t_ofi_order_5: 1.167436030794128 , std 1.0686437757916945 
2023-04-20 05:18:18,019 INFO t_ofi_order_6: 1.1131926814746167 , std 1.0413465080098367 
2023-04-20 05:18:18,019 INFO t_ofi_order_7: 0.9647786695392353 , std 0.9933974500147391 
2023-04-20 05:18:18,019 INFO t_ofi_order_8: 1.0311995490620962 , std 1.0441835510086155 
2023-04-20 05:18:18,019 INFO t_ofi_order_9: 0.9379068852737374 , std 1.0035139391687475 
2023-04-20 05:18:18,019 INFO t_ofi_order_10: 1.0609992305411255 , std 1.1486005514886062 
2023-04-20 05:18:18,019 INFO t_ofi_trade_1: 0.4387344362301049 , std 0.8636980570015509 
2023-04-20 05:18:18,019 INFO t_ofi_trade_2: 0.7421294600556191 , std 0.9481561316558335 
2023-04-20 05:18:18,019 INFO t_ofi_trade_3: 0.8883744732503731 , std 0.9514114712929738 
2023-04-20 05:18:18,019 INFO t_ofi_trade_4: 0.9015885464860456 , std 0.9447033844924301 
2023-04-20 05:18:18,019 INFO t_ofi_trade_5: 0.882891023670715 , std 0.9489476257811492 
