2023-04-20 05:06:53,810 INFO Tickers: ['PFE']
2023-04-20 05:08:38,082 INFO Negative OS: -0.836068626252827 --- ticker PFE --- day 2017-10-13 --- time 50400
2023-04-20 05:08:58,288 INFO Negative OS: -4.151255971343651 --- ticker PFE --- day 2017-12-13 --- time 48600
2023-04-20 05:10:12,659 INFO Negative OS: -0.7213594810545365 --- ticker PFE --- day 2018-07-05 --- time 52200
2023-04-20 05:10:14,453 INFO Negative OS: -10.696186286927485 --- ticker PFE --- day 2018-07-10 --- time 52200
2023-04-20 05:10:22,342 INFO Negative OS: -5.578625461683487 --- ticker PFE --- day 2018-07-27 --- time 52200
2023-04-20 05:10:23,644 INFO Negative OS: -0.6205609617516672 --- ticker PFE --- day 2018-08-01 --- time 36000
2023-04-20 05:10:38,729 INFO Negative OS: -0.71623636875777 --- ticker PFE --- day 2018-09-07 --- time 45000
2023-04-20 05:11:59,034 INFO Negative OS: -17.164967356932575 --- ticker PFE --- day 2019-04-01 --- time 52200
2023-04-20 05:13:51,485 INFO in_r2: 0.9896910970026556 , std 0.009823949860463487 
2023-04-20 05:13:51,485 INFO os_r2: 0.9616837637600392 , std 0.27846014050529017 
2023-04-20 05:13:51,485 INFO intercept: -2.031580434678639e-08 , std 1.747924400329702e-06 
2023-04-20 05:13:51,485 INFO ofi_order_1: 5.211203705452572e-05 , std 4.814947048018865e-05 
2023-04-20 05:13:51,485 INFO ofi_order_2: 9.718878572893398e-05 , std 6.611539444794096e-05 
2023-04-20 05:13:51,485 INFO ofi_order_3: 6.545899418537822e-05 , std 6.490358458472537e-05 
2023-04-20 05:13:51,485 INFO ofi_order_4: 0.00013580263602222067 , std 0.00011142987919118827 
2023-04-20 05:13:51,485 INFO ofi_order_5: 0.0001862539190342981 , std 0.0001346492451862713 
2023-04-20 05:13:51,485 INFO ofi_order_6: 0.00022267203510973403 , std 0.00015048603615487198 
2023-04-20 05:13:51,485 INFO ofi_order_7: 0.00019509928787841103 , std 0.0001627448444153401 
2023-04-20 05:13:51,485 INFO ofi_order_8: 0.00013982478064054213 , std 0.00013996532510109747 
2023-04-20 05:13:51,485 INFO ofi_order_9: 0.00010561600048739081 , std 0.00011936826837677247 
