2023-04-20 05:51:13,130 INFO Tickers: ['SPGI']
2023-04-20 05:51:33,165 INFO Negative OS: -0.08890274361733685 --- ticker SPGI --- day 2018-02-06 --- time 37800
2023-04-20 05:51:33,664 INFO Negative OS: -0.03981751995126648 --- ticker SPGI --- day 2018-02-09 --- time 52200
2023-04-20 05:51:35,465 INFO Negative OS: -0.009040391162685513 --- ticker SPGI --- day 2018-03-21 --- time 52200
2023-04-20 05:51:46,361 INFO Negative OS: -0.07433858000004312 --- ticker SPGI --- day 2018-10-11 --- time 41400
2023-04-20 05:51:46,415 INFO Negative OS: -0.07106966707320206 --- ticker SPGI --- day 2018-10-11 --- time 50400
2023-04-20 05:51:50,221 INFO Negative OS: -0.03577264250716916 --- ticker SPGI --- day 2018-12-04 --- time 43200
2023-04-20 05:51:52,666 INFO Negative OS: -0.5219903396207872 --- ticker SPGI --- day 2018-12-18 --- time 50400
2023-04-20 05:51:52,848 INFO Negative OS: -8.446728854156653 --- ticker SPGI --- day 2018-12-19 --- time 50400
2023-04-20 05:51:53,474 INFO Negative OS: -0.7955222731484868 --- ticker SPGI --- day 2018-12-20 --- time 41400
2023-04-20 05:52:03,658 INFO Negative OS: -0.36293359287220195 --- ticker SPGI --- day 2019-03-19 --- time 45000
2023-04-20 05:52:12,375 INFO Negative OS: -0.1654913870376027 --- ticker SPGI --- day 2019-05-22 --- time 36000
2023-04-20 05:52:19,659 INFO Negative OS: -2.7705376643937316 --- ticker SPGI --- day 2019-08-01 --- time 37800
2023-04-20 05:52:32,468 INFO in_r2: 0.7651107553554354 , std 0.1260306546622668 
2023-04-20 05:52:32,469 INFO os_r2: 0.670014237322668 , std 0.38910678126058196 
2023-04-20 05:52:32,469 INFO intercept: 4.667307182753867e-07 , std 1.6069839451062148e-05 
2023-04-20 05:52:32,469 INFO ofi_order_1: 0.00010618471882512243 , std 0.00012078291656808835 
2023-04-20 05:52:32,469 INFO ofi_order_2: 0.00010281687934795171 , std 9.729617501393051e-05 
2023-04-20 05:52:32,469 INFO ofi_order_3: 8.077071341581876e-05 , std 0.00010124287285929612 
2023-04-20 05:52:32,469 INFO ofi_order_4: 5.125994589441529e-05 , std 8.674374720989692e-05 
2023-04-20 05:52:32,469 INFO ofi_order_5: 4.192229959717448e-05 , std 0.00010839556663216652 
2023-04-20 05:52:32,469 INFO ofi_order_6: 3.132526988450306e-05 , std 8.594096228956235e-05 
2023-04-20 05:52:32,469 INFO ofi_order_7: 2.5949316008125478e-05 , std 9.336634522169402e-05 
2023-04-20 05:52:32,469 INFO ofi_order_8: 1.9252498666308497e-05 , std 7.925916666023903e-05 
2023-04-20 05:52:32,469 INFO ofi_order_9: 2.871925237799454e-05 , std 9.235618764460893e-05 
2023-04-20 05:52:32,469 INFO ofi_order_10: 3.0857691212001847e-05 , std 0.00011725810026188013 
2023-04-20 05:52:32,469 INFO ofi_trade_1: 0.00012237601650313333 , std 0.0001678879413165573 
2023-04-20 05:52:32,469 INFO ofi_trade_2: 7.88938307861659e-05 , std 0.00014636469026163324 
