2023-04-20 05:52:32,471 INFO Tickers: ['SYK']
2023-04-20 05:52:50,759 INFO Negative OS: -0.008023883591001146 --- ticker SYK --- day 2018-01-24 --- time 37800
2023-04-20 05:52:51,413 INFO Negative OS: -0.14618888930154683 --- ticker SYK --- day 2018-02-06 --- time 36000
2023-04-20 05:52:57,686 INFO Negative OS: -1.729829154297386 --- ticker SYK --- day 2018-06-11 --- time 37800
2023-04-20 05:53:05,555 INFO Negative OS: -0.04315160749095104 --- ticker SYK --- day 2018-10-11 --- time 41400
2023-04-20 05:53:11,694 INFO Negative OS: -0.865624421254708 --- ticker SYK --- day 2018-12-10 --- time 50400
2023-04-20 05:53:14,760 INFO Negative OS: -0.31523452585309975 --- ticker SYK --- day 2018-12-28 --- time 41400
2023-04-20 05:53:16,305 INFO Negative OS: -0.19878679756285833 --- ticker SYK --- day 2019-01-07 --- time 41400
2023-04-20 05:53:34,693 INFO Negative OS: -0.33752179275783756 --- ticker SYK --- day 2019-10-01 --- time 36000
2023-04-20 05:53:39,293 INFO in_r2: 0.7138806090703693 , std 0.14682790377799754 
2023-04-20 05:53:39,293 INFO os_r2: 0.6042424365247462 , std 0.23986554734952195 
2023-04-20 05:53:39,293 INFO intercept: 6.447320752863457e-07 , std 1.6403894340513832e-05 
2023-04-20 05:53:39,293 INFO ofi_order_1: 0.00015324085592095444 , std 0.00015801001792006516 
2023-04-20 05:53:39,293 INFO ofi_order_2: 0.00016615111730898963 , std 0.00015409972127848756 
2023-04-20 05:53:39,293 INFO ofi_order_3: 0.0001181036928149799 , std 0.00016878483521080818 
2023-04-20 05:53:39,293 INFO ofi_order_4: 8.788177461135575e-05 , std 0.00013976233435974782 
2023-04-20 05:53:39,293 INFO ofi_order_5: 7.304279659425473e-05 , std 0.00019304775679284167 
2023-04-20 05:53:39,293 INFO ofi_order_6: 4.2859568821476484e-05 , std 0.00014717836776973703 
2023-04-20 05:53:39,293 INFO ofi_order_7: 4.025026380195619e-05 , std 0.00012695086540447865 
2023-04-20 05:53:39,293 INFO ofi_order_8: 3.502907275178066e-05 , std 0.00011253037993589802 
2023-04-20 05:53:39,293 INFO ofi_order_9: 2.040759223336369e-05 , std 0.00012928296857062584 
2023-04-20 05:53:39,293 INFO ofi_order_10: 4.8442871663281974e-05 , std 0.00013718657704320735 
2023-04-20 05:53:39,293 INFO ofi_trade_1: 0.00014545898494187418 , std 0.00018702341998593717 
2023-04-20 05:53:39,293 INFO ofi_trade_2: 0.00012850964715302167 , std 0.00023099453765356055 
2023-04-20 05:53:39,293 INFO ofi_trade_3: 0.00010145802377592433 , std 0.0002464746423122909 
2023-04-20 05:53:39,294 INFO ofi_trade_4: 7.68656333545932e-05 , std 0.00022435714956920103 
2023-04-20 05:53:39,294 INFO ofi_trade_5: 7.898885518596704e-05 , std 0.00025859466701303374 
2023-04-20 05:53:39,294 INFO ofi_trade_6: 8.104020146255024e-05 , std 0.00027056509595341146 
2023-04-20 05:53:39,294 INFO ofi_trade_7: 8.498063040338183e-05 , std 0.0002725405864286898 
2023-04-20 05:53:39,294 INFO ofi_trade_8: 9.664136874194876e-05 , std 0.00022545231052984585 
2023-04-20 05:53:39,294 INFO ofi_trade_9: 0.00011528876259732975 , std 0.00029546402227733704 
2023-04-20 05:53:39,294 INFO ofi_trade_10: 0.00015890668553426157 , std 0.00026112462385527744 
2023-04-20 05:53:39,294 INFO t_intercept: -0.028420373835590526 , std 0.987921208835078 
2023-04-20 05:53:39,294 INFO t_ofi_order_1: 2.570167318936016 , std 1.604227878098464 
2023-04-20 05:53:39,294 INFO t_ofi_order_2: 2.17726632095446 , std 1.3571398607498515 
2023-04-20 05:53:39,294 INFO t_ofi_order_3: 1.3167498540023692 , std 1.0901278066740652 
2023-04-20 05:53:39,294 INFO t_ofi_order_4: 0.9613216777594569 , std 0.9695895821589496 
2023-04-20 05:53:39,294 INFO t_ofi_order_5: 0.6666298845993947 , std 0.9300816489945031 
2023-04-20 05:53:39,294 INFO t_ofi_order_6: 0.43177327039378316 , std 0.8034130809822471 
2023-04-20 05:53:39,294 INFO t_ofi_order_7: 0.4031346577511051 , std 0.7290847491592086 
2023-04-20 05:53:39,294 INFO t_ofi_order_8: 0.29433968579236397 , std 0.7049695153506198 
2023-04-20 05:53:39,294 INFO t_ofi_order_9: 0.26464645281669236 , std 0.7307756433356168 
