2023-04-20 05:45:22,156 INFO Tickers: ['TFC']
2023-04-20 05:45:23,573 INFO in_r2: 0.9673410475240501 , std 0.023651457649448718 
2023-04-20 05:45:23,573 INFO os_r2: 0.9559737025896835 , std 0.03241005555037679 
2023-04-20 05:45:23,573 INFO intercept: 1.2514640645474964e-06 , std 4.832522551075247e-06 
2023-04-20 05:45:23,573 INFO ofi_order_1: 6.812504202400491e-05 , std 3.920135428030804e-05 
2023-04-20 05:45:23,573 INFO ofi_order_2: 0.000109373107696256 , std 4.3868680199139276e-05 
2023-04-20 05:45:23,573 INFO ofi_order_3: 0.0001124964577602226 , std 5.350962526531574e-05 
2023-04-20 05:45:23,573 INFO ofi_order_4: 0.0001372371219914906 , std 7.375763522910131e-05 
2023-04-20 05:45:23,573 INFO ofi_order_5: 0.00011107907829482418 , std 3.942525248199875e-05 
2023-04-20 05:45:23,573 INFO ofi_order_6: 8.584358951984623e-05 , std 4.323326583210356e-05 
2023-04-20 05:45:23,573 INFO ofi_order_7: 7.171652544846445e-05 , std 6.252895549150887e-05 
2023-04-20 05:45:23,573 INFO ofi_order_8: 7.418643332445482e-05 , std 5.661872282250896e-05 
2023-04-20 05:45:23,573 INFO ofi_order_9: 3.6091808761733966e-05 , std 4.682151222914227e-05 
2023-04-20 05:45:23,573 INFO ofi_order_10: 6.113843012344265e-05 , std 9.311075317694912e-05 
2023-04-20 05:45:23,573 INFO ofi_trade_1: 3.259064441671452e-05 , std 6.257356375228368e-05 
2023-04-20 05:45:23,573 INFO ofi_trade_2: 8.523286931653435e-05 , std 5.935411871027716e-05 
2023-04-20 05:45:23,573 INFO ofi_trade_3: 0.00013272058404308968 , std 0.00011052791369624153 
2023-04-20 05:45:23,573 INFO ofi_trade_4: 0.00012923913124947091 , std 8.264191748237432e-05 
2023-04-20 05:45:23,573 INFO ofi_trade_5: 0.00013920265128574867 , std 5.5595816279052176e-05 
2023-04-20 05:45:23,573 INFO ofi_trade_6: 9.521376198230941e-05 , std 7.885100759180592e-05 
2023-04-20 05:45:23,573 INFO ofi_trade_7: 5.5608002157748305e-05 , std 6.188066291785193e-05 
2023-04-20 05:45:23,573 INFO ofi_trade_8: 5.948948659316106e-05 , std 6.460252068917274e-05 
2023-04-20 05:45:23,573 INFO ofi_trade_9: 5.5471172974658825e-05 , std 0.00010060774520962318 
2023-04-20 05:45:23,573 INFO ofi_trade_10: 8.638459432684381e-05 , std 0.00011664614768492341 
2023-04-20 05:45:23,573 INFO t_intercept: 0.37790976817401817 , std 0.9803660978803963 
2023-04-20 05:45:23,573 INFO t_ofi_order_1: 2.759675713836398 , std 1.4662760440282059 
2023-04-20 05:45:23,573 INFO t_ofi_order_2: 3.228314936466017 , std 1.6608632233386917 
2023-04-20 05:45:23,573 INFO t_ofi_order_3: 3.0644135319896706 , std 1.4731464241391867 
2023-04-20 05:45:23,573 INFO t_ofi_order_4: 3.9072248975971378 , std 2.148884690597956 
2023-04-20 05:45:23,573 INFO t_ofi_order_5: 4.366199239259143 , std 2.6119837676888684 
2023-04-20 05:45:23,573 INFO t_ofi_order_6: 3.4277027043444104 , std 2.487487596998558 
2023-04-20 05:45:23,573 INFO t_ofi_order_7: 1.987240620769737 , std 1.7715686469949818 
2023-04-20 05:45:23,573 INFO t_ofi_order_8: 1.3221827421661758 , std 1.067850673035546 
2023-04-20 05:45:23,573 INFO t_ofi_order_9: 0.6847984959452055 , std 0.9486650604837937 
2023-04-20 05:45:23,573 INFO t_ofi_order_10: 1.2463725162366905 , std 1.7027943379069495 
2023-04-20 05:45:23,573 INFO t_ofi_trade_1: 0.6715912720161191 , std 1.0629126366579824 
2023-04-20 05:45:23,573 INFO t_ofi_trade_2: 1.5573932955288654 , std 1.2665993218466471 
2023-04-20 05:45:23,573 INFO t_ofi_trade_3: 2.1791268737443796 , std 1.663439734740305 
2023-04-20 05:45:23,573 INFO t_ofi_trade_4: 2.9685104703402687 , std 2.2024866159178544 
2023-04-20 05:45:23,573 INFO t_ofi_trade_5: 3.880850719830297 , std 2.3840848441086435 
2023-04-20 05:45:23,573 INFO t_ofi_trade_6: 2.5145237708169237 , std 2.0187831773196407 
2023-04-20 05:45:23,573 INFO t_ofi_trade_7: 1.0882906576662077 , std 1.1991335321999315 
2023-04-20 05:45:23,573 INFO t_ofi_trade_8: 0.8574920409086211 , std 0.9213727152886763 
2023-04-20 05:45:23,574 INFO t_ofi_trade_9: 0.7778163740482403 , std 1.4360463115292934 
2023-04-20 05:45:23,574 INFO t_ofi_trade_10: 1.330623203542297 , std 1.7525055608226874 
2023-04-20 05:45:23,574 INFO p_intercept: 0.47907292255445943 , std 0.3038695181843189 
2023-04-20 05:45:23,574 INFO p_ofi_order_1: 0.14501447075177734 , std 0.2966761263919539 
2023-04-20 05:45:23,574 INFO p_ofi_order_2: 0.04723319591812853 , std 0.08430465909415047 
2023-04-20 05:45:23,574 INFO p_ofi_order_3: 0.09098791839405594 , std 0.22333574075443824 
2023-04-20 05:45:23,574 INFO p_ofi_order_4: 0.050170241169126335 , std 0.10934138302756005 
2023-04-20 05:45:23,574 INFO p_ofi_order_5: 0.07318555675014861 , std 0.20600745361180867 
2023-04-20 05:45:23,574 INFO p_ofi_order_6: 0.12883864685883703 , std 0.22213356722470926 
2023-04-20 05:45:23,574 INFO p_ofi_order_7: 0.32977435446012726 , std 0.40341453279275485 
2023-04-20 05:45:23,574 INFO p_ofi_order_8: 0.38287673215062173 , std 0.36786438196739796 
2023-04-20 05:45:23,574 INFO p_ofi_order_9: 0.6500124506517001 , std 0.40445988925408266 
2023-04-20 05:45:23,574 INFO p_ofi_order_10: 0.5862644902855779 , std 0.458063007801186 
2023-04-20 05:45:23,574 INFO p_ofi_trade_1: 0.6148716042995596 , std 0.403140185757965 
2023-04-20 05:45:23,574 INFO p_ofi_trade_2: 0.3325229225394651 , std 0.36533797205771296 
2023-04-20 05:45:23,574 INFO p_ofi_trade_3: 0.24002251214567297 , std 0.32680145620193857 
2023-04-20 05:45:23,574 INFO p_ofi_trade_4: 0.23764144463802572 , std 0.37916198908258136 
2023-04-20 05:45:23,574 INFO p_ofi_trade_5: 0.057871075286256235 , std 0.1144414844673993 
2023-04-20 05:45:23,574 INFO p_ofi_trade_6: 0.23100019353284051 , std 0.33602988392968564 
2023-04-20 05:45:23,574 INFO p_ofi_trade_7: 0.5111929973971977 , std 0.41494148898910704 
2023-04-20 05:45:23,574 INFO p_ofi_trade_8: 0.5580494442765045 , std 0.42508288766179353 
2023-04-20 05:45:23,574 INFO p_ofi_trade_9: 0.6582697008871723 , std 0.35963856156406204 
2023-04-20 05:45:23,574 INFO p_ofi_trade_10: 0.5615105731518837 , std 0.4316208967286285 
