2023-04-20 05:47:07,996 INFO Tickers: ['TJX']
2023-04-20 05:52:41,721 INFO in_r2: 0.9467850863396926 , std 0.052121615991503875 
2023-04-20 05:52:41,721 INFO os_r2: 0.9321071730735006 , std 0.06745246833820813 
2023-04-20 05:52:41,721 INFO intercept: -1.488392044499948e-07 , std 5.106735781291633e-06 
2023-04-20 05:52:41,721 INFO ofi_order_1: 6.622754121563306e-05 , std 6.157789834210308e-05 
2023-04-20 05:52:41,721 INFO ofi_order_2: 9.801924528962292e-05 , std 5.900219773109613e-05 
2023-04-20 05:52:41,721 INFO ofi_order_3: 8.790807475847176e-05 , std 5.4722345066591216e-05 
2023-04-20 05:52:41,721 INFO ofi_order_4: 8.796199160774037e-05 , std 5.70141369613731e-05 
2023-04-20 05:52:41,721 INFO ofi_order_5: 8.083181212942496e-05 , std 5.850182373451462e-05 
2023-04-20 05:52:41,721 INFO ofi_order_6: 7.939122463105571e-05 , std 6.074490845956711e-05 
2023-04-20 05:52:41,722 INFO ofi_order_7: 7.545126787068769e-05 , std 6.242629790139301e-05 
2023-04-20 05:52:41,722 INFO ofi_order_8: 6.364708604566922e-05 , std 6.006359004911832e-05 
2023-04-20 05:52:41,722 INFO ofi_order_9: 5.8669787897591154e-05 , std 5.967874096739483e-05 
2023-04-20 05:52:41,722 INFO ofi_order_10: 5.4950192145440306e-05 , std 6.124450699802601e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_1: 3.7914368736159224e-05 , std 7.913307779427511e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_2: 8.307716716161051e-05 , std 7.682664140670803e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_3: 8.178891188777252e-05 , std 7.391692255461654e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_4: 9.021732957557696e-05 , std 7.534867241520408e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_5: 8.926481301538533e-05 , std 7.68398505412141e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_6: 8.647577120574978e-05 , std 7.820817153750102e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_7: 8.204366484949132e-05 , std 8.023593967999292e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_8: 7.04042997984035e-05 , std 7.875125576087939e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_9: 6.230186737422645e-05 , std 7.638752163556506e-05 
2023-04-20 05:52:41,722 INFO ofi_trade_10: 6.082184003085293e-05 , std 7.955560701989462e-05 
2023-04-20 05:52:41,722 INFO t_intercept: -0.012876687777254788 , std 0.9603933660693892 
2023-04-20 05:52:41,722 INFO t_ofi_order_1: 2.4668493436302072 , std 1.7240899599135522 
2023-04-20 05:52:41,722 INFO t_ofi_order_2: 3.137208167883742 , std 1.9350394839179543 
2023-04-20 05:52:41,722 INFO t_ofi_order_3: 2.878937332366727 , std 2.1834132475022408 
2023-04-20 05:52:41,722 INFO t_ofi_order_4: 2.8001696998224284 , std 2.398701245958034 
2023-04-20 05:52:41,722 INFO t_ofi_order_5: 2.505831492742871 , std 2.3532894099953126 
2023-04-20 05:52:41,722 INFO t_ofi_order_6: 2.478101369178207 , std 2.4722154048998024 
2023-04-20 05:52:41,722 INFO t_ofi_order_7: 2.136775352871859 , std 2.205873179416579 
2023-04-20 05:52:41,722 INFO t_ofi_order_8: 1.6790120273161864 , std 1.9432956960530186 
2023-04-20 05:52:41,722 INFO t_ofi_order_9: 1.4730239288721574 , std 1.8145007255175987 
