2023-04-20 05:27:02,430 INFO Tickers: ['UNP']
2023-04-20 05:28:29,520 INFO Negative OS: -0.2527163722700472 --- ticker UNP --- day 2018-02-02 --- time 50400
2023-04-20 05:30:29,292 INFO Negative OS: -0.13750878586812654 --- ticker UNP --- day 2019-01-30 --- time 50400
2023-04-20 05:31:53,816 INFO Negative OS: -1.0229281507619046 --- ticker UNP --- day 2019-09-13 --- time 52200
2023-04-20 05:32:00,604 INFO Negative OS: -0.7447311192031993 --- ticker UNP --- day 2019-10-03 --- time 36000
2023-04-20 05:32:25,449 INFO in_r2: 0.8771793363360978 , std 0.05176471680487092 
2023-04-20 05:32:25,450 INFO os_r2: 0.8443999850934126 , std 0.08422970423391846 
2023-04-20 05:32:25,450 INFO intercept: -8.422077038625064e-07 , std 7.860353462621864e-06 
2023-04-20 05:32:25,450 INFO ofi_order_1: 8.675935987923609e-05 , std 6.031552384504137e-05 
2023-04-20 05:32:25,450 INFO ofi_order_2: 0.00010113914694541435 , std 6.317046771932997e-05 
2023-04-20 05:32:25,450 INFO ofi_order_3: 6.768676435377407e-05 , std 5.221668467783392e-05 
2023-04-20 05:32:25,450 INFO ofi_order_4: 4.568822253900746e-05 , std 4.525205127032669e-05 
2023-04-20 05:32:25,450 INFO ofi_order_5: 3.5023820753943243e-05 , std 4.2175724684059474e-05 
2023-04-20 05:32:25,450 INFO ofi_order_6: 2.9100725787306742e-05 , std 4.104412190663117e-05 
2023-04-20 05:32:25,450 INFO ofi_order_7: 2.5147246879704883e-05 , std 4.0308971445023125e-05 
2023-04-20 05:32:25,450 INFO ofi_order_8: 2.4057490397639624e-05 , std 3.8110769689705254e-05 
2023-04-20 05:32:25,450 INFO ofi_order_9: 1.884089698578649e-05 , std 3.609469274099705e-05 
2023-04-20 05:32:25,450 INFO ofi_order_10: 1.8220331759307843e-05 , std 3.730732062904421e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_1: 5.812096031629148e-05 , std 8.897144564812341e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_2: 6.684243361000774e-05 , std 8.475709723602448e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_3: 5.5005523097800115e-05 , std 8.046971784464826e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_4: 4.466632999003098e-05 , std 6.983343516462636e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_5: 4.081202090270155e-05 , std 6.449110140309213e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_6: 3.875386932164001e-05 , std 7.013636301770451e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_7: 4.022255928682009e-05 , std 6.973151886832683e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_8: 4.2604787474105307e-05 , std 7.5430249806617e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_9: 4.613622778631416e-05 , std 8.288248390453149e-05 
2023-04-20 05:32:25,450 INFO ofi_trade_10: 4.727365205710218e-05 , std 8.1072606652374e-05 
2023-04-20 05:32:25,450 INFO t_intercept: -0.11899715726282578 , std 0.9907421580519115 
2023-04-20 05:32:25,450 INFO t_ofi_order_1: 2.4275167755529323 , std 1.3842545925062826 
2023-04-20 05:32:25,450 INFO t_ofi_order_2: 2.3571365223137044 , std 1.2331960302684928 
2023-04-20 05:32:25,450 INFO t_ofi_order_3: 1.530432759976555 , std 1.0353743915961666 
2023-04-20 05:32:25,450 INFO t_ofi_order_4: 1.0451150320902152 , std 0.9321939653138026 
2023-04-20 05:32:25,450 INFO t_ofi_order_5: 0.7777251703643486 , std 0.8382230137206347 
2023-04-20 05:32:25,450 INFO t_ofi_order_6: 0.6285576594236404 , std 0.7696927818785981 
2023-04-20 05:32:25,450 INFO t_ofi_order_7: 0.5168640556193094 , std 0.7275589587350295 
2023-04-20 05:32:25,450 INFO t_ofi_order_8: 0.49681213001349095 , std 0.7292063406393013 
2023-04-20 05:32:25,450 INFO t_ofi_order_9: 0.366897159574007 , std 0.6474982734476283 
2023-04-20 05:32:25,450 INFO t_ofi_order_10: 0.41411490772892606 , std 0.7594981661270099 
2023-04-20 05:32:25,450 INFO t_ofi_trade_1: 0.6997126852627955 , std 0.9372249096245933 
2023-04-20 05:32:25,450 INFO t_ofi_trade_2: 0.7922701273950384 , std 0.9012316093482551 
2023-04-20 05:32:25,450 INFO t_ofi_trade_3: 0.6761437305173296 , std 0.8331636433710279 
2023-04-20 05:32:25,450 INFO t_ofi_trade_4: 0.5688674336966281 , std 0.7741593326604177 
2023-04-20 05:32:25,450 INFO t_ofi_trade_5: 0.5161676540491704 , std 0.7248726199283602 
2023-04-20 05:32:25,450 INFO t_ofi_trade_6: 0.4851280667139746 , std 0.7084231400477768 
2023-04-20 05:32:25,450 INFO t_ofi_trade_7: 0.4592267335983945 , std 0.6809753584114209 
2023-04-20 05:32:25,450 INFO t_ofi_trade_8: 0.4741835546139614 , std 0.691550025775469 
2023-04-20 05:32:25,450 INFO t_ofi_trade_9: 0.4819596858091235 , std 0.6908875610231224 
2023-04-20 05:32:25,450 INFO t_ofi_trade_10: 0.5196849029089121 , std 0.7544027376265762 
2023-04-20 05:32:25,450 INFO p_intercept: 0.5013118976362687 , std 0.28594759201909115 
2023-04-20 05:32:25,451 INFO p_ofi_order_1: 0.14789071263597695 , std 0.2620394084131725 
2023-04-20 05:32:25,451 INFO p_ofi_order_2: 0.13255868063896298 , std 0.23848660552762047 
2023-04-20 05:32:25,451 INFO p_ofi_order_3: 0.2861146370127897 , std 0.32561793047616183 
2023-04-20 05:32:25,451 INFO p_ofi_order_4: 0.44136294964871736 , std 0.36555700519945467 
2023-04-20 05:32:25,451 INFO p_ofi_order_5: 0.5421858162765845 , std 0.36485348840863213 
2023-04-20 05:32:25,451 INFO p_ofi_order_6: 0.6025349693230779 , std 0.3562311143576117 
2023-04-20 05:32:25,451 INFO p_ofi_order_7: 0.6488683361351982 , std 0.3451992164842638 
2023-04-20 05:32:25,451 INFO p_ofi_order_8: 0.661499906341804 , std 0.3448241892740082 
2023-04-20 05:32:25,451 INFO p_ofi_order_9: 0.7243614114040828 , std 0.3233387873547516 
2023-04-20 05:32:25,451 INFO p_ofi_order_10: 0.6881473074359251 , std 0.3458514443439329 
2023-04-20 05:32:25,451 INFO p_ofi_trade_1: 0.6208074451529922 , std 0.39385716184602704 
2023-04-20 05:32:25,451 INFO p_ofi_trade_2: 0.568623791966601 , std 0.38624806361139385 
2023-04-20 05:32:25,451 INFO p_ofi_trade_3: 0.6116251815431015 , std 0.3752251527688028 
2023-04-20 05:32:25,451 INFO p_ofi_trade_4: 0.6522142137103015 , std 0.3640571530617364 
2023-04-20 05:32:25,451 INFO p_ofi_trade_5: 0.6752926052203936 , std 0.35314134438572214 
2023-04-20 05:32:25,451 INFO p_ofi_trade_6: 0.6867351345020967 , std 0.34685688181199537 
2023-04-20 05:32:25,451 INFO p_ofi_trade_7: 0.7002099446943801 , std 0.34164227515567414 
2023-04-20 05:32:25,451 INFO p_ofi_trade_8: 0.6985381893078091 , std 0.3423886908522597 
2023-04-20 05:32:25,451 INFO p_ofi_trade_9: 0.695108238676084 , std 0.3418804325669051 
2023-04-20 05:32:25,451 INFO p_ofi_trade_10: 0.6822114176093881 , std 0.3572827986316416 
