2023-04-20 04:58:10,474 INFO Tickers: ['V']
2023-04-20 05:04:34,973 INFO in_r2: 0.9243580218214552 , std 0.041760266102812735 
2023-04-20 05:04:34,973 INFO os_r2: 0.9056301314574982 , std 0.055348546669539006 
2023-04-20 05:04:34,973 INFO intercept: -3.287172202005975e-07 , std 5.297958087403857e-06 
2023-04-20 05:04:34,973 INFO ofi_order_1: 3.6101099630982716e-05 , std 3.860267587544508e-05 
2023-04-20 05:04:34,973 INFO ofi_order_2: 4.9733319396891754e-05 , std 4.063608225933551e-05 
2023-04-20 05:04:34,973 INFO ofi_order_3: 5.058041777555462e-05 , std 3.9198663282574914e-05 
2023-04-20 05:04:34,973 INFO ofi_order_4: 4.549157215838447e-05 , std 3.904353395738997e-05 
2023-04-20 05:04:34,973 INFO ofi_order_5: 4.061113574361111e-05 , std 3.764496258874181e-05 
2023-04-20 05:04:34,973 INFO ofi_order_6: 3.3761895598094734e-05 , std 3.3835160397442016e-05 
2023-04-20 05:04:34,973 INFO ofi_order_7: 3.46265089347044e-05 , std 3.926878244560563e-05 
2023-04-20 05:04:34,973 INFO ofi_order_8: 3.8451963947182304e-05 , std 4.457280145675511e-05 
2023-04-20 05:04:34,973 INFO ofi_order_9: 3.74131539157238e-05 , std 4.463564921295461e-05 
2023-04-20 05:04:34,973 INFO ofi_order_10: 3.9312172649433194e-05 , std 4.428167720831354e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_1: 2.149293693394546e-05 , std 5.0616411238164396e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_2: 4.04842518729757e-05 , std 5.4967866227036204e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_3: 4.459114558871394e-05 , std 5.302688934230857e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_4: 4.7445143612729684e-05 , std 5.295592238215079e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_5: 4.381416394040533e-05 , std 4.9034278162515054e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_6: 4.008711194694728e-05 , std 4.641883324012965e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_7: 3.858163320091973e-05 , std 4.8684327072228666e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_8: 4.015289809981032e-05 , std 5.3494333013157665e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_9: 3.900568627248697e-05 , std 5.257286949687093e-05 
2023-04-20 05:04:34,973 INFO ofi_trade_10: 4.2096661076384706e-05 , std 5.591521414133886e-05 
2023-04-20 05:04:34,973 INFO t_intercept: -0.050752904626946996 , std 0.946484239988188 
2023-04-20 05:04:34,973 INFO t_ofi_order_1: 1.3699435900017614 , std 1.3186769789507782 
2023-04-20 05:04:34,973 INFO t_ofi_order_2: 1.5207282539346687 , std 1.1816250336196226 
2023-04-20 05:04:34,973 INFO t_ofi_order_3: 1.4401512182999376 , std 1.0747636483910985 
2023-04-20 05:04:34,973 INFO t_ofi_order_4: 1.297087787404427 , std 1.0466385595770973 
2023-04-20 05:04:34,974 INFO t_ofi_order_5: 1.2185004140264137 , std 1.0627444021248784 
2023-04-20 05:04:34,974 INFO t_ofi_order_6: 1.0573728067349215 , std 0.9800103071888926 
2023-04-20 05:04:34,974 INFO t_ofi_order_7: 0.9873599495531141 , std 1.0105611949526694 
2023-04-20 05:04:34,974 INFO t_ofi_order_8: 0.9716551591004328 , std 0.9867582281924214 
2023-04-20 05:04:34,974 INFO t_ofi_order_9: 0.8912519874087194 , std 0.946684929331207 
2023-04-20 05:04:34,974 INFO t_ofi_order_10: 1.0834999186656922 , std 1.1043534978381333 
2023-04-20 05:04:34,974 INFO t_ofi_trade_1: 0.33983418008068617 , std 0.7475320208935625 
2023-04-20 05:04:34,974 INFO t_ofi_trade_2: 0.6658331901543358 , std 0.8703045193997258 
2023-04-20 05:04:34,974 INFO t_ofi_trade_3: 0.7725689627493671 , std 0.8930218088947892 
2023-04-20 05:04:34,974 INFO t_ofi_trade_4: 0.8487640891986353 , std 0.9156846773525871 
2023-04-20 05:04:34,974 INFO t_ofi_trade_5: 0.8332125883929368 , std 0.9145649761863887 
2023-04-20 05:04:34,974 INFO t_ofi_trade_6: 0.7851963281342872 , std 0.8814994772476907 
2023-04-20 05:04:34,974 INFO t_ofi_trade_7: 0.7286904420057794 , std 0.8610525889659141 
2023-04-20 05:04:34,974 INFO t_ofi_trade_8: 0.6895332897474264 , std 0.8329907105392653 
2023-04-20 05:04:34,974 INFO t_ofi_trade_9: 0.6580167266815988 , std 0.8296099558973231 
2023-04-20 05:04:34,974 INFO t_ofi_trade_10: 0.7702102667449071 , std 0.9460849287240374 
2023-04-20 05:04:34,974 INFO p_intercept: 0.5222223013869262 , std 0.2841248526662671 
2023-04-20 05:04:34,974 INFO p_ofi_order_1: 0.3696577845614232 , std 0.3765123839796929 
2023-04-20 05:04:34,974 INFO p_ofi_order_2: 0.3212540446705315 , std 0.353889328648342 
2023-04-20 05:04:34,974 INFO p_ofi_order_3: 0.3213204984545562 , std 0.339039452502948 
2023-04-20 05:04:34,974 INFO p_ofi_order_4: 0.36253682492981393 , std 0.3494483564217405 
2023-04-20 05:04:34,974 INFO p_ofi_order_5: 0.3930835941744371 , std 0.357892037499295 
2023-04-20 05:04:34,974 INFO p_ofi_order_6: 0.44159680142121716 , std 0.3651328774397022 
2023-04-20 05:04:34,974 INFO p_ofi_order_7: 0.47221730920992905 , std 0.36976956070752115 
2023-04-20 05:04:34,974 INFO p_ofi_order_8: 0.48523135903336256 , std 0.37487323050394045 
2023-04-20 05:04:34,974 INFO p_ofi_order_9: 0.5173659492349162 , std 0.3761316400147012 
2023-04-20 05:04:34,974 INFO p_ofi_order_10: 0.46408151568806577 , std 0.38952880437433557 
2023-04-20 05:04:34,974 INFO p_ofi_trade_1: 0.7847418868558842 , std 0.33944172886795626 
2023-04-20 05:04:34,974 INFO p_ofi_trade_2: 0.6288350516795645 , std 0.3838899548865443 
2023-04-20 05:04:34,974 INFO p_ofi_trade_3: 0.5744076504529797 , std 0.3809333573633231 
2023-04-20 05:04:34,974 INFO p_ofi_trade_4: 0.5352674404306274 , std 0.378674782786186 
2023-04-20 05:04:34,974 INFO p_ofi_trade_5: 0.5356269061935062 , std 0.37412145720553663 
2023-04-20 05:04:34,974 INFO p_ofi_trade_6: 0.5546590241090585 , std 0.371396047512466 
2023-04-20 05:04:34,974 INFO p_ofi_trade_7: 0.5798842128205955 , std 0.3706792214269339 
2023-04-20 05:04:34,974 INFO p_ofi_trade_8: 0.601909704110943 , std 0.37064774998562355 
2023-04-20 05:04:34,974 INFO p_ofi_trade_9: 0.6194936251826106 , std 0.3698652221598673 
2023-04-20 05:04:34,974 INFO p_ofi_trade_10: 0.589578294946839 , std 0.38773428450874287 
