2023-04-20 05:13:51,494 INFO Tickers: ['WMT']
2023-04-20 05:15:53,126 INFO Negative OS: -6.971805477182774 --- ticker WMT --- day 2017-11-14 --- time 50400
2023-04-20 05:20:26,341 INFO in_r2: 0.9474349049508908 , std 0.03608872979630495 
2023-04-20 05:20:26,341 INFO os_r2: 0.9272925685469378 , std 0.1053747597077695 
2023-04-20 05:20:26,341 INFO intercept: -1.0957018801687046e-07 , std 3.406020011930704e-06 
2023-04-20 05:20:26,341 INFO ofi_order_1: 3.893285642070014e-05 , std 3.9857086402450564e-05 
2023-04-20 05:20:26,341 INFO ofi_order_2: 6.203183485847394e-05 , std 4.381862892223096e-05 
2023-04-20 05:20:26,341 INFO ofi_order_3: 6.069250073478717e-05 , std 4.1609391135764464e-05 
2023-04-20 05:20:26,341 INFO ofi_order_4: 5.3022207878796325e-05 , std 3.9925844826613175e-05 
2023-04-20 05:20:26,341 INFO ofi_order_5: 4.451116246368118e-05 , std 3.6493539506872294e-05 
2023-04-20 05:20:26,341 INFO ofi_order_6: 4.883759173504967e-05 , std 4.561187127580086e-05 
2023-04-20 05:20:26,341 INFO ofi_order_7: 6.224131474417835e-05 , std 5.693727960872656e-05 
2023-04-20 05:20:26,341 INFO ofi_order_8: 5.6858510737630035e-05 , std 5.470832126272498e-05 
2023-04-20 05:20:26,341 INFO ofi_order_9: 5.405050130457704e-05 , std 5.6891970539515076e-05 
2023-04-20 05:20:26,341 INFO ofi_order_10: 5.7388936456232715e-05 , std 6.21096529405697e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_1: 1.7317937979328398e-05 , std 4.954909260560925e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_2: 5.183779377117625e-05 , std 6.0651514964495585e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_3: 6.038709075500701e-05 , std 5.8745228429166086e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_4: 5.848105285112938e-05 , std 5.558710260581571e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_5: 4.986453983742109e-05 , std 5.0765161919996724e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_6: 4.812508061283369e-05 , std 5.271549358218835e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_7: 6.041740470543186e-05 , std 6.761104978847651e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_8: 5.489157200462203e-05 , std 6.402665089354607e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_9: 4.632372085858012e-05 , std 6.196044725722497e-05 
2023-04-20 05:20:26,341 INFO ofi_trade_10: 5.016448377258015e-05 , std 6.399794244992644e-05 
2023-04-20 05:20:26,341 INFO t_intercept: -0.05439203017955386 , std 0.9601523083682605 
