2023-04-20 06:39:56,185 INFO Tickers: ['AMT']
2023-04-20 06:40:04,781 INFO Negative OS: -3.288485827511404 --- ticker AMT --- day 2017-03-27 --- time 52200
2023-04-20 06:40:14,260 INFO Negative OS: -0.16456626919786332 --- ticker AMT --- day 2017-04-28 --- time 36000
2023-04-20 06:40:19,503 INFO Negative OS: -4.064897438277504 --- ticker AMT --- day 2017-05-18 --- time 50400
2023-04-20 06:40:29,837 INFO Negative OS: -0.3264262951212191 --- ticker AMT --- day 2017-09-19 --- time 36000
2023-04-20 06:40:36,543 INFO Negative OS: -0.606389772298946 --- ticker AMT --- day 2017-12-01 --- time 45000
2023-04-20 06:40:48,389 INFO Negative OS: -2.3767967104184917 --- ticker AMT --- day 2018-02-06 --- time 37800
2023-04-20 06:40:53,245 INFO Negative OS: -0.9985959601668133 --- ticker AMT --- day 2018-02-09 --- time 36000
2023-04-20 06:40:57,983 INFO Negative OS: -0.5061990905803262 --- ticker AMT --- day 2018-02-16 --- time 36000
2023-04-20 06:40:58,612 INFO Negative OS: -0.45463118306359696 --- ticker AMT --- day 2018-02-16 --- time 50400
2023-04-20 06:41:00,598 INFO Negative OS: -0.5204055069944744 --- ticker AMT --- day 2018-02-27 --- time 52200
2023-04-20 06:41:05,764 INFO Negative OS: -0.10640322208180031 --- ticker AMT --- day 2018-03-28 --- time 52200
2023-04-20 06:41:06,497 INFO Negative OS: -1.4352257937559791 --- ticker AMT --- day 2018-04-02 --- time 50400
2023-04-20 06:41:19,963 INFO Negative OS: -0.15283677196460532 --- ticker AMT --- day 2018-06-27 --- time 50400
2023-04-20 06:41:32,132 INFO Negative OS: -1.5546443334658284 --- ticker AMT --- day 2018-10-11 --- time 36000
2023-04-20 06:41:36,962 INFO Negative OS: -0.16358699392664078 --- ticker AMT --- day 2018-10-16 --- time 36000
2023-04-20 06:41:39,613 INFO Negative OS: -0.8432886781102911 --- ticker AMT --- day 2018-10-18 --- time 41400
2023-04-20 06:41:45,631 INFO Negative OS: -0.2601428977514051 --- ticker AMT --- day 2018-10-23 --- time 48600
2023-04-20 06:41:47,287 INFO Negative OS: -0.23594769255440817 --- ticker AMT --- day 2018-10-25 --- time 37800
2023-04-20 06:41:53,188 INFO Negative OS: -0.05266886100822954 --- ticker AMT --- day 2018-10-29 --- time 48600
2023-04-20 06:41:53,824 INFO Negative OS: -0.3916138042062769 --- ticker AMT --- day 2018-10-30 --- time 36000
2023-04-20 06:41:54,696 INFO Negative OS: -0.17936017371295598 --- ticker AMT --- day 2018-10-30 --- time 46800
2023-04-20 06:42:02,387 INFO Negative OS: -0.2045385725751494 --- ticker AMT --- day 2018-11-14 --- time 52200
2023-04-20 06:42:03,297 INFO Negative OS: -0.5873938275444326 --- ticker AMT --- day 2018-11-15 --- time 43200
2023-04-20 06:42:08,761 INFO Negative OS: -4.1741650611894645 --- ticker AMT --- day 2018-11-20 --- time 43200
2023-04-20 06:42:17,903 INFO Negative OS: -2.7099988916084246 --- ticker AMT --- day 2018-12-06 --- time 48600
2023-04-20 06:42:18,306 INFO Negative OS: -3.6888168706738407 --- ticker AMT --- day 2018-12-06 --- time 50400
2023-04-20 06:42:21,899 INFO Negative OS: -1.6808319736890054 --- ticker AMT --- day 2018-12-10 --- time 43200
2023-04-20 06:42:26,326 INFO Negative OS: -0.04267310579813688 --- ticker AMT --- day 2018-12-13 --- time 50400
2023-04-20 06:42:26,592 INFO Negative OS: -8.060891220901562 --- ticker AMT --- day 2018-12-13 --- time 52200
2023-04-20 06:42:29,330 INFO Negative OS: -0.3720822469218228 --- ticker AMT --- day 2018-12-17 --- time 50400
2023-04-20 06:42:33,045 INFO Negative OS: -3.20847197261602 --- ticker AMT --- day 2018-12-19 --- time 52200
2023-04-20 06:42:33,882 INFO Negative OS: -2.0063667371551226 --- ticker AMT --- day 2018-12-20 --- time 41400
2023-04-20 06:42:38,373 INFO Negative OS: -0.7806986884491243 --- ticker AMT --- day 2018-12-21 --- time 41400
2023-04-20 06:42:50,895 INFO Negative OS: -2.461976451315392 --- ticker AMT --- day 2018-12-31 --- time 37800
2023-04-20 06:42:51,363 INFO Negative OS: -4.791371662455498 --- ticker AMT --- day 2018-12-31 --- time 46800
2023-04-20 06:43:02,682 INFO Negative OS: -0.029266965344584506 --- ticker AMT --- day 2019-01-10 --- time 41400
2023-04-20 06:43:13,601 INFO Negative OS: -0.9080228124942522 --- ticker AMT --- day 2019-01-23 --- time 48600
2023-04-20 06:43:33,068 INFO Negative OS: -0.03512460307529408 --- ticker AMT --- day 2019-03-20 --- time 50400
2023-04-20 06:43:35,022 INFO Negative OS: -8.860345032793242 --- ticker AMT --- day 2019-03-27 --- time 41400
2023-04-20 06:43:56,779 INFO Negative OS: -13.255398663638099 --- ticker AMT --- day 2019-05-31 --- time 37800
2023-04-20 06:44:02,980 INFO Negative OS: -0.027680893794543193 --- ticker AMT --- day 2019-06-20 --- time 36000
2023-04-20 06:44:18,621 INFO Negative OS: -0.002777528085196712 --- ticker AMT --- day 2019-08-13 --- time 52200
2023-04-20 06:44:22,702 INFO Negative OS: -3.1499189177709175 --- ticker AMT --- day 2019-08-20 --- time 39600
2023-04-20 06:44:37,339 INFO Negative OS: -0.024408887256708978 --- ticker AMT --- day 2019-09-12 --- time 37800
2023-04-20 06:44:38,301 INFO Negative OS: -0.057427676094909064 --- ticker AMT --- day 2019-09-19 --- time 52200
2023-04-20 06:44:45,448 INFO in_r2: 0.7595925795303612 , std 0.12990262570585476 
2023-04-20 06:44:45,448 INFO os_r2: 0.5640025648491728 , std 0.6671775085973791 
2023-04-20 06:44:45,448 INFO intercept: -0.0026413513253044424 , std 0.0025251903016884963 
2023-04-20 06:44:45,448 INFO ofi_add_1: 0.00043071453453183656 , std 0.0005070068094675954 
2023-04-20 06:44:45,448 INFO ofi_add_2: 0.0004320230823664941 , std 0.0005973077561803301 
2023-04-20 06:44:45,448 INFO ofi_add_3: 0.00033910770211461217 , std 0.0007338481499247983 
2023-04-20 06:44:45,448 INFO ofi_add_4: 0.00023479441412114254 , std 0.0005359419771946453 
2023-04-20 06:44:45,449 INFO ofi_add_5: 0.00019227154063652287 , std 0.0004410945910584338 
2023-04-20 06:44:45,449 INFO ofi_add_6: 0.00017317165281934598 , std 0.0003812822215188206 
2023-04-20 06:44:45,449 INFO ofi_add_7: 0.00014536088706084273 , std 0.0003732696836128153 
2023-04-20 06:44:45,449 INFO ofi_add_8: 0.0001333378839895751 , std 0.0003799341203151264 
2023-04-20 06:44:45,449 INFO ofi_add_9: 9.51603252080315e-05 , std 0.0003445534698676078 
2023-04-20 06:44:45,449 INFO ofi_add_10: 0.00011680693340476486 , std 0.0003620612351927014 
2023-04-20 06:44:45,449 INFO ofi_cancel_1: 0.00036381285072862685 , std 0.0004643026143224707 
2023-04-20 06:44:45,449 INFO ofi_cancel_2: 0.00039936060764098367 , std 0.0005803581802421665 
2023-04-20 06:44:45,449 INFO ofi_cancel_3: 0.0002768334549148027 , std 0.0006850045203140114 
2023-04-20 06:44:45,449 INFO ofi_cancel_4: 0.00018163184992911761 , std 0.0005346804000113955 
2023-04-20 06:44:45,449 INFO ofi_cancel_5: 0.00013416199469102352 , std 0.00041228684220697825 
2023-04-20 06:44:45,449 INFO ofi_cancel_6: 0.00011244159695685971 , std 0.00035419404344214534 
2023-04-20 06:44:45,449 INFO ofi_cancel_7: 0.00010326618306644773 , std 0.00033396071895674614 
2023-04-20 06:44:45,449 INFO ofi_cancel_8: 0.0001005863601138143 , std 0.00039729021297909244 
2023-04-20 06:44:45,449 INFO ofi_cancel_9: 7.52876330874085e-05 , std 0.00033676047136146984 
2023-04-20 06:44:45,449 INFO ofi_cancel_10: 0.00010423576504513993 , std 0.0003824867529477436 
2023-04-20 06:44:45,449 INFO ofi_trade_1: 0.0002080813577654127 , std 0.0003302182524960145 
2023-04-20 06:44:45,449 INFO ofi_trade_2: 0.00010022137210179697 , std 0.0002212508548415199 
2023-04-20 06:44:45,449 INFO ofi_trade_3: 8.581441575044387e-05 , std 0.00023970872354067124 
2023-04-20 06:44:45,449 INFO ofi_trade_4: 5.268220440340032e-05 , std 0.00024101322795409168 
2023-04-20 06:44:45,449 INFO ofi_trade_5: 7.700554638493473e-05 , std 0.0003071334592522374 
2023-04-20 06:44:45,449 INFO ofi_trade_6: 8.894847295091976e-05 , std 0.0002405591209908859 
2023-04-20 06:44:45,449 INFO ofi_trade_7: 0.00010915239801853117 , std 0.00026178315241221514 
2023-04-20 06:44:45,449 INFO ofi_trade_8: 0.00012005427619518681 , std 0.0002750829830315542 
2023-04-20 06:44:45,449 INFO ofi_trade_9: 0.00012033694064206547 , std 0.00026123686408285863 
2023-04-20 06:44:45,449 INFO ofi_trade_10: 0.00014328574999848933 , std 0.00028410156612421026 
2023-04-20 06:44:45,449 INFO t_intercept: -7.923799022931096 , std 4.0210472419970475 
2023-04-20 06:44:45,449 INFO t_ofi_add_1: 2.288403558371674 , std 1.4869327628625444 
2023-04-20 06:44:45,449 INFO t_ofi_add_2: 1.5691757440208831 , std 1.2508351498641612 
2023-04-20 06:44:45,449 INFO t_ofi_add_3: 0.9884315775694885 , std 0.9539690652839671 
2023-04-20 06:44:45,449 INFO t_ofi_add_4: 0.6001450301841462 , std 0.7529618170078071 
2023-04-20 06:44:45,449 INFO t_ofi_add_5: 0.44998616687454884 , std 0.6008194645345608 
2023-04-20 06:44:45,449 INFO t_ofi_add_6: 0.3563877708125442 , std 0.5315726993322961 
2023-04-20 06:44:45,449 INFO t_ofi_add_7: 0.29881236306681247 , std 0.4788226490872329 
2023-04-20 06:44:45,449 INFO t_ofi_add_8: 0.26061259886679766 , std 0.44451472153565846 
2023-04-20 06:44:45,449 INFO t_ofi_add_9: 0.23332381136867017 , std 0.4605683775133326 
2023-04-20 06:44:45,449 INFO t_ofi_add_10: 0.30311496392969933 , std 0.6182321956927816 
2023-04-20 06:44:45,449 INFO t_ofi_cancel_1: 2.199907260420228 , std 1.4125094831853962 
2023-04-20 06:44:45,449 INFO t_ofi_cancel_2: 1.6304931237221219 , std 1.2755228342204539 
2023-04-20 06:44:45,449 INFO t_ofi_cancel_3: 0.8967996455579453 , std 0.930282427600584 
2023-04-20 06:44:45,449 INFO t_ofi_cancel_4: 0.5013762278557864 , std 0.7689731167010121 
2023-04-20 06:44:45,449 INFO t_ofi_cancel_5: 0.31926067589287266 , std 0.5494845657205399 
2023-04-20 06:44:45,449 INFO t_ofi_cancel_6: 0.23930413928313674 , std 0.49093316247098523 
2023-04-20 06:44:45,449 INFO t_ofi_cancel_7: 0.19720716175427377 , std 0.44603844106150026 
2023-04-20 06:44:45,449 INFO t_ofi_cancel_8: 0.16557742600804173 , std 0.441636269398051 
