2023-04-20 06:05:39,121 INFO Tickers: ['BMY']
2023-04-20 06:05:44,298 INFO Negative OS: -1.5620989068031048 --- ticker BMY --- day 2017-01-11 --- time 41400
2023-04-20 06:06:01,074 INFO Negative OS: -0.6536251185862461 --- ticker BMY --- day 2017-02-09 --- time 46800
2023-04-20 06:06:46,380 INFO Negative OS: -0.04134232115457781 --- ticker BMY --- day 2017-04-26 --- time 36000
2023-04-20 06:07:26,514 INFO Negative OS: -0.718028954442123 --- ticker BMY --- day 2017-07-18 --- time 50400
2023-04-20 06:08:01,903 INFO Negative OS: -0.1086425330177807 --- ticker BMY --- day 2017-10-24 --- time 41400
2023-04-20 06:08:04,584 INFO Negative OS: -0.893557978844078 --- ticker BMY --- day 2017-10-27 --- time 48600
2023-04-20 06:08:04,827 INFO Negative OS: -2.002595179348236 --- ticker BMY --- day 2017-10-27 --- time 52200
2023-04-20 06:08:12,968 INFO Negative OS: -8.649042356772458 --- ticker BMY --- day 2017-11-28 --- time 39600
2023-04-20 06:08:13,025 INFO Negative OS: -0.022820633001684243 --- ticker BMY --- day 2017-11-28 --- time 41400
2023-04-20 06:08:20,054 INFO Negative OS: -0.6125619262430286 --- ticker BMY --- day 2017-12-18 --- time 39600
2023-04-20 06:08:22,070 INFO Negative OS: -0.8050098625993158 --- ticker BMY --- day 2017-12-29 --- time 37800
2023-04-20 06:08:25,334 INFO Negative OS: -0.021408617306943878 --- ticker BMY --- day 2018-01-08 --- time 46800
2023-04-20 06:08:33,559 INFO Negative OS: -1.752575563339338 --- ticker BMY --- day 2018-01-24 --- time 39600
2023-04-20 06:08:35,966 INFO Negative OS: -2.3448526074653477 --- ticker BMY --- day 2018-01-29 --- time 36000
2023-04-20 06:08:40,715 INFO Negative OS: -0.9882420130743916 --- ticker BMY --- day 2018-02-05 --- time 50400
2023-04-20 06:08:42,367 INFO Negative OS: -0.7175500521401874 --- ticker BMY --- day 2018-02-07 --- time 36000
2023-04-20 06:08:43,336 INFO Negative OS: -9.990060139428964 --- ticker BMY --- day 2018-02-07 --- time 48600
2023-04-20 06:08:45,499 INFO Negative OS: -1.041430088345698 --- ticker BMY --- day 2018-02-09 --- time 41400
2023-04-20 06:08:49,376 INFO Negative OS: -0.4808198219141362 --- ticker BMY --- day 2018-02-14 --- time 45000
2023-04-20 06:08:50,018 INFO Negative OS: -0.4924326383877511 --- ticker BMY --- day 2018-02-15 --- time 39600
2023-04-20 06:08:50,638 INFO Negative OS: -1.8881838100810415 --- ticker BMY --- day 2018-02-15 --- time 52200
2023-04-20 06:08:51,641 INFO Negative OS: -0.08391743423789255 --- ticker BMY --- day 2018-02-20 --- time 39600
2023-04-20 06:08:52,257 INFO Negative OS: -9.360203051130355 --- ticker BMY --- day 2018-02-20 --- time 52200
2023-04-20 06:08:53,571 INFO Negative OS: -0.08304492518158368 --- ticker BMY --- day 2018-02-23 --- time 36000
2023-04-20 06:08:55,804 INFO Negative OS: -4.3452077701050476 --- ticker BMY --- day 2018-02-28 --- time 36000
2023-04-20 06:09:16,871 INFO Negative OS: -0.30808676361188847 --- ticker BMY --- day 2018-04-09 --- time 41400
2023-04-20 06:09:17,947 INFO Negative OS: -0.2019758981699924 --- ticker BMY --- day 2018-04-10 --- time 52200
2023-04-20 06:09:24,559 INFO Negative OS: -0.17523203791633524 --- ticker BMY --- day 2018-04-23 --- time 39600
2023-04-20 06:09:26,847 INFO Negative OS: -3.7213745609192808 --- ticker BMY --- day 2018-04-26 --- time 39600
2023-04-20 06:09:41,171 INFO Negative OS: -0.1911561712249097 --- ticker BMY --- day 2018-05-18 --- time 37800
2023-04-20 06:10:58,673 INFO Negative OS: -8.267108143219069 --- ticker BMY --- day 2018-10-26 --- time 37800
2023-04-20 06:11:07,327 INFO Negative OS: -0.3474740745718823 --- ticker BMY --- day 2018-11-09 --- time 52200
2023-04-20 06:11:11,276 INFO Negative OS: -0.17119721174079738 --- ticker BMY --- day 2018-11-16 --- time 52200
2023-04-20 06:11:34,376 INFO Negative OS: -0.04416330269850732 --- ticker BMY --- day 2019-01-03 --- time 45000
2023-04-20 06:11:34,536 INFO Negative OS: -0.2437069023706373 --- ticker BMY --- day 2019-01-03 --- time 48600
2023-04-20 06:11:34,766 INFO Negative OS: -0.13301457066682576 --- ticker BMY --- day 2019-01-04 --- time 36000
2023-04-20 06:11:39,860 INFO Negative OS: -0.4907008554912555 --- ticker BMY --- day 2019-01-15 --- time 41400
2023-04-20 06:11:54,029 INFO Negative OS: -0.0026785036277194862 --- ticker BMY --- day 2019-02-11 --- time 36000
2023-04-20 06:11:54,957 INFO Negative OS: -1.8603729498540025 --- ticker BMY --- day 2019-02-12 --- time 37800
2023-04-20 06:13:27,416 INFO Negative OS: -0.7506163883008725 --- ticker BMY --- day 2019-07-12 --- time 36000
2023-04-20 06:14:07,908 INFO Negative OS: -1.8505355542430966 --- ticker BMY --- day 2019-09-12 --- time 45000
2023-04-20 06:14:20,728 INFO Negative OS: -0.4317241168026982 --- ticker BMY --- day 2019-10-01 --- time 36000
2023-04-20 06:14:28,897 INFO Negative OS: -0.2876945566504323 --- ticker BMY --- day 2019-10-11 --- time 48600
2023-04-20 06:14:35,957 INFO Negative OS: -2.821281526774538 --- ticker BMY --- day 2019-10-23 --- time 48600
2023-04-20 06:14:36,047 INFO Negative OS: -4.275018172679259 --- ticker BMY --- day 2019-10-23 --- time 50400
2023-04-20 06:14:40,941 INFO Negative OS: -0.07481610560082275 --- ticker BMY --- day 2019-10-31 --- time 46800
2023-04-20 06:14:47,241 INFO Negative OS: -0.5049879283918866 --- ticker BMY --- day 2019-11-12 --- time 36000
2023-04-20 06:14:48,707 INFO Negative OS: -1.6419333281201447 --- ticker BMY --- day 2019-11-13 --- time 48600
2023-04-20 06:15:06,071 INFO in_r2: 0.9673812931537218 , std 0.045348181201391245 
2023-04-20 06:15:06,071 INFO os_r2: 0.8960390257046332 , std 0.3243003653391613 
2023-04-20 06:15:06,071 INFO intercept: -0.0022346092454376995 , std 0.0015795155556417543 
2023-04-20 06:15:06,071 INFO ofi_add_1: 0.00015964866792005406 , std 0.0002767936071096962 
2023-04-20 06:15:06,071 INFO ofi_add_2: 0.00021829871725558703 , std 0.0002810096668833901 
2023-04-20 06:15:06,071 INFO ofi_add_3: 0.00021899553344853696 , std 0.00027617472601030153 
2023-04-20 06:15:06,071 INFO ofi_add_4: 0.0002492137255652888 , std 0.0003505059016151525 
2023-04-20 06:15:06,071 INFO ofi_add_5: 0.00021146664518027975 , std 0.00025665788810559187 
2023-04-20 06:15:06,071 INFO ofi_add_6: 0.00021162462158213572 , std 0.00025071748762209913 
2023-04-20 06:15:06,071 INFO ofi_add_7: 0.00019117121733527184 , std 0.00024628560544361305 
2023-04-20 06:15:06,071 INFO ofi_add_8: 0.0001775061425289529 , std 0.0003407644436724189 
2023-04-20 06:15:06,071 INFO ofi_add_9: 0.00015250989431841495 , std 0.00022807314791409443 
2023-04-20 06:15:06,071 INFO ofi_add_10: 0.00018856635961611692 , std 0.0003245010792931385 
2023-04-20 06:15:06,071 INFO ofi_cancel_1: 6.957459912203908e-05 , std 0.00016458602954924493 
2023-04-20 06:15:06,071 INFO ofi_cancel_2: 0.00015446634790796293 , std 0.00024029160494720258 
2023-04-20 06:15:06,071 INFO ofi_cancel_3: 0.00018283136621295295 , std 0.00022657492077251168 
2023-04-20 06:15:06,071 INFO ofi_cancel_4: 0.000204475292645376 , std 0.00029108949183319333 
2023-04-20 06:15:06,071 INFO ofi_cancel_5: 0.00017948466077144404 , std 0.0002285788348822383 
2023-04-20 06:15:06,071 INFO ofi_cancel_6: 0.00016927503618029876 , std 0.00023068328071415982 
2023-04-20 06:15:06,071 INFO ofi_cancel_7: 0.00013549132850733812 , std 0.00019932346935357684 
2023-04-20 06:15:06,071 INFO ofi_cancel_8: 0.00012646807878613663 , std 0.0002274911517676127 
2023-04-20 06:15:06,071 INFO ofi_cancel_9: 0.00011416533423973864 , std 0.00020240600235684334 
2023-04-20 06:15:06,071 INFO ofi_cancel_10: 0.00014400021823830525 , std 0.0002602710936794556 
2023-04-20 06:15:06,071 INFO ofi_trade_1: 5.8969431715143354e-05 , std 0.0001838062357497118 
2023-04-20 06:15:06,071 INFO ofi_trade_2: 9.773838980305665e-05 , std 0.00015904536379972054 
2023-04-20 06:15:06,071 INFO ofi_trade_3: 0.00011572502289329569 , std 0.00017991905220337415 
2023-04-20 06:15:06,071 INFO ofi_trade_4: 0.00011900125627556087 , std 0.00018510665370120128 
2023-04-20 06:15:06,071 INFO ofi_trade_5: 0.00010889553501923872 , std 0.00015410824447331016 
2023-04-20 06:15:06,071 INFO ofi_trade_6: 0.00011888983165603418 , std 0.00017335637689021795 
2023-04-20 06:15:06,071 INFO ofi_trade_7: 0.0001013359083179623 , std 0.00021944022655489233 
2023-04-20 06:15:06,071 INFO ofi_trade_8: 9.174962701791704e-05 , std 0.00014796378986259642 
2023-04-20 06:15:06,071 INFO ofi_trade_9: 8.650062483540396e-05 , std 0.00017548930746584884 
2023-04-20 06:15:06,071 INFO ofi_trade_10: 0.00010375341453990772 , std 0.00018636478070247368 
2023-04-20 06:15:06,071 INFO t_intercept: -27.073317589717277 , std 17.536717165037317 
2023-04-20 06:15:06,071 INFO t_ofi_add_1: 1.4829773351727535 , std 1.5152064829872365 
2023-04-20 06:15:06,071 INFO t_ofi_add_2: 2.0681607028878575 , std 1.6360781934300916 
2023-04-20 06:15:06,071 INFO t_ofi_add_3: 2.343621750491364 , std 1.7656421182752668 
2023-04-20 06:15:06,071 INFO t_ofi_add_4: 2.424261868588651 , std 1.8432835016275426 
2023-04-20 06:15:06,071 INFO t_ofi_add_5: 2.110093394963628 , std 1.832560367524909 
2023-04-20 06:15:06,071 INFO t_ofi_add_6: 2.195574743092998 , std 1.9470155054109304 
2023-04-20 06:15:06,072 INFO t_ofi_add_7: 2.0276362418094567 , std 1.9347725272156233 
2023-04-20 06:15:06,072 INFO t_ofi_add_8: 1.8238216066111306 , std 1.824806405915887 
2023-04-20 06:15:06,072 INFO t_ofi_add_9: 1.6793656194127955 , std 1.8088949181031708 
2023-04-20 06:15:06,072 INFO t_ofi_add_10: 2.022396391444746 , std 2.0975964877633064 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_1: 0.8414902903264877 , std 1.2559482281205911 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_2: 1.7573541460633881 , std 1.643610455804771 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_3: 2.1072999171012388 , std 1.6273471290945665 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_4: 2.161732448970243 , std 1.6855300595208023 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_5: 1.9007040073037804 , std 1.6720993780433147 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_6: 1.8572810111081888 , std 1.7053807862064054 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_7: 1.5597981041829307 , std 1.6625730146592028 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_8: 1.4151984714041421 , std 1.587175518565698 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_9: 1.3308420246450887 , std 1.567548625901273 
2023-04-20 06:15:06,072 INFO t_ofi_cancel_10: 1.5817551796022766 , std 1.7791929827182227 
2023-04-20 06:15:06,072 INFO t_ofi_trade_1: 0.7454464259778337 , std 1.3114436613283875 
2023-04-20 06:15:06,072 INFO t_ofi_trade_2: 1.441914781020526 , std 1.4588596189899417 
