2023-04-20 06:19:55,765 INFO Tickers: ['HON']
2023-04-20 06:20:03,922 INFO Negative OS: -0.48880552940991184 --- ticker HON --- day 2017-01-26 --- time 52200
2023-04-20 06:20:48,135 INFO Negative OS: -1.094910467379096 --- ticker HON --- day 2017-06-01 --- time 36000
2023-04-20 06:20:59,460 INFO Negative OS: -0.3840568877191324 --- ticker HON --- day 2017-08-10 --- time 36000
2023-04-20 06:21:12,844 INFO Negative OS: -0.02930029366366038 --- ticker HON --- day 2017-12-07 --- time 36000
2023-04-20 06:21:19,316 INFO Negative OS: -2.2488478551794353 --- ticker HON --- day 2018-01-24 --- time 45000
2023-04-20 06:21:22,545 INFO Negative OS: -0.3098991033541463 --- ticker HON --- day 2018-02-05 --- time 36000
2023-04-20 06:21:22,683 INFO Negative OS: -7.4113705642936605 --- ticker HON --- day 2018-02-05 --- time 37800
2023-04-20 06:21:22,895 INFO Negative OS: -0.005403789092650602 --- ticker HON --- day 2018-02-05 --- time 45000
2023-04-20 06:21:24,174 INFO Negative OS: -0.7067344045508235 --- ticker HON --- day 2018-02-06 --- time 39600
2023-04-20 06:21:29,918 INFO Negative OS: -0.7123724849695214 --- ticker HON --- day 2018-02-09 --- time 36000
2023-04-20 06:21:31,059 INFO Negative OS: -1.257325455102825 --- ticker HON --- day 2018-02-09 --- time 45000
2023-04-20 06:21:39,551 INFO Negative OS: -0.6213078415049857 --- ticker HON --- day 2018-02-28 --- time 36000
2023-04-20 06:21:40,570 INFO Negative OS: -0.7907867848366807 --- ticker HON --- day 2018-03-01 --- time 46800
2023-04-20 06:21:40,718 INFO Negative OS: -0.341947248696864 --- ticker HON --- day 2018-03-01 --- time 48600
2023-04-20 06:21:41,208 INFO Negative OS: -0.16462744130719775 --- ticker HON --- day 2018-03-02 --- time 36000
2023-04-20 06:22:07,907 INFO Negative OS: -8.7259405784071 --- ticker HON --- day 2018-05-04 --- time 36000
2023-04-20 06:22:25,364 INFO Negative OS: -0.6596179020119084 --- ticker HON --- day 2018-07-09 --- time 50400
2023-04-20 06:22:30,045 INFO Negative OS: -0.003386807136526615 --- ticker HON --- day 2018-07-20 --- time 41400
2023-04-20 06:22:30,274 INFO Negative OS: -0.13964742607988523 --- ticker HON --- day 2018-07-20 --- time 45000
2023-04-20 06:22:40,014 INFO Negative OS: -0.08012088250840854 --- ticker HON --- day 2018-08-01 --- time 50400
2023-04-20 06:23:13,607 INFO Negative OS: -0.4696224779056375 --- ticker HON --- day 2018-10-23 --- time 36000
2023-04-20 06:23:19,169 INFO Negative OS: -0.8283676003536895 --- ticker HON --- day 2018-10-31 --- time 45000
2023-04-20 06:23:21,832 INFO Negative OS: -0.6525653549094412 --- ticker HON --- day 2018-11-06 --- time 36000
2023-04-20 06:23:39,544 INFO Negative OS: -0.18262018206275732 --- ticker HON --- day 2018-12-06 --- time 46800
2023-04-20 06:23:39,674 INFO Negative OS: -0.8316095527049197 --- ticker HON --- day 2018-12-06 --- time 48600
2023-04-20 06:23:53,167 INFO Negative OS: -0.5786521379583378 --- ticker HON --- day 2019-01-02 --- time 36000
2023-04-20 06:23:53,384 INFO Negative OS: -0.7669412520348158 --- ticker HON --- day 2019-01-02 --- time 41400
2023-04-20 06:24:08,859 INFO Negative OS: -5.1334818883719615 --- ticker HON --- day 2019-02-01 --- time 41400
2023-04-20 06:24:09,433 INFO Negative OS: -0.28946052786983745 --- ticker HON --- day 2019-02-01 --- time 50400
2023-04-20 06:24:30,648 INFO Negative OS: -1.3075625705923923 --- ticker HON --- day 2019-03-12 --- time 45000
2023-04-20 06:25:15,301 INFO Negative OS: -4.100187917391112 --- ticker HON --- day 2019-06-21 --- time 41400
2023-04-20 06:25:17,142 INFO Negative OS: -1.6522699956040214 --- ticker HON --- day 2019-06-27 --- time 36000
2023-04-20 06:25:22,263 INFO Negative OS: -2.5235933567695055 --- ticker HON --- day 2019-07-17 --- time 37800
2023-04-20 06:25:22,380 INFO Negative OS: -0.16316385374880116 --- ticker HON --- day 2019-07-17 --- time 39600
2023-04-20 06:25:27,607 INFO Negative OS: -0.016075691316900453 --- ticker HON --- day 2019-08-01 --- time 46800
2023-04-20 06:25:30,431 INFO Negative OS: -29.189770503296966 --- ticker HON --- day 2019-08-05 --- time 50400
2023-04-20 06:25:32,936 INFO Negative OS: -0.6434983686507876 --- ticker HON --- day 2019-08-08 --- time 46800
2023-04-20 06:25:34,670 INFO Negative OS: -36.538280578364414 --- ticker HON --- day 2019-08-12 --- time 52200
2023-04-20 06:25:42,966 INFO Negative OS: -2.251520323038955 --- ticker HON --- day 2019-08-28 --- time 43200
2023-04-20 06:25:47,275 INFO Negative OS: -0.5993651566278215 --- ticker HON --- day 2019-09-06 --- time 52200
2023-04-20 06:25:53,797 INFO Negative OS: -0.41404574434994124 --- ticker HON --- day 2019-09-26 --- time 43200
2023-04-20 06:25:58,091 INFO Negative OS: -0.5165439293714826 --- ticker HON --- day 2019-10-08 --- time 45000
2023-04-20 06:25:58,407 INFO Negative OS: -1.8285524280183139 --- ticker HON --- day 2019-10-08 --- time 52200
2023-04-20 06:25:58,550 INFO Negative OS: -0.5842827691859784 --- ticker HON --- day 2019-10-09 --- time 37800
2023-04-20 06:26:04,195 INFO Negative OS: -0.12602993294140852 --- ticker HON --- day 2019-10-29 --- time 50400
2023-04-20 06:26:05,682 INFO Negative OS: -0.03586504539559221 --- ticker HON --- day 2019-11-01 --- time 36000
2023-04-20 06:26:16,553 INFO Negative OS: -0.0442147616394728 --- ticker HON --- day 2019-12-12 --- time 52200
2023-04-20 06:26:17,630 INFO in_r2: 0.8490014611213184 , std 0.06756920496553502 
2023-04-20 06:26:17,630 INFO os_r2: 0.7424217966377619 , std 0.7596710715139615 
2023-04-20 06:26:17,630 INFO intercept: -0.0016480042326494561 , std 0.001645807810815054 
2023-04-20 06:26:17,630 INFO ofi_add_1: 0.0002219465138403231 , std 0.00031872702048085663 
2023-04-20 06:26:17,630 INFO ofi_add_2: 0.0002803816959660424 , std 0.0004316197501330164 
2023-04-20 06:26:17,630 INFO ofi_add_3: 0.0002188063615746333 , std 0.00030486034220741145 
2023-04-20 06:26:17,630 INFO ofi_add_4: 0.00016116819859256768 , std 0.00029715279478481236 
2023-04-20 06:26:17,630 INFO ofi_add_5: 0.00012482812995678161 , std 0.00024385207248028268 
2023-04-20 06:26:17,630 INFO ofi_add_6: 0.00010911616013762913 , std 0.00024855244564849275 
2023-04-20 06:26:17,630 INFO ofi_add_7: 9.464377226891986e-05 , std 0.00020192489368177593 
2023-04-20 06:26:17,630 INFO ofi_add_8: 8.849625729569662e-05 , std 0.0002432233227317118 
2023-04-20 06:26:17,630 INFO ofi_add_9: 8.513982346087513e-05 , std 0.00022449560156598362 
2023-04-20 06:26:17,630 INFO ofi_add_10: 9.645831077805407e-05 , std 0.00023920803886997712 
2023-04-20 06:26:17,630 INFO ofi_cancel_1: 0.00018295910884653677 , std 0.0002899347560574192 
2023-04-20 06:26:17,630 INFO ofi_cancel_2: 0.0002560914222009426 , std 0.00042031948285473384 
2023-04-20 06:26:17,630 INFO ofi_cancel_3: 0.00017294532841638646 , std 0.0002900397876764807 
2023-04-20 06:26:17,630 INFO ofi_cancel_4: 0.00012624898082716645 , std 0.0002980891475958391 
2023-04-20 06:26:17,630 INFO ofi_cancel_5: 9.365275068387291e-05 , std 0.000230647228304037 
2023-04-20 06:26:17,630 INFO ofi_cancel_6: 7.963849362880036e-05 , std 0.00022501758070073082 
2023-04-20 06:26:17,630 INFO ofi_cancel_7: 6.424228270844716e-05 , std 0.00017681843262695035 
2023-04-20 06:26:17,630 INFO ofi_cancel_8: 6.207336792034064e-05 , std 0.00022289916939944384 
2023-04-20 06:26:17,630 INFO ofi_cancel_9: 5.908038631731094e-05 , std 0.00019235189747866037 
2023-04-20 06:26:17,630 INFO ofi_cancel_10: 7.490591600482021e-05 , std 0.00023573101411797554 
2023-04-20 06:26:17,630 INFO ofi_trade_1: 9.635581139455043e-05 , std 0.00016326147065428523 
2023-04-20 06:26:17,630 INFO ofi_trade_2: 7.276413660276649e-05 , std 0.00014745981891127696 
2023-04-20 06:26:17,630 INFO ofi_trade_3: 5.982007433099171e-05 , std 0.00013344872444486563 
2023-04-20 06:26:17,630 INFO ofi_trade_4: 5.313119829077947e-05 , std 0.00012110090759770622 
2023-04-20 06:26:17,630 INFO ofi_trade_5: 5.1120325079712266e-05 , std 0.00013475341949214132 
2023-04-20 06:26:17,630 INFO ofi_trade_6: 4.530904913575032e-05 , std 0.00011909545357603606 
2023-04-20 06:26:17,630 INFO ofi_trade_7: 5.5208771365433154e-05 , std 0.00016098871533277176 
2023-04-20 06:26:17,630 INFO ofi_trade_8: 5.7349727926509904e-05 , std 0.00013072595545688987 
2023-04-20 06:26:17,630 INFO ofi_trade_9: 5.8794461179467173e-05 , std 0.0001400896646350983 
2023-04-20 06:26:17,630 INFO ofi_trade_10: 7.68340001610137e-05 , std 0.000154682485435585 
2023-04-20 06:26:17,630 INFO t_intercept: -11.343689473417477 , std 4.55830715247941 
2023-04-20 06:26:17,630 INFO t_ofi_add_1: 1.9570402014337194 , std 1.3680067972667758 
2023-04-20 06:26:17,631 INFO t_ofi_add_2: 1.6048731082890477 , std 1.1898277057733353 
2023-04-20 06:26:17,631 INFO t_ofi_add_3: 1.156057550620131 , std 0.9657733297659522 
2023-04-20 06:26:17,631 INFO t_ofi_add_4: 0.7875825332336917 , std 0.8118079512906491 
2023-04-20 06:26:17,631 INFO t_ofi_add_5: 0.5550992963046811 , std 0.6757985463992672 
2023-04-20 06:26:17,631 INFO t_ofi_add_6: 0.4550520023468458 , std 0.6154861124326022 
2023-04-20 06:26:17,631 INFO t_ofi_add_7: 0.3886555168860636 , std 0.5609816619322917 
2023-04-20 06:26:17,631 INFO t_ofi_add_8: 0.3549158593843443 , std 0.5551691913126842 
2023-04-20 06:26:17,631 INFO t_ofi_add_9: 0.33530668345608156 , std 0.5361888565289923 
2023-04-20 06:26:17,631 INFO t_ofi_add_10: 0.4454621698424766 , std 0.6372198432496184 
2023-04-20 06:26:17,631 INFO t_ofi_cancel_1: 1.8356057482103663 , std 1.3446429033502971 
2023-04-20 06:26:17,631 INFO t_ofi_cancel_2: 1.6954155388066685 , std 1.2270174783964325 
2023-04-20 06:26:17,631 INFO t_ofi_cancel_3: 1.037691128967022 , std 0.9548317263265504 
2023-04-20 06:26:17,631 INFO t_ofi_cancel_4: 0.6805795883470716 , std 0.7830559723040426 
2023-04-20 06:26:17,631 INFO t_ofi_cancel_5: 0.45518767544117655 , std 0.657546808453173 
2023-04-20 06:26:17,631 INFO t_ofi_cancel_6: 0.35395452950667006 , std 0.5803674202099709 
2023-04-20 06:26:17,631 INFO t_ofi_cancel_7: 0.27566848319678755 , std 0.5295113991885321 
2023-04-20 06:26:17,631 INFO t_ofi_cancel_8: 0.25301196315283603 , std 0.5113338829280745 
2023-04-20 06:26:17,631 INFO t_ofi_cancel_9: 0.24688375725008352 , std 0.5097267031661684 
