2023-04-20 05:33:27,260 INFO Tickers: ['ADP']
2023-04-20 05:33:28,045 INFO Negative OS: -1.5260470652434592 --- ticker ADP --- day 2017-01-17 --- time 36000
2023-04-20 05:33:39,374 INFO Negative OS: -2.805908397038868 --- ticker ADP --- day 2017-07-27 --- time 45000
2023-04-20 05:33:48,738 INFO Negative OS: -1.0501818840579933 --- ticker ADP --- day 2018-01-24 --- time 50400
2023-04-20 05:33:49,938 INFO Negative OS: -7.037508402471184 --- ticker ADP --- day 2018-02-14 --- time 50400
2023-04-20 05:33:49,944 INFO Negative OS: -1.3163038420994342 --- ticker ADP --- day 2018-02-14 --- time 52200
2023-04-20 05:33:50,014 INFO Negative OS: -5.223232712671164 --- ticker ADP --- day 2018-02-15 --- time 48600
2023-04-20 05:33:50,133 INFO Negative OS: -0.04204148852713119 --- ticker ADP --- day 2018-02-20 --- time 36000
2023-04-20 05:33:51,082 INFO Negative OS: -8.620125580122004 --- ticker ADP --- day 2018-03-08 --- time 37800
2023-04-20 05:33:51,088 INFO Negative OS: -13.875291114634313 --- ticker ADP --- day 2018-03-08 --- time 39600
2023-04-20 05:33:51,457 INFO Negative OS: -0.7893752656576265 --- ticker ADP --- day 2018-03-15 --- time 37800
2023-04-20 05:33:54,573 INFO Negative OS: -1.6965517956701017 --- ticker ADP --- day 2018-05-10 --- time 45000
2023-04-20 05:34:02,890 INFO Negative OS: -0.046166279751972406 --- ticker ADP --- day 2018-10-09 --- time 52200
2023-04-20 05:34:04,668 INFO Negative OS: -0.08313539058837871 --- ticker ADP --- day 2018-11-07 --- time 36000
2023-04-20 05:34:13,156 INFO Negative OS: -0.19827166465454393 --- ticker ADP --- day 2019-04-04 --- time 36000
2023-04-20 05:34:21,584 INFO Negative OS: -0.44497843276727744 --- ticker ADP --- day 2019-09-03 --- time 37800
2023-04-20 05:34:27,318 INFO in_r2: 0.8612355368291719 , std 0.07121155135237074 
2023-04-20 05:34:27,318 INFO os_r2: 0.81070007077706 , std 0.31196333789393393 
2023-04-20 05:34:27,318 INFO intercept: -5.3106168985997285e-08 , std 1.550289277584146e-05 
2023-04-20 05:34:27,318 INFO pca_1: 2.3770112952281935e-06 , std 7.345900034265605e-05 
2023-04-20 05:34:27,318 INFO pca_2: -5.846913485012962e-06 , std 0.00015267370915788439 
2023-04-20 05:34:27,318 INFO pca_3: -4.8991473084398645e-06 , std 9.928901398655962e-05 
2023-04-20 05:34:27,318 INFO pca_4: -1.4150185952177754e-06 , std 8.324787851491827e-05 
2023-04-20 05:34:27,318 INFO pca_5: -2.1560235637524857e-06 , std 7.607509224742341e-05 
2023-04-20 05:34:27,318 INFO pca_6: -1.172196465831e-06 , std 6.853950513685192e-05 
2023-04-20 05:34:27,318 INFO pca_7: -2.2857274122149307e-06 , std 6.694201542473482e-05 
2023-04-20 05:34:27,318 INFO pca_8: 7.519406397075961e-07 , std 6.153026914317395e-05 
2023-04-20 05:34:27,318 INFO pca_9: -2.0296862195067537e-07 , std 5.867039991235716e-05 
2023-04-20 05:34:27,318 INFO pca_10: -8.054687834190932e-07 , std 6.249032494194017e-05 
2023-04-20 05:34:27,318 INFO t_intercept: 0.046067950712206124 , std 3.127829975575553 
2023-04-20 05:34:27,318 INFO t_pca_1: 0.8296293332600774 , std 25.254686377810824 
2023-04-20 05:34:27,318 INFO t_pca_2: -0.9260774807405895 , std 24.781445523196897 
2023-04-20 05:34:27,318 INFO t_pca_3: -0.5195181662940802 , std 11.789002697124374 
2023-04-20 05:34:27,319 INFO t_pca_4: -0.07629624081670898 , std 7.5120652175565255 
2023-04-20 05:34:27,319 INFO t_pca_5: -0.1251500374206117 , std 5.362603243953869 
2023-04-20 05:34:27,319 INFO t_pca_6: -0.07667801485076634 , std 4.055115597268527 
2023-04-20 05:34:27,319 INFO t_pca_7: -0.10222906097667402 , std 3.425930265586725 
2023-04-20 05:34:27,319 INFO t_pca_8: 0.018563858755413963 , std 2.817658863240373 
2023-04-20 05:34:27,319 INFO t_pca_9: 0.006077628156882132 , std 2.3979285061448863 
2023-04-20 05:34:27,319 INFO t_pca_10: -0.011721331238248079 , std 2.292842881937283 
2023-04-20 05:34:27,319 INFO p_intercept: 0.2200835523813718 , std 0.2945397900810926 
2023-04-20 05:34:27,319 INFO p_pca_1: 0.002722360770844382 , std 0.03787084621020748 
2023-04-20 05:34:27,319 INFO p_pca_2: 0.01804434965954362 , std 0.10166329177518829 
2023-04-20 05:34:27,319 INFO p_pca_3: 0.07713145918988515 , std 0.20099380815741255 
2023-04-20 05:34:27,319 INFO p_pca_4: 0.1223465451270975 , std 0.24115748399888182 
2023-04-20 05:34:27,319 INFO p_pca_5: 0.14716878073679254 , std 0.2550686761544256 
2023-04-20 05:34:27,319 INFO p_pca_6: 0.194977206924352 , std 0.2803031079818406 
2023-04-20 05:34:27,319 INFO p_pca_7: 0.22893300094905653 , std 0.2937583701451925 
2023-04-20 05:34:27,319 INFO p_pca_8: 0.2688320981321456 , std 0.3085681739790962 
2023-04-20 05:34:27,319 INFO p_pca_9: 0.2936144528941638 , std 0.3093566295210729 
2023-04-20 05:34:27,319 INFO p_pca_10: 0.3052266432356976 , std 0.30969944026136326 
