2023-04-21 12:12:33,406 INFO Tickers: ['AGN']
2023-04-21 12:12:34,660 INFO Negative OS: -0.22511834848962486 --- ticker AGN --- day 2018-01-31 --- time 37800
2023-04-21 12:12:34,936 INFO Negative OS: -1.3396327708544038 --- ticker AGN --- day 2018-02-06 --- time 39600
2023-04-21 12:12:34,958 INFO Negative OS: -0.06688284259865185 --- ticker AGN --- day 2018-02-06 --- time 46800
2023-04-21 12:12:35,039 INFO Negative OS: -0.4820090151407028 --- ticker AGN --- day 2018-02-07 --- time 46800
2023-04-21 12:12:35,172 INFO Negative OS: -3.2607937417070323 --- ticker AGN --- day 2018-02-09 --- time 41400
2023-04-21 12:12:35,194 INFO Negative OS: -0.35811197670049477 --- ticker AGN --- day 2018-02-09 --- time 48600
2023-04-21 12:12:35,596 INFO Negative OS: -14.233070618207124 --- ticker AGN --- day 2018-02-20 --- time 52200
2023-04-21 12:12:46,313 INFO Negative OS: -1.7639482450313886 --- ticker AGN --- day 2018-10-12 --- time 48600
2023-04-21 12:12:47,217 INFO Negative OS: -0.19741313601431365 --- ticker AGN --- day 2018-10-30 --- time 43200
2023-04-21 12:12:47,956 INFO Negative OS: -0.1126880078322221 --- ticker AGN --- day 2018-11-13 --- time 43200
2023-04-21 12:13:01,844 INFO Negative OS: -2.026385734712592 --- ticker AGN --- day 2019-08-20 --- time 48600
2023-04-21 12:13:05,168 INFO Negative OS: -0.526693829898526 --- ticker AGN --- day 2019-10-23 --- time 45000
2023-04-21 12:13:05,856 INFO Negative OS: -0.09247398007908969 --- ticker AGN --- day 2019-11-06 --- time 50400
2023-04-21 12:13:07,612 INFO in_r2: 0.7850583856079422 , std 0.10878326674819817 
2023-04-21 12:13:07,612 INFO os_r2: 0.7097803113192203 , std 0.3627967422785544 
2023-04-21 12:13:07,612 INFO intercept: -2.5819672131147544e-07 , std 2.2630697582907327e-05 
2023-04-21 12:13:07,612 INFO pca_1: 5.848786931266517e-06 , std 7.040119674179376e-05 
2023-04-21 12:13:07,612 INFO pca_2: -1.1314207314694736e-05 , std 0.0001666703348628298 
2023-04-21 12:13:07,612 INFO pca_3: -5.427535668357472e-06 , std 0.00015974134761435546 
2023-04-21 12:13:07,612 INFO pca_4: -2.3272867406294123e-06 , std 0.0001270435146940844 
2023-04-21 12:13:07,612 INFO pca_5: -1.1733157056955104e-06 , std 0.00011533452383421516 
2023-04-21 12:13:07,612 INFO pca_6: 1.3565745366665547e-07 , std 0.0001079290180444223 
2023-04-21 12:13:07,612 INFO pca_7: -1.4942302926969836e-06 , std 0.00011670932907594181 
2023-04-21 12:13:07,612 INFO pca_8: 7.270683122608573e-07 , std 0.00011619160653663835 
2023-04-21 12:13:07,612 INFO pca_9: -3.7455672509478025e-06 , std 0.00012158839050554652 
2023-04-21 12:13:07,612 INFO pca_10: -2.515957523370874e-06 , std 0.00012269236311522513 
2023-04-21 12:13:07,612 INFO t_intercept: 0.013020229330095763 , std 2.2597853929117084 
2023-04-21 12:13:07,612 INFO t_pca_1: 1.9849451259835547 , std 17.179463427732973 
2023-04-21 12:13:07,612 INFO t_pca_2: -1.2806109769832945 , std 17.92008134289421 
2023-04-21 12:13:07,612 INFO t_pca_3: -0.4590392931365156 , std 12.022644025115802 
2023-04-21 12:13:07,612 INFO t_pca_4: -0.10032764318489171 , std 7.606095625357374 
2023-04-21 12:13:07,612 INFO t_pca_5: 0.021457761520102515 , std 5.414238430652693 
2023-04-21 12:13:07,612 INFO t_pca_6: -0.05760891704288949 , std 4.151228189762094 
2023-04-21 12:13:07,612 INFO t_pca_7: 0.06489363860213253 , std 3.4767111041718084 
2023-04-21 12:13:07,612 INFO t_pca_8: 0.05640882922458468 , std 3.168056713085797 
2023-04-21 12:13:07,612 INFO t_pca_9: -0.02971935238659033 , std 2.886645553215097 
2023-04-21 12:13:07,612 INFO t_pca_10: -0.09073958160625244 , std 2.6649979263639625 
2023-04-21 12:13:07,612 INFO p_intercept: 0.299994502790629 , std 0.31446649605872706 
2023-04-21 12:13:07,612 INFO p_pca_1: 0.019417426125703362 , std 0.09848081660909541 
2023-04-21 12:13:07,612 INFO p_pca_2: 0.03772394030708916 , std 0.14666015763164306 
2023-04-21 12:13:07,612 INFO p_pca_3: 0.06805670546601827 , std 0.18364985627406383 
2023-04-21 12:13:07,613 INFO p_pca_4: 0.11632599239197616 , std 0.2347825272496682 
2023-04-21 12:13:07,613 INFO p_pca_5: 0.15989263385745847 , std 0.26444621683304076 
2023-04-21 12:13:07,613 INFO p_pca_6: 0.1933961766544742 , std 0.28444153405657135 
2023-04-21 12:13:07,613 INFO p_pca_7: 0.21862407786143787 , std 0.28908340314554176 
2023-04-21 12:13:07,613 INFO p_pca_8: 0.23898769778406048 , std 0.3009496540398137 
2023-04-21 12:13:07,613 INFO p_pca_9: 0.2503212232395956 , std 0.301920655985761 
2023-04-21 12:13:07,613 INFO p_pca_10: 0.2553967301695524 , std 0.2997690353496652 
2023-04-21 12:13:07,613 INFO pca_explained_1: 0.6028895911986188 , std 0.10920262883766284 
2023-04-21 12:13:07,613 INFO pca_explained_2: 0.7281441066706578 , std 0.07901258081329267 
2023-04-21 12:13:07,613 INFO pca_explained_3: 0.8014098237321245 , std 0.061348275319895444 
2023-04-21 12:13:07,613 INFO pca_explained_4: 0.8489673439354691 , std 0.049426658306786296 
2023-04-21 12:13:07,613 INFO pca_explained_5: 0.8818130468950037 , std 0.040395397096316774 
2023-04-21 12:13:07,613 INFO pca_explained_6: 0.9056821461068638 , std 0.03327746109020766 
2023-04-21 12:13:07,613 INFO pca_explained_7: 0.9238305587686879 , std 0.027667457139847088 
2023-04-21 12:13:07,613 INFO pca_explained_8: 0.9381952585159673 , std 0.023232444870290275 
2023-04-21 12:13:07,613 INFO pca_explained_9: 0.9497869024093379 , std 0.01962171115225948 
2023-04-21 12:13:07,613 INFO pca_explained_10: 0.9592996168066837 , std 0.016638093664502 
