2023-04-21 12:02:44,942 INFO Tickers: ['BAC']
2023-04-21 12:02:49,026 INFO Negative OS: -0.2406888321510372 --- ticker BAC --- day 2017-03-15 --- time 48600
2023-04-21 12:02:59,193 INFO Negative OS: -4.121570718761054 --- ticker BAC --- day 2017-09-11 --- time 50400
2023-04-21 12:03:00,168 INFO Negative OS: -1.3080519641433352 --- ticker BAC --- day 2017-09-27 --- time 48600
2023-04-21 12:03:00,250 INFO Negative OS: -0.2898619413130705 --- ticker BAC --- day 2017-09-28 --- time 48600
2023-04-21 12:03:00,413 INFO Negative OS: -14.316833396829876 --- ticker BAC --- day 2017-10-02 --- time 48600
2023-04-21 12:03:01,037 INFO Negative OS: -2.7153354576551862 --- ticker BAC --- day 2017-10-12 --- time 37800
2023-04-21 12:03:02,783 INFO Negative OS: -1.9654446879172118 --- ticker BAC --- day 2017-11-10 --- time 46800
2023-04-21 12:03:03,732 INFO Negative OS: -0.24553788605148608 --- ticker BAC --- day 2017-11-29 --- time 39600
2023-04-21 12:03:05,551 INFO Negative OS: -0.36506656897708556 --- ticker BAC --- day 2018-01-02 --- time 45000
2023-04-21 12:03:06,203 INFO Negative OS: -0.41817181897362654 --- ticker BAC --- day 2018-01-12 --- time 43200
2023-04-21 12:03:07,463 INFO Negative OS: -0.32552127776221695 --- ticker BAC --- day 2018-02-05 --- time 52200
2023-04-21 12:03:27,654 INFO Negative OS: -3.1857203416911934 --- ticker BAC --- day 2019-01-30 --- time 48600
2023-04-21 12:03:37,139 INFO Negative OS: -0.07481310266889607 --- ticker BAC --- day 2019-07-17 --- time 43200
2023-04-21 12:03:43,518 INFO Negative OS: -0.6418015528173613 --- ticker BAC --- day 2019-11-05 --- time 45000
2023-04-21 12:03:45,759 INFO in_r2: 0.9868848012487436 , std 0.016892170327102708 
2023-04-21 12:03:45,759 INFO os_r2: 0.9570666182787022 , std 0.21690283332545657 
2023-04-21 12:03:45,759 INFO intercept: -6.471323009315724e-09 , std 1.6843341722028798e-05 
2023-04-21 12:03:45,759 INFO pca_1: -2.17244732055508e-05 , std 0.00020368558236542265 
2023-04-21 12:03:45,759 INFO pca_2: 2.2751103695302527e-05 , std 0.0003028725664414599 
2023-04-21 12:03:45,759 INFO pca_3: 1.906799976757037e-05 , std 0.00030274296497892266 
2023-04-21 12:03:45,759 INFO pca_4: 3.291999397447678e-06 , std 0.00029679073492584637 
2023-04-21 12:03:45,759 INFO pca_5: 2.560312954064193e-07 , std 0.00032365622018624865 
2023-04-21 12:03:45,759 INFO pca_6: 1.3717488674534708e-06 , std 0.00031014665883571403 
2023-04-21 12:03:45,759 INFO pca_7: -1.6698737998552475e-06 , std 0.0002940410887331858 
2023-04-21 12:03:45,759 INFO pca_8: 3.493412764006593e-06 , std 0.0002485464410884865 
2023-04-21 12:03:45,759 INFO pca_9: 2.4519269407392066e-06 , std 0.0002221826609162306 
2023-04-21 12:03:45,759 INFO pca_10: -8.759793054195676e-07 , std 0.00021459776406924645 
2023-04-21 12:03:45,759 INFO t_intercept: 0.20922724278162882 , std 10.58355574548088 
2023-04-21 12:03:45,759 INFO t_pca_1: -17.568949472293987 , std 134.57317870577612 
2023-04-21 12:03:45,759 INFO t_pca_2: 5.492644675655159 , std 74.12011081574573 
2023-04-21 12:03:45,759 INFO t_pca_3: 2.647631815154642 , std 45.14770105209222 
2023-04-21 12:03:45,759 INFO t_pca_4: 0.4777117781131708 , std 28.327723461608404 
2023-04-21 12:03:45,759 INFO t_pca_5: 0.05088123120401028 , std 22.85464056083299 
2023-04-21 12:03:45,759 INFO t_pca_6: 0.007056268798623144 , std 17.678353571186545 
2023-04-21 12:03:45,759 INFO t_pca_7: -0.08697915791374733 , std 14.150105905382826 
2023-04-21 12:03:45,759 INFO t_pca_8: 0.090972221558265 , std 10.260662630821505 
2023-04-21 12:03:45,759 INFO t_pca_9: 0.10973561532067533 , std 8.178163307150184 
2023-04-21 12:03:45,759 INFO t_pca_10: -0.02995590665564992 , std 6.710826870256579 
2023-04-21 12:03:45,759 INFO p_intercept: 0.0772813483996537 , std 0.22073301825397582 
2023-04-21 12:03:45,759 INFO p_pca_1: 0.0009797344114327693 , std 0.026203824388376436 
2023-04-21 12:03:45,759 INFO p_pca_2: 0.008067559302002685 , std 0.06728133368331611 
2023-04-21 12:03:45,759 INFO p_pca_3: 0.013340173715119946 , std 0.0896762412486313 
2023-04-21 12:03:45,759 INFO p_pca_4: 0.02816655487190291 , std 0.12612861800803798 
2023-04-21 12:03:45,759 INFO p_pca_5: 0.02820330756692027 , std 0.12297258794800336 
2023-04-21 12:03:45,759 INFO p_pca_6: 0.03663669819684755 , std 0.14177235741595448 
2023-04-21 12:03:45,759 INFO p_pca_7: 0.0523859607744119 , std 0.1695094400957232 
2023-04-21 12:03:45,759 INFO p_pca_8: 0.07789254792906705 , std 0.2012086326706385 
2023-04-21 12:03:45,759 INFO p_pca_9: 0.10499746619188874 , std 0.22683137202859588 
2023-04-21 12:03:45,759 INFO p_pca_10: 0.12271910388241346 , std 0.23948019307901527 
2023-04-21 12:03:45,759 INFO pca_explained_1: 0.802571678838014 , std 0.11503948451686052 
2023-04-21 12:03:45,759 INFO pca_explained_2: 0.901479855400237 , std 0.07113775799811596 
2023-04-21 12:03:45,759 INFO pca_explained_3: 0.9387444776427034 , std 0.053282369676166966 
2023-04-21 12:03:45,759 INFO pca_explained_4: 0.9565482447952207 , std 0.04111476935631319 
2023-04-21 12:03:45,759 INFO pca_explained_5: 0.9673865987089221 , std 0.0326618165547883 
2023-04-21 12:03:45,759 INFO pca_explained_6: 0.9748361907202527 , std 0.026355415210774714 
2023-04-21 12:03:45,759 INFO pca_explained_7: 0.9801970577492727 , std 0.021466150909278368 
2023-04-21 12:03:45,759 INFO pca_explained_8: 0.9842125293211552 , std 0.01757831686155461 
2023-04-21 12:03:45,760 INFO pca_explained_9: 0.9873041742047313 , std 0.014467617726560328 
2023-04-21 12:03:45,760 INFO pca_explained_10: 0.989723407045732 , std 0.011945902972634521 
