2023-04-21 12:05:38,392 INFO Tickers: ['BMY']
2023-04-21 12:05:54,393 INFO Negative OS: -0.0308473740516646 --- ticker BMY --- day 2017-10-27 --- time 48600
2023-04-21 12:06:36,705 INFO in_r2: 0.9728625329554844 , std 0.0394674073183005 
2023-04-21 12:06:36,705 INFO os_r2: 0.9619628805066307 , std 0.05932821635343538 
2023-04-21 12:06:36,705 INFO intercept: 3.3226234190126477e-07 , std 1.7835021821437823e-05 
2023-04-21 12:06:36,705 INFO pca_1: -6.7187219402371575e-06 , std 0.00018337001907508507 
2023-04-21 12:06:36,705 INFO pca_2: 9.468743717264933e-09 , std 0.00021114899383907362 
2023-04-21 12:06:36,705 INFO pca_3: 4.570662848555174e-06 , std 0.00018708437663935747 
2023-04-21 12:06:36,705 INFO pca_4: 9.964004868617663e-06 , std 0.00020265846159133447 
2023-04-21 12:06:36,705 INFO pca_5: 4.0860893965534105e-06 , std 0.00016316790993827895 
2023-04-21 12:06:36,705 INFO pca_6: 1.4825160318478588e-06 , std 0.0001289828158513545 
2023-04-21 12:06:36,705 INFO pca_7: 2.820160370308525e-07 , std 0.00011149896777547759 
2023-04-21 12:06:36,705 INFO pca_8: 1.9407319244456034e-06 , std 9.886186434526015e-05 
2023-04-21 12:06:36,705 INFO pca_9: 8.254651411464201e-07 , std 9.049075262295567e-05 
2023-04-21 12:06:36,706 INFO pca_10: -2.806645670826826e-07 , std 8.408965170745193e-05 
2023-04-21 12:06:36,706 INFO t_intercept: 0.3541919444147889 , std 10.319986507320364 
2023-04-21 12:06:36,706 INFO t_pca_1: -2.38321089884607 , std 118.02521970280449 
2023-04-21 12:06:36,706 INFO t_pca_2: -0.18562894304581123 , std 71.99089855022163 
2023-04-21 12:06:36,706 INFO t_pca_3: 0.5791926158642124 , std 42.64114634643642 
2023-04-21 12:06:36,706 INFO t_pca_4: 1.5998756707200874 , std 37.711279382454634 
2023-04-21 12:06:36,706 INFO t_pca_5: 0.4502840163105508 , std 22.06893553712584 
2023-04-21 12:06:36,706 INFO t_pca_6: 0.16661194140486618 , std 13.998102695177332 
2023-04-21 12:06:36,706 INFO t_pca_7: 0.050932949473458604 , std 10.07102134763938 
2023-04-21 12:06:36,706 INFO t_pca_8: 0.13761737308668576 , std 7.693719218247887 
2023-04-21 12:06:36,706 INFO t_pca_9: -0.01095206556211746 , std 6.130686315031518 
2023-04-21 12:06:36,706 INFO t_pca_10: -0.006752270107429941 , std 4.901297657650833 
2023-04-21 12:06:36,706 INFO p_intercept: 0.09824869479502289 , std 0.2304842537269895 
2023-04-21 12:06:36,706 INFO p_pca_1: 0.002852046365505222 , std 0.043826716604561375 
2023-04-21 12:06:36,706 INFO p_pca_2: 0.010366195312073457 , std 0.0773123074063912 
2023-04-21 12:06:36,706 INFO p_pca_3: 0.016747866825133653 , std 0.09629911654353786 
2023-04-21 12:06:36,706 INFO p_pca_4: 0.025427996416634152 , std 0.1200754894533931 
2023-04-21 12:06:36,706 INFO p_pca_5: 0.03902701745621458 , std 0.1451729846585657 
2023-04-21 12:06:36,706 INFO p_pca_6: 0.06289114359332133 , std 0.1813129387265078 
2023-04-21 12:06:36,706 INFO p_pca_7: 0.09301132436520365 , std 0.21420643259869973 
2023-04-21 12:06:36,706 INFO p_pca_8: 0.12242109388765278 , std 0.23855958011154912 
2023-04-21 12:06:36,706 INFO p_pca_9: 0.1407078049143508 , std 0.2507643679612807 
2023-04-21 12:06:36,706 INFO p_pca_10: 0.17696306952120008 , std 0.2738654757876435 
2023-04-21 12:06:36,706 INFO pca_explained_1: 0.5626599215689221 , std 0.10181647611438513 
2023-04-21 12:06:36,706 INFO pca_explained_2: 0.7447929280080545 , std 0.08674696736660703 
2023-04-21 12:06:36,706 INFO pca_explained_3: 0.823434741705515 , std 0.07345929790249985 
2023-04-21 12:06:36,706 INFO pca_explained_4: 0.8700900483666508 , std 0.06175588286857317 
2023-04-21 12:06:36,706 INFO pca_explained_5: 0.900011807994858 , std 0.05037012001285642 
2023-04-21 12:06:36,706 INFO pca_explained_6: 0.9212195340823092 , std 0.04073261154240775 
2023-04-21 12:06:36,706 INFO pca_explained_7: 0.9370539427270917 , std 0.03299802352418449 
2023-04-21 12:06:36,706 INFO pca_explained_8: 0.9492934235581187 , std 0.026779245520424638 
2023-04-21 12:06:36,706 INFO pca_explained_9: 0.958938327743936 , std 0.021786497401616124 
2023-04-21 12:06:36,706 INFO pca_explained_10: 0.9665745486923918 , std 0.017843358639846305 
