2023-04-20 05:32:30,586 INFO Tickers: ['CAT']
2023-04-20 05:33:16,980 INFO Negative OS: -0.11641725487890242 --- ticker CAT --- day 2019-01-28 --- time 37800
2023-04-20 05:33:16,986 INFO Negative OS: -1.9395555793497805 --- ticker CAT --- day 2019-01-28 --- time 39600
2023-04-20 05:33:17,693 INFO Negative OS: -2.006206337389563 --- ticker CAT --- day 2019-02-04 --- time 46800
2023-04-20 05:33:34,113 INFO Negative OS: -6.589053835490088 --- ticker CAT --- day 2019-10-24 --- time 41400
2023-04-20 05:33:37,043 INFO Negative OS: -9.860200563305295 --- ticker CAT --- day 2019-12-13 --- time 36000
2023-04-20 05:33:37,124 INFO in_r2: 0.8962823478672785 , std 0.05998615187172579 
2023-04-20 05:33:37,125 INFO os_r2: 0.869037395711424 , std 0.18912473893207493 
2023-04-20 05:33:37,125 INFO intercept: -2.1800390712791503e-07 , std 2.0116001434183513e-05 
2023-04-20 05:33:37,125 INFO pca_1: 7.425023012477704e-07 , std 9.067679342117465e-05 
2023-04-20 05:33:37,125 INFO pca_2: -9.423776383683603e-06 , std 0.00016329723205839658 
2023-04-20 05:33:37,125 INFO pca_3: 3.8116310295208487e-07 , std 9.476889063223726e-05 
2023-04-20 05:33:37,125 INFO pca_4: -6.023884412864342e-07 , std 7.824481861427805e-05 
2023-04-20 05:33:37,125 INFO pca_5: 1.9657315141220873e-07 , std 6.720321403510974e-05 
2023-04-20 05:33:37,125 INFO pca_6: -4.810405425420299e-07 , std 5.942157441705288e-05 
2023-04-20 05:33:37,125 INFO pca_7: 3.669258788708558e-07 , std 5.5916715215616594e-05 
2023-04-20 05:33:37,125 INFO pca_8: -1.0859647827648813e-06 , std 5.422673194182825e-05 
2023-04-20 05:33:37,125 INFO pca_9: 2.672938170681293e-07 , std 5.228738062485502e-05 
2023-04-20 05:33:37,125 INFO pca_10: -1.2079740730616983e-06 , std 5.299595459992912e-05 
2023-04-20 05:33:37,125 INFO t_intercept: 0.010894174050654026 , std 3.3207604176132866 
2023-04-20 05:33:37,125 INFO t_pca_1: 0.2642555057325617 , std 30.872271103085676 
2023-04-20 05:33:37,125 INFO t_pca_2: -1.734866040454664 , std 29.392923543267116 
2023-04-20 05:33:37,125 INFO t_pca_3: 0.09846338934871048 , std 11.338937349024047 
2023-04-20 05:33:37,125 INFO t_pca_4: -0.006807581468513157 , std 7.514173776657115 
2023-04-20 05:33:37,125 INFO t_pca_5: 0.05994473858380574 , std 5.472889929826926 
2023-04-20 05:33:37,125 INFO t_pca_6: -0.025644669217968683 , std 4.123319428778947 
2023-04-20 05:33:37,125 INFO t_pca_7: 0.017626627596878906 , std 3.3888840695983258 
2023-04-20 05:33:37,125 INFO t_pca_8: -0.04137127132115572 , std 2.9572599595035007 
2023-04-20 05:33:37,125 INFO t_pca_9: 0.021621882824173155 , std 2.4544441930096204 
2023-04-20 05:33:37,125 INFO t_pca_10: -0.033764658724452536 , std 2.232898480047637 
2023-04-20 05:33:37,125 INFO p_intercept: 0.20253781767152923 , std 0.2838333354271706 
2023-04-20 05:33:37,125 INFO p_pca_1: 0.004039935820385475 , std 0.04914433281336665 
2023-04-20 05:33:37,125 INFO p_pca_2: 0.01349748198750226 , std 0.09220638130780966 
2023-04-20 05:33:37,125 INFO p_pca_3: 0.0825312369611944 , std 0.2005080796012291 
2023-04-20 05:33:37,125 INFO p_pca_4: 0.12333983202013207 , std 0.24017613711759409 
2023-04-20 05:33:37,125 INFO p_pca_5: 0.1579668455835126 , std 0.26208742033990257 
2023-04-20 05:33:37,125 INFO p_pca_6: 0.21029033554343407 , std 0.2893746367163264 
2023-04-20 05:33:37,125 INFO p_pca_7: 0.24854963594447618 , std 0.3012736725324127 
2023-04-20 05:33:37,125 INFO p_pca_8: 0.2796381166237586 , std 0.30583323308946325 
2023-04-20 05:33:37,125 INFO p_pca_9: 0.304906924359339 , std 0.3081991577776558 
2023-04-20 05:33:37,125 INFO p_pca_10: 0.32486499746907216 , std 0.3113784337540186 
