2023-04-21 12:04:35,836 INFO Tickers: ['CMCSA']
2023-04-21 12:04:39,613 INFO Negative OS: -0.6843566372401682 --- ticker CMCSA --- day 2017-03-14 --- time 39600
2023-04-21 12:04:56,440 INFO Negative OS: -0.334697535891914 --- ticker CMCSA --- day 2018-01-24 --- time 46800
2023-04-21 12:05:14,067 INFO Negative OS: -0.01676040742770879 --- ticker CMCSA --- day 2018-12-19 --- time 46800
2023-04-21 12:05:16,084 INFO Negative OS: -0.09329851208435835 --- ticker CMCSA --- day 2019-01-30 --- time 48600
2023-04-21 12:05:33,194 INFO in_r2: 0.9846153013079937 , std 0.01532253658347352 
2023-04-21 12:05:33,194 INFO os_r2: 0.9714557821595238 , std 0.045059513310826534 
2023-04-21 12:05:33,194 INFO intercept: 1.1279666501121197e-07 , std 1.671211547189503e-05 
2023-04-21 12:05:33,194 INFO pca_1: -3.3712384324993243e-06 , std 0.00026803147753104206 
2023-04-21 12:05:33,194 INFO pca_2: 2.734654628970522e-06 , std 0.00014741863834194098 
2023-04-21 12:05:33,194 INFO pca_3: 1.7633441060045986e-06 , std 0.00020955481774023957 
2023-04-21 12:05:33,194 INFO pca_4: 1.1130056675219537e-05 , std 0.00028076349723734316 
2023-04-21 12:05:33,195 INFO pca_5: 7.46232415101461e-06 , std 0.00025974402692930087 
2023-04-21 12:05:33,195 INFO pca_6: -1.9291093223882167e-07 , std 0.0002133157790531813 
2023-04-21 12:05:33,195 INFO pca_7: 7.402931746828921e-07 , std 0.0001735103977505352 
2023-04-21 12:05:33,195 INFO pca_8: 6.380023969536616e-07 , std 0.00015259163550153447 
2023-04-21 12:05:33,195 INFO pca_9: 1.7063741165958932e-06 , std 0.0001426708367498204 
2023-04-21 12:05:33,195 INFO pca_10: 9.445084027492449e-07 , std 0.0001379541412252095 
2023-04-21 12:05:33,195 INFO t_intercept: 0.1347427832273097 , std 9.845075221022753 
2023-04-21 12:05:33,195 INFO t_pca_1: -0.696949797992208 , std 125.33074927527268 
2023-04-21 12:05:33,195 INFO t_pca_2: 0.4313908481448872 , std 36.184260409422535 
2023-04-21 12:05:33,195 INFO t_pca_3: 0.34777399834669 , std 31.35438187538246 
2023-04-21 12:05:33,195 INFO t_pca_4: 0.9306987072587575 , std 31.380947845924847 
2023-04-21 12:05:33,195 INFO t_pca_5: 0.638092051609609 , std 21.55336180218009 
2023-04-21 12:05:33,195 INFO t_pca_6: -0.05848226127564461 , std 14.422270118257245 
2023-04-21 12:05:33,195 INFO t_pca_7: 0.08276871506598835 , std 9.802415550429103 
2023-04-21 12:05:33,195 INFO t_pca_8: 0.051663173450488674 , std 7.429558530851932 
2023-04-21 12:05:33,195 INFO t_pca_9: 0.04383710857569994 , std 5.887075433347301 
2023-04-21 12:05:33,195 INFO t_pca_10: 0.05024341129857013 , std 4.9903352599906645 
2023-04-21 12:05:33,195 INFO p_intercept: 0.08295061067265339 , std 0.2145944744123273 
2023-04-21 12:05:33,195 INFO p_pca_1: 0.000733908910785266 , std 0.021658836424009557 
2023-04-21 12:05:33,195 INFO p_pca_2: 0.022390477575853204 , std 0.10929835459188315 
2023-04-21 12:05:33,195 INFO p_pca_3: 0.018589736072004304 , std 0.10311714303406543 
2023-04-21 12:05:33,195 INFO p_pca_4: 0.018681064333278805 , std 0.10519549028279415 
2023-04-21 12:05:33,195 INFO p_pca_5: 0.032042736892476734 , std 0.13418653905175273 
2023-04-21 12:05:33,195 INFO p_pca_6: 0.05794938445699825 , std 0.1787331094559578 
2023-04-21 12:05:33,195 INFO p_pca_7: 0.07766399219815232 , std 0.1986260069981062 
2023-04-21 12:05:33,195 INFO p_pca_8: 0.10671533571194088 , std 0.22571134999847656 
2023-04-21 12:05:33,195 INFO p_pca_9: 0.12621343501448912 , std 0.24245740673218047 
2023-04-21 12:05:33,195 INFO p_pca_10: 0.15491777348854752 , std 0.2619959006358352 
2023-04-21 12:05:33,195 INFO pca_explained_1: 0.6472814884414154 , std 0.12277347861694499 
2023-04-21 12:05:33,195 INFO pca_explained_2: 0.807743632167119 , std 0.07973576672700243 
2023-04-21 12:05:33,195 INFO pca_explained_3: 0.8729776561322964 , std 0.062227830288514085 
2023-04-21 12:05:33,195 INFO pca_explained_4: 0.9096580664777236 , std 0.04920405472564065 
2023-04-21 12:05:33,195 INFO pca_explained_5: 0.9323384672974488 , std 0.03916274913103564 
2023-04-21 12:05:33,195 INFO pca_explained_6: 0.947647561832172 , std 0.03152295765740513 
2023-04-21 12:05:33,195 INFO pca_explained_7: 0.9584769418733642 , std 0.02558264486129921 
2023-04-21 12:05:33,195 INFO pca_explained_8: 0.9665417552454709 , std 0.020911381665511524 
2023-04-21 12:05:33,195 INFO pca_explained_9: 0.9727334045440045 , std 0.017235464373297874 
2023-04-21 12:05:33,195 INFO pca_explained_10: 0.9775976426233862 , std 0.014298799103911866 
