2023-04-21 12:11:36,620 INFO Tickers: ['D']
2023-04-21 12:12:13,698 INFO Negative OS: -0.36383786082175273 --- ticker D --- day 2018-12-19 --- time 48600
2023-04-21 12:12:27,835 INFO Negative OS: -1.982241844669502 --- ticker D --- day 2019-09-03 --- time 50400
2023-04-21 12:12:31,007 INFO Negative OS: -0.9112842511013985 --- ticker D --- day 2019-10-30 --- time 36000
2023-04-21 12:12:33,400 INFO in_r2: 0.9304993049577625 , std 0.04603772526026794 
2023-04-21 12:12:33,400 INFO os_r2: 0.9164600753379571 , std 0.07868639275252162 
2023-04-21 12:12:33,400 INFO intercept: 1.8447689692474116e-07 , std 1.3559424427399578e-05 
2023-04-21 12:12:33,400 INFO pca_1: 6.943047016208305e-07 , std 0.0001166793191270684 
2023-04-21 12:12:33,400 INFO pca_2: 5.511800503676166e-07 , std 0.00022849230086544392 
2023-04-21 12:12:33,400 INFO pca_3: 2.6699741803605195e-06 , std 0.00014724508470673807 
2023-04-21 12:12:33,400 INFO pca_4: -1.2075719814437248e-06 , std 0.00011207621115820483 
2023-04-21 12:12:33,400 INFO pca_5: -9.507592850760085e-07 , std 8.767584114789792e-05 
2023-04-21 12:12:33,400 INFO pca_6: -8.451703456954925e-08 , std 7.646537715587777e-05 
2023-04-21 12:12:33,400 INFO pca_7: -1.2983073437651841e-06 , std 6.983825240650205e-05 
2023-04-21 12:12:33,400 INFO pca_8: -2.814384270365071e-07 , std 6.335710736308614e-05 
2023-04-21 12:12:33,401 INFO pca_9: -4.6953259834955525e-07 , std 6.209890487846398e-05 
2023-04-21 12:12:33,401 INFO pca_10: 7.082345909721152e-08 , std 6.104576202127369e-05 
2023-04-21 12:12:33,401 INFO t_intercept: 0.14464233623538933 , std 4.204910340962785 
2023-04-21 12:12:33,401 INFO t_pca_1: 0.14136827514788958 , std 37.80411494570362 
2023-04-21 12:12:33,401 INFO t_pca_2: 0.09243392430783152 , std 37.717591454346575 
2023-04-21 12:12:33,401 INFO t_pca_3: 0.41619556024949245 , std 18.383458493218974 
2023-04-21 12:12:33,401 INFO t_pca_4: -0.061986235026171496 , std 11.047486215461593 
2023-04-21 12:12:33,401 INFO t_pca_5: -0.059485338187224956 , std 6.935268242112231 
2023-04-21 12:12:33,401 INFO t_pca_6: 0.012244603147113637 , std 5.233375813973195 
2023-04-21 12:12:33,401 INFO t_pca_7: -0.08263184330855668 , std 4.094843894170977 
2023-04-21 12:12:33,401 INFO t_pca_8: -0.033923166331376264 , std 3.2504925878804167 
2023-04-21 12:12:33,401 INFO t_pca_9: -0.014875665873475538 , std 2.741418355679046 
2023-04-21 12:12:33,401 INFO t_pca_10: -0.010700724889085387 , std 2.3413975858871177 
2023-04-21 12:12:33,401 INFO p_intercept: 0.16984644498824158 , std 0.26962335375849383 
2023-04-21 12:12:33,401 INFO p_pca_1: 0.003432057771825652 , std 0.04607776135147267 
2023-04-21 12:12:33,401 INFO p_pca_2: 0.006605829616575043 , std 0.06430984634167257 
2023-04-21 12:12:33,401 INFO p_pca_3: 0.04544551851862259 , std 0.15536523641026329 
2023-04-21 12:12:33,401 INFO p_pca_4: 0.07088235044130486 , std 0.19133566721133444 
2023-04-21 12:12:33,401 INFO p_pca_5: 0.12021009997173619 , std 0.23849937117716966 
2023-04-21 12:12:33,401 INFO p_pca_6: 0.16622244788895774 , std 0.26615977109428524 
2023-04-21 12:12:33,401 INFO p_pca_7: 0.2089999289306649 , std 0.2887311128538257 
2023-04-21 12:12:33,401 INFO p_pca_8: 0.2485185712571337 , std 0.29782865997022856 
2023-04-21 12:12:33,401 INFO p_pca_9: 0.2750293721308867 , std 0.303972284287269 
2023-04-21 12:12:33,401 INFO p_pca_10: 0.3003029239040036 , std 0.31040659621516636 
2023-04-21 12:12:33,401 INFO pca_explained_1: 0.5900227800018334 , std 0.09849310437824393 
2023-04-21 12:12:33,401 INFO pca_explained_2: 0.7403262295706744 , std 0.08197169987168475 
2023-04-21 12:12:33,401 INFO pca_explained_3: 0.8125345065716482 , std 0.0690915072476366 
2023-04-21 12:12:33,401 INFO pca_explained_4: 0.8582085939911193 , std 0.058378563612156105 
2023-04-21 12:12:33,401 INFO pca_explained_5: 0.8885896870868035 , std 0.048659017850285834 
2023-04-21 12:12:33,401 INFO pca_explained_6: 0.910823576979352 , std 0.040273359948818 
2023-04-21 12:12:33,401 INFO pca_explained_7: 0.9279442712065549 , std 0.033341584315504276 
2023-04-21 12:12:33,401 INFO pca_explained_8: 0.9414837693824327 , std 0.02768333570377242 
2023-04-21 12:12:33,401 INFO pca_explained_9: 0.9523989384009229 , std 0.02302879778595832 
2023-04-21 12:12:33,401 INFO pca_explained_10: 0.9612593547349049 , std 0.019270994267094374 
