2023-04-20 05:31:03,985 INFO Tickers: ['DHR']
2023-04-20 05:31:27,960 INFO Negative OS: -1.5487229574622816 --- ticker DHR --- day 2018-03-28 --- time 36000
2023-04-20 05:31:27,966 INFO Negative OS: -0.0016440100923393874 --- ticker DHR --- day 2018-03-28 --- time 37800
2023-04-20 05:31:27,972 INFO Negative OS: -0.372970685716032 --- ticker DHR --- day 2018-03-28 --- time 39600
2023-04-20 05:31:27,978 INFO Negative OS: -0.05122494604755912 --- ticker DHR --- day 2018-03-28 --- time 41400
2023-04-20 05:31:27,984 INFO Negative OS: -0.20021568482867025 --- ticker DHR --- day 2018-03-28 --- time 43200
2023-04-20 05:31:27,991 INFO Negative OS: -0.0113796785018907 --- ticker DHR --- day 2018-03-28 --- time 45000
2023-04-20 05:31:27,997 INFO Negative OS: -0.20695849051188708 --- ticker DHR --- day 2018-03-28 --- time 46800
2023-04-20 05:31:29,932 INFO Negative OS: -0.43220066392130563 --- ticker DHR --- day 2018-05-03 --- time 37800
2023-04-20 05:31:29,938 INFO Negative OS: -0.22833574216676022 --- ticker DHR --- day 2018-05-03 --- time 39600
2023-04-20 05:31:31,720 INFO Negative OS: -0.3171396072366439 --- ticker DHR --- day 2018-06-08 --- time 37800
2023-04-20 05:31:50,484 INFO Negative OS: -2.5256394091534036 --- ticker DHR --- day 2019-04-30 --- time 37800
2023-04-20 05:31:52,588 INFO Negative OS: -2.406765003565583 --- ticker DHR --- day 2019-06-05 --- time 36000
2023-04-20 05:31:53,514 INFO Negative OS: -0.11522392562821193 --- ticker DHR --- day 2019-06-21 --- time 36000
2023-04-20 05:31:57,660 INFO Negative OS: -0.7529400846160441 --- ticker DHR --- day 2019-09-03 --- time 52200
2023-04-20 05:32:02,543 INFO Negative OS: -2.509141293699416 --- ticker DHR --- day 2019-12-02 --- time 46800
2023-04-20 05:32:03,393 INFO in_r2: 0.8724695814866197 , std 0.08336624542182636 
2023-04-20 05:32:03,393 INFO os_r2: 0.8378724110036104 , std 0.15620034774716948 
2023-04-20 05:32:03,393 INFO intercept: -1.7444658325312793e-07 , std 1.483317909242315e-05 
2023-04-20 05:32:03,393 INFO pca_1: 5.7620655866042205e-06 , std 8.297348737121009e-05 
2023-04-20 05:32:03,393 INFO pca_2: -6.5855113601392205e-06 , std 0.00019454336457617037 
2023-04-20 05:32:03,393 INFO pca_3: -2.374200047045984e-06 , std 0.00011257108045913879 
2023-04-20 05:32:03,393 INFO pca_4: -2.611385447146692e-06 , std 8.687863201041497e-05 
2023-04-20 05:32:03,393 INFO pca_5: -3.129430770821727e-06 , std 7.946727380459182e-05 
2023-04-20 05:32:03,393 INFO pca_6: 3.4705568347104074e-07 , std 7.368555673794453e-05 
2023-04-20 05:32:03,393 INFO pca_7: -1.5719831029618716e-06 , std 6.929885438916876e-05 
2023-04-20 05:32:03,393 INFO pca_8: -2.093046535128331e-06 , std 7.053775379833937e-05 
2023-04-20 05:32:03,393 INFO pca_9: -9.472886298596082e-07 , std 6.860911599770212e-05 
2023-04-20 05:32:03,393 INFO pca_10: -1.9718003118370294e-06 , std 7.37143895796176e-05 
2023-04-20 05:32:03,393 INFO t_intercept: 0.07972479720920993 , std 3.2047602187708613 
2023-04-20 05:32:03,393 INFO t_pca_1: 1.42662671928581 , std 24.88014487438938 
2023-04-20 05:32:03,393 INFO t_pca_2: -0.49339213165920187 , std 30.75048849387073 
2023-04-20 05:32:03,393 INFO t_pca_3: -0.22579797563304016 , std 12.117240836652606 
2023-04-20 05:32:03,393 INFO t_pca_4: -0.20291021239773102 , std 7.371892994066082 
2023-04-20 05:32:03,393 INFO t_pca_5: -0.20021027529407523 , std 5.404248720024371 
2023-04-20 05:32:03,393 INFO t_pca_6: 0.014394148053902345 , std 4.304032651933625 
2023-04-20 05:32:03,393 INFO t_pca_7: -0.06208319353031149 , std 3.486873655031609 
2023-04-20 05:32:03,393 INFO t_pca_8: -0.06929974341982208 , std 3.0028335553266627 
2023-04-20 05:32:03,393 INFO t_pca_9: -0.04709269749944964 , std 2.507664736785405 
2023-04-20 05:32:03,393 INFO t_pca_10: -0.06509377713779413 , std 2.3413905932865124 
2023-04-20 05:32:03,393 INFO p_intercept: 0.22536981642665854 , std 0.29753508772363413 
2023-04-20 05:32:03,393 INFO p_pca_1: 0.008117294402808749 , std 0.06501606699751773 
2023-04-20 05:32:03,393 INFO p_pca_2: 0.010399468742130956 , std 0.07577011990526351 
2023-04-20 05:32:03,393 INFO p_pca_3: 0.07906543528684738 , std 0.19996452230315 
2023-04-20 05:32:03,393 INFO p_pca_4: 0.11936042848517958 , std 0.2384802320743696 
2023-04-20 05:32:03,393 INFO p_pca_5: 0.12992556279658043 , std 0.2447306542306217 
2023-04-20 05:32:03,393 INFO p_pca_6: 0.18228443424872096 , std 0.27607852879879846 
2023-04-20 05:32:03,393 INFO p_pca_7: 0.2288050489854831 , std 0.294962531463988 
2023-04-20 05:32:03,393 INFO p_pca_8: 0.2552418967032348 , std 0.30030678169288116 
2023-04-20 05:32:03,394 INFO p_pca_9: 0.2897584623840701 , std 0.3085246746684181 
2023-04-20 05:32:03,394 INFO p_pca_10: 0.3023887813761946 , std 0.3114685020157077 
