2023-04-21 12:11:51,744 INFO Tickers: ['FISV']
2023-04-21 12:12:09,545 INFO Negative OS: -0.3297138577775385 --- ticker FISV --- day 2018-02-07 --- time 37800
2023-04-21 12:12:15,637 INFO Negative OS: -0.12071060301889225 --- ticker FISV --- day 2018-06-20 --- time 52200
2023-04-21 12:12:16,311 INFO Negative OS: -0.0073554760633876 --- ticker FISV --- day 2018-07-06 --- time 39600
2023-04-21 12:12:41,475 INFO Negative OS: -21.225334532878076 --- ticker FISV --- day 2019-11-06 --- time 45000
2023-04-21 12:12:43,438 INFO in_r2: 0.903383182953772 , std 0.0670662007623171 
2023-04-21 12:12:43,438 INFO os_r2: 0.8652201892167956 , std 0.40103334709626703 
2023-04-21 12:12:43,438 INFO intercept: -3.042890915231341e-07 , std 1.7248036040690016e-05 
2023-04-21 12:12:43,438 INFO pca_1: -1.2239853543633097e-06 , std 9.98186043431494e-05 
2023-04-21 12:12:43,438 INFO pca_2: -3.459517377000764e-06 , std 0.00019270028070384352 
2023-04-21 12:12:43,438 INFO pca_3: -1.4480069328421476e-06 , std 0.0001351790158031644 
2023-04-21 12:12:43,438 INFO pca_4: 1.112760141578029e-06 , std 0.0001188819041616649 
2023-04-21 12:12:43,438 INFO pca_5: -3.5165020685128374e-07 , std 0.00010381859225312716 
2023-04-21 12:12:43,438 INFO pca_6: -4.766032701031996e-06 , std 9.383400555627964e-05 
2023-04-21 12:12:43,438 INFO pca_7: -2.917781975020416e-06 , std 8.27450477189933e-05 
2023-04-21 12:12:43,438 INFO pca_8: -7.14453718330743e-07 , std 7.687566200849114e-05 
2023-04-21 12:12:43,438 INFO pca_9: 1.8064730215995357e-06 , std 6.72107560121124e-05 
2023-04-21 12:12:43,438 INFO pca_10: 9.470959927155498e-07 , std 6.215647568947654e-05 
2023-04-21 12:12:43,438 INFO t_intercept: -0.0006491052826507077 , std 3.8967785079658115 
2023-04-21 12:12:43,438 INFO t_pca_1: -0.6231985480476064 , std 29.908009938840607 
2023-04-21 12:12:43,438 INFO t_pca_2: 0.28250253826996435 , std 32.68659833207294 
2023-04-21 12:12:43,438 INFO t_pca_3: -0.16186095647244367 , std 17.275717053947663 
2023-04-21 12:12:43,438 INFO t_pca_4: 0.2544627938561559 , std 12.175871051810233 
2023-04-21 12:12:43,438 INFO t_pca_5: -0.17978726884657928 , std 8.642935247155867 
2023-04-21 12:12:43,438 INFO t_pca_6: -0.35717165047959065 , std 6.621879918615353 
2023-04-21 12:12:43,438 INFO t_pca_7: -0.17394574777516775 , std 5.464914930839037 
2023-04-21 12:12:43,438 INFO t_pca_8: -0.03368669125088036 , std 4.333513296052014 
2023-04-21 12:12:43,438 INFO t_pca_9: 0.07545816224616775 , std 3.2441792912457315 
2023-04-21 12:12:43,438 INFO t_pca_10: 0.04571000811983341 , std 2.6277524370393843 
2023-04-21 12:12:43,438 INFO p_intercept: 0.18944831019883254 , std 0.2800476486229853 
2023-04-21 12:12:43,438 INFO p_pca_1: 0.008135574121726637 , std 0.06980092377470117 
2023-04-21 12:12:43,438 INFO p_pca_2: 0.016766930675384924 , std 0.09746318224705865 
2023-04-21 12:12:43,438 INFO p_pca_3: 0.045864372840349346 , std 0.1528545284175668 
2023-04-21 12:12:43,438 INFO p_pca_4: 0.07114241779840624 , std 0.19415418699940606 
2023-04-21 12:12:43,438 INFO p_pca_5: 0.09529827620536961 , std 0.21644682196805598 
2023-04-21 12:12:43,438 INFO p_pca_6: 0.14539116488471812 , std 0.25763692348440487 
2023-04-21 12:12:43,438 INFO p_pca_7: 0.19314854014684876 , std 0.281565730387229 
2023-04-21 12:12:43,438 INFO p_pca_8: 0.24244720648824716 , std 0.2988195080918105 
2023-04-21 12:12:43,438 INFO p_pca_9: 0.27677457674323325 , std 0.30620505921985175 
2023-04-21 12:12:43,438 INFO p_pca_10: 0.29545421349010803 , std 0.3058763847737296 
2023-04-21 12:12:43,438 INFO pca_explained_1: 0.5453246282435613 , std 0.10827614371905109 
2023-04-21 12:12:43,438 INFO pca_explained_2: 0.69125796105852 , std 0.08338678568991553 
2023-04-21 12:12:43,438 INFO pca_explained_3: 0.7700752008759002 , std 0.06727324400748845 
2023-04-21 12:12:43,438 INFO pca_explained_4: 0.8220997118033626 , std 0.055186787920607744 
2023-04-21 12:12:43,438 INFO pca_explained_5: 0.8592992332939237 , std 0.045497664307161546 
2023-04-21 12:12:43,438 INFO pca_explained_6: 0.8872214028199036 , std 0.0377343646966613 
2023-04-21 12:12:43,438 INFO pca_explained_7: 0.9087351009026412 , std 0.03145521736259488 
2023-04-21 12:12:43,438 INFO pca_explained_8: 0.9255929044041168 , std 0.026482810213701666 
2023-04-21 12:12:43,438 INFO pca_explained_9: 0.9390176659236381 , std 0.022388718059296618 
2023-04-21 12:12:43,438 INFO pca_explained_10: 0.9498192607005396 , std 0.019084330899700998 
