2023-04-21 12:08:28,768 INFO Tickers: ['GE']
2023-04-21 12:08:44,441 INFO Negative OS: -0.2985128342684926 --- ticker GE --- day 2017-10-17 --- time 45000
2023-04-21 12:08:44,663 INFO Negative OS: -0.20539390380713085 --- ticker GE --- day 2017-10-20 --- time 39600
2023-04-21 12:08:45,211 INFO Negative OS: -1.5529887754092018 --- ticker GE --- day 2017-10-31 --- time 37800
2023-04-21 12:08:45,464 INFO Negative OS: -1.6524214453677617 --- ticker GE --- day 2017-11-03 --- time 43200
2023-04-21 12:08:45,720 INFO Negative OS: -0.40582602321342165 --- ticker GE --- day 2017-11-08 --- time 50400
2023-04-21 12:08:46,255 INFO Negative OS: -0.870589793940461 --- ticker GE --- day 2017-11-17 --- time 43200
2023-04-21 12:08:46,730 INFO Negative OS: -0.38258987945822165 --- ticker GE --- day 2017-11-28 --- time 46800
2023-04-21 12:08:46,942 INFO Negative OS: -1.2634667333226868 --- ticker GE --- day 2017-12-01 --- time 37800
2023-04-21 12:08:47,380 INFO Negative OS: -0.5506692931700135 --- ticker GE --- day 2017-12-08 --- time 52200
2023-04-21 12:08:47,592 INFO Negative OS: -2.0008840288817504 --- ticker GE --- day 2017-12-13 --- time 43200
2023-04-21 12:08:47,656 INFO Negative OS: -0.07679061497232631 --- ticker GE --- day 2017-12-14 --- time 37800
2023-04-21 12:08:47,693 INFO Negative OS: -1.7209295027852907 --- ticker GE --- day 2017-12-14 --- time 50400
2023-04-21 12:08:47,909 INFO Negative OS: -2.0090479532368195 --- ticker GE --- day 2017-12-19 --- time 43200
2023-04-21 12:08:48,138 INFO Negative OS: -0.7008813298197727 --- ticker GE --- day 2017-12-22 --- time 39600
2023-04-21 12:08:48,169 INFO Negative OS: -1.2628356107362126 --- ticker GE --- day 2017-12-22 --- time 50400
2023-04-21 12:08:48,296 INFO Negative OS: -2.380932924556389 --- ticker GE --- day 2017-12-27 --- time 39600
2023-04-21 12:08:48,396 INFO Negative OS: -0.0011123470522802492 --- ticker GE --- day 2017-12-28 --- time 46800
2023-04-21 12:08:49,181 INFO Negative OS: -3.2852639222753455 --- ticker GE --- day 2018-01-12 --- time 43200
2023-04-21 12:08:50,050 INFO Negative OS: -0.08834914187971621 --- ticker GE --- day 2018-01-30 --- time 39600
2023-04-21 12:08:50,295 INFO Negative OS: -0.05469931699492725 --- ticker GE --- day 2018-02-02 --- time 41400
2023-04-21 12:08:50,396 INFO Negative OS: -0.8837166842967021 --- ticker GE --- day 2018-02-05 --- time 48600
2023-04-21 12:08:55,178 INFO Negative OS: -2.853645480009456 --- ticker GE --- day 2018-05-02 --- time 48600
2023-04-21 12:08:59,108 INFO Negative OS: -0.9567883323638522 --- ticker GE --- day 2018-07-13 --- time 39600
2023-04-21 12:08:59,504 INFO Negative OS: -0.22815559245087802 --- ticker GE --- day 2018-07-20 --- time 39600
2023-04-21 12:08:59,762 INFO Negative OS: -0.0011123470522798051 --- ticker GE --- day 2018-07-25 --- time 46800
2023-04-21 12:09:00,010 INFO Negative OS: -0.23211513462691902 --- ticker GE --- day 2018-07-30 --- time 50400
2023-04-21 12:09:00,560 INFO Negative OS: -0.005586592178770333 --- ticker GE --- day 2018-08-08 --- time 50400
2023-04-21 12:09:00,565 INFO Negative OS: -0.1351808723955652 --- ticker GE --- day 2018-08-08 --- time 52200
2023-04-21 12:09:01,097 INFO Negative OS: -0.0011123470522798051 --- ticker GE --- day 2018-08-17 --- time 45000
2023-04-21 12:09:01,187 INFO Negative OS: -0.5881219661820776 --- ticker GE --- day 2018-08-20 --- time 48600
2023-04-21 12:09:02,363 INFO Negative OS: -0.9694474088137319 --- ticker GE --- day 2018-09-11 --- time 46800
2023-04-21 12:09:05,180 INFO Negative OS: -0.9293892713465721 --- ticker GE --- day 2018-10-30 --- time 46800
2023-04-21 12:09:05,334 INFO Negative OS: -0.18330938596442414 --- ticker GE --- day 2018-11-01 --- time 45000
2023-04-21 12:09:11,126 INFO Negative OS: -0.0018552875695732052 --- ticker GE --- day 2019-02-21 --- time 48600
2023-04-21 12:09:11,205 INFO Negative OS: -2.900028415374966 --- ticker GE --- day 2019-02-22 --- time 48600
2023-04-21 12:09:13,691 INFO Negative OS: -2.0019421763264025 --- ticker GE --- day 2019-04-04 --- time 52200
2023-04-21 12:09:14,482 INFO Negative OS: -0.011116227060448347 --- ticker GE --- day 2019-04-18 --- time 52200
2023-04-21 12:09:18,652 INFO Negative OS: -0.0027855153203337757 --- ticker GE --- day 2019-07-05 --- time 48600
2023-04-21 12:09:19,287 INFO Negative OS: -0.00042753313381771463 --- ticker GE --- day 2019-07-17 --- time 50400
2023-04-21 12:09:19,994 INFO Negative OS: -0.7514119580367145 --- ticker GE --- day 2019-07-30 --- time 48600
2023-04-21 12:09:20,714 INFO Negative OS: -0.007194244604316502 --- ticker GE --- day 2019-08-12 --- time 50400
2023-04-21 12:09:23,395 INFO Negative OS: -0.005586592178770555 --- ticker GE --- day 2019-09-30 --- time 50400
2023-04-21 12:09:25,274 INFO Negative OS: -0.0923013863052573 --- ticker GE --- day 2019-11-01 --- time 46800
2023-04-21 12:09:26,219 INFO Negative OS: -0.002785515320334442 --- ticker GE --- day 2019-11-19 --- time 45000
2023-04-21 12:09:27,606 INFO in_r2: 0.9911290623106664 , std 0.01744244268318198 
2023-04-21 12:09:27,606 INFO os_r2: 0.9327813340234535 , std 0.18270280075370865 
2023-04-21 12:09:27,606 INFO intercept: -7.858282068808383e-07 , std 2.381206928595211e-05 
2023-04-21 12:09:27,606 INFO pca_1: -1.2712613832805153e-05 , std 0.000365841988047508 
2023-04-21 12:09:27,606 INFO pca_2: 1.6894518255670273e-05 , std 0.0007434045134269792 
2023-04-21 12:09:27,606 INFO pca_3: -4.991808277664334e-06 , std 0.0006789250014211007 
2023-04-21 12:09:27,607 INFO pca_4: -2.07707090468908e-05 , std 0.0006326819206885499 
2023-04-21 12:09:27,607 INFO pca_5: -2.0560111833378386e-05 , std 0.0006681213794104311 
2023-04-21 12:09:27,607 INFO pca_6: -1.1039165015230508e-05 , std 0.0006768913584614855 
2023-04-21 12:09:27,607 INFO pca_7: -1.9249336106071213e-05 , std 0.0006262394486207387 
2023-04-21 12:09:27,607 INFO pca_8: -3.218822098273922e-06 , std 0.0005780946358744769 
2023-04-21 12:09:27,607 INFO pca_9: -2.010791289247566e-06 , std 0.0005288200103644205 
2023-04-21 12:09:27,607 INFO pca_10: 5.688043592991501e-06 , std 0.0004888307015837037 
2023-04-21 12:09:27,607 INFO t_intercept: -0.1726642046241254 , std 34.86935241067033 
2023-04-21 12:09:27,607 INFO t_pca_1: -9.842918966230293 , std 372.4138701567535 
2023-04-21 12:09:27,607 INFO t_pca_2: -0.3994018618706097 , std 318.1177532387492 
2023-04-21 12:09:27,607 INFO t_pca_3: 1.0851645297091626 , std 138.32315527054052 
2023-04-21 12:09:27,607 INFO t_pca_4: -1.5259163817894514 , std 76.16365313452386 
2023-04-21 12:09:27,607 INFO t_pca_5: -1.6783298055977356 , std 47.28081886475044 
2023-04-21 12:09:27,607 INFO t_pca_6: -0.7803607862842324 , std 32.42503369149744 
2023-04-21 12:09:27,607 INFO t_pca_7: -0.7542532378420118 , std 23.525637687984688 
2023-04-21 12:09:27,607 INFO t_pca_8: -0.24510913365974965 , std 17.411165279944697 
2023-04-21 12:09:27,607 INFO t_pca_9: -0.1086445168585806 , std 12.189148033852794 
2023-04-21 12:09:27,607 INFO t_pca_10: 0.15641637706802636 , std 9.533680680191132 
2023-04-21 12:09:27,607 INFO p_intercept: 0.1072706659979975 , std 0.289142400066465 
2023-04-21 12:09:27,607 INFO p_pca_1: 0.001063063274777491 , std 0.025656549504190357 
2023-04-21 12:09:27,607 INFO p_pca_2: 0.0068711091093988114 , std 0.061430295071829254 
2023-04-21 12:09:27,607 INFO p_pca_3: 0.012061217421813753 , std 0.0844643940679314 
2023-04-21 12:09:27,607 INFO p_pca_4: 0.021113763105787508 , std 0.11118401522431867 
2023-04-21 12:09:27,607 INFO p_pca_5: 0.022780072832143377 , std 0.11150198067740694 
2023-04-21 12:09:27,607 INFO p_pca_6: 0.030908019939328228 , std 0.13064157725243924 
2023-04-21 12:09:27,607 INFO p_pca_7: 0.04453972879390058 , std 0.15483062028348013 
2023-04-21 12:09:27,607 INFO p_pca_8: 0.06360655863516194 , std 0.1858152472686324 
2023-04-21 12:09:27,607 INFO p_pca_9: 0.08099584023637242 , std 0.2059803612820368 
2023-04-21 12:09:27,607 INFO p_pca_10: 0.09691909070586714 , std 0.2213582366259626 
2023-04-21 12:09:27,607 INFO pca_explained_1: 0.808946038749809 , std 0.12362805947325314 
2023-04-21 12:09:27,607 INFO pca_explained_2: 0.9107794317294695 , std 0.07472867141464641 
2023-04-21 12:09:27,607 INFO pca_explained_3: 0.9491849459966025 , std 0.05348455433840695 
2023-04-21 12:09:27,607 INFO pca_explained_4: 0.9660800607972779 , std 0.03934392250186207 
2023-04-21 12:09:27,607 INFO pca_explained_5: 0.9759690583930207 , std 0.02982869339623522 
2023-04-21 12:09:27,607 INFO pca_explained_6: 0.9823840732678137 , std 0.022939491145261903 
2023-04-21 12:09:27,607 INFO pca_explained_7: 0.9868137705794754 , std 0.017804736979015145 
2023-04-21 12:09:27,607 INFO pca_explained_8: 0.9899611282174421 , std 0.014016978765006145 
2023-04-21 12:09:27,607 INFO pca_explained_9: 0.9922743771343081 , std 0.01113424584044777 
2023-04-21 12:09:27,607 INFO pca_explained_10: 0.9940104576978718 , std 0.008879358308596855 
