2023-04-21 12:07:31,668 INFO Tickers: ['IBM']
2023-04-21 12:07:50,673 INFO Negative OS: -0.9694400662748495 --- ticker IBM --- day 2018-01-17 --- time 52200
2023-04-21 12:08:09,221 INFO Negative OS: -0.2923768058019238 --- ticker IBM --- day 2018-12-19 --- time 50400
2023-04-21 12:08:10,759 INFO Negative OS: -128.1617808042797 --- ticker IBM --- day 2019-01-18 --- time 46800
2023-04-21 12:08:25,448 INFO Negative OS: -0.5288855293268717 --- ticker IBM --- day 2019-10-08 --- time 46800
2023-04-21 12:08:25,581 INFO Negative OS: -0.11790007210882725 --- ticker IBM --- day 2019-10-10 --- time 39600
2023-04-21 12:08:25,850 INFO Negative OS: -0.43486122345880673 --- ticker IBM --- day 2019-10-15 --- time 52200
2023-04-21 12:08:29,136 INFO in_r2: 0.8778309927804968 , std 0.05914030005407376 
2023-04-21 12:08:29,136 INFO os_r2: 0.8299084451339667 , std 1.6679392346441058 
2023-04-21 12:08:29,136 INFO intercept: -3.571560890667258e-07 , std 1.3464382613301807e-05 
2023-04-21 12:08:29,136 INFO pca_1: -1.8975156297030482e-06 , std 7.008980595622389e-05 
2023-04-21 12:08:29,136 INFO pca_2: -5.2676124809589604e-06 , std 0.00013602560770150754 
2023-04-21 12:08:29,136 INFO pca_3: -5.718573636411869e-08 , std 7.77923679430697e-05 
2023-04-21 12:08:29,136 INFO pca_4: -2.626892479680036e-07 , std 6.52087745950419e-05 
2023-04-21 12:08:29,136 INFO pca_5: 2.1876420273753965e-07 , std 5.54765296323246e-05 
2023-04-21 12:08:29,136 INFO pca_6: -5.658946678224698e-07 , std 4.7673665319890376e-05 
2023-04-21 12:08:29,136 INFO pca_7: -1.7845583833144806e-07 , std 4.3495067110176265e-05 
2023-04-21 12:08:29,136 INFO pca_8: -5.55889314713148e-07 , std 4.217976243658967e-05 
2023-04-21 12:08:29,136 INFO pca_9: 6.252561855336487e-07 , std 4.040906273713981e-05 
2023-04-21 12:08:29,136 INFO pca_10: 9.511730935817784e-07 , std 4.400976185376717e-05 
2023-04-21 12:08:29,136 INFO t_intercept: -0.019638451409393118 , std 3.0264797552077614 
2023-04-21 12:08:29,136 INFO t_pca_1: -0.6587142308353927 , std 25.223719085002564 
2023-04-21 12:08:29,136 INFO t_pca_2: -1.2501681799416382 , std 28.581210206073372 
2023-04-21 12:08:29,136 INFO t_pca_3: -0.028027354327450814 , std 10.931720436899019 
2023-04-21 12:08:29,136 INFO t_pca_4: 0.0010198657389846166 , std 7.591601810165568 
2023-04-21 12:08:29,136 INFO t_pca_5: -0.013577934356899923 , std 5.477589062626051 
2023-04-21 12:08:29,136 INFO t_pca_6: -0.033169461689455074 , std 4.1358523879671525 
2023-04-21 12:08:29,136 INFO t_pca_7: 0.0008784663017867806 , std 3.237713393397605 
2023-04-21 12:08:29,136 INFO t_pca_8: -0.021692704517572804 , std 2.681140465955425 
2023-04-21 12:08:29,136 INFO t_pca_9: 0.04707723578841392 , std 2.2229017726910687 
2023-04-21 12:08:29,136 INFO t_pca_10: 0.0627782255272541 , std 2.1140328419160213 
2023-04-21 12:08:29,136 INFO p_intercept: 0.2215248166922804 , std 0.2926658530584544 
2023-04-21 12:08:29,136 INFO p_pca_1: 0.004968937347135075 , std 0.05241137857678983 
2023-04-21 12:08:29,136 INFO p_pca_2: 0.012524467673113906 , std 0.08329926259361355 
2023-04-21 12:08:29,136 INFO p_pca_3: 0.08876691696465613 , std 0.21019180907561988 
2023-04-21 12:08:29,136 INFO p_pca_4: 0.1273860965580404 , std 0.2407274974950091 
2023-04-21 12:08:29,136 INFO p_pca_5: 0.1755732368805978 , std 0.2734775242639673 
2023-04-21 12:08:29,136 INFO p_pca_6: 0.22947728704543113 , std 0.295973758396096 
2023-04-21 12:08:29,136 INFO p_pca_7: 0.27778993282335596 , std 0.31121074604507376 
2023-04-21 12:08:29,136 INFO p_pca_8: 0.3115942053416239 , std 0.313445226139054 
2023-04-21 12:08:29,136 INFO p_pca_9: 0.325491257433254 , std 0.3108963652953928 
2023-04-21 12:08:29,136 INFO p_pca_10: 0.3395435289070448 , std 0.3136174427592946 
2023-04-21 12:08:29,136 INFO pca_explained_1: 0.5735718361999054 , std 0.09206469376295447 
2023-04-21 12:08:29,136 INFO pca_explained_2: 0.7232103416831523 , std 0.07442930603499527 
2023-04-21 12:08:29,136 INFO pca_explained_3: 0.7929897257412841 , std 0.059810579260412194 
2023-04-21 12:08:29,136 INFO pca_explained_4: 0.8393178428911914 , std 0.04872018685895337 
2023-04-21 12:08:29,136 INFO pca_explained_5: 0.8719484917157145 , std 0.0398692582428338 
2023-04-21 12:08:29,136 INFO pca_explained_6: 0.8966167142605269 , std 0.03290719545753972 
2023-04-21 12:08:29,137 INFO pca_explained_7: 0.915990300082525 , std 0.027437659951494203 
2023-04-21 12:08:29,137 INFO pca_explained_8: 0.9315692285024757 , std 0.023099652314675482 
2023-04-21 12:08:29,137 INFO pca_explained_9: 0.9441851800048614 , std 0.019728135879315403 
2023-04-21 12:08:29,137 INFO pca_explained_10: 0.9544377890377181 , std 0.01705661724247788 
