2023-04-20 05:24:23,040 INFO Tickers: ['INTC']
2023-04-20 05:25:01,721 INFO Negative OS: -0.13200327749238672 --- ticker INTC --- day 2017-07-26 --- time 36000
2023-04-20 05:25:01,835 INFO Negative OS: -6.369125510958753 --- ticker INTC --- day 2017-07-26 --- time 48600
2023-04-20 05:25:09,264 INFO Negative OS: -0.12593460272147783 --- ticker INTC --- day 2017-09-01 --- time 48600
2023-04-20 05:26:32,083 INFO Negative OS: -0.33244886834103027 --- ticker INTC --- day 2019-04-26 --- time 48600
2023-04-20 05:26:33,105 INFO Negative OS: -1.3731133622436618 --- ticker INTC --- day 2019-05-14 --- time 39600
2023-04-20 05:26:46,237 INFO in_r2: 0.9861513322088119 , std 0.01846672838063157 
2023-04-20 05:26:46,237 INFO os_r2: 0.9713369307110782 , std 0.10250087825259453 
2023-04-20 05:26:46,237 INFO intercept: 1.585474137282345e-07 , std 1.7446262058543386e-05 
2023-04-20 05:26:46,237 INFO pca_1: -5.93553162406818e-06 , std 0.0002405055994236831 
2023-04-20 05:26:46,237 INFO pca_2: -1.1799634512494936e-06 , std 0.00016582169902388063 
2023-04-20 05:26:46,238 INFO pca_3: 3.023903033150958e-06 , std 0.00018832912003700913 
2023-04-20 05:26:46,238 INFO pca_4: -4.9311154505556545e-06 , std 0.00023875675873257703 
2023-04-20 05:26:46,238 INFO pca_5: 4.653886496863834e-06 , std 0.00022025260486767154 
2023-04-20 05:26:46,238 INFO pca_6: 4.888504604115688e-07 , std 0.00018212646492953596 
2023-04-20 05:26:46,238 INFO pca_7: -1.4341740131317312e-06 , std 0.0001537272515023862 
2023-04-20 05:26:46,238 INFO pca_8: -1.3254438347605011e-06 , std 0.0001329402775675264 
2023-04-20 05:26:46,238 INFO pca_9: -1.92341650881448e-06 , std 0.00012374090567378556 
2023-04-20 05:26:46,238 INFO pca_10: -1.0951513818430695e-06 , std 0.00011945053981856369 
2023-04-20 05:26:46,238 INFO t_intercept: 0.2851539826776638 , std 11.205286649692745 
2023-04-20 05:26:46,238 INFO t_pca_1: -5.8608363636825835 , std 146.87373634124418 
2023-04-20 05:26:46,238 INFO t_pca_2: 0.18715699243045378 , std 50.54321012770168 
2023-04-20 05:26:46,238 INFO t_pca_3: 0.34138247901143287 , std 39.47791781937338 
2023-04-20 05:26:46,238 INFO t_pca_4: -1.196862860223164 , std 38.87772883077723 
2023-04-20 05:26:46,238 INFO t_pca_5: 0.5258048891238271 , std 26.462907168289956 
2023-04-20 05:26:46,238 INFO t_pca_6: 0.046636425762168914 , std 17.562623217774007 
2023-04-20 05:26:46,238 INFO t_pca_7: -0.14419722375613256 , std 12.409802709863884 
2023-04-20 05:26:46,238 INFO t_pca_8: -0.08581269784851625 , std 9.207845126927252 
2023-04-20 05:26:46,238 INFO t_pca_9: -0.11814837192159412 , std 7.29590863939026 
2023-04-20 05:26:46,238 INFO t_pca_10: -0.0314223549974109 , std 6.019639231441123 
2023-04-20 05:26:46,238 INFO p_intercept: 0.07560456981470216 , std 0.21338894137217804 
2023-04-20 05:26:46,238 INFO p_pca_1: 0.0019713823344289024 , std 0.03246720818874354 
2023-04-20 05:26:46,238 INFO p_pca_2: 0.01514235718253621 , std 0.09125902928766955 
2023-04-20 05:26:46,238 INFO p_pca_3: 0.020938116170684622 , std 0.10986730656174361 
2023-04-20 05:26:46,238 INFO p_pca_4: 0.022165942507604265 , std 0.11120713660904268 
2023-04-20 05:26:46,238 INFO p_pca_5: 0.024583409748626123 , std 0.11710914140269393 
2023-04-20 05:26:46,238 INFO p_pca_6: 0.046112186591048224 , std 0.15649432043599196 
2023-04-20 05:26:46,238 INFO p_pca_7: 0.06611588887296727 , std 0.1863938712623124 
2023-04-20 05:26:46,238 INFO p_pca_8: 0.09060806718064895 , std 0.21328542597047578 
2023-04-20 05:26:46,238 INFO p_pca_9: 0.1152300628030624 , std 0.2326887380120917 
2023-04-20 05:26:46,238 INFO p_pca_10: 0.13724390372125195 , std 0.25117375220446014 
