2023-04-21 12:08:18,166 INFO Tickers: ['LLY']
2023-04-21 12:08:36,881 INFO Negative OS: -0.19336676570512878 --- ticker LLY --- day 2018-02-09 --- time 36000
2023-04-21 12:08:36,886 INFO Negative OS: -0.2609545768990764 --- ticker LLY --- day 2018-02-09 --- time 37800
2023-04-21 12:08:36,901 INFO Negative OS: -0.04149688985717548 --- ticker LLY --- day 2018-02-09 --- time 43200
2023-04-21 12:08:38,251 INFO Negative OS: -1.1053347023256928 --- ticker LLY --- day 2018-03-09 --- time 36000
2023-04-21 12:08:38,701 INFO Negative OS: -0.5331863884469332 --- ticker LLY --- day 2018-03-19 --- time 43200
2023-04-21 12:08:39,294 INFO Negative OS: -1.3793157759984336 --- ticker LLY --- day 2018-03-29 --- time 52200
2023-04-21 12:08:50,762 INFO Negative OS: -0.41746514362460974 --- ticker LLY --- day 2018-11-05 --- time 50400
2023-04-21 12:08:57,250 INFO Negative OS: -1.5714852880307744 --- ticker LLY --- day 2019-03-13 --- time 36000
2023-04-21 12:09:08,959 INFO Negative OS: -18.963069525108796 --- ticker LLY --- day 2019-10-23 --- time 41400
2023-04-21 12:09:10,420 INFO Negative OS: -1.5437667374326853 --- ticker LLY --- day 2019-11-21 --- time 46800
2023-04-21 12:09:11,537 INFO in_r2: 0.896520564407194 , std 0.06287755370106952 
2023-04-21 12:09:11,537 INFO os_r2: 0.8676829431145068 , std 0.29418627357780486 
2023-04-21 12:09:11,537 INFO intercept: 2.978517677723125e-07 , std 1.5667270340467186e-05 
2023-04-21 12:09:11,537 INFO pca_1: 1.865881551148441e-07 , std 9.9884467399129e-05 
2023-04-21 12:09:11,537 INFO pca_2: -3.6189633283678668e-06 , std 0.00019493157700777229 
2023-04-21 12:09:11,537 INFO pca_3: -6.071227470064066e-06 , std 0.00012123430297858944 
2023-04-21 12:09:11,537 INFO pca_4: -1.6320191660921352e-06 , std 9.54464648971654e-05 
2023-04-21 12:09:11,537 INFO pca_5: -3.333262633735259e-06 , std 8.002870132574299e-05 
2023-04-21 12:09:11,537 INFO pca_6: 6.695748675310579e-07 , std 6.932520058546892e-05 
2023-04-21 12:09:11,537 INFO pca_7: 2.846637110404084e-07 , std 6.151422400011468e-05 
2023-04-21 12:09:11,537 INFO pca_8: -1.070942929962137e-06 , std 5.465008610209132e-05 
2023-04-21 12:09:11,537 INFO pca_9: 1.7175176402032673e-07 , std 5.5759266116210434e-05 
2023-04-21 12:09:11,537 INFO pca_10: -1.7037688668788401e-06 , std 6.13742534611889e-05 
2023-04-21 12:09:11,538 INFO t_intercept: 0.10886400563532408 , std 3.5708065555149204 
2023-04-21 12:09:11,538 INFO t_pca_1: 0.19084478265199806 , std 30.627040943994867 
2023-04-21 12:09:11,538 INFO t_pca_2: -0.28375549694774616 , std 31.755099477634 
2023-04-21 12:09:11,538 INFO t_pca_3: -0.6726581026118674 , std 14.082217911077317 
2023-04-21 12:09:11,538 INFO t_pca_4: -0.07145445699624983 , std 9.284913439153401 
2023-04-21 12:09:11,538 INFO t_pca_5: -0.21780662542197426 , std 6.564300712961574 
2023-04-21 12:09:11,538 INFO t_pca_6: 0.023970285653321332 , std 4.696770170305702 
2023-04-21 12:09:11,538 INFO t_pca_7: 0.04414837528267708 , std 3.5273854576257664 
2023-04-21 12:09:11,538 INFO t_pca_8: -0.07148424872647628 , std 2.5543177448676566 
2023-04-21 12:09:11,538 INFO t_pca_9: -0.0037583275440810954 , std 2.205962183519512 
2023-04-21 12:09:11,538 INFO t_pca_10: -0.03934018298429258 , std 2.050730612150373 
2023-04-21 12:09:11,538 INFO p_intercept: 0.203277199392115 , std 0.2894257248398712 
2023-04-21 12:09:11,538 INFO p_pca_1: 0.003298110897252207 , std 0.040512150787282944 
2023-04-21 12:09:11,538 INFO p_pca_2: 0.010032746743504638 , std 0.07883420473579736 
2023-04-21 12:09:11,538 INFO p_pca_3: 0.06029949912337965 , std 0.17854003093259715 
2023-04-21 12:09:11,538 INFO p_pca_4: 0.09260352231431503 , std 0.2113506581861013 
2023-04-21 12:09:11,538 INFO p_pca_5: 0.13949079330420128 , std 0.2523917038668764 
2023-04-21 12:09:11,538 INFO p_pca_6: 0.2048805409338256 , std 0.2875055358296071 
2023-04-21 12:09:11,538 INFO p_pca_7: 0.270011386630133 , std 0.30635074638348914 
2023-04-21 12:09:11,538 INFO p_pca_8: 0.3107590289418242 , std 0.3147738407643597 
2023-04-21 12:09:11,538 INFO p_pca_9: 0.3243092919160044 , std 0.3077782608736367 
2023-04-21 12:09:11,538 INFO p_pca_10: 0.3333592092261469 , std 0.31223902850287455 
2023-04-21 12:09:11,538 INFO pca_explained_1: 0.5824430617017066 , std 0.10358579901940351 
2023-04-21 12:09:11,538 INFO pca_explained_2: 0.72134662962442 , std 0.07935257812752776 
