2023-04-21 12:10:08,101 INFO Tickers: ['MDLZ']
2023-04-21 12:10:12,024 INFO Negative OS: -0.21920824408701844 --- ticker MDLZ --- day 2017-03-16 --- time 50400
2023-04-21 12:11:04,853 INFO in_r2: 0.985062760235045 , std 0.015442750813077362 
2023-04-21 12:11:04,853 INFO os_r2: 0.9711414424595118 , std 0.04059342588100948 
2023-04-21 12:11:04,853 INFO intercept: -2.4279258220352186e-07 , std 1.2697838284251594e-05 
2023-04-21 12:11:04,854 INFO pca_1: 2.03469783526933e-06 , std 0.0002338823635757145 
2023-04-21 12:11:04,854 INFO pca_2: -2.172874771241222e-06 , std 0.00014248800407003613 
2023-04-21 12:11:04,854 INFO pca_3: 5.858644343139933e-07 , std 0.00017528615479025096 
2023-04-21 12:11:04,854 INFO pca_4: -1.0353783781631472e-06 , std 0.00023483271967849782 
2023-04-21 12:11:04,854 INFO pca_5: 1.1255509316465333e-06 , std 0.00020409107061631013 
2023-04-21 12:11:04,854 INFO pca_6: -2.818593092623763e-06 , std 0.0001607177486907526 
2023-04-21 12:11:04,854 INFO pca_7: 1.3267304900325877e-06 , std 0.0001356442401512058 
2023-04-21 12:11:04,854 INFO pca_8: 4.3696962422689486e-07 , std 0.00012040814074939635 
2023-04-21 12:11:04,854 INFO pca_9: -2.846084123587911e-06 , std 0.00011224121814923644 
2023-04-21 12:11:04,854 INFO pca_10: 1.6245491026218305e-06 , std 0.00010659052536762585 
2023-04-21 12:11:04,854 INFO t_intercept: -0.1683168840837206 , std 11.597218158701669 
2023-04-21 12:11:04,854 INFO t_pca_1: -1.5678631895510988 , std 147.3822557770512 
2023-04-21 12:11:04,854 INFO t_pca_2: -0.4847940801841325 , std 49.374500787836915 
2023-04-21 12:11:04,854 INFO t_pca_3: 0.5344758296076882 , std 37.30361051982209 
2023-04-21 12:11:04,854 INFO t_pca_4: 0.21124251027509414 , std 39.514754769140396 
2023-04-21 12:11:04,854 INFO t_pca_5: 0.5848041353063944 , std 22.936666687828453 
2023-04-21 12:11:04,854 INFO t_pca_6: -0.1774580424989707 , std 13.889314383304034 
2023-04-21 12:11:04,854 INFO t_pca_7: 0.14045088821942456 , std 9.562112407332464 
2023-04-21 12:11:04,854 INFO t_pca_8: 0.07263629965931753 , std 7.299618319429029 
2023-04-21 12:11:04,854 INFO t_pca_9: -0.13193482037803808 , std 5.7036985027448734 
2023-04-21 12:11:04,854 INFO t_pca_10: 0.03896423460337366 , std 4.6755255058764575 
2023-04-21 12:11:04,854 INFO p_intercept: 0.08021085323965853 , std 0.21786870594432214 
2023-04-21 12:11:04,854 INFO p_pca_1: 0.000623613441984479 , std 0.018971412402413325 
2023-04-21 12:11:04,854 INFO p_pca_2: 0.022782129550837596 , std 0.11391863994000646 
2023-04-21 12:11:04,854 INFO p_pca_3: 0.023637134354574534 , std 0.1157969097203197 
2023-04-21 12:11:04,854 INFO p_pca_4: 0.01939075165491835 , std 0.10194473502227855 
2023-04-21 12:11:04,854 INFO p_pca_5: 0.028333198268808757 , std 0.1237069945438259 
2023-04-21 12:11:04,854 INFO p_pca_6: 0.05183262776052392 , std 0.16530167399813123 
2023-04-21 12:11:04,854 INFO p_pca_7: 0.08263582651954272 , std 0.206559191396635 
2023-04-21 12:11:04,854 INFO p_pca_8: 0.10680280657207339 , std 0.22890890727507643 
2023-04-21 12:11:04,854 INFO p_pca_9: 0.1319202560416601 , std 0.2469528932326128 
2023-04-21 12:11:04,854 INFO p_pca_10: 0.1569205930323756 , std 0.2619787393135739 
2023-04-21 12:11:04,854 INFO pca_explained_1: 0.6316170926932734 , std 0.12352395490758869 
2023-04-21 12:11:04,854 INFO pca_explained_2: 0.7970604028189253 , std 0.08226256730690709 
2023-04-21 12:11:04,854 INFO pca_explained_3: 0.865627777234104 , std 0.0627528014801773 
2023-04-21 12:11:04,854 INFO pca_explained_4: 0.9048503955846815 , std 0.05014441825534674 
2023-04-21 12:11:04,854 INFO pca_explained_5: 0.9287966480583484 , std 0.040280618413747436 
2023-04-21 12:11:04,854 INFO pca_explained_6: 0.9447278138650073 , std 0.03245620192054193 
2023-04-21 12:11:04,854 INFO pca_explained_7: 0.9561868313559699 , std 0.026429370518994775 
2023-04-21 12:11:04,854 INFO pca_explained_8: 0.964725457888177 , std 0.021756084255233298 
2023-04-21 12:11:04,854 INFO pca_explained_9: 0.9712347220725848 , std 0.018085641814261658 
2023-04-21 12:11:04,854 INFO pca_explained_10: 0.9763395079159636 , std 0.015133323231898602 
