2023-04-20 05:31:38,144 INFO Tickers: ['MO']
2023-04-20 05:31:42,632 INFO Negative OS: -0.11356745120405964 --- ticker MO --- day 2017-03-15 --- time 48600
2023-04-20 05:32:02,257 INFO Negative OS: -0.08468824338099012 --- ticker MO --- day 2018-02-07 --- time 39600
2023-04-20 05:32:02,281 INFO Negative OS: -0.07237004059556296 --- ticker MO --- day 2018-02-07 --- time 46800
2023-04-20 05:32:02,293 INFO Negative OS: -0.2488998856630713 --- ticker MO --- day 2018-02-07 --- time 50400
2023-04-20 05:32:04,150 INFO Negative OS: -17.55045113217008 --- ticker MO --- day 2018-03-09 --- time 41400
2023-04-20 05:32:44,098 INFO in_r2: 0.968636219363501 , std 0.03548132052741269 
2023-04-20 05:32:44,098 INFO os_r2: 0.9509952059881069 , std 0.2325033419942691 
2023-04-20 05:32:44,098 INFO intercept: -4.5402858999350227e-07 , std 1.720857888337612e-05 
2023-04-20 05:32:44,098 INFO pca_1: -4.618087656514243e-06 , std 0.0001677452134762322 
2023-04-20 05:32:44,098 INFO pca_2: -2.2115244621897747e-06 , std 0.0002404244111639392 
2023-04-20 05:32:44,098 INFO pca_3: 1.3372616556597366e-06 , std 0.0001854326788735877 
2023-04-20 05:32:44,098 INFO pca_4: 8.73030430769083e-06 , std 0.00016590237087640126 
2023-04-20 05:32:44,098 INFO pca_5: 3.483483287021792e-07 , std 0.0001326547687105732 
2023-04-20 05:32:44,098 INFO pca_6: 8.929268660630058e-07 , std 0.00010699856287714734 
2023-04-20 05:32:44,098 INFO pca_7: 1.3889843489583853e-06 , std 9.300087145874056e-05 
2023-04-20 05:32:44,098 INFO pca_8: -3.6191906036257845e-06 , std 8.423638038346206e-05 
2023-04-20 05:32:44,098 INFO pca_9: 2.0965344220394575e-07 , std 7.853200251111795e-05 
2023-04-20 05:32:44,098 INFO pca_10: -5.920693814191358e-07 , std 7.562038941431842e-05 
2023-04-20 05:32:44,098 INFO t_intercept: 0.08577102941705238 , std 7.850739914746979 
2023-04-20 05:32:44,098 INFO t_pca_1: -2.9256551141383342 , std 81.490199820873 
2023-04-20 05:32:44,098 INFO t_pca_2: 0.5163880299163398 , std 67.62840315884385 
2023-04-20 05:32:44,098 INFO t_pca_3: 0.7048053953406386 , std 34.3172570999102 
2023-04-20 05:32:44,098 INFO t_pca_4: 1.2986446368880722 , std 23.78302442931284 
2023-04-20 05:32:44,098 INFO t_pca_5: 0.17877772112374313 , std 15.251753738238122 
2023-04-20 05:32:44,098 INFO t_pca_6: 0.03780449367042002 , std 10.021659393881126 
2023-04-20 05:32:44,098 INFO t_pca_7: 0.11732921466893557 , std 7.522522011180126 
2023-04-20 05:32:44,098 INFO t_pca_8: -0.1838380779275888 , std 5.87569418477107 
2023-04-20 05:32:44,098 INFO t_pca_9: 0.015572887940871616 , std 4.705436975355913 
2023-04-20 05:32:44,098 INFO t_pca_10: -0.03203614242149847 , std 3.942461720619393 
2023-04-20 05:32:44,098 INFO p_intercept: 0.10831419489991921 , std 0.23360006608946982 
2023-04-20 05:32:44,098 INFO p_pca_1: 0.0013652930612075322 , std 0.02458992727886371 
2023-04-20 05:32:44,098 INFO p_pca_2: 0.0067534211324338095 , std 0.0618677287755826 
2023-04-20 05:32:44,098 INFO p_pca_3: 0.01960664954864978 , std 0.10651036833980147 
2023-04-20 05:32:44,098 INFO p_pca_4: 0.03316532190433761 , std 0.13367836967750057 
2023-04-20 05:32:44,099 INFO p_pca_5: 0.05377304505808549 , std 0.16620469465294666 
2023-04-20 05:32:44,099 INFO p_pca_6: 0.09313426875656153 , std 0.21413418958878874 
2023-04-20 05:32:44,099 INFO p_pca_7: 0.12758669984452017 , std 0.24656256540430488 
2023-04-20 05:32:44,099 INFO p_pca_8: 0.164806029006016 , std 0.27039168415816667 
2023-04-20 05:32:44,099 INFO p_pca_9: 0.18182747711518807 , std 0.27582572353406615 
2023-04-20 05:32:44,099 INFO p_pca_10: 0.20440033343330877 , std 0.2829465106470773 
