2023-04-20 05:25:17,025 INFO Tickers: ['MRK']
2023-04-20 05:26:18,958 INFO in_r2: 0.9681444201978964 , std 0.01964923219635039 
2023-04-20 05:26:18,958 INFO os_r2: 0.9556370718887361 , std 0.03552353963067677 
2023-04-20 05:26:18,958 INFO intercept: -4.072377250219806e-08 , std 1.3755062441279611e-05 
2023-04-20 05:26:18,958 INFO pca_1: -9.648540301155666e-06 , std 0.00014768928159334085 
2023-04-20 05:26:18,958 INFO pca_2: -2.321538053372585e-06 , std 0.00021023156498012238 
2023-04-20 05:26:18,958 INFO pca_3: 2.5303806799025033e-06 , std 0.00013744312288186674 
2023-04-20 05:26:18,958 INFO pca_4: 6.546722327468168e-06 , std 0.00012717255478262297 
2023-04-20 05:26:18,958 INFO pca_5: 3.6723787550285e-06 , std 0.00011278284330899568 
2023-04-20 05:26:18,958 INFO pca_6: 4.3736356871450783e-07 , std 9.851027741274427e-05 
2023-04-20 05:26:18,958 INFO pca_7: 6.676815295781722e-07 , std 8.969678237656362e-05 
2023-04-20 05:26:18,958 INFO pca_8: -7.023431774587622e-07 , std 7.687161939382483e-05 
2023-04-20 05:26:18,958 INFO pca_9: -3.873198033331582e-07 , std 7.156589131204096e-05 
2023-04-20 05:26:18,958 INFO pca_10: -2.246831107782737e-06 , std 6.973530705562672e-05 
2023-04-20 05:26:18,958 INFO t_intercept: -0.007964153649864606 , std 6.240938713465163 
2023-04-20 05:26:18,959 INFO t_pca_1: -3.5379854805294744 , std 57.63941113898631 
2023-04-20 05:26:18,959 INFO t_pca_2: -0.5560992597023852 , std 52.83779715543115 
2023-04-20 05:26:18,959 INFO t_pca_3: 0.42334362192711616 , std 23.88867283596867 
2023-04-20 05:26:18,959 INFO t_pca_4: 0.6565118271117353 , std 16.671440062065884 
2023-04-20 05:26:18,959 INFO t_pca_5: 0.4362179334400852 , std 12.645744281952748 
2023-04-20 05:26:18,959 INFO t_pca_6: 0.07415150077324231 , std 9.48022500087879 
2023-04-20 05:26:18,959 INFO t_pca_7: 0.06151394327039472 , std 7.507534721001447 
2023-04-20 05:26:18,959 INFO t_pca_8: -0.011390857712695298 , std 5.559532881205621 
2023-04-20 05:26:18,959 INFO t_pca_9: 0.02287290539307337 , std 4.431774970314718 
2023-04-20 05:26:18,959 INFO t_pca_10: -0.07662179106623679 , std 3.6499948061840146 
2023-04-20 05:26:18,959 INFO p_intercept: 0.1109556691512668 , std 0.23397594180986733 
2023-04-20 05:26:18,959 INFO p_pca_1: 0.0024199014975929745 , std 0.03900533225066895 
2023-04-20 05:26:18,959 INFO p_pca_2: 0.0052223623556557726 , std 0.055740937750633095 
2023-04-20 05:26:18,959 INFO p_pca_3: 0.027317000161918653 , std 0.12302551583187737 
2023-04-20 05:26:18,959 INFO p_pca_4: 0.045519103854558866 , std 0.15955059880940584 
2023-04-20 05:26:18,959 INFO p_pca_5: 0.06475372387736422 , std 0.1845332224823242 
2023-04-20 05:26:18,959 INFO p_pca_6: 0.0895312148596903 , std 0.20791927351767878 
2023-04-20 05:26:18,959 INFO p_pca_7: 0.12163420646116008 , std 0.2384558683621877 
2023-04-20 05:26:18,959 INFO p_pca_8: 0.16544376678369258 , std 0.27052796594660244 
2023-04-20 05:26:18,959 INFO p_pca_9: 0.20225122537169393 , std 0.28747799844178723 
2023-04-20 05:26:18,959 INFO p_pca_10: 0.23256775898471138 , std 0.2945157005770841 
