2023-04-21 12:12:13,308 INFO Tickers: ['MS']
2023-04-21 12:13:13,513 INFO in_r2: 0.9835563094759 , std 0.01649538339825744 
2023-04-21 12:13:13,513 INFO os_r2: 0.9753044589488736 , std 0.03194325634053155 
2023-04-21 12:13:13,513 INFO intercept: -3.159693862116949e-07 , std 1.7988987336112636e-05 
2023-04-21 12:13:13,513 INFO pca_1: -1.8375401656160442e-06 , std 0.00021221883228507982 
2023-04-21 12:13:13,513 INFO pca_2: -7.256935598975383e-07 , std 0.00020235726410577066 
2023-04-21 12:13:13,514 INFO pca_3: 4.107653076359556e-06 , std 0.0001874380770265432 
2023-04-21 12:13:13,514 INFO pca_4: 7.210116387956839e-07 , std 0.00021875923449464577 
2023-04-21 12:13:13,514 INFO pca_5: -3.3434028330078796e-06 , std 0.00018921013688015604 
2023-04-21 12:13:13,514 INFO pca_6: -2.6576144124109833e-06 , std 0.0001640071398569863 
2023-04-21 12:13:13,514 INFO pca_7: 2.546856626134652e-07 , std 0.00013812236902807426 
2023-04-21 12:13:13,514 INFO pca_8: -3.2113179603321165e-07 , std 0.00011635901832642049 
2023-04-21 12:13:13,514 INFO pca_9: -7.059320273871771e-07 , std 0.00010187488230774125 
2023-04-21 12:13:13,514 INFO pca_10: 7.408150469892331e-07 , std 9.962633559920512e-05 
2023-04-21 12:13:13,514 INFO t_intercept: -0.047054852542761476 , std 9.490631366852993 
2023-04-21 12:13:13,514 INFO t_pca_1: 0.19465377570153086 , std 105.46767470799226 
2023-04-21 12:13:13,514 INFO t_pca_2: -0.3329754812697448 , std 63.54017393454034 
2023-04-21 12:13:13,514 INFO t_pca_3: 0.8418963365824904 , std 36.3520003583899 
2023-04-21 12:13:13,514 INFO t_pca_4: 0.12496516247533322 , std 32.09789686101052 
2023-04-21 12:13:13,514 INFO t_pca_5: -0.3276085379513582 , std 21.54394102851348 
2023-04-21 12:13:13,514 INFO t_pca_6: -0.22725822209595117 , std 15.456949252180381 
2023-04-21 12:13:13,514 INFO t_pca_7: 0.0005532580394041673 , std 11.001908296225945 
2023-04-21 12:13:13,514 INFO t_pca_8: -0.0005790514645533059 , std 8.007574021914424 
2023-04-21 12:13:13,514 INFO t_pca_9: -0.02697157371828357 , std 6.001404536376279 
2023-04-21 12:13:13,514 INFO t_pca_10: 0.03426889299334289 , std 5.009975735832329 
2023-04-21 12:13:13,514 INFO p_intercept: 0.08124877282054713 , std 0.2104612105773119 
2023-04-21 12:13:13,514 INFO p_pca_1: 0.0016385581903585326 , std 0.031853148455719654 
2023-04-21 12:13:13,514 INFO p_pca_2: 0.01258052382571071 , std 0.08360146819724398 
2023-04-21 12:13:13,514 INFO p_pca_3: 0.016843921160895274 , std 0.09765485572053277 
2023-04-21 12:13:13,514 INFO p_pca_4: 0.021800204482795973 , std 0.11237205229903945 
2023-04-21 12:13:13,514 INFO p_pca_5: 0.027690717928048943 , std 0.12371448639747155 
2023-04-21 12:13:13,514 INFO p_pca_6: 0.048311670091672955 , std 0.16294123972795865 
2023-04-21 12:13:13,514 INFO p_pca_7: 0.07301330939046519 , std 0.19267394802700866 
2023-04-21 12:13:13,514 INFO p_pca_8: 0.10595428632154302 , std 0.22393761776133045 
2023-04-21 12:13:13,514 INFO p_pca_9: 0.14167879827397775 , std 0.25045741703430824 
2023-04-21 12:13:13,514 INFO p_pca_10: 0.17075031889017375 , std 0.27180083951861367 
2023-04-21 12:13:13,514 INFO pca_explained_1: 0.5563731833944257 , std 0.10308037953867293 
2023-04-21 12:13:13,514 INFO pca_explained_2: 0.7525374414683558 , std 0.08392703072239177 
2023-04-21 12:13:13,514 INFO pca_explained_3: 0.8314914911843814 , std 0.06878829697393775 
2023-04-21 12:13:13,514 INFO pca_explained_4: 0.8795413630995012 , std 0.05673671298574222 
2023-04-21 12:13:13,514 INFO pca_explained_5: 0.9105574214525224 , std 0.045834144922289 
2023-04-21 12:13:13,514 INFO pca_explained_6: 0.9317916626003473 , std 0.03702916183367261 
2023-04-21 12:13:13,514 INFO pca_explained_7: 0.9470192732254797 , std 0.029939615753206833 
2023-04-21 12:13:13,514 INFO pca_explained_8: 0.95815547971489 , std 0.02418311422708579 
2023-04-21 12:13:13,514 INFO pca_explained_9: 0.9665445156510516 , std 0.019637102871946012 
2023-04-21 12:13:13,514 INFO pca_explained_10: 0.9730415398648762 , std 0.016061271332355492 
