2023-04-20 05:22:15,412 INFO Tickers: ['MSFT']
2023-04-20 05:22:26,929 INFO Negative OS: -0.3017735746333643 --- ticker MSFT --- day 2017-07-14 --- time 46800
2023-04-20 05:22:34,057 INFO Negative OS: -3.92236686976333 --- ticker MSFT --- day 2017-11-09 --- time 46800
2023-04-20 05:23:42,282 INFO Negative OS: -0.12929215394057203 --- ticker MSFT --- day 2019-09-11 --- time 37800
2023-04-20 05:23:42,315 INFO Negative OS: -0.5979882396407901 --- ticker MSFT --- day 2019-09-11 --- time 48600
2023-04-20 05:23:47,848 INFO in_r2: 0.9655053141349837 , std 0.03194537490374864 
2023-04-20 05:23:47,848 INFO os_r2: 0.9480386566987256 , std 0.08057004885073878 
2023-04-20 05:23:47,848 INFO intercept: -3.220611916264081e-08 , std 1.5234564620923793e-05 
2023-04-20 05:23:47,848 INFO pca_1: -1.4576765965535547e-05 , std 0.000125851292881521 
2023-04-20 05:23:47,848 INFO pca_2: 4.4551410526292304e-07 , std 0.00011057467597311307 
2023-04-20 05:23:47,848 INFO pca_3: 2.109158714733207e-06 , std 8.776257586091766e-05 
2023-04-20 05:23:47,848 INFO pca_4: 3.5557621185343286e-06 , std 0.00010881445742507462 
2023-04-20 05:23:47,848 INFO pca_5: 1.1730432461691343e-06 , std 9.098353179438647e-05 
2023-04-20 05:23:47,848 INFO pca_6: 1.722618861661049e-07 , std 7.783821778005455e-05 
2023-04-20 05:23:47,848 INFO pca_7: -6.598210806496074e-07 , std 6.958254035519817e-05 
2023-04-20 05:23:47,848 INFO pca_8: 1.6719738769639654e-06 , std 6.536893517410545e-05 
2023-04-20 05:23:47,848 INFO pca_9: 1.5950889420364204e-07 , std 6.072164059187238e-05 
2023-04-20 05:23:47,848 INFO pca_10: 1.352095011144157e-06 , std 5.607722964493512e-05 
2023-04-20 05:23:47,848 INFO t_intercept: 0.09941179098490519 , std 6.181523848531412 
2023-04-20 05:23:47,848 INFO t_pca_1: -7.04478849974954 , std 63.85745925935472 
2023-04-20 05:23:47,848 INFO t_pca_2: -0.48571389378703134 , std 45.18677246148189 
2023-04-20 05:23:47,848 INFO t_pca_3: 0.15938144054359146 , std 25.83436516224628 
2023-04-20 05:23:47,848 INFO t_pca_4: 0.5086407771715518 , std 20.054756396812124 
2023-04-20 05:23:47,848 INFO t_pca_5: 0.2854161190760503 , std 15.219420518678318 
2023-04-20 05:23:47,848 INFO t_pca_6: 0.008203605434310564 , std 12.01902599446473 
2023-04-20 05:23:47,848 INFO t_pca_7: -0.05938777022796597 , std 9.621386217640909 
2023-04-20 05:23:47,848 INFO t_pca_8: 0.1551237705692972 , std 8.016423917757415 
2023-04-20 05:23:47,848 INFO t_pca_9: 0.03202699415283556 , std 6.510877869719413 
2023-04-20 05:23:47,848 INFO t_pca_10: 0.11050418031944978 , std 5.218652871639143 
2023-04-20 05:23:47,848 INFO p_intercept: 0.11698610722298393 , std 0.23804625434189053 
2023-04-20 05:23:47,848 INFO p_pca_1: 0.005469665946075319 , std 0.057638065952890886 
2023-04-20 05:23:47,848 INFO p_pca_2: 0.018216887759160073 , std 0.10177663006884936 
2023-04-20 05:23:47,848 INFO p_pca_3: 0.027627422407895688 , std 0.12351766963002124 
2023-04-20 05:23:47,848 INFO p_pca_4: 0.038270655311424796 , std 0.14502728083957372 
2023-04-20 05:23:47,848 INFO p_pca_5: 0.05035153043588353 , std 0.1638081412106129 
2023-04-20 05:23:47,848 INFO p_pca_6: 0.07891663785915225 , std 0.20310762110522537 
2023-04-20 05:23:47,848 INFO p_pca_7: 0.0945216407213826 , std 0.2164931865448539 
2023-04-20 05:23:47,848 INFO p_pca_8: 0.12104777979636062 , std 0.23822030874558778 
2023-04-20 05:23:47,848 INFO p_pca_9: 0.15377077105523132 , std 0.26501747092218014 
2023-04-20 05:23:47,848 INFO p_pca_10: 0.1867448361889671 , std 0.28166465398437635 
