2023-04-21 12:02:43,075 INFO Tickers: ['PG']
2023-04-21 12:03:24,568 INFO Negative OS: -0.18562374204636956 --- ticker PG --- day 2019-02-04 --- time 45000
2023-04-21 12:03:36,157 INFO Negative OS: -0.5555217381694066 --- ticker PG --- day 2019-09-03 --- time 36000
2023-04-21 12:03:36,422 INFO Negative OS: -1.128316255191073 --- ticker PG --- day 2019-09-06 --- time 45000
2023-04-21 12:03:39,140 INFO Negative OS: -5.060504988050963 --- ticker PG --- day 2019-10-24 --- time 48600
2023-04-21 12:03:39,436 INFO Negative OS: -0.0332006289650999 --- ticker PG --- day 2019-10-30 --- time 41400
2023-04-21 12:03:41,955 INFO in_r2: 0.948473973441374 , std 0.032707039598891895 
2023-04-21 12:03:41,955 INFO os_r2: 0.9333211095570199 , std 0.09050685922899586 
2023-04-21 12:03:41,955 INFO intercept: 9.965840119559578e-08 , std 1.090626227066232e-05 
2023-04-21 12:03:41,955 INFO pca_1: -1.532764470167772e-05 , std 9.796313127826969e-05 
2023-04-21 12:03:41,955 INFO pca_2: 3.6903997610702094e-06 , std 0.00016648640723193077 
2023-04-21 12:03:41,955 INFO pca_3: 6.899691121125934e-06 , std 0.0001046506441557068 
2023-04-21 12:03:41,955 INFO pca_4: 5.6320877468924365e-06 , std 9.041666420208913e-05 
2023-04-21 12:03:41,955 INFO pca_5: 2.020345170256593e-06 , std 7.292018835467638e-05 
2023-04-21 12:03:41,955 INFO pca_6: 4.2004071329494536e-08 , std 6.40453217456713e-05 
2023-04-21 12:03:41,955 INFO pca_7: 2.2117681259569953e-07 , std 5.663453015667835e-05 
2023-04-21 12:03:41,956 INFO pca_8: 1.2990802451600065e-07 , std 5.207153280739153e-05 
2023-04-21 12:03:41,956 INFO pca_9: -1.4381332237752382e-07 , std 4.860059840280299e-05 
2023-04-21 12:03:41,956 INFO pca_10: -5.091917793606127e-07 , std 4.6828350758781476e-05 
2023-04-21 12:03:41,956 INFO t_intercept: 0.0813204802971417 , std 4.823782711698169 
2023-04-21 12:03:41,956 INFO t_pca_1: -7.319656737437322 , std 43.891831037881445 
2023-04-21 12:03:41,956 INFO t_pca_2: 0.7011463399908693 , std 42.11819007335674 
2023-04-21 12:03:41,956 INFO t_pca_3: 1.3088069031975087 , std 18.661223959009913 
2023-04-21 12:03:41,956 INFO t_pca_4: 0.7304184478263774 , std 12.910306440972397 
2023-04-21 12:03:41,956 INFO t_pca_5: 0.2564239788804156 , std 8.878344906540724 
2023-04-21 12:03:41,956 INFO t_pca_6: 0.031334855038971196 , std 6.811709612247915 
2023-04-21 12:03:41,956 INFO t_pca_7: -0.005252317748095459 , std 5.213211045288109 
2023-04-21 12:03:41,956 INFO t_pca_8: 0.023809732961312113 , std 4.224038231416462 
2023-04-21 12:03:41,956 INFO t_pca_9: -0.0014620216191275333 , std 3.432463714010591 
2023-04-21 12:03:41,956 INFO t_pca_10: -0.010939994853249943 , std 2.7340322625848037 
2023-04-21 12:03:41,956 INFO p_intercept: 0.14633923235497365 , std 0.2597995020115034 
2023-04-21 12:03:41,956 INFO p_pca_1: 0.0016829516989273386 , std 0.02873456439057672 
2023-04-21 12:03:41,956 INFO p_pca_2: 0.004394676492278926 , std 0.05066158569276896 
2023-04-21 12:03:41,956 INFO p_pca_3: 0.03489192291066192 , std 0.1400933113679247 
2023-04-21 12:03:41,956 INFO p_pca_4: 0.06351271919685676 , std 0.18347950196545285 
2023-04-21 12:03:41,956 INFO p_pca_5: 0.09054837285403586 , std 0.213006899747645 
2023-04-21 12:03:41,956 INFO p_pca_6: 0.1365956393516655 , std 0.250956430418956 
2023-04-21 12:03:41,956 INFO p_pca_7: 0.17069056312785932 , std 0.2691111624005614 
2023-04-21 12:03:41,956 INFO p_pca_8: 0.21515190451018534 , std 0.28971527603564706 
2023-04-21 12:03:41,956 INFO p_pca_9: 0.25278885938012113 , std 0.3032690731067482 
2023-04-21 12:03:41,956 INFO p_pca_10: 0.27743458237201757 , std 0.3078026682979796 
2023-04-21 12:03:41,956 INFO pca_explained_1: 0.5650021691437394 , std 0.09065290454603907 
2023-04-21 12:03:41,956 INFO pca_explained_2: 0.734754922056503 , std 0.07828529437505839 
2023-04-21 12:03:41,956 INFO pca_explained_3: 0.8118215787162624 , std 0.0660933573617431 
2023-04-21 12:03:41,956 INFO pca_explained_4: 0.8583609851434699 , std 0.054130775497210744 
2023-04-21 12:03:41,956 INFO pca_explained_5: 0.8900273310529188 , std 0.04377872021214151 
2023-04-21 12:03:41,956 INFO pca_explained_6: 0.9131547188982579 , std 0.035347730820536064 
2023-04-21 12:03:41,956 INFO pca_explained_7: 0.9306858030082243 , std 0.028713410779445416 
2023-04-21 12:03:41,956 INFO pca_explained_8: 0.9443003978921441 , std 0.02348834464697505 
2023-04-21 12:03:41,956 INFO pca_explained_9: 0.9550345904526236 , std 0.019377490941327034 
2023-04-21 12:03:41,956 INFO pca_explained_10: 0.9635548353334692 , std 0.01616633891958571 
