2023-04-20 05:28:47,660 INFO Tickers: ['PYPL']
2023-04-20 05:28:48,906 INFO Negative OS: -2.86321177723192 --- ticker PYPL --- day 2017-01-23 --- time 52200
2023-04-20 05:29:11,341 INFO Negative OS: -0.19139995033373736 --- ticker PYPL --- day 2018-01-25 --- time 52200
2023-04-20 05:29:19,250 INFO Negative OS: -0.13698145102403902 --- ticker PYPL --- day 2018-06-05 --- time 48600
2023-04-20 05:29:55,261 INFO Negative OS: -0.09536499720782499 --- ticker PYPL --- day 2019-11-20 --- time 43200
2023-04-20 05:29:56,770 INFO in_r2: 0.9602759936403406 , std 0.033894855063642294 
2023-04-20 05:29:56,770 INFO os_r2: 0.9475927919089242 , std 0.06896253301771577 
2023-04-20 05:29:56,770 INFO intercept: 2.4267211997273354e-07 , std 1.9020112662447924e-05 
2023-04-20 05:29:56,770 INFO pca_1: -7.813640597021381e-06 , std 0.00016164205476242217 
2023-04-20 05:29:56,770 INFO pca_2: 1.0921353243341457e-06 , std 0.00018778845336637912 
2023-04-20 05:29:56,770 INFO pca_3: 1.2630885567839574e-06 , std 0.0001374810397267661 
2023-04-20 05:29:56,770 INFO pca_4: 8.217371727725628e-07 , std 0.00014202503385329814 
2023-04-20 05:29:56,770 INFO pca_5: 5.909161442569614e-07 , std 0.00011133070273464034 
2023-04-20 05:29:56,770 INFO pca_6: -1.109908445300801e-06 , std 8.720123501545054e-05 
2023-04-20 05:29:56,770 INFO pca_7: -4.6495282815950417e-07 , std 7.23587856094379e-05 
2023-04-20 05:29:56,770 INFO pca_8: 7.95680890372489e-07 , std 6.307235427684595e-05 
2023-04-20 05:29:56,770 INFO pca_9: -3.4486310544808707e-07 , std 5.803804775749913e-05 
2023-04-20 05:29:56,770 INFO pca_10: 6.005178423471009e-07 , std 5.3961639606368697e-05 
2023-04-20 05:29:56,770 INFO t_intercept: 0.2852260995778478 , std 7.1703776137848045 
2023-04-20 05:29:56,770 INFO t_pca_1: -4.068620842148832 , std 78.36745309820816 
2023-04-20 05:29:56,770 INFO t_pca_2: 0.22170594169641245 , std 50.44631521976918 
2023-04-20 05:29:56,770 INFO t_pca_3: 0.21313268551158565 , std 26.40578732456048 
2023-04-20 05:29:56,770 INFO t_pca_4: -0.05204127295098081 , std 22.301902764216216 
2023-04-20 05:29:56,770 INFO t_pca_5: -0.030303204841908023 , std 12.857615393549922 
2023-04-20 05:29:56,770 INFO t_pca_6: -0.13180104817244798 , std 8.516175631663202 
2023-04-20 05:29:56,770 INFO t_pca_7: -0.029438497277041942 , std 6.393670483955167 
2023-04-20 05:29:56,770 INFO t_pca_8: 0.03990317778234912 , std 4.898904277872598 
2023-04-20 05:29:56,770 INFO t_pca_9: -0.013474457775382724 , std 3.7322013312963214 
2023-04-20 05:29:56,770 INFO t_pca_10: 0.03759792560334062 , std 2.944393241878816 
2023-04-20 05:29:56,770 INFO p_intercept: 0.12955256535414125 , std 0.25244804079819577 
2023-04-20 05:29:56,770 INFO p_pca_1: 0.002414609053635784 , std 0.0396380572335995 
2023-04-20 05:29:56,770 INFO p_pca_2: 0.009849090652850948 , std 0.07461261181280246 
2023-04-20 05:29:56,770 INFO p_pca_3: 0.031066527277238885 , std 0.1347334504949043 
2023-04-20 05:29:56,770 INFO p_pca_4: 0.04958562114764976 , std 0.16478271394148356 
2023-04-20 05:29:56,770 INFO p_pca_5: 0.07694202126791368 , std 0.197934228324543 
2023-04-20 05:29:56,770 INFO p_pca_6: 0.1300446916817291 , std 0.24683308289016817 
2023-04-20 05:29:56,771 INFO p_pca_7: 0.18087832892071048 , std 0.27552808885698604 
2023-04-20 05:29:56,771 INFO p_pca_8: 0.22557416470432262 , std 0.294940360801071 
2023-04-20 05:29:56,771 INFO p_pca_9: 0.2710718793658171 , std 0.3076952665422203 
2023-04-20 05:29:56,771 INFO p_pca_10: 0.30383078169577055 , std 0.3123361425635839 
