2023-04-20 05:30:34,168 INFO Tickers: ['SBUX']
2023-04-20 05:31:14,172 INFO Negative OS: -2.7158936434649212 --- ticker SBUX --- day 2018-10-29 --- time 45000
2023-04-20 05:31:30,666 INFO Negative OS: -0.24525695591724705 --- ticker SBUX --- day 2019-08-05 --- time 46800
2023-04-20 05:31:31,597 INFO Negative OS: -0.10752736598844281 --- ticker SBUX --- day 2019-08-20 --- time 37800
2023-04-20 05:31:32,763 INFO Negative OS: -1.6393954001376412 --- ticker SBUX --- day 2019-09-09 --- time 50400
2023-04-20 05:31:38,683 INFO in_r2: 0.9737422800659415 , std 0.02518457651075 
2023-04-20 05:31:38,683 INFO os_r2: 0.9564396088741332 , std 0.07302961455424095 
2023-04-20 05:31:38,683 INFO intercept: -2.26032264404831e-08 , std 1.3472502037710478e-05 
2023-04-20 05:31:38,683 INFO pca_1: -1.1719131747625653e-05 , std 0.00019433188015551795 
2023-04-20 05:31:38,683 INFO pca_2: 1.7875602389849674e-06 , std 0.00015870264866459037 
2023-04-20 05:31:38,684 INFO pca_3: 1.0722762070015908e-06 , std 0.00013582277137086146 
2023-04-20 05:31:38,684 INFO pca_4: 3.3031070366800644e-06 , std 0.00014884980396595796 
2023-04-20 05:31:38,684 INFO pca_5: 2.5688036110311576e-06 , std 0.00013484054376081256 
2023-04-20 05:31:38,684 INFO pca_6: 6.630201520308314e-07 , std 0.00011893687522577253 
2023-04-20 05:31:38,684 INFO pca_7: -3.8521856941183e-07 , std 0.0001048022034959054 
2023-04-20 05:31:38,684 INFO pca_8: -7.35683091405322e-07 , std 9.392915930042545e-05 
2023-04-20 05:31:38,684 INFO pca_9: -1.1218535873335384e-06 , std 8.442717223678063e-05 
2023-04-20 05:31:38,684 INFO pca_10: -1.402323443450337e-06 , std 7.995860378394585e-05 
2023-04-20 05:31:38,684 INFO t_intercept: 0.05321482559216075 , std 7.485974188894138 
2023-04-20 05:31:38,684 INFO t_pca_1: -5.524602452944745 , std 86.44422302184506 
2023-04-20 05:31:38,684 INFO t_pca_2: 0.6949306274244987 , std 42.26030413806196 
2023-04-20 05:31:38,684 INFO t_pca_3: 0.20626112447224185 , std 23.521036717399564 
2023-04-20 05:31:38,684 INFO t_pca_4: 0.4112643266913654 , std 19.524272282156314 
2023-04-20 05:31:38,684 INFO t_pca_5: 0.31729551704642134 , std 14.79329487427843 
2023-04-20 05:31:38,684 INFO t_pca_6: 0.03006873685937499 , std 11.357329599048965 
2023-04-20 05:31:38,684 INFO t_pca_7: -0.03932967373651728 , std 8.689968266196122 
2023-04-20 05:31:38,684 INFO t_pca_8: -0.015196904660188918 , std 6.897850460690563 
2023-04-20 05:31:38,684 INFO t_pca_9: -0.06521911108456521 , std 5.49321655786147 
2023-04-20 05:31:38,684 INFO t_pca_10: -0.06952772930621233 , std 4.4455487671121485 
2023-04-20 05:31:38,684 INFO p_intercept: 0.10412230402655662 , std 0.23101301934204702 
2023-04-20 05:31:38,684 INFO p_pca_1: 0.0019978629129824292 , std 0.03214408221217446 
2023-04-20 05:31:38,684 INFO p_pca_2: 0.01834738050020306 , std 0.1021968483851874 
2023-04-20 05:31:38,684 INFO p_pca_3: 0.02554906411715932 , std 0.11987844447845895 
2023-04-20 05:31:38,684 INFO p_pca_4: 0.033870324469175206 , std 0.13586184769186982 
2023-04-20 05:31:38,684 INFO p_pca_5: 0.05105311559440605 , std 0.1673267366514497 
2023-04-20 05:31:38,684 INFO p_pca_6: 0.07052859737272456 , std 0.1914391997315698 
2023-04-20 05:31:38,684 INFO p_pca_7: 0.09699490768507837 , std 0.21697086725879755 
2023-04-20 05:31:38,684 INFO p_pca_8: 0.1311232831664319 , std 0.24486079950118156 
2023-04-20 05:31:38,684 INFO p_pca_9: 0.15749187391642505 , std 0.26226148773428704 
2023-04-20 05:31:38,684 INFO p_pca_10: 0.18881457938110024 , std 0.2782131498999134 
