2023-04-20 05:34:52,118 INFO Tickers: ['SO']
2023-04-20 05:35:33,502 INFO Negative OS: -0.6002540964049523 --- ticker SO --- day 2018-12-19 --- time 48600
2023-04-20 05:35:55,594 INFO in_r2: 0.986992838754258 , std 0.016505206544445664 
2023-04-20 05:35:55,594 INFO os_r2: 0.9789206910772484 , std 0.0394901196696733 
2023-04-20 05:35:55,594 INFO intercept: 3.351488743645607e-07 , std 1.2613138304944058e-05 
2023-04-20 05:35:55,594 INFO pca_1: -1.3113368356613054e-05 , std 0.0002113871230138184 
2023-04-20 05:35:55,594 INFO pca_2: 2.204539867562629e-06 , std 0.00023531163633281767 
2023-04-20 05:35:55,594 INFO pca_3: 1.4228835758016763e-05 , std 0.00019488875207227988 
2023-04-20 05:35:55,594 INFO pca_4: 7.458892429475618e-06 , std 0.00021373039614334925 
2023-04-20 05:35:55,594 INFO pca_5: 5.18701277324123e-06 , std 0.00016966588984981582 
2023-04-20 05:35:55,594 INFO pca_6: -2.2656141794705554e-06 , std 0.00012951895284096042 
2023-04-20 05:35:55,594 INFO pca_7: 1.0937083681501271e-06 , std 0.00011401457743907699 
2023-04-20 05:35:55,594 INFO pca_8: -6.048241578011691e-07 , std 0.0001024767296361438 
2023-04-20 05:35:55,594 INFO pca_9: 2.6735730958863677e-07 , std 9.44938330831856e-05 
2023-04-20 05:35:55,594 INFO pca_10: -6.987117868274364e-07 , std 8.641666327726747e-05 
2023-04-20 05:35:55,594 INFO t_intercept: 0.33395120689180746 , std 11.783762751647293 
2023-04-20 05:35:55,594 INFO t_pca_1: -7.670032984730666 , std 139.22268605561288 
2023-04-20 05:35:55,594 INFO t_pca_2: 1.3328024633611275 , std 88.10330227965039 
2023-04-20 05:35:55,594 INFO t_pca_3: 2.512338348456741 , std 41.86410598980885 
2023-04-20 05:35:55,594 INFO t_pca_4: 1.3775473118191888 , std 34.608595307950594 
2023-04-20 05:35:55,594 INFO t_pca_5: 0.5573119597678816 , std 20.478315407158018 
2023-04-20 05:35:55,594 INFO t_pca_6: -0.2628227587195368 , std 12.671037724027974 
2023-04-20 05:35:55,594 INFO t_pca_7: 0.13428554237189821 , std 9.3984650935031 
2023-04-20 05:35:55,594 INFO t_pca_8: -0.024835935315697454 , std 7.370188945438167 
2023-04-20 05:35:55,594 INFO t_pca_9: 0.0334360563505973 , std 6.049359376783009 
2023-04-20 05:35:55,594 INFO t_pca_10: -0.04362299796967605 , std 4.794411821253999 
2023-04-20 05:35:55,594 INFO p_intercept: 0.07081612431383118 , std 0.20603791308849484 
2023-04-20 05:35:55,594 INFO p_pca_1: 0.0013274820324975178 , std 0.02989951898449368 
2023-04-20 05:35:55,594 INFO p_pca_2: 0.007405387665505461 , std 0.06498702564432673 
2023-04-20 05:35:55,594 INFO p_pca_3: 0.01425569052327651 , std 0.09098179416974803 
2023-04-20 05:35:55,595 INFO p_pca_4: 0.01934195015727162 , std 0.1059403972060126 
2023-04-20 05:35:55,595 INFO p_pca_5: 0.0326881857302552 , std 0.13348734578328164 
2023-04-20 05:35:55,595 INFO p_pca_6: 0.06708025295424028 , std 0.18607118610203632 
2023-04-20 05:35:55,595 INFO p_pca_7: 0.09244422207828852 , std 0.21717610107266472 
2023-04-20 05:35:55,595 INFO p_pca_8: 0.113629266692908 , std 0.23411177994221588 
2023-04-20 05:35:55,595 INFO p_pca_9: 0.13478186749439805 , std 0.24715026505863003 
2023-04-20 05:35:55,595 INFO p_pca_10: 0.16114277673053273 , std 0.26272765153933686 
