2023-04-21 12:11:41,212 INFO Tickers: ['SPGI']
2023-04-21 12:11:57,828 INFO Negative OS: -0.22493582636482512 --- ticker SPGI --- day 2018-02-06 --- time 37800
2023-04-21 12:11:59,671 INFO Negative OS: -0.8276919745479769 --- ticker SPGI --- day 2018-03-21 --- time 52200
2023-04-21 12:12:08,174 INFO Negative OS: -0.09532172837251496 --- ticker SPGI --- day 2018-10-10 --- time 48600
2023-04-21 12:12:08,229 INFO Negative OS: -1.2881147819012067 --- ticker SPGI --- day 2018-10-11 --- time 39600
2023-04-21 12:12:08,235 INFO Negative OS: -1.123270432119118 --- ticker SPGI --- day 2018-10-11 --- time 41400
2023-04-21 12:12:08,254 INFO Negative OS: -0.18322629976779625 --- ticker SPGI --- day 2018-10-11 --- time 50400
2023-04-21 12:12:08,259 INFO Negative OS: -0.08320903305329308 --- ticker SPGI --- day 2018-10-11 --- time 52200
2023-04-21 12:12:08,329 INFO Negative OS: -0.018251120207445792 --- ticker SPGI --- day 2018-10-12 --- time 52200
2023-04-21 12:12:08,868 INFO Negative OS: -0.5969107343012263 --- ticker SPGI --- day 2018-10-25 --- time 37800
2023-04-21 12:12:10,673 INFO Negative OS: -0.3169940134747633 --- ticker SPGI --- day 2018-12-07 --- time 50400
2023-04-21 12:12:10,678 INFO Negative OS: -0.3173609885524682 --- ticker SPGI --- day 2018-12-07 --- time 52200
2023-04-21 12:12:10,801 INFO Negative OS: -0.12152665794694162 --- ticker SPGI --- day 2018-12-11 --- time 43200
2023-04-21 12:12:10,814 INFO Negative OS: -0.025249624011067562 --- ticker SPGI --- day 2018-12-11 --- time 48600
2023-04-21 12:12:10,825 INFO Negative OS: -0.1262028862122826 --- ticker SPGI --- day 2018-12-11 --- time 52200
2023-04-21 12:12:10,868 INFO Negative OS: -2.94855249647993 --- ticker SPGI --- day 2018-12-12 --- time 41400
2023-04-21 12:12:10,889 INFO Negative OS: -1.2568973671244654 --- ticker SPGI --- day 2018-12-12 --- time 50400
2023-04-21 12:12:10,895 INFO Negative OS: -0.10766875905509665 --- ticker SPGI --- day 2018-12-12 --- time 52200
2023-04-21 12:12:11,002 INFO Negative OS: -0.4099618793009494 --- ticker SPGI --- day 2018-12-14 --- time 39600
2023-04-21 12:12:11,147 INFO Negative OS: -0.04767369282910017 --- ticker SPGI --- day 2018-12-18 --- time 37800
2023-04-21 12:12:11,172 INFO Negative OS: -0.20833871835523965 --- ticker SPGI --- day 2018-12-18 --- time 50400
2023-04-21 12:12:11,227 INFO Negative OS: -0.6832437477198026 --- ticker SPGI --- day 2018-12-19 --- time 45000
2023-04-21 12:12:11,239 INFO Negative OS: -5.1284477837908975 --- ticker SPGI --- day 2018-12-19 --- time 50400
2023-04-21 12:12:11,295 INFO Negative OS: -0.4386890521506639 --- ticker SPGI --- day 2018-12-20 --- time 41400
2023-04-21 12:12:11,643 INFO Negative OS: -0.06743922200161578 --- ticker SPGI --- day 2018-12-31 --- time 39600
2023-04-21 12:12:11,656 INFO Negative OS: -0.1574301189874796 --- ticker SPGI --- day 2018-12-31 --- time 45000
2023-04-21 12:12:11,661 INFO Negative OS: -0.4991578146052569 --- ticker SPGI --- day 2018-12-31 --- time 46800
2023-04-21 12:12:11,666 INFO Negative OS: -0.22309593981123443 --- ticker SPGI --- day 2018-12-31 --- time 48600
2023-04-21 12:12:12,066 INFO Negative OS: -0.615342746761633 --- ticker SPGI --- day 2019-01-10 --- time 48600
2023-04-21 12:12:13,257 INFO Negative OS: -0.6986524835538108 --- ticker SPGI --- day 2019-02-07 --- time 36000
2023-04-21 12:12:13,292 INFO Negative OS: -6.569980492602586 --- ticker SPGI --- day 2019-02-07 --- time 50400
2023-04-21 12:12:14,917 INFO Negative OS: -0.24892920394014229 --- ticker SPGI --- day 2019-03-14 --- time 41400
2023-04-21 12:12:15,138 INFO Negative OS: -0.4670503121963976 --- ticker SPGI --- day 2019-03-19 --- time 45000
2023-04-21 12:12:21,323 INFO Negative OS: -1.2297545774927179 --- ticker SPGI --- day 2019-07-31 --- time 50400
2023-04-21 12:12:21,328 INFO Negative OS: -0.40147704442252885 --- ticker SPGI --- day 2019-07-31 --- time 52200
2023-04-21 12:12:21,367 INFO Negative OS: -0.16565575647434394 --- ticker SPGI --- day 2019-08-01 --- time 37800
2023-04-21 12:12:21,811 INFO Negative OS: -0.3696846419591344 --- ticker SPGI --- day 2019-08-09 --- time 37800
2023-04-21 12:12:22,552 INFO Negative OS: -0.49104030001080234 --- ticker SPGI --- day 2019-08-23 --- time 45000
2023-04-21 12:12:23,049 INFO Negative OS: -6.177245229759895 --- ticker SPGI --- day 2019-09-04 --- time 37800
2023-04-21 12:12:23,177 INFO Negative OS: -1.2754031631930358 --- ticker SPGI --- day 2019-09-06 --- time 37800
2023-04-21 12:12:26,462 INFO Negative OS: -63.344096008674995 --- ticker SPGI --- day 2019-11-20 --- time 50400
2023-04-21 12:12:27,458 INFO in_r2: 0.738520969301561 , std 0.1457470576573686 
2023-04-21 12:12:27,458 INFO os_r2: 0.5088601171645601 , std 2.2860188846505327 
2023-04-21 12:12:27,458 INFO intercept: -7.839956745066233e-07 , std 1.8407130028345792e-05 
2023-04-21 12:12:27,458 INFO pca_1: 1.4967683537119141e-06 , std 6.530351701697723e-05 
2023-04-21 12:12:27,458 INFO pca_2: -9.726057378933015e-07 , std 0.00012794818395812737 
2023-04-21 12:12:27,458 INFO pca_3: 7.090865954576419e-07 , std 0.00012058911978594982 
2023-04-21 12:12:27,458 INFO pca_4: 2.1711251026612486e-06 , std 0.00012918330075737438 
2023-04-21 12:12:27,458 INFO pca_5: 1.5936230732691386e-06 , std 0.00014119325089142218 
2023-04-21 12:12:27,458 INFO pca_6: 1.391460813350578e-06 , std 0.00012708463010409893 
2023-04-21 12:12:27,458 INFO pca_7: -6.9527152841374e-06 , std 0.00014560312451408154 
2023-04-21 12:12:27,458 INFO pca_8: -6.46328177034172e-06 , std 0.00014560452251119498 
2023-04-21 12:12:27,458 INFO pca_9: 4.6954181258955836e-06 , std 0.00014085916071858508 
2023-04-21 12:12:27,458 INFO pca_10: 6.281536081129833e-06 , std 0.00016011610891154918 
2023-04-21 12:12:27,458 INFO t_intercept: -0.005544690975040482 , std 2.2294950258122985 
2023-04-21 12:12:27,458 INFO t_pca_1: 0.7440750646036205 , std 15.655649450548513 
2023-04-21 12:12:27,458 INFO t_pca_2: 0.05868433136256549 , std 11.993619093173864 
2023-04-21 12:12:27,458 INFO t_pca_3: -0.11494382860736563 , std 9.522145419878674 
2023-04-21 12:12:27,458 INFO t_pca_4: -0.051924603880741375 , std 8.002692311374274 
2023-04-21 12:12:27,458 INFO t_pca_5: 0.32498146446020887 , std 7.013748357275417 
2023-04-21 12:12:27,458 INFO t_pca_6: 0.07505916041217484 , std 5.524526368670991 
2023-04-21 12:12:27,458 INFO t_pca_7: -0.10420385833832461 , std 4.635342394267002 
2023-04-21 12:12:27,458 INFO t_pca_8: -0.20188672768246338 , std 3.912042982549851 
2023-04-21 12:12:27,458 INFO t_pca_9: 0.08620488683356645 , std 3.710063857786442 
2023-04-21 12:12:27,458 INFO t_pca_10: 0.15294560673370838 , std 3.3394448638216607 
2023-04-21 12:12:27,458 INFO p_intercept: 0.336933621663853 , std 0.32826202106957625 
2023-04-21 12:12:27,458 INFO p_pca_1: 0.025782488471584535 , std 0.11068027417401402 
2023-04-21 12:12:27,458 INFO p_pca_2: 0.0788942675334227 , std 0.2037174111713234 
2023-04-21 12:12:27,458 INFO p_pca_3: 0.08387115212012904 , std 0.20727821788013864 
2023-04-21 12:12:27,458 INFO p_pca_4: 0.10105418132584387 , std 0.23159631187064172 
2023-04-21 12:12:27,458 INFO p_pca_5: 0.10231034613637717 , std 0.21926473698555232 
2023-04-21 12:12:27,458 INFO p_pca_6: 0.15121649400988968 , std 0.25771746322809874 
2023-04-21 12:12:27,458 INFO p_pca_7: 0.16612084014570555 , std 0.26601884420099897 
2023-04-21 12:12:27,458 INFO p_pca_8: 0.202054736280848 , std 0.29832367423344286 
2023-04-21 12:12:27,458 INFO p_pca_9: 0.2163048997340988 , std 0.29176301364166707 
2023-04-21 12:12:27,458 INFO p_pca_10: 0.23515359181437426 , std 0.2993785124640201 
2023-04-21 12:12:27,458 INFO pca_explained_1: 0.6233354495780188 , std 0.10452195978697058 
2023-04-21 12:12:27,458 INFO pca_explained_2: 0.7371199790393052 , std 0.07961542229733215 
2023-04-21 12:12:27,458 INFO pca_explained_3: 0.8000211410552004 , std 0.06579422435695295 
2023-04-21 12:12:27,458 INFO pca_explained_4: 0.8433412382065952 , std 0.055013757389130655 
2023-04-21 12:12:27,459 INFO pca_explained_5: 0.8752900327882812 , std 0.04597144700534694 
2023-04-21 12:12:27,459 INFO pca_explained_6: 0.899921938738702 , std 0.0384304169561048 
2023-04-21 12:12:27,459 INFO pca_explained_7: 0.9195775794100884 , std 0.03218211451410032 
2023-04-21 12:12:27,459 INFO pca_explained_8: 0.9354435399104745 , std 0.026994207302357437 
2023-04-21 12:12:27,459 INFO pca_explained_9: 0.94838260057369 , std 0.022594789210722013 
2023-04-21 12:12:27,459 INFO pca_explained_10: 0.9588778974643982 , std 0.018866044330402537 
