2023-04-20 05:32:49,110 INFO Tickers: ['TFC']
2023-04-20 05:32:49,494 INFO in_r2: 0.9631323057853565 , std 0.02449354572278088 
2023-04-20 05:32:49,495 INFO os_r2: 0.9564152676765681 , std 0.02434802829164544 
2023-04-20 05:32:49,495 INFO intercept: 3.1481481481481475e-06 , std 1.9485186593169813e-05 
2023-04-20 05:32:49,495 INFO pca_1: 4.4585684402859216e-05 , std 0.0001911622194494619 
2023-04-20 05:32:49,495 INFO pca_2: 3.54630225935324e-05 , std 0.00022972390905134755 
2023-04-20 05:32:49,495 INFO pca_3: -6.276568373087071e-05 , std 0.00022554513080511913 
2023-04-20 05:32:49,495 INFO pca_4: -6.212831052527714e-05 , std 0.00012127243206208248 
2023-04-20 05:32:49,495 INFO pca_5: 1.4979043730371635e-06 , std 0.0001371120120810356 
2023-04-20 05:32:49,495 INFO pca_6: 1.4739986714068268e-05 , std 0.0001236129152758955 
2023-04-20 05:32:49,495 INFO pca_7: 8.609597430055564e-06 , std 8.48107547788417e-05 
2023-04-20 05:32:49,495 INFO pca_8: -9.371952861200994e-06 , std 0.0001209817184470684 
2023-04-20 05:32:49,495 INFO pca_9: -2.53257565380789e-06 , std 0.00011095729421493807 
2023-04-20 05:32:49,495 INFO pca_10: 1.0685310929935956e-06 , std 6.994180988454085e-05 
2023-04-20 05:32:49,495 INFO t_intercept: 0.5415506901865513 , std 4.489184673103422 
2023-04-20 05:32:49,495 INFO t_pca_1: 13.57862907936238 , std 55.29446785858568 
2023-04-20 05:32:49,495 INFO t_pca_2: 7.031129315999846 , std 40.23534894893593 
2023-04-20 05:32:49,495 INFO t_pca_3: -7.7936570078664005 , std 28.840487758383894 
2023-04-20 05:32:49,495 INFO t_pca_4: -6.73676466244165 , std 12.695584554224945 
2023-04-20 05:32:49,495 INFO t_pca_5: 0.15195242838955103 , std 11.454521465395006 
2023-04-20 05:32:49,495 INFO t_pca_6: 1.1249022618280984 , std 11.120530005795041 
2023-04-20 05:32:49,495 INFO t_pca_7: 1.1843588296111365 , std 5.910785923923913 
2023-04-20 05:32:49,495 INFO t_pca_8: -0.08740434952615954 , std 7.8988763231932575 
2023-04-20 05:32:49,495 INFO t_pca_9: -0.34469342909139145 , std 5.775285713271676 
2023-04-20 05:32:49,495 INFO t_pca_10: 0.028720499969239494 , std 3.4464329777098692 
2023-04-20 05:32:49,495 INFO p_intercept: 0.10616864748931841 , std 0.19948898194130552 
2023-04-20 05:32:49,495 INFO p_pca_1: 1.0707734862171857e-16 , std 5.135249239527833e-16 
2023-04-20 05:32:49,495 INFO p_pca_2: 0.05370193285889565 , std 0.18486752026243042 
2023-04-20 05:32:49,495 INFO p_pca_3: 6.472577592697384e-12 , std 2.6558605142046104e-11 
2023-04-20 05:32:49,495 INFO p_pca_4: 0.037473057753518495 , std 0.17970314257207629 
2023-04-20 05:32:49,495 INFO p_pca_5: 0.006641207993164946 , std 0.03177085594981904 
2023-04-20 05:32:49,495 INFO p_pca_6: 0.022118489053052984 , std 0.07920948498722569 
2023-04-20 05:32:49,495 INFO p_pca_7: 0.04391369355125609 , std 0.1295288292361565 
2023-04-20 05:32:49,495 INFO p_pca_8: 0.05224663983923172 , std 0.15868599296187322 
2023-04-20 05:32:49,495 INFO p_pca_9: 0.08765809332016056 , std 0.22480401801671288 
2023-04-20 05:32:49,495 INFO p_pca_10: 0.15009309059392434 , std 0.20741150510710982 
