2023-04-21 12:02:45,895 INFO Tickers: ['UNH']
2023-04-21 12:02:47,161 INFO Negative OS: -0.29111938780188695 --- ticker UNH --- day 2017-01-30 --- time 39600
2023-04-21 12:03:01,040 INFO Negative OS: -0.5195212717481819 --- ticker UNH --- day 2017-12-01 --- time 41400
2023-04-21 12:03:02,595 INFO Negative OS: -0.20197894312424736 --- ticker UNH --- day 2018-01-09 --- time 52200
2023-04-21 12:03:02,751 INFO Negative OS: -0.5894083769258804 --- ticker UNH --- day 2018-01-12 --- time 36000
2023-04-21 12:03:03,000 INFO Negative OS: -0.08896934027122572 --- ticker UNH --- day 2018-01-18 --- time 52200
2023-04-21 12:03:03,074 INFO Negative OS: -0.2679630091247276 --- ticker UNH --- day 2018-01-19 --- time 52200
2023-04-21 12:03:03,217 INFO Negative OS: -0.19104491887132635 --- ticker UNH --- day 2018-01-23 --- time 52200
2023-04-21 12:03:03,426 INFO Negative OS: -1.5813314648586267 --- ticker UNH --- day 2018-01-26 --- time 52200
2023-04-21 12:03:03,612 INFO Negative OS: -6.377671856703199 --- ticker UNH --- day 2018-01-31 --- time 36000
2023-04-21 12:03:03,873 INFO Negative OS: -2.368732780745448 --- ticker UNH --- day 2018-02-05 --- time 48600
2023-04-21 12:03:03,930 INFO Negative OS: -0.5300857878785552 --- ticker UNH --- day 2018-02-06 --- time 41400
2023-04-21 12:03:03,935 INFO Negative OS: -0.5398004198990192 --- ticker UNH --- day 2018-02-06 --- time 43200
2023-04-21 12:03:03,945 INFO Negative OS: -0.5755997879195303 --- ticker UNH --- day 2018-02-06 --- time 46800
2023-04-21 12:03:03,951 INFO Negative OS: -5.051986958332579 --- ticker UNH --- day 2018-02-06 --- time 48600
2023-04-21 12:03:09,812 INFO Negative OS: -0.16600411089173228 --- ticker UNH --- day 2018-06-08 --- time 37800
2023-04-21 12:03:14,003 INFO Negative OS: -1.5356072284698783 --- ticker UNH --- day 2018-08-30 --- time 48600
2023-04-21 12:03:15,062 INFO Negative OS: -0.01864176664884698 --- ticker UNH --- day 2018-09-20 --- time 48600
2023-04-21 12:03:17,035 INFO Negative OS: -0.061282475720529694 --- ticker UNH --- day 2018-10-26 --- time 46800
2023-04-21 12:03:17,394 INFO Negative OS: -0.4836515546958693 --- ticker UNH --- day 2018-11-02 --- time 36000
2023-04-21 12:03:17,564 INFO Negative OS: -1.2221392863065006 --- ticker UNH --- day 2018-11-06 --- time 41400
2023-04-21 12:03:18,802 INFO Negative OS: -1.1329464035541998 --- ticker UNH --- day 2018-11-29 --- time 45000
2023-04-21 12:03:21,929 INFO Negative OS: -0.020503549114439412 --- ticker UNH --- day 2019-02-01 --- time 36000
2023-04-21 12:03:21,959 INFO Negative OS: -0.07902677605525987 --- ticker UNH --- day 2019-02-01 --- time 46800
2023-04-21 12:03:25,312 INFO Negative OS: -27.096876467819676 --- ticker UNH --- day 2019-04-05 --- time 36000
2023-04-21 12:03:25,826 INFO Negative OS: -0.3869019682595576 --- ticker UNH --- day 2019-04-16 --- time 36000
2023-04-21 12:03:28,395 INFO Negative OS: -6.812104713668359 --- ticker UNH --- day 2019-06-04 --- time 43200
2023-04-21 12:03:32,539 INFO Negative OS: -1.2846504826937153 --- ticker UNH --- day 2019-08-23 --- time 36000
2023-04-21 12:03:32,852 INFO Negative OS: -0.009126471699312466 --- ticker UNH --- day 2019-08-29 --- time 39600
2023-04-21 12:03:33,152 INFO Negative OS: -0.640435726201301 --- ticker UNH --- day 2019-09-05 --- time 37800
2023-04-21 12:03:33,954 INFO Negative OS: -8.133187354707506 --- ticker UNH --- day 2019-09-20 --- time 37800
2023-04-21 12:03:34,027 INFO Negative OS: -2.0866783600876024 --- ticker UNH --- day 2019-09-23 --- time 37800
2023-04-21 12:03:35,724 INFO Negative OS: -0.26550460658458586 --- ticker UNH --- day 2019-10-23 --- time 52200
2023-04-21 12:03:36,013 INFO Negative OS: -0.2761482289357078 --- ticker UNH --- day 2019-10-30 --- time 36000
2023-04-21 12:03:36,758 INFO Negative OS: -1.4384640010565963 --- ticker UNH --- day 2019-11-14 --- time 36000
2023-04-21 12:03:37,506 INFO Negative OS: -21.001287647826697 --- ticker UNH --- day 2019-12-02 --- time 36000
2023-04-21 12:03:37,511 INFO Negative OS: -0.7187128741353086 --- ticker UNH --- day 2019-12-02 --- time 37800
2023-04-21 12:03:37,516 INFO Negative OS: -0.8812562695452018 --- ticker UNH --- day 2019-12-02 --- time 39600
2023-04-21 12:03:37,521 INFO Negative OS: -4.94849461627547 --- ticker UNH --- day 2019-12-02 --- time 41400
2023-04-21 12:03:38,196 INFO in_r2: 0.8546917553645025 , std 0.07349925759175832 
2023-04-21 12:03:38,196 INFO os_r2: 0.7824660778955753 , std 0.5958232485105273 
2023-04-21 12:03:38,196 INFO intercept: -3.287247065600922e-07 , std 1.7622008612781758e-05 
2023-04-21 12:03:38,196 INFO pca_1: 6.077828175769173e-07 , std 6.77754227318831e-05 
2023-04-21 12:03:38,197 INFO pca_2: -6.03751912163206e-06 , std 0.0001317125575033161 
2023-04-21 12:03:38,197 INFO pca_3: -2.5390407305276074e-06 , std 7.699018993114956e-05 
2023-04-21 12:03:38,197 INFO pca_4: -8.820348811400331e-08 , std 6.645601400599058e-05 
2023-04-21 12:03:38,197 INFO pca_5: -2.0031829887400606e-06 , std 5.924345222200933e-05 
2023-04-21 12:03:38,197 INFO pca_6: -3.1845811160798054e-07 , std 5.793803417340785e-05 
2023-04-21 12:03:38,197 INFO pca_7: -4.781745178971566e-07 , std 5.460137008222755e-05 
2023-04-21 12:03:38,197 INFO pca_8: -1.56669725914752e-06 , std 5.665486668745516e-05 
2023-04-21 12:03:38,197 INFO pca_9: -1.1975024413912856e-06 , std 5.926744291653203e-05 
2023-04-21 12:03:38,197 INFO pca_10: -1.2128006432553374e-06 , std 6.482727391311099e-05 
2023-04-21 12:03:38,197 INFO t_intercept: -0.0011682419723807597 , std 2.8673714044494365 
2023-04-21 12:03:38,197 INFO t_pca_1: 0.7724875711942072 , std 25.263595748067726 
2023-04-21 12:03:38,197 INFO t_pca_2: -1.0746637464518112 , std 23.503664679535305 
2023-04-21 12:03:38,197 INFO t_pca_3: -0.17752627268779186 , std 9.25312420748847 
2023-04-21 12:03:38,197 INFO t_pca_4: 0.060236345450180036 , std 6.2875324766554455 
2023-04-21 12:03:38,197 INFO t_pca_5: -0.1476451000633856 , std 4.658402003342695 
2023-04-21 12:03:38,197 INFO t_pca_6: 0.02671072730339002 , std 3.8650727425968556 
2023-04-21 12:03:38,197 INFO t_pca_7: 0.0010485820795933345 , std 2.9958859744791604 
2023-04-21 12:03:38,197 INFO t_pca_8: -0.019690989060146172 , std 2.646987423279956 
2023-04-21 12:03:38,197 INFO t_pca_9: -0.05246971562682233 , std 2.4431205730556758 
2023-04-21 12:03:38,197 INFO t_pca_10: -0.04546205027455842 , std 2.348051692847036 
2023-04-21 12:03:38,197 INFO p_intercept: 0.23595776362743903 , std 0.2986272598166569 
2023-04-21 12:03:38,197 INFO p_pca_1: 0.010192059415442342 , std 0.07860132725627082 
2023-04-21 12:03:38,197 INFO p_pca_2: 0.0157758773196104 , std 0.09637218811460903 
2023-04-21 12:03:38,197 INFO p_pca_3: 0.12023779688474248 , std 0.23413263171179372 
2023-04-21 12:03:38,197 INFO p_pca_4: 0.1555458446232195 , std 0.2639963597728772 
2023-04-21 12:03:38,197 INFO p_pca_5: 0.18163908076519453 , std 0.2741462477343802 
2023-04-21 12:03:38,197 INFO p_pca_6: 0.2310557734553789 , std 0.2979771060709898 
2023-04-21 12:03:38,197 INFO p_pca_7: 0.268882353786993 , std 0.30303630853276925 
2023-04-21 12:03:38,197 INFO p_pca_8: 0.2944065636029872 , std 0.31336880052084715 
2023-04-21 12:03:38,197 INFO p_pca_9: 0.30293684519832037 , std 0.31210192238318546 
2023-04-21 12:03:38,197 INFO p_pca_10: 0.3003636962243714 , std 0.30961430113871724 
2023-04-21 12:03:38,197 INFO pca_explained_1: 0.6638328350268053 , std 0.10167091420990862 
2023-04-21 12:03:38,197 INFO pca_explained_2: 0.7967654605544353 , std 0.0657001566792825 
2023-04-21 12:03:38,197 INFO pca_explained_3: 0.8520693662933402 , std 0.049867136465194306 
2023-04-21 12:03:38,197 INFO pca_explained_4: 0.8867806482272184 , std 0.039615518564374196 
2023-04-21 12:03:38,197 INFO pca_explained_5: 0.9109326194280017 , std 0.03209049980783287 
2023-04-21 12:03:38,197 INFO pca_explained_6: 0.9287426179796475 , std 0.026515626367840446 
2023-04-21 12:03:38,197 INFO pca_explained_7: 0.9424148846852897 , std 0.02220803730258456 
2023-04-21 12:03:38,197 INFO pca_explained_8: 0.9532429645693817 , std 0.01879331262559753 
2023-04-21 12:03:38,197 INFO pca_explained_9: 0.9620005299573647 , std 0.01602409801147139 
2023-04-21 12:03:38,197 INFO pca_explained_10: 0.9691583477597732 , std 0.013754334367548611 
