2023-04-21 12:09:22,260 INFO Tickers: ['USB']
2023-04-21 12:10:20,470 INFO in_r2: 0.9932310248979729 , std 0.010647813447860211 
2023-04-21 12:10:20,470 INFO os_r2: 0.9892161240370804 , std 0.023151021172084674 
2023-04-21 12:10:20,470 INFO intercept: -2.634161009036382e-07 , std 1.3788721638385815e-05 
2023-04-21 12:10:20,471 INFO pca_1: -1.574076317476344e-05 , std 0.00021736766649003297 
2023-04-21 12:10:20,471 INFO pca_2: 5.0950917691386235e-06 , std 0.00022004716725274978 
2023-04-21 12:10:20,471 INFO pca_3: -1.3304066854049432e-06 , std 0.00018794829386520475 
2023-04-21 12:10:20,471 INFO pca_4: 1.5499725221093985e-05 , std 0.00024267341347532735 
2023-04-21 12:10:20,471 INFO pca_5: 2.618192209247337e-06 , std 0.0001782572845120034 
2023-04-21 12:10:20,471 INFO pca_6: -3.1562662543906943e-06 , std 0.00012040819813032149 
2023-04-21 12:10:20,471 INFO pca_7: -1.7983193561600906e-06 , std 0.00010178413777038709 
2023-04-21 12:10:20,471 INFO pca_8: -9.923196750339018e-07 , std 8.658524545413595e-05 
2023-04-21 12:10:20,471 INFO pca_9: -7.343320581986107e-07 , std 7.787174723002678e-05 
2023-04-21 12:10:20,471 INFO pca_10: -5.7890134986452685e-08 , std 7.387782985889384e-05 
2023-04-21 12:10:20,471 INFO t_intercept: -0.19120579619706946 , std 15.58700452132547 
2023-04-21 12:10:20,471 INFO t_pca_1: -12.409177840968383 , std 184.81488994211728 
2023-04-21 12:10:20,471 INFO t_pca_2: 1.2860840980129207 , std 110.27230140735618 
2023-04-21 12:10:20,471 INFO t_pca_3: -0.37324629508383483 , std 53.52327752511304 
2023-04-21 12:10:20,471 INFO t_pca_4: 3.1578998515601278 , std 50.731415294814155 
2023-04-21 12:10:20,471 INFO t_pca_5: 0.3007408211212592 , std 27.17677202014991 
2023-04-21 12:10:20,471 INFO t_pca_6: -0.3229309323006469 , std 13.638908800869087 
2023-04-21 12:10:20,471 INFO t_pca_7: -0.15420278875274984 , std 9.68875182054386 
2023-04-21 12:10:20,471 INFO t_pca_8: -0.05532934423128417 , std 7.077596198679801 
2023-04-21 12:10:20,471 INFO t_pca_9: -0.04844424059792658 , std 5.514543739067781 
2023-04-21 12:10:20,471 INFO t_pca_10: -0.02917770365621357 , std 4.567271166022493 
2023-04-21 12:10:20,471 INFO p_intercept: 0.05718140271138742 , std 0.19931524655437519 
2023-04-21 12:10:20,471 INFO p_pca_1: 0.0008933116074238352 , std 0.022553312591982382 
2023-04-21 12:10:20,471 INFO p_pca_2: 0.009041329383198383 , std 0.0756690134050006 
2023-04-21 12:10:20,471 INFO p_pca_3: 0.00853677115141508 , std 0.07077159752181672 
2023-04-21 12:10:20,471 INFO p_pca_4: 0.008560299759132023 , std 0.07093018310875149 
2023-04-21 12:10:20,471 INFO p_pca_5: 0.02490796516564865 , std 0.12109169173960553 
2023-04-21 12:10:20,471 INFO p_pca_6: 0.0589762441538925 , std 0.17468553689436003 
2023-04-21 12:10:20,471 INFO p_pca_7: 0.08538985849291685 , std 0.20596541304764282 
2023-04-21 12:10:20,471 INFO p_pca_8: 0.11496121083189076 , std 0.2321872413708336 
2023-04-21 12:10:20,471 INFO p_pca_9: 0.1404015185620935 , std 0.24917169206364445 
2023-04-21 12:10:20,471 INFO p_pca_10: 0.17122055814624718 , std 0.2697878223480397 
2023-04-21 12:10:20,471 INFO pca_explained_1: 0.6225095909748559 , std 0.09649608849749379 
2023-04-21 12:10:20,471 INFO pca_explained_2: 0.8059323050205367 , std 0.0656362482838908 
2023-04-21 12:10:20,471 INFO pca_explained_3: 0.8815954949333361 , std 0.05097457719599587 
2023-04-21 12:10:20,471 INFO pca_explained_4: 0.9194360507321677 , std 0.04176746316999519 
2023-04-21 12:10:20,471 INFO pca_explained_5: 0.941141945516974 , std 0.03392750790973063 
2023-04-21 12:10:20,471 INFO pca_explained_6: 0.9542296277306551 , std 0.02735486080656407 
2023-04-21 12:10:20,471 INFO pca_explained_7: 0.9634549940267004 , std 0.022232338187791568 
2023-04-21 12:10:20,471 INFO pca_explained_8: 0.9703890642812384 , std 0.018122042166855035 
2023-04-21 12:10:20,471 INFO pca_explained_9: 0.9757690420130627 , std 0.014910344316687165 
2023-04-21 12:10:20,471 INFO pca_explained_10: 0.9800559354551647 , std 0.012359435300724642 
