2023-04-20 05:25:46,665 INFO Tickers: ['WFC']
2023-04-20 05:26:36,470 INFO Negative OS: -0.037711775491206856 --- ticker WFC --- day 2018-04-19 --- time 52200
2023-04-20 05:27:10,190 INFO Negative OS: -0.14943722493581824 --- ticker WFC --- day 2019-11-06 --- time 50400
2023-04-20 05:27:12,472 INFO in_r2: 0.9844912996275401 , std 0.016018149539974647 
2023-04-20 05:27:12,473 INFO os_r2: 0.9751578539392727 , std 0.034664946071278235 
2023-04-20 05:27:12,473 INFO intercept: -1.1245088741362953e-07 , std 1.5631401874468128e-05 
2023-04-20 05:27:12,473 INFO pca_1: 1.2359874487254883e-06 , std 0.00019873329047304848 
2023-04-20 05:27:12,473 INFO pca_2: -2.044209374846422e-06 , std 0.00013892226820839943 
2023-04-20 05:27:12,473 INFO pca_3: -5.505302663583367e-06 , std 0.0001614040288708639 
2023-04-20 05:27:12,473 INFO pca_4: -1.0834879278690461e-05 , std 0.00021233812670726638 
2023-04-20 05:27:12,473 INFO pca_5: -4.164935998470581e-06 , std 0.00018118405707769089 
2023-04-20 05:27:12,473 INFO pca_6: 4.347240732255908e-06 , std 0.00015118988380236826 
2023-04-20 05:27:12,473 INFO pca_7: 1.8317744488032164e-06 , std 0.00012950051198938627 
2023-04-20 05:27:12,473 INFO pca_8: 1.329094187303498e-06 , std 0.00010871204251298552 
2023-04-20 05:27:12,473 INFO pca_9: 1.2971678074667593e-06 , std 9.579845709771034e-05 
2023-04-20 05:27:12,473 INFO pca_10: 7.474536407470614e-07 , std 8.998948482690697e-05 
2023-04-20 05:27:12,473 INFO t_intercept: 0.0007471151519982804 , std 10.592104937658121 
2023-04-20 05:27:12,473 INFO t_pca_1: -1.3122819505296273 , std 130.02639722879164 
2023-04-20 05:27:12,473 INFO t_pca_2: -0.8138816128550507 , std 51.225148809253184 
2023-04-20 05:27:12,473 INFO t_pca_3: -1.2575883106678103 , std 36.64702629815682 
2023-04-20 05:27:12,473 INFO t_pca_4: -2.0180182071078514 , std 39.64708365736682 
2023-04-20 05:27:12,473 INFO t_pca_5: -0.4683694744474922 , std 23.98054517680074 
2023-04-20 05:27:12,473 INFO t_pca_6: 0.5072869976120846 , std 16.070179149316424 
2023-04-20 05:27:12,473 INFO t_pca_7: 0.17336550260552958 , std 11.531620855478307 
2023-04-20 05:27:12,473 INFO t_pca_8: 0.11891115594576583 , std 8.365168520373784 
2023-04-20 05:27:12,473 INFO t_pca_9: 0.06748747762945127 , std 6.352900918160175 
2023-04-20 05:27:12,473 INFO t_pca_10: 0.044733732324285486 , std 5.12909410913006 
2023-04-20 05:27:12,473 INFO p_intercept: 0.08292293503168738 , std 0.21807691384011205 
2023-04-20 05:27:12,473 INFO p_pca_1: 0.0014559689526319488 , std 0.02534524374642469 
2023-04-20 05:27:12,473 INFO p_pca_2: 0.014712013032976113 , std 0.09099551309553702 
2023-04-20 05:27:12,473 INFO p_pca_3: 0.016141502387054432 , std 0.09167876064348056 
2023-04-20 05:27:12,473 INFO p_pca_4: 0.0177306291857175 , std 0.1008574256078244 
2023-04-20 05:27:12,473 INFO p_pca_5: 0.028794886910775128 , std 0.1307912605089537 
2023-04-20 05:27:12,473 INFO p_pca_6: 0.044973567980053364 , std 0.15528443931307764 
2023-04-20 05:27:12,473 INFO p_pca_7: 0.0702811250298112 , std 0.18987371375501702 
2023-04-20 05:27:12,473 INFO p_pca_8: 0.10124997910344728 , std 0.22419848807386875 
2023-04-20 05:27:12,473 INFO p_pca_9: 0.12915293032790812 , std 0.2457835310718382 
2023-04-20 05:27:12,473 INFO p_pca_10: 0.15498282715734424 , std 0.25946862806715076 
