2023-04-21 12:04:46,515 INFO Tickers: ['WMT']
2023-04-21 12:05:08,218 INFO Negative OS: -1.5373852829120027 --- ticker WMT --- day 2018-01-24 --- time 46800
2023-04-21 12:05:09,215 INFO Negative OS: -0.17386744175076863 --- ticker WMT --- day 2018-02-09 --- time 48600
2023-04-21 12:05:14,167 INFO Negative OS: -6.960472917305521 --- ticker WMT --- day 2018-05-08 --- time 52200
2023-04-21 12:05:28,376 INFO Negative OS: -19.02987199327669 --- ticker WMT --- day 2019-01-18 --- time 37800
2023-04-21 12:05:40,912 INFO Negative OS: -1.3331939589804218 --- ticker WMT --- day 2019-08-28 --- time 41400
2023-04-21 12:05:44,027 INFO Negative OS: -0.015011825961852798 --- ticker WMT --- day 2019-10-22 --- time 48600
2023-04-21 12:05:45,313 INFO Negative OS: -0.4292898391598641 --- ticker WMT --- day 2019-11-13 --- time 45000
2023-04-21 12:05:47,075 INFO in_r2: 0.939170517074814 , std 0.04197167105833133 
2023-04-21 12:05:47,075 INFO os_r2: 0.9178115293099529 , std 0.2615123028565742 
2023-04-21 12:05:47,075 INFO intercept: -1.7624468522836365e-07 , std 1.2473924237112703e-05 
2023-04-21 12:05:47,075 INFO pca_1: -8.776961014936932e-06 , std 9.795760937312037e-05 
2023-04-21 12:05:47,075 INFO pca_2: -4.006883179011153e-06 , std 0.00017281608684487253 
2023-04-21 12:05:47,075 INFO pca_3: -2.7467546443679154e-06 , std 0.00010708461820248578 
2023-04-21 12:05:47,075 INFO pca_4: 1.8773332151310645e-06 , std 9.018958162762977e-05 
2023-04-21 12:05:47,075 INFO pca_5: 7.779260746102377e-07 , std 7.628760303030055e-05 
2023-04-21 12:05:47,075 INFO pca_6: -7.659059937621057e-07 , std 6.699893714698732e-05 
2023-04-21 12:05:47,075 INFO pca_7: -2.699871640571568e-09 , std 5.849931674290595e-05 
2023-04-21 12:05:47,075 INFO pca_8: -1.208236799428378e-07 , std 5.256341488743528e-05 
2023-04-21 12:05:47,075 INFO pca_9: 1.7849595894778158e-07 , std 4.93910091797021e-05 
2023-04-21 12:05:47,075 INFO pca_10: -1.4203888058982969e-08 , std 4.6859570103033954e-05 
2023-04-21 12:05:47,075 INFO t_intercept: -0.05498041881637589 , std 4.469496072912065 
2023-04-21 12:05:47,076 INFO t_pca_1: -3.416673109947306 , std 39.354644936010324 
2023-04-21 12:05:47,076 INFO t_pca_2: -0.910542627142595 , std 40.58457014489275 
2023-04-21 12:05:47,076 INFO t_pca_3: -0.3752950458961931 , std 18.77451299222384 
2023-04-21 12:05:47,076 INFO t_pca_4: 0.20190760595191748 , std 12.792074106767956 
2023-04-21 12:05:47,076 INFO t_pca_5: 0.08890847405047574 , std 9.345413721651804 
2023-04-21 12:05:47,076 INFO t_pca_6: -0.06164252362163059 , std 7.2898773169124125 
2023-04-21 12:05:47,076 INFO t_pca_7: -0.006592931451022835 , std 5.556172631297983 
2023-04-21 12:05:47,076 INFO t_pca_8: 0.022059874514804238 , std 4.397376050461823 
2023-04-21 12:05:47,076 INFO t_pca_9: 0.030334256981168248 , std 3.5242902590506535 
2023-04-21 12:05:47,076 INFO t_pca_10: 0.009194160289799842 , std 2.853144685428224 
2023-04-21 12:05:47,076 INFO p_intercept: 0.16110564436680838 , std 0.2672599681276572 
2023-04-21 12:05:47,076 INFO p_pca_1: 0.0030169744669402187 , std 0.04120289056473192 
2023-04-21 12:05:47,076 INFO p_pca_2: 0.008577653739334466 , std 0.07315337830952152 
2023-04-21 12:05:47,076 INFO p_pca_3: 0.041158082032090634 , std 0.15146998567202735 
2023-04-21 12:05:47,076 INFO p_pca_4: 0.06932251041274522 , std 0.19107772842745377 
2023-04-21 12:05:47,076 INFO p_pca_5: 0.08740816234721635 , std 0.20691706681764052 
2023-04-21 12:05:47,076 INFO p_pca_6: 0.12347716729615058 , std 0.24118175948202453 
2023-04-21 12:05:47,076 INFO p_pca_7: 0.1706554666587414 , std 0.2750476001637169 
2023-04-21 12:05:47,076 INFO p_pca_8: 0.20447415586688916 , std 0.2855728415548295 
2023-04-21 12:05:47,076 INFO p_pca_9: 0.23582684316310068 , std 0.2975655524591205 
2023-04-21 12:05:47,076 INFO p_pca_10: 0.27372940499435394 , std 0.3077843954622744 
2023-04-21 12:05:47,076 INFO pca_explained_1: 0.5478709692077844 , std 0.09560298230772142 
2023-04-21 12:05:47,076 INFO pca_explained_2: 0.7040418799306242 , std 0.08148569280626106 
2023-04-21 12:05:47,076 INFO pca_explained_3: 0.7831984546529015 , std 0.06912872837766303 
2023-04-21 12:05:47,076 INFO pca_explained_4: 0.8346825133222842 , std 0.05707946404101098 
2023-04-21 12:05:47,076 INFO pca_explained_5: 0.8711643572569643 , std 0.0464709229573645 
2023-04-21 12:05:47,076 INFO pca_explained_6: 0.8982792279431485 , std 0.03790326187555167 
2023-04-21 12:05:47,076 INFO pca_explained_7: 0.9190341816803315 , std 0.03098916448753024 
2023-04-21 12:05:47,076 INFO pca_explained_8: 0.9351874821282019 , std 0.025445127552064833 
2023-04-21 12:05:47,076 INFO pca_explained_9: 0.9478805625656775 , std 0.021073264827209958 
2023-04-21 12:05:47,076 INFO pca_explained_10: 0.957937005779449 , std 0.017621170876323942 
