2023-04-20 06:13:08,321 INFO Tickers: ['AVGO']
2023-04-20 06:13:58,488 INFO Negative OS: -0.8918147583921767 --- ticker AVGO --- day 2017-06-06 --- time 48600
2023-04-20 06:14:37,494 INFO Negative OS: -0.48234959160187674 --- ticker AVGO --- day 2017-10-09 --- time 37800
2023-04-20 06:14:51,017 INFO Negative OS: -0.15575642324686179 --- ticker AVGO --- day 2017-11-27 --- time 37800
2023-04-20 06:14:53,157 INFO Negative OS: -0.6370289593905638 --- ticker AVGO --- day 2017-11-29 --- time 37800
2023-04-20 06:15:03,936 INFO Negative OS: -0.7888752237195455 --- ticker AVGO --- day 2017-12-11 --- time 52200
2023-04-20 06:15:08,905 INFO Negative OS: -1.8739235347866772 --- ticker AVGO --- day 2018-01-02 --- time 36000
2023-04-20 06:15:15,764 INFO Negative OS: -10.293044546877471 --- ticker AVGO --- day 2018-01-02 --- time 46800
2023-04-20 06:15:21,282 INFO Negative OS: -3.6024389501296623 --- ticker AVGO --- day 2018-01-05 --- time 37800
2023-04-20 06:15:32,881 INFO Negative OS: -0.008416861207009907 --- ticker AVGO --- day 2018-01-05 --- time 39600
2023-04-20 06:15:36,808 INFO Negative OS: -1.391117763568693 --- ticker AVGO --- day 2018-01-17 --- time 46800
2023-04-20 06:15:43,864 INFO Negative OS: -21.083461252105437 --- ticker AVGO --- day 2018-01-29 --- time 45000
2023-04-20 06:15:45,444 INFO Negative OS: -0.8396095013815246 --- ticker AVGO --- day 2018-01-30 --- time 48600
2023-04-20 06:15:48,226 INFO Negative OS: -0.04955646535711278 --- ticker AVGO --- day 2018-02-01 --- time 48600
2023-04-20 06:15:50,128 INFO Negative OS: -0.017074883645321615 --- ticker AVGO --- day 2018-02-02 --- time 52200
2023-04-20 06:15:55,148 INFO Negative OS: -0.014532642672120843 --- ticker AVGO --- day 2018-02-06 --- time 39600
2023-04-20 06:15:56,465 INFO Negative OS: -0.3283511273852515 --- ticker AVGO --- day 2018-02-06 --- time 41400
2023-04-20 06:16:01,814 INFO Negative OS: -0.6470144574995405 --- ticker AVGO --- day 2018-02-07 --- time 43200
2023-04-20 06:16:06,933 INFO Negative OS: -3.5926433032148397 --- ticker AVGO --- day 2018-02-09 --- time 36000
2023-04-20 06:16:16,952 INFO Negative OS: -1.872985564278237 --- ticker AVGO --- day 2018-02-12 --- time 39600
2023-04-20 06:16:26,869 INFO Negative OS: -0.29722470097456144 --- ticker AVGO --- day 2018-02-12 --- time 52200
2023-04-20 06:16:31,907 INFO Negative OS: -1.7487196030791798 --- ticker AVGO --- day 2018-02-15 --- time 48600
2023-04-20 06:17:05,441 INFO Negative OS: -0.32036917694617295 --- ticker AVGO --- day 2018-02-16 --- time 45000
2023-04-20 06:17:29,427 INFO Negative OS: -0.1556129415065599 --- ticker AVGO --- day 2018-03-12 --- time 37800
2023-04-20 06:17:31,762 INFO Negative OS: -0.84520394329278 --- ticker AVGO --- day 2018-03-12 --- time 50400
2023-04-20 06:17:34,822 INFO Negative OS: -1.8048981747299138 --- ticker AVGO --- day 2018-03-14 --- time 41400
2023-04-20 06:17:42,924 INFO Negative OS: -0.005329354082285187 --- ticker AVGO --- day 2018-03-19 --- time 45000
2023-04-20 06:17:46,226 INFO Negative OS: -0.021031440038054683 --- ticker AVGO --- day 2018-03-20 --- time 39600
2023-04-20 06:17:51,392 INFO Negative OS: -1.190873617569176 --- ticker AVGO --- day 2018-03-21 --- time 50400
2023-04-20 06:17:54,903 INFO Negative OS: -0.05617769092875369 --- ticker AVGO --- day 2018-03-22 --- time 39600
2023-04-20 06:18:05,939 INFO Negative OS: -0.06081415457717765 --- ticker AVGO --- day 2018-03-22 --- time 43200
2023-04-20 06:18:06,789 INFO Negative OS: -5.569577453262464 --- ticker AVGO --- day 2018-03-23 --- time 36000
2023-04-20 06:18:39,962 INFO Negative OS: -0.08930460385488015 --- ticker AVGO --- day 2018-04-09 --- time 50400
2023-04-20 06:18:40,456 INFO Negative OS: -0.03591941719850866 --- ticker AVGO --- day 2018-04-10 --- time 37800
2023-04-20 06:18:57,947 INFO Negative OS: -0.0046372727886907494 --- ticker AVGO --- day 2018-05-07 --- time 46800
2023-04-20 06:19:03,409 INFO Negative OS: -0.05345959438836845 --- ticker AVGO --- day 2018-05-17 --- time 37800
2023-04-20 06:19:07,824 INFO Negative OS: -0.1271735091371511 --- ticker AVGO --- day 2018-05-23 --- time 50400
2023-04-20 06:19:37,771 INFO Negative OS: -0.06126761654807744 --- ticker AVGO --- day 2018-07-19 --- time 37800
2023-04-20 06:19:37,852 INFO Negative OS: -0.057388717160640645 --- ticker AVGO --- day 2018-07-19 --- time 39600
2023-04-20 06:20:46,052 INFO Negative OS: -0.6174903077303078 --- ticker AVGO --- day 2018-11-06 --- time 36000
2023-04-20 06:21:05,060 INFO Negative OS: -0.019780441183384623 --- ticker AVGO --- day 2018-11-28 --- time 43200
2023-04-20 06:21:22,163 INFO Negative OS: -0.6896297339644488 --- ticker AVGO --- day 2018-12-24 --- time 43200
2023-04-20 06:21:23,675 INFO Negative OS: -0.09094371549204627 --- ticker AVGO --- day 2018-12-26 --- time 52200
2023-04-20 06:22:06,439 INFO Negative OS: -2.6784698537935565 --- ticker AVGO --- day 2019-02-26 --- time 39600
2023-04-20 06:22:23,105 INFO Negative OS: -9.904947352754382 --- ticker AVGO --- day 2019-03-05 --- time 48600
2023-04-20 06:22:38,911 INFO Negative OS: -0.028546421907553965 --- ticker AVGO --- day 2019-03-05 --- time 50400
2023-04-20 06:23:32,425 INFO Negative OS: -0.04343754643965925 --- ticker AVGO --- day 2019-05-20 --- time 48600
2023-04-20 06:23:56,423 INFO Negative OS: -0.6960975805896674 --- ticker AVGO --- day 2019-06-27 --- time 52200
2023-04-20 06:24:01,801 INFO Negative OS: -13.18529352242082 --- ticker AVGO --- day 2019-07-10 --- time 37800
2023-04-20 06:24:39,353 INFO Negative OS: -0.4418663374422864 --- ticker AVGO --- day 2019-08-05 --- time 43200
2023-04-20 06:25:18,326 INFO Negative OS: -0.5535532162892984 --- ticker AVGO --- day 2019-09-25 --- time 50400
2023-04-20 06:25:39,597 INFO Negative OS: -0.08558638942759189 --- ticker AVGO --- day 2019-11-06 --- time 41400
2023-04-20 06:25:40,476 INFO Negative OS: -0.2806984604099283 --- ticker AVGO --- day 2019-11-07 --- time 52200
2023-04-20 06:25:55,181 INFO in_r2: 0.8464714732635323 , std 0.08259959358380119 
2023-04-20 06:25:55,181 INFO os_r2: 0.7347097287809046 , std 0.47790835168520784 
2023-04-20 06:25:55,181 INFO intercept: 7.703497761406778e-07 , std 1.5017843555795296e-05 
2023-04-20 06:25:55,181 INFO ofi_add_1: 5.232114704371956e-05 , std 4.802834706265552e-05 
2023-04-20 06:25:55,181 INFO ofi_add_2: 6.347262932842252e-05 , std 5.3698823196748e-05 
2023-04-20 06:25:55,181 INFO ofi_add_3: 5.8071801384869116e-05 , std 5.0428183699349276e-05 
2023-04-20 06:25:55,181 INFO ofi_add_4: 4.176091326896667e-05 , std 4.515134255247691e-05 
2023-04-20 06:25:55,181 INFO ofi_add_5: 3.2543999728084486e-05 , std 3.9810054992698424e-05 
2023-04-20 06:25:55,181 INFO ofi_add_6: 2.681074844332683e-05 , std 3.70655949947708e-05 
2023-04-20 06:25:55,181 INFO ofi_add_7: 2.5695705600959745e-05 , std 3.6537952078981144e-05 
2023-04-20 06:25:55,181 INFO ofi_add_8: 2.416752449184665e-05 , std 3.6690817760986446e-05 
2023-04-20 06:25:55,181 INFO ofi_add_9: 2.161045277859792e-05 , std 3.417180716836391e-05 
2023-04-20 06:25:55,181 INFO ofi_add_10: 2.3696319126506794e-05 , std 3.6178417982166116e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_1: 6.959608520653217e-05 , std 6.29119507559609e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_2: 7.450790674400975e-05 , std 5.907144415304752e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_3: 5.4499130635107354e-05 , std 5.1387338990936424e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_4: 3.775567141387374e-05 , std 4.58753508442941e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_5: 2.799568819024032e-05 , std 4.034845529986563e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_6: 2.2727709139387783e-05 , std 3.717815641019452e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_7: 2.113612924449099e-05 , std 3.684536165626302e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_8: 1.938147656551636e-05 , std 3.678597068690949e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_9: 1.7845521912480935e-05 , std 3.6540455862791735e-05 
2023-04-20 06:25:55,181 INFO ofi_cancel_10: 2.1827381912939753e-05 , std 3.830606601137125e-05 
2023-04-20 06:25:55,181 INFO ofi_trade_1: 6.717130917744935e-05 , std 8.86734022999172e-05 
2023-04-20 06:25:55,182 INFO ofi_trade_2: 5.123480083374792e-05 , std 7.46983789176865e-05 
2023-04-20 06:25:55,182 INFO ofi_trade_3: 4.8310677206592896e-05 , std 7.442072353857302e-05 
2023-04-20 06:25:55,182 INFO ofi_trade_4: 3.816717432585579e-05 , std 6.972465783272766e-05 
2023-04-20 06:25:55,182 INFO ofi_trade_5: 3.5082715611932695e-05 , std 6.627521851588269e-05 
2023-04-20 06:25:55,182 INFO ofi_trade_6: 3.798799766936557e-05 , std 7.088449587920408e-05 
2023-04-20 06:25:55,182 INFO ofi_trade_7: 4.2867896216766715e-05 , std 7.768864270267556e-05 
2023-04-20 06:25:55,182 INFO ofi_trade_8: 4.407631905954904e-05 , std 7.705759020293566e-05 
2023-04-20 06:25:55,182 INFO ofi_trade_9: 5.397948079895556e-05 , std 8.61016991760527e-05 
2023-04-20 06:25:55,182 INFO ofi_trade_10: 6.341753918465246e-05 , std 9.787198342538259e-05 
2023-04-20 06:25:55,182 INFO t_intercept: 0.04635864592937448 , std 1.1536849258423474 
2023-04-20 06:25:55,182 INFO t_ofi_add_1: 1.6164520658539756 , std 1.3091320879213701 
2023-04-20 06:25:55,182 INFO t_ofi_add_2: 1.437957340840432 , std 1.0561649770938784 
2023-04-20 06:25:55,182 INFO t_ofi_add_3: 1.2047799111777773 , std 0.9396156809659567 
2023-04-20 06:25:55,182 INFO t_ofi_add_4: 0.8329834040690363 , std 0.807279317875639 
2023-04-20 06:25:55,182 INFO t_ofi_add_5: 0.6228866817657119 , std 0.7035373012931033 
2023-04-20 06:25:55,182 INFO t_ofi_add_6: 0.4984073576629287 , std 0.6231859612446696 
2023-04-20 06:25:55,182 INFO t_ofi_add_7: 0.46409439369300476 , std 0.6060071919387103 
2023-04-20 06:25:55,182 INFO t_ofi_add_8: 0.42072632344047184 , std 0.5739364667340545 
2023-04-20 06:25:55,182 INFO t_ofi_add_9: 0.3882840359925717 , std 0.556844732879382 
2023-04-20 06:25:55,182 INFO t_ofi_add_10: 0.5547583234851654 , std 0.7657004353243615 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_1: 1.5923432273644347 , std 1.2739109334498162 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_2: 1.642035623348226 , std 1.1274155820608565 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_3: 1.1137123403221696 , std 0.9616519986308246 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_4: 0.7351069859501859 , std 0.8033128383768612 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_5: 0.5262177803366178 , std 0.6935320100818546 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_6: 0.4149989540560033 , std 0.6180469778495342 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_7: 0.36810979226276064 , std 0.591764270333801 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_8: 0.3252262034450141 , std 0.5585157557978973 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_9: 0.30075381990568884 , std 0.5660378472403195 
2023-04-20 06:25:55,182 INFO t_ofi_cancel_10: 0.46883392365496007 , std 0.7541882421393561 
2023-04-20 06:25:55,182 INFO t_ofi_trade_1: 0.9353213995803168 , std 1.0675387886908696 
2023-04-20 06:25:55,182 INFO t_ofi_trade_2: 0.6229240516554988 , std 0.8128108982307076 
2023-04-20 06:25:55,182 INFO t_ofi_trade_3: 0.5664037945686988 , std 0.7650947071858525 
2023-04-20 06:25:55,182 INFO t_ofi_trade_4: 0.44457849964924895 , std 0.6992367905534429 
2023-04-20 06:25:55,182 INFO t_ofi_trade_5: 0.40335613077110183 , std 0.6739729807441343 
2023-04-20 06:25:55,182 INFO t_ofi_trade_6: 0.41292637619428163 , std 0.6646111121518407 
