2023-04-20 06:46:38,698 INFO Tickers: ['CI']
2023-04-20 06:46:41,202 INFO Negative OS: -0.7513278498007547 --- ticker CI --- day 2017-02-27 --- time 36000
2023-04-20 06:47:03,605 INFO Negative OS: -0.4148856752654768 --- ticker CI --- day 2018-03-15 --- time 36000
2023-04-20 06:47:05,727 INFO Negative OS: -0.1702865322194913 --- ticker CI --- day 2018-04-06 --- time 52200
2023-04-20 06:47:08,579 INFO Negative OS: -0.09751783740637765 --- ticker CI --- day 2018-05-29 --- time 50400
2023-04-20 06:47:29,640 INFO Negative OS: -0.06134987154413851 --- ticker CI --- day 2018-10-09 --- time 46800
2023-04-20 06:47:32,892 INFO Negative OS: -0.03645543736820844 --- ticker CI --- day 2018-10-12 --- time 37800
2023-04-20 06:47:33,575 INFO Negative OS: -0.21441652063116523 --- ticker CI --- day 2018-10-12 --- time 45000
2023-04-20 06:47:34,898 INFO Negative OS: -0.060932298371623395 --- ticker CI --- day 2018-10-15 --- time 37800
2023-04-20 06:47:36,066 INFO Negative OS: -0.5318498424865319 --- ticker CI --- day 2018-10-16 --- time 37800
2023-04-20 06:47:37,402 INFO Negative OS: -0.018678753734150177 --- ticker CI --- day 2018-10-16 --- time 41400
2023-04-20 06:47:38,051 INFO Negative OS: -0.06789810659870299 --- ticker CI --- day 2018-10-17 --- time 36000
2023-04-20 06:47:40,749 INFO Negative OS: -0.06970007102743114 --- ticker CI --- day 2018-10-18 --- time 46800
2023-04-20 06:47:44,804 INFO Negative OS: -0.4372822613863019 --- ticker CI --- day 2018-10-22 --- time 48600
2023-04-20 06:47:46,602 INFO Negative OS: -0.11906384033570294 --- ticker CI --- day 2018-10-24 --- time 37800
2023-04-20 06:47:47,101 INFO Negative OS: -0.15820250796756885 --- ticker CI --- day 2018-10-24 --- time 41400
2023-04-20 06:47:51,047 INFO Negative OS: -0.26706876853113193 --- ticker CI --- day 2018-10-25 --- time 39600
2023-04-20 06:47:53,904 INFO Negative OS: -0.02628250724971526 --- ticker CI --- day 2018-10-26 --- time 41400
2023-04-20 06:47:59,207 INFO Negative OS: -1.1068592849989662 --- ticker CI --- day 2018-10-30 --- time 39600
2023-04-20 06:48:00,157 INFO Negative OS: -0.8292001134773868 --- ticker CI --- day 2018-10-31 --- time 37800
2023-04-20 06:48:05,876 INFO Negative OS: -0.19916153390258762 --- ticker CI --- day 2018-11-06 --- time 39600
2023-04-20 06:48:06,949 INFO Negative OS: -0.1826328217647819 --- ticker CI --- day 2018-11-06 --- time 41400
2023-04-20 06:48:13,267 INFO Negative OS: -2.0581714787875285 --- ticker CI --- day 2018-11-15 --- time 41400
2023-04-20 06:48:14,328 INFO Negative OS: -0.10732407366341024 --- ticker CI --- day 2018-11-16 --- time 36000
2023-04-20 06:48:15,290 INFO Negative OS: -0.0661671824769734 --- ticker CI --- day 2018-11-16 --- time 43200
2023-04-20 06:48:19,383 INFO Negative OS: -1.3469587466448996 --- ticker CI --- day 2018-11-20 --- time 36000
2023-04-20 06:48:21,333 INFO Negative OS: -0.04269672947833891 --- ticker CI --- day 2018-11-26 --- time 45000
2023-04-20 06:48:21,945 INFO Negative OS: -0.8373982588434989 --- ticker CI --- day 2018-11-27 --- time 43200
2023-04-20 06:48:26,483 INFO Negative OS: -0.3251331340596777 --- ticker CI --- day 2018-12-03 --- time 46800
2023-04-20 06:48:30,997 INFO Negative OS: -0.6633035604450188 --- ticker CI --- day 2018-12-07 --- time 43200
2023-04-20 06:48:31,778 INFO Negative OS: -0.0939788966963544 --- ticker CI --- day 2018-12-07 --- time 48600
2023-04-20 06:48:32,213 INFO Negative OS: -0.003583000854618712 --- ticker CI --- day 2018-12-07 --- time 50400
2023-04-20 06:48:34,361 INFO Negative OS: -0.06448875139873222 --- ticker CI --- day 2018-12-12 --- time 41400
2023-04-20 06:48:34,636 INFO Negative OS: -0.20363315747234156 --- ticker CI --- day 2018-12-12 --- time 43200
2023-04-20 06:48:35,533 INFO Negative OS: -0.020486389542098582 --- ticker CI --- day 2018-12-13 --- time 41400
2023-04-20 06:48:47,145 INFO Negative OS: -0.14957030576746466 --- ticker CI --- day 2018-12-21 --- time 43200
2023-04-20 06:48:48,466 INFO Negative OS: -0.08464978622857378 --- ticker CI --- day 2018-12-24 --- time 43200
2023-04-20 06:48:51,371 INFO Negative OS: -0.2424351732522918 --- ticker CI --- day 2018-12-26 --- time 46800
2023-04-20 06:48:52,568 INFO Negative OS: -1.5494992955064042 --- ticker CI --- day 2018-12-27 --- time 39600
2023-04-20 06:48:52,871 INFO Negative OS: -2.4515985490030108 --- ticker CI --- day 2018-12-27 --- time 41400
2023-04-20 06:49:00,017 INFO Negative OS: -0.819235787368443 --- ticker CI --- day 2019-01-04 --- time 41400
2023-04-20 06:49:00,973 INFO Negative OS: -0.5840942704119259 --- ticker CI --- day 2019-01-07 --- time 50400
2023-04-20 06:49:03,399 INFO Negative OS: -0.155598989091845 --- ticker CI --- day 2019-01-15 --- time 36000
2023-04-20 06:49:05,770 INFO Negative OS: -0.08980588625666419 --- ticker CI --- day 2019-01-23 --- time 39600
2023-04-20 06:49:08,649 INFO Negative OS: -1.481790164809941 --- ticker CI --- day 2019-01-30 --- time 50400
2023-04-20 06:49:09,372 INFO Negative OS: -0.2497769579254947 --- ticker CI --- day 2019-01-31 --- time 48600
2023-04-20 06:49:15,915 INFO Negative OS: -1.5215369199439897 --- ticker CI --- day 2019-02-15 --- time 48600
2023-04-20 06:49:22,092 INFO Negative OS: -0.010012010787046277 --- ticker CI --- day 2019-03-07 --- time 43200
2023-04-20 06:49:26,348 INFO Negative OS: -0.0008969789091533009 --- ticker CI --- day 2019-03-19 --- time 39600
2023-04-20 06:49:55,282 INFO Negative OS: -0.3800167428534629 --- ticker CI --- day 2019-08-23 --- time 36000
2023-04-20 06:49:56,775 INFO Negative OS: -0.10564893026763578 --- ticker CI --- day 2019-08-28 --- time 36000
2023-04-20 06:50:07,063 INFO in_r2: 0.767469080861085 , std 0.1640440230814621 
2023-04-20 06:50:07,063 INFO os_r2: 0.6164340111388141 , std 0.3119968493108176 
2023-04-20 06:50:07,063 INFO intercept: 1.7345774110742385e-07 , std 2.1629796411719358e-05 
2023-04-20 06:50:07,063 INFO ofi_add_1: 0.0001249435096281325 , std 0.0001337460770073945 
2023-04-20 06:50:07,063 INFO ofi_add_2: 0.0001229210540772232 , std 0.00012024788060615969 
2023-04-20 06:50:07,063 INFO ofi_add_3: 9.71323601606125e-05 , std 0.00011020642520035295 
2023-04-20 06:50:07,063 INFO ofi_add_4: 6.858930306565951e-05 , std 0.00010232529756728057 
2023-04-20 06:50:07,064 INFO ofi_add_5: 5.0096274637251115e-05 , std 9.34926318279271e-05 
2023-04-20 06:50:07,064 INFO ofi_add_6: 4.630964441673788e-05 , std 0.00010560740528744737 
2023-04-20 06:50:07,064 INFO ofi_add_7: 3.994795702625134e-05 , std 0.00010343460252449235 
2023-04-20 06:50:07,064 INFO ofi_add_8: 3.971655483353795e-05 , std 9.124917752294241e-05 
2023-04-20 06:50:07,064 INFO ofi_add_9: 3.525229204972765e-05 , std 8.957619376313112e-05 
2023-04-20 06:50:07,064 INFO ofi_add_10: 4.012969785181729e-05 , std 0.00010153393423431276 
2023-04-20 06:50:07,064 INFO ofi_cancel_1: 0.00015097063470861853 , std 0.00015821486597065502 
2023-04-20 06:50:07,064 INFO ofi_cancel_2: 0.0001293424317394917 , std 0.0001231818779447956 
2023-04-20 06:50:07,064 INFO ofi_cancel_3: 8.493171939482614e-05 , std 0.00011242182338922243 
2023-04-20 06:50:07,064 INFO ofi_cancel_4: 6.235972942822742e-05 , std 0.00010741720347860889 
2023-04-20 06:50:07,064 INFO ofi_cancel_5: 4.1050839704817894e-05 , std 9.774399449720295e-05 
2023-04-20 06:50:07,064 INFO ofi_cancel_6: 4.043113383855048e-05 , std 0.00010318131091912953 
2023-04-20 06:50:07,064 INFO ofi_cancel_7: 3.323055814662828e-05 , std 0.00010306020967980803 
2023-04-20 06:50:07,064 INFO ofi_cancel_8: 3.336941834612024e-05 , std 9.498474329776836e-05 
2023-04-20 06:50:07,064 INFO ofi_cancel_9: 3.05825245789472e-05 , std 9.132380144684566e-05 
2023-04-20 06:50:07,064 INFO ofi_cancel_10: 4.318654666419012e-05 , std 0.00010509304786779662 
2023-04-20 06:50:07,064 INFO ofi_trade_1: 0.00015025744620137752 , std 0.0001930544999355786 
2023-04-20 06:50:07,064 INFO ofi_trade_2: 8.007092946443512e-05 , std 0.0001516801028626541 
2023-04-20 06:50:07,064 INFO ofi_trade_3: 6.368325767920167e-05 , std 0.00018150000194525024 
2023-04-20 06:50:07,064 INFO ofi_trade_4: 5.61519639012164e-05 , std 0.0001601205598595113 
2023-04-20 06:50:07,064 INFO ofi_trade_5: 6.889226849428624e-05 , std 0.00017696746594900002 
2023-04-20 06:50:07,064 INFO ofi_trade_6: 7.180825752551295e-05 , std 0.00016425291651920958 
2023-04-20 06:50:07,064 INFO ofi_trade_7: 8.522821243803997e-05 , std 0.0001836349105636583 
2023-04-20 06:50:07,064 INFO ofi_trade_8: 8.84486676983325e-05 , std 0.0001730823754231798 
2023-04-20 06:50:07,064 INFO ofi_trade_9: 9.733602861094757e-05 , std 0.00016932713569463412 
2023-04-20 06:50:07,064 INFO ofi_trade_10: 0.00012136054199672112 , std 0.00020619284117072295 
2023-04-20 06:50:07,064 INFO t_intercept: -0.02134065350556 , std 1.0564840423557835 
2023-04-20 06:50:07,064 INFO t_ofi_add_1: 2.198654382323717 , std 1.4927939035971485 
2023-04-20 06:50:07,064 INFO t_ofi_add_2: 1.7679501327382843 , std 1.190775044402766 
2023-04-20 06:50:07,064 INFO t_ofi_add_3: 1.2810400724642894 , std 1.0538417847955504 
2023-04-20 06:50:07,064 INFO t_ofi_add_4: 0.8372989255239931 , std 0.9077620505672263 
2023-04-20 06:50:07,064 INFO t_ofi_add_5: 0.6074637931554304 , std 0.7733951159016499 
2023-04-20 06:50:07,064 INFO t_ofi_add_6: 0.5226582978008614 , std 0.7427871306192411 
2023-04-20 06:50:07,064 INFO t_ofi_add_7: 0.4766065262314299 , std 0.759468642906218 
2023-04-20 06:50:07,064 INFO t_ofi_add_8: 0.46239977801357673 , std 0.7203144459750664 
2023-04-20 06:50:07,064 INFO t_ofi_add_9: 0.4194798647297831 , std 0.7271888925956665 
2023-04-20 06:50:07,064 INFO t_ofi_add_10: 0.5492103219089879 , std 0.9154192706618954 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_1: 2.116720591269495 , std 1.4124719082962227 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_2: 1.8353515577342308 , std 1.2413388665874716 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_3: 1.1504148088177382 , std 1.0872635384896623 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_4: 0.7479811647535504 , std 0.8904662528206775 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_5: 0.48089343308131066 , std 0.7631385522959133 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_6: 0.4174622078398376 , std 0.7133423400218883 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_7: 0.36781125506532747 , std 0.7011774871893716 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_8: 0.35604863616050053 , std 0.6888835260635437 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_9: 0.3380425113255315 , std 0.7183388127713998 
2023-04-20 06:50:07,064 INFO t_ofi_cancel_10: 0.5341270057205988 , std 0.9387177755278115 
2023-04-20 06:50:07,064 INFO t_ofi_trade_1: 1.304764424695703 , std 1.2189621747899322 
2023-04-20 06:50:07,064 INFO t_ofi_trade_2: 0.5814304871494693 , std 0.8674720210062614 
2023-04-20 06:50:07,064 INFO t_ofi_trade_3: 0.45121558726968825 , std 0.7870941704969674 
2023-04-20 06:50:07,065 INFO t_ofi_trade_4: 0.3665872570886234 , std 0.712474724935359 
2023-04-20 06:50:07,065 INFO t_ofi_trade_5: 0.39072892767089645 , std 0.7018099030230488 
2023-04-20 06:50:07,065 INFO t_ofi_trade_6: 0.40048613039308584 , std 0.7149122137869002 
2023-04-20 06:50:07,065 INFO t_ofi_trade_7: 0.4593326052890697 , std 0.7581525395372897 
