2023-04-20 05:44:54,085 INFO Tickers: ['CMCSA']
2023-04-20 05:45:20,932 INFO Negative OS: -0.2541836782459501 --- ticker CMCSA --- day 2017-02-23 --- time 50400
2023-04-20 05:50:38,722 INFO Negative OS: -0.31089042197133 --- ticker CMCSA --- day 2018-12-19 --- time 46800
2023-04-20 05:50:57,722 INFO Negative OS: -0.8776970396236417 --- ticker CMCSA --- day 2019-01-30 --- time 48600
2023-04-20 05:51:28,648 INFO Negative OS: -2.9850946601914368 --- ticker CMCSA --- day 2019-04-09 --- time 37800
2023-04-20 05:51:28,709 INFO Negative OS: -0.1376644113324217 --- ticker CMCSA --- day 2019-04-09 --- time 39600
2023-04-20 05:53:34,990 INFO in_r2: 0.9903588777036461 , std 0.012556118920945235 
2023-04-20 05:53:34,990 INFO os_r2: 0.9715860133129962 , std 0.06723060156859338 
2023-04-20 05:53:34,990 INFO intercept: 1.1030523661229388e-07 , std 2.703366856775487e-06 
2023-04-20 05:53:34,990 INFO ofi_add_1: 3.6336357917093884e-05 , std 3.121228126043698e-05 
2023-04-20 05:53:34,990 INFO ofi_add_2: 0.0001366755720754399 , std 6.940468817932725e-05 
2023-04-20 05:53:34,990 INFO ofi_add_3: 8.821512922783997e-05 , std 6.972089914928872e-05 
2023-04-20 05:53:34,990 INFO ofi_add_4: 0.00013133696275949015 , std 0.00010445701763869409 
2023-04-20 05:53:34,990 INFO ofi_add_5: 0.00014551311178618022 , std 9.471309664193733e-05 
2023-04-20 05:53:34,990 INFO ofi_add_6: 0.00016677863884492753 , std 0.00011049162444001559 
2023-04-20 05:53:34,990 INFO ofi_add_7: 0.00013131880505749607 , std 0.00010713881424060448 
2023-04-20 05:53:34,990 INFO ofi_add_8: 0.00010766814582374246 , std 9.761790873765098e-05 
2023-04-20 05:53:34,990 INFO ofi_add_9: 9.801906411212942e-05 , std 8.963292455457347e-05 
2023-04-20 05:53:34,990 INFO ofi_add_10: 8.659864749045158e-05 , std 8.819190141418479e-05 
2023-04-20 05:53:34,990 INFO ofi_cancel_1: 2.1262412243788802e-05 , std 2.799965078336104e-05 
2023-04-20 05:53:34,990 INFO ofi_cancel_2: 7.934346792855489e-05 , std 6.194946086829677e-05 
2023-04-20 05:53:34,990 INFO ofi_cancel_3: 8.578334040257993e-05 , std 7.246438654088994e-05 
2023-04-20 05:53:34,990 INFO ofi_cancel_4: 0.00010978774017683689 , std 0.00010153976858206044 
2023-04-20 05:53:34,990 INFO ofi_cancel_5: 0.00013987354961665505 , std 0.00011806009397848944 
2023-04-20 05:53:34,990 INFO ofi_cancel_6: 0.00014239518020719348 , std 0.0001288998045870481 
2023-04-20 05:53:34,990 INFO ofi_cancel_7: 0.00010401824897475794 , std 0.00011705938595781953 
2023-04-20 05:53:34,990 INFO ofi_cancel_8: 0.0001178181635246842 , std 0.00012481041217778023 
2023-04-20 05:53:34,990 INFO ofi_cancel_9: 9.309229451028763e-05 , std 0.00011045655799687784 
2023-04-20 05:53:34,990 INFO ofi_cancel_10: 7.210869717921636e-05 , std 9.873709189158947e-05 
2023-04-20 05:53:34,990 INFO ofi_trade_1: 1.5515883683336554e-05 , std 4.238417952709408e-05 
2023-04-20 05:53:34,990 INFO ofi_trade_2: 0.00014851622440931496 , std 0.00010020114020062853 
2023-04-20 05:53:34,990 INFO ofi_trade_3: 0.00012399240772005413 , std 9.766328344839739e-05 
2023-04-20 05:53:34,990 INFO ofi_trade_4: 0.00013296531379384646 , std 0.00010978298884750744 
2023-04-20 05:53:34,990 INFO ofi_trade_5: 0.00013862066178493737 , std 0.00010783554120741179 
2023-04-20 05:53:34,990 INFO ofi_trade_6: 0.0001399071880783208 , std 0.0001186356654276329 
2023-04-20 05:53:34,990 INFO ofi_trade_7: 0.00011427700005103386 , std 0.00011165902451410117 
2023-04-20 05:53:34,990 INFO ofi_trade_8: 0.00010023245138077974 , std 0.00010325115889985018 
2023-04-20 05:53:34,990 INFO ofi_trade_9: 9.628847787689733e-05 , std 0.00010042772865911457 
2023-04-20 05:53:34,990 INFO ofi_trade_10: 7.949783781894741e-05 , std 9.304544647396122e-05 
2023-04-20 05:53:34,990 INFO t_intercept: 0.04984423327267904 , std 1.1453291682799536 
2023-04-20 05:53:34,990 INFO t_ofi_add_1: 1.874071002439947 , std 1.476010012629517 
2023-04-20 05:53:34,991 INFO t_ofi_add_2: 3.941964625960411 , std 2.1367289378074585 
2023-04-20 05:53:34,991 INFO t_ofi_add_3: 2.6477809055785495 , std 1.9119279194460832 
2023-04-20 05:53:34,991 INFO t_ofi_add_4: 3.219162809274535 , std 2.300204274430001 
2023-04-20 05:53:34,991 INFO t_ofi_add_5: 3.1757660312334592 , std 2.1957807812614516 
2023-04-20 05:53:34,991 INFO t_ofi_add_6: 2.9026278260776657 , std 2.1855691019723786 
2023-04-20 05:53:34,991 INFO t_ofi_add_7: 2.0981277316427964 , std 1.927532034920766 
2023-04-20 05:53:34,991 INFO t_ofi_add_8: 1.8797856795015366 , std 2.0062690374590697 
2023-04-20 05:53:34,991 INFO t_ofi_add_9: 1.9236773268205474 , std 2.1153432898049793 
2023-04-20 05:53:34,991 INFO t_ofi_add_10: 1.8241338975861512 , std 2.191202287925196 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_1: 0.9992670551592692 , std 1.2688515872989807 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_2: 2.2485610325022107 , std 1.7367601561336483 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_3: 2.2578947374039986 , std 1.6136199492381456 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_4: 2.234588029101521 , std 1.709691713431396 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_5: 2.268161733431615 , std 1.7588461795729748 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_6: 1.8772396678406846 , std 1.7340923984002483 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_7: 1.283929283725944 , std 1.5028454019199204 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_8: 1.5151640673368738 , std 1.711289715993597 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_9: 1.3105669634698838 , std 1.695457395448856 
2023-04-20 05:53:34,991 INFO t_ofi_cancel_10: 1.1077813563209422 , std 1.6525461424603227 
2023-04-20 05:53:34,991 INFO t_ofi_trade_1: 0.33855670035145097 , std 0.9057657210790079 
2023-04-20 05:53:34,991 INFO t_ofi_trade_2: 2.9855905273265932 , std 2.0989732511060506 
2023-04-20 05:53:34,991 INFO t_ofi_trade_3: 2.5283748461344806 , std 1.976920810827821 
2023-04-20 05:53:34,991 INFO t_ofi_trade_4: 2.6080511171308842 , std 2.1148524599311713 
2023-04-20 05:53:34,991 INFO t_ofi_trade_5: 2.4902736995933936 , std 2.0838385434297604 
2023-04-20 05:53:34,991 INFO t_ofi_trade_6: 2.2063321048912865 , std 2.1037944559723973 
2023-04-20 05:53:34,991 INFO t_ofi_trade_7: 1.707399874967614 , std 1.8799867852671577 
2023-04-20 05:53:34,991 INFO t_ofi_trade_8: 1.5995665658954115 , std 1.9057896536862027 
2023-04-20 05:53:34,991 INFO t_ofi_trade_9: 1.6708053792063742 , std 2.0241339663238818 
2023-04-20 05:53:34,991 INFO t_ofi_trade_10: 1.5655693731326479 , std 2.1446754024866714 
2023-04-20 05:53:34,991 INFO p_intercept: 0.464790366935804 , std 0.29800172904581684 
2023-04-20 05:53:34,991 INFO p_ofi_add_1: 0.26464197687488833 , std 0.31679152389582765 
2023-04-20 05:53:34,991 INFO p_ofi_add_2: 0.06143482697240748 , std 0.1731208355894159 
2023-04-20 05:53:34,991 INFO p_ofi_add_3: 0.17856277210762414 , std 0.3038265934925797 
2023-04-20 05:53:34,991 INFO p_ofi_add_4: 0.15654721850421371 , std 0.29132528924629303 
2023-04-20 05:53:34,991 INFO p_ofi_add_5: 0.14298472989128433 , std 0.2823037579492671 
2023-04-20 05:53:34,991 INFO p_ofi_add_6: 0.17869873307031486 , std 0.3153512431648594 
2023-04-20 05:53:34,991 INFO p_ofi_add_7: 0.2989644408305023 , std 0.37709234995660257 
2023-04-20 05:53:34,991 INFO p_ofi_add_8: 0.3779780683722048 , std 0.4117276762698329 
2023-04-20 05:53:34,991 INFO p_ofi_add_9: 0.3928706733540794 , std 0.41882200825841626 
2023-04-20 05:53:34,991 INFO p_ofi_add_10: 0.441106980126797 , std 0.43274041411529107 
2023-04-20 05:53:34,991 INFO p_ofi_cancel_1: 0.5253791343247842 , std 0.40552004308948336 
2023-04-20 05:53:34,991 INFO p_ofi_cancel_2: 0.2535141309507073 , std 0.36440582957221934 
2023-04-20 05:53:34,991 INFO p_ofi_cancel_3: 0.21737363832343098 , std 0.3273747937521556 
2023-04-20 05:53:34,991 INFO p_ofi_cancel_4: 0.24507382529862692 , std 0.35090449870810436 
2023-04-20 05:53:34,991 INFO p_ofi_cancel_5: 0.25184293841407696 , std 0.36297160135819234 
2023-04-20 05:53:34,991 INFO p_ofi_cancel_6: 0.3495132482649949 , std 0.4112941861064008 
2023-04-20 05:53:34,991 INFO p_ofi_cancel_7: 0.4939616960197089 , std 0.42785607262046454 
2023-04-20 05:53:34,991 INFO p_ofi_cancel_8: 0.45296561779200967 , std 0.4286990364590398 
2023-04-20 05:53:34,992 INFO p_ofi_cancel_9: 0.5246069830249602 , std 0.43179567019188053 
2023-04-20 05:53:34,992 INFO p_ofi_cancel_10: 0.604494840589575 , std 0.4350366166098898 
2023-04-20 05:53:34,992 INFO p_ofi_trade_1: 0.8254983429592095 , std 0.32699590272860735 
2023-04-20 05:53:34,992 INFO p_ofi_trade_2: 0.1691147302491138 , std 0.3099893680321733 
2023-04-20 05:53:34,992 INFO p_ofi_trade_3: 0.2144188055289599 , std 0.3357388833775901 
2023-04-20 05:53:34,992 INFO p_ofi_trade_4: 0.2305083525240821 , std 0.35363863727527023 
2023-04-20 05:53:34,992 INFO p_ofi_trade_5: 0.2456283229610613 , std 0.3630674223410524 
2023-04-20 05:53:34,992 INFO p_ofi_trade_6: 0.3063538248298229 , std 0.3928500872046605 
2023-04-20 05:53:34,992 INFO p_ofi_trade_7: 0.40606719041539163 , std 0.42108344826204874 
2023-04-20 05:53:34,992 INFO p_ofi_trade_8: 0.45028053763085196 , std 0.4295525651970521 
