2023-04-20 05:53:35,003 INFO Tickers: ['MDT']
2023-04-20 05:56:07,937 INFO Negative OS: -0.07803150503329692 --- ticker MDT --- day 2017-11-28 --- time 36000
2023-04-20 05:56:38,973 INFO Negative OS: -0.028994086140172515 --- ticker MDT --- day 2018-02-06 --- time 46800
2023-04-20 05:56:55,879 INFO Negative OS: -0.2353267262639145 --- ticker MDT --- day 2018-03-08 --- time 43200
2023-04-20 06:01:07,650 INFO Negative OS: -0.6338575130198538 --- ticker MDT --- day 2019-08-06 --- time 43200
2023-04-20 06:01:21,447 INFO Negative OS: -6.724022854746456 --- ticker MDT --- day 2019-08-26 --- time 39600
2023-04-20 06:01:28,171 INFO Negative OS: -3.2577143510232105 --- ticker MDT --- day 2019-08-28 --- time 48600
2023-04-20 06:01:32,945 INFO Negative OS: -8.215590108758763 --- ticker MDT --- day 2019-09-03 --- time 50400
2023-04-20 06:02:08,087 INFO Negative OS: -9.230951727855512 --- ticker MDT --- day 2019-12-02 --- time 46800
2023-04-20 06:02:17,869 INFO in_r2: 0.9223588157276839 , std 0.052068822066662225 
2023-04-20 06:02:17,869 INFO os_r2: 0.8832884447213759 , std 0.21712418514104237 
2023-04-20 06:02:17,869 INFO intercept: 1.9141472993542144e-07 , std 5.680893870957099e-06 
2023-04-20 06:02:17,869 INFO ofi_add_1: 6.596098912919574e-05 , std 6.321621539642823e-05 
2023-04-20 06:02:17,869 INFO ofi_add_2: 8.014176976973854e-05 , std 5.782135467776713e-05 
2023-04-20 06:02:17,869 INFO ofi_add_3: 6.920340914613527e-05 , std 4.5985026019681914e-05 
2023-04-20 06:02:17,869 INFO ofi_add_4: 6.334501213243594e-05 , std 4.7896607717267355e-05 
2023-04-20 06:02:17,869 INFO ofi_add_5: 5.2184556943475287e-05 , std 4.5858110543244995e-05 
2023-04-20 06:02:17,869 INFO ofi_add_6: 4.879399175863563e-05 , std 4.465818771470977e-05 
2023-04-20 06:02:17,869 INFO ofi_add_7: 5.1590153890968855e-05 , std 4.766668164798405e-05 
2023-04-20 06:02:17,869 INFO ofi_add_8: 4.48568801549712e-05 , std 4.917496538515735e-05 
2023-04-20 06:02:17,869 INFO ofi_add_9: 3.992122424909268e-05 , std 5.111970934498232e-05 
2023-04-20 06:02:17,869 INFO ofi_add_10: 3.883221990076249e-05 , std 5.187435313325653e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_1: 5.3827452374729396e-05 , std 6.547561852055768e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_2: 8.454996979148463e-05 , std 6.173650709280471e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_3: 6.755984867352503e-05 , std 5.016708169783288e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_4: 5.99989719523126e-05 , std 5.0780197257796765e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_5: 5.0418784546686e-05 , std 5.016288750393697e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_6: 4.518865521851805e-05 , std 4.884678296524385e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_7: 4.269936585438172e-05 , std 5.125679467736494e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_8: 4.019929094536734e-05 , std 5.39692821154768e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_9: 3.782002512490131e-05 , std 5.5854106706353034e-05 
2023-04-20 06:02:17,869 INFO ofi_cancel_10: 3.805410810329025e-05 , std 5.710071283159464e-05 
2023-04-20 06:02:17,869 INFO ofi_trade_1: 3.6422317640224966e-05 , std 8.311774077834227e-05 
2023-04-20 06:02:17,869 INFO ofi_trade_2: 6.393727691061561e-05 , std 8.031763088028098e-05 
2023-04-20 06:02:17,869 INFO ofi_trade_3: 6.105776519584229e-05 , std 6.836430228483803e-05 
2023-04-20 06:02:17,869 INFO ofi_trade_4: 6.107031391443551e-05 , std 6.818237755463429e-05 
2023-04-20 06:02:17,869 INFO ofi_trade_5: 5.662830313441969e-05 , std 6.353802857681058e-05 
2023-04-20 06:02:17,869 INFO ofi_trade_6: 5.308966055548188e-05 , std 6.60356262587461e-05 
2023-04-20 06:02:17,869 INFO ofi_trade_7: 5.544032312892697e-05 , std 6.941925020929407e-05 
2023-04-20 06:02:17,870 INFO ofi_trade_8: 5.397694101673171e-05 , std 7.343708451085541e-05 
2023-04-20 06:02:17,870 INFO ofi_trade_9: 5.322222495562912e-05 , std 8.27727618325682e-05 
2023-04-20 06:02:17,870 INFO ofi_trade_10: 5.315764324606221e-05 , std 8.124674202731745e-05 
2023-04-20 06:02:17,870 INFO t_intercept: 0.057981081515741224 , std 0.9408447183524128 
2023-04-20 06:02:17,870 INFO t_ofi_add_1: 1.6080923380974508 , std 1.3828585686101593 
2023-04-20 06:02:17,870 INFO t_ofi_add_2: 1.9090472235554916 , std 1.2920840453534699 
2023-04-20 06:02:17,870 INFO t_ofi_add_3: 1.726324721524485 , std 1.1573199443488777 
2023-04-20 06:02:17,870 INFO t_ofi_add_4: 1.538868244100065 , std 1.1461923586457494 
2023-04-20 06:02:17,870 INFO t_ofi_add_5: 1.292182769169252 , std 1.1111439850991762 
2023-04-20 06:02:17,870 INFO t_ofi_add_6: 1.1501660769537574 , std 1.0295043866786626 
2023-04-20 06:02:17,870 INFO t_ofi_add_7: 1.0869386264581573 , std 1.039553410602441 
2023-04-20 06:02:17,870 INFO t_ofi_add_8: 0.8123056740716803 , std 0.9031000032129806 
2023-04-20 06:02:17,870 INFO t_ofi_add_9: 0.6697635686989396 , std 0.8627299845905986 
2023-04-20 06:02:17,870 INFO t_ofi_add_10: 0.7055084657373777 , std 0.9246639327916041 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_1: 1.1294261891142665 , std 1.2873110342389473 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_2: 1.9043909941851065 , std 1.2958743020082497 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_3: 1.5447821368035208 , std 1.1409789903997796 
