2023-04-20 05:03:02,893 INFO Tickers: ['MSFT']
2023-04-20 05:03:11,641 INFO Negative OS: -0.299949548842924 --- ticker MSFT --- day 2017-01-23 --- time 45000
2023-04-20 05:05:21,042 INFO Negative OS: -0.09552106527449888 --- ticker MSFT --- day 2017-10-20 --- time 48600
2023-04-20 05:05:30,509 INFO Negative OS: -1.8321734351642807 --- ticker MSFT --- day 2017-11-09 --- time 46800
2023-04-20 05:13:19,073 INFO Negative OS: -0.03742360888002971 --- ticker MSFT --- day 2019-09-11 --- time 48600
2023-04-20 05:14:21,223 INFO Negative OS: -0.015161285623687792 --- ticker MSFT --- day 2019-11-25 --- time 48600
2023-04-20 05:14:33,562 INFO in_r2: 0.9759743854978128 , std 0.021189012090276103 
2023-04-20 05:14:33,563 INFO os_r2: 0.9535717314026286 , std 0.06289415161694657 
2023-04-20 05:14:33,563 INFO intercept: 1.279326360006149e-07 , std 3.276968292911706e-06 
2023-04-20 05:14:33,563 INFO ofi_add_1: 2.258320060874306e-05 , std 2.124074726594144e-05 
2023-04-20 05:14:33,563 INFO ofi_add_2: 4.3686520665591176e-05 , std 3.69277028508831e-05 
2023-04-20 05:14:33,563 INFO ofi_add_3: 5.184448910819614e-05 , std 4.031761300045083e-05 
2023-04-20 05:14:33,563 INFO ofi_add_4: 5.4590912820164776e-05 , std 3.752529125932363e-05 
2023-04-20 05:14:33,563 INFO ofi_add_5: 4.545997995055689e-05 , std 3.2774359732130174e-05 
2023-04-20 05:14:33,563 INFO ofi_add_6: 6.097050878480779e-05 , std 5.3951400506156166e-05 
2023-04-20 05:14:33,563 INFO ofi_add_7: 5.445958173850764e-05 , std 5.2383940016382364e-05 
2023-04-20 05:14:33,563 INFO ofi_add_8: 5.29007010072371e-05 , std 4.639170736311758e-05 
2023-04-20 05:14:33,563 INFO ofi_add_9: 5.0435848912608544e-05 , std 4.538047699122179e-05 
2023-04-20 05:14:33,563 INFO ofi_add_10: 5.719656087540628e-05 , std 4.770343884686441e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_1: 1.4356605399179902e-05 , std 1.9719890134361547e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_2: 3.4836516423869254e-05 , std 3.304176905945046e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_3: 5.153082083795918e-05 , std 4.3359231320612834e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_4: 5.6262119994636126e-05 , std 4.2791778922011876e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_5: 4.7000517723745186e-05 , std 3.6636485985018e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_6: 5.577487200867639e-05 , std 5.328535026517441e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_7: 4.9475294240964476e-05 , std 5.8350423433233174e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_8: 5.116758066795833e-05 , std 5.5993882166863624e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_9: 5.188561033656011e-05 , std 6.007161592404151e-05 
2023-04-20 05:14:33,563 INFO ofi_cancel_10: 5.259572016538145e-05 , std 5.335131871485658e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_1: 9.01297630813002e-06 , std 3.204431066844234e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_2: 4.550631423870539e-05 , std 4.733785777361597e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_3: 5.4600858240843904e-05 , std 5.248525886120807e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_4: 5.476974179270436e-05 , std 4.607107767132432e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_5: 4.8294559651574583e-05 , std 4.394363599011532e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_6: 5.385995088808972e-05 , std 5.0755285240133973e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_7: 5.3333789201293684e-05 , std 5.3598495611766976e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_8: 5.137262902365441e-05 , std 4.918592699847444e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_9: 4.8746207199992275e-05 , std 4.8402577404972036e-05 
2023-04-20 05:14:33,563 INFO ofi_trade_10: 5.517241149460988e-05 , std 4.856737288425644e-05 
2023-04-20 05:14:33,563 INFO t_intercept: 0.03456409239085451 , std 1.0536778737548027 
2023-04-20 05:14:33,563 INFO t_ofi_add_1: 1.2315378480543475 , std 1.094166665153985 
2023-04-20 05:14:33,563 INFO t_ofi_add_2: 1.6560950286567266 , std 1.370950649372847 
2023-04-20 05:14:33,563 INFO t_ofi_add_3: 1.9554568173357643 , std 1.5006067712297604 
2023-04-20 05:14:33,563 INFO t_ofi_add_4: 2.151677529571213 , std 1.5572493927249267 
2023-04-20 05:14:33,563 INFO t_ofi_add_5: 2.003283378768016 , std 1.5356878187360536 
2023-04-20 05:14:33,563 INFO t_ofi_add_6: 2.302586850833204 , std 1.74731657894008 
2023-04-20 05:14:33,563 INFO t_ofi_add_7: 1.979503897891182 , std 1.6263417739011374 
