2023-04-20 06:46:04,045 INFO Tickers: ['TFC']
2023-04-20 06:46:05,755 INFO in_r2: 0.9712443884143965 , std 0.020565450672878467 
2023-04-20 06:46:05,755 INFO os_r2: 0.9456061593384438 , std 0.03371353186644852 
2023-04-20 06:46:05,755 INFO intercept: -7.278919544146923e-07 , std 4.49870769248134e-06 
2023-04-20 06:46:05,755 INFO ofi_add_1: 5.213656145627943e-05 , std 3.748633738608212e-05 
2023-04-20 06:46:05,755 INFO ofi_add_2: 0.00011867077437795503 , std 4.567278672379335e-05 
2023-04-20 06:46:05,755 INFO ofi_add_3: 0.00011764867859333694 , std 6.392904058497743e-05 
2023-04-20 06:46:05,755 INFO ofi_add_4: 0.00012447216662143378 , std 7.600128977019901e-05 
2023-04-20 06:46:05,755 INFO ofi_add_5: 0.00010423462578528361 , std 4.0153119050282016e-05 
2023-04-20 06:46:05,755 INFO ofi_add_6: 8.366338798781606e-05 , std 3.736926336417687e-05 
2023-04-20 06:46:05,755 INFO ofi_add_7: 8.259216614262003e-05 , std 5.5288448222632116e-05 
2023-04-20 06:46:05,755 INFO ofi_add_8: 5.962363279259669e-05 , std 5.4083218793093164e-05 
2023-04-20 06:46:05,755 INFO ofi_add_9: 4.587127270065148e-05 , std 4.544234937541917e-05 
2023-04-20 06:46:05,755 INFO ofi_add_10: 6.153090213913518e-05 , std 0.00010429948325378265 
2023-04-20 06:46:05,755 INFO ofi_cancel_1: 4.449603589188196e-05 , std 3.712637290988221e-05 
2023-04-20 06:46:05,755 INFO ofi_cancel_2: 9.358876683745149e-05 , std 6.420023841979408e-05 
2023-04-20 06:46:05,755 INFO ofi_cancel_3: 0.00010820823437526218 , std 6.269719870355776e-05 
2023-04-20 06:46:05,755 INFO ofi_cancel_4: 0.00014793544057141488 , std 7.591305169253803e-05 
2023-04-20 06:46:05,755 INFO ofi_cancel_5: 0.00010821669551145004 , std 5.029009265085167e-05 
2023-04-20 06:46:05,755 INFO ofi_cancel_6: 5.9650381047373755e-05 , std 4.9426702587265856e-05 
2023-04-20 06:46:05,755 INFO ofi_cancel_7: 5.168846788151201e-05 , std 5.282169742255269e-05 
2023-04-20 06:46:05,755 INFO ofi_cancel_8: 6.379551140770508e-05 , std 6.320108029578248e-05 
2023-04-20 06:46:05,755 INFO ofi_cancel_9: 3.842230423598959e-05 , std 6.669872185193688e-05 
2023-04-20 06:46:05,755 INFO ofi_cancel_10: 8.680813359005826e-05 , std 0.00011716591829792515 
2023-04-20 06:46:05,755 INFO ofi_trade_1: 2.4283240812809012e-05 , std 6.008906454284015e-05 
2023-04-20 06:46:05,755 INFO ofi_trade_2: 8.198229830917634e-05 , std 6.338101430705647e-05 
2023-04-20 06:46:05,755 INFO ofi_trade_3: 0.00014078052219880098 , std 0.00010102530002676499 
2023-04-20 06:46:05,755 INFO ofi_trade_4: 0.00011110086284604557 , std 7.421397934604675e-05 
2023-04-20 06:46:05,755 INFO ofi_trade_5: 0.00012347739104163262 , std 5.470429199376046e-05 
2023-04-20 06:46:05,755 INFO ofi_trade_6: 0.00010188504220853043 , std 7.290014240976234e-05 
2023-04-20 06:46:05,755 INFO ofi_trade_7: 8.188071140116376e-05 , std 6.681409977929e-05 
2023-04-20 06:46:05,755 INFO ofi_trade_8: 5.408911127631623e-05 , std 6.821487357467287e-05 
2023-04-20 06:46:05,755 INFO ofi_trade_9: 6.588788949577207e-05 , std 8.391283514621594e-05 
2023-04-20 06:46:05,756 INFO ofi_trade_10: 7.110504174250507e-05 , std 8.776624945990389e-05 
2023-04-20 06:46:05,756 INFO t_intercept: -0.08646709564297672 , std 1.0779931114362717 
2023-04-20 06:46:05,756 INFO t_ofi_add_1: 1.86499395486725 , std 1.219941120572946 
2023-04-20 06:46:05,756 INFO t_ofi_add_2: 3.292320739619461 , std 1.7137255291622606 
2023-04-20 06:46:05,756 INFO t_ofi_add_3: 2.9778691140696574 , std 1.7984428364011102 
2023-04-20 06:46:05,756 INFO t_ofi_add_4: 3.289331431497033 , std 1.9003836124413556 
2023-04-20 06:46:05,756 INFO t_ofi_add_5: 3.7649366097032853 , std 2.1465840807200625 
2023-04-20 06:46:05,756 INFO t_ofi_add_6: 3.1810199884160943 , std 2.1190604173089818 
2023-04-20 06:46:05,756 INFO t_ofi_add_7: 2.0592053764129097 , std 1.5620542887305269 
2023-04-20 06:46:05,756 INFO t_ofi_add_8: 1.0771189329284643 , std 1.061049186699093 
2023-04-20 06:46:05,756 INFO t_ofi_add_9: 0.7707061274421027 , std 0.8175382957891807 
2023-04-20 06:46:05,756 INFO t_ofi_add_10: 1.0972761608838384 , std 1.6613470921489097 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_1: 1.334245777221839 , std 1.103256443818637 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_2: 2.349752395889117 , std 1.7377161672704595 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_3: 2.5896798766097255 , std 1.5056003409216572 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_4: 3.487169240014597 , std 1.7251242220512513 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_5: 3.1017100727619726 , std 1.8810762613273193 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_6: 1.8195056935209077 , std 1.7726400753550609 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_7: 1.119291746599309 , std 1.1367529487608052 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_8: 1.0169695380985921 , std 1.0298289282505535 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_9: 0.6201610912833485 , std 1.1385140414548018 
2023-04-20 06:46:05,756 INFO t_ofi_cancel_10: 1.337250441126357 , std 1.6570391470317043 
2023-04-20 06:46:05,756 INFO t_ofi_trade_1: 0.40492070190139745 , std 0.730237150423868 
2023-04-20 06:46:05,756 INFO t_ofi_trade_2: 1.4976604986772166 , std 1.3694733929405833 
2023-04-20 06:46:05,756 INFO t_ofi_trade_3: 2.2989087929497765 , std 1.680821715292639 
2023-04-20 06:46:05,756 INFO t_ofi_trade_4: 2.362441865500008 , std 1.8477782249056256 
2023-04-20 06:46:05,756 INFO t_ofi_trade_5: 3.21196971829556 , std 2.1070383825908534 
2023-04-20 06:46:05,756 INFO t_ofi_trade_6: 2.604916302458989 , std 1.8365600133157918 
2023-04-20 06:46:05,756 INFO t_ofi_trade_7: 1.4253399643981564 , std 1.198711451566641 
2023-04-20 06:46:05,756 INFO t_ofi_trade_8: 0.7582699317046169 , std 0.9643534310237761 
2023-04-20 06:46:05,756 INFO t_ofi_trade_9: 0.786426376042853 , std 0.9654448860035013 
2023-04-20 06:46:05,756 INFO t_ofi_trade_10: 1.081464969371148 , std 1.3555763498472015 
2023-04-20 06:46:05,756 INFO p_intercept: 0.4919979304703077 , std 0.2990784667976404 
2023-04-20 06:46:05,756 INFO p_ofi_add_1: 0.23336465207970392 , std 0.3041958663917378 
2023-04-20 06:46:05,756 INFO p_ofi_add_2: 0.03707641101959059 , std 0.06872986629771524 
2023-04-20 06:46:05,756 INFO p_ofi_add_3: 0.1173125847424152 , std 0.23365987383095368 
2023-04-20 06:46:05,756 INFO p_ofi_add_4: 0.09363362730429958 , std 0.19502902208995088 
2023-04-20 06:46:05,756 INFO p_ofi_add_5: 0.0766366681383906 , std 0.2056552266454063 
2023-04-20 06:46:05,756 INFO p_ofi_add_6: 0.14228722465212293 , std 0.2558794069888227 
2023-04-20 06:46:05,756 INFO p_ofi_add_7: 0.2375786332330256 , std 0.32378613241908966 
2023-04-20 06:46:05,756 INFO p_ofi_add_8: 0.48102629220078247 , std 0.39331760827651585 
2023-04-20 06:46:05,756 INFO p_ofi_add_9: 0.5544157372485522 , std 0.3800502196540936 
